,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Two MPs - one Conservative, one Liberal - are proposing new laws on two very controversial topics: abortion and hard drug use. They may be acting out of conviction, but they're putting their party leaders under pressure.","Days earlier, the priest had sent a letter to lawmakers who support Rhode Island's abortion law, saying they should be barred from receiving communion.",1.0,184.0,37.0,7.0,12.0,3.0,18.5,4.972972972972973,0.0,28.57142857142857,0.0,0.0,5.405405405405405,33.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,33.0,0.0,0.0,2.0,56.0,13.0,-1.0,3.0,1.0,-5.5,-0.36,0.0,16.07,0.0,-4.17,5.41,9.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,2.0,13.91,4.33,1.76,-0.7,0.67,-6.71,-0.26,0.0,18.61,0.0,-2.4,2.73,5.57,0.0,-0.02,-0.15,3.41,-0.04,1.3,-0.02,0.0,5.57,0.0,-0.07,1.3
1,"It's illegal to pay a surrogate to carry someone else's baby in Canada. Yet, surrogacy is far from free. A CBC investigation into the industry reveals why some parents are left with serious questions about payments they made — and why they're reluctant to rep…",The battle over abortion rights will make its way to the Senate floor on Tuesday when Republicans bring two longstanding bills with little chance of passage up for votes before the chamber.,1.0,216.0,45.0,10.0,11.0,3.0,15.0,4.8,0.0,20.0,0.0,2.2222222222222223,4.444444444444445,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,58.0,13.0,7.0,-2.0,1.0,-17.0,-0.14,0.0,20.0,0.0,2.22,4.44,10.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,10.0,0.0,0.0,-1.0,29.91,8.33,3.26,-1.2,0.67,-8.46,-0.35,0.0,14.32,0.0,-1.29,2.25,9.07,0.0,-0.02,0.35,1.41,-0.04,0.3,-0.02,0.0,9.07,0.0,-0.07,0.3
2,"The Trudeau government is set to introduce legislation Monday amending the Criminal Code to ban conversion therapy, a controversial practice that aims to change the sexual orientation, gender identity or expression of LGBTQ people.",The Supreme Court debated a Louisiana abortion access law that requires doctors to have admitting privileges at a nearby hospital.,1.0,198.0,34.0,7.0,15.0,2.0,34.0,5.823529411764706,0.0,14.285714285714285,0.0,0.0,2.941176470588235,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,87.0,14.0,3.0,6.0,0.0,14.0,0.27,0.0,14.29,0.0,0.0,2.94,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,29.25,5.99,2.76,-0.03,0.34,-2.71,-0.04,0.0,10.99,0.0,-1.66,1.59,6.57,0.0,-0.02,0.18,0.75,-0.04,-0.03,-0.02,0.0,6.57,0.0,-0.07,-0.03
3,"In a new fundraising email, Conservative leadership candidate Erin O’Toole takes a shot at rival Peter MacKay for insisting on a solid caucus front on so-called ""conscience"" votes, accusing him of behaving “just like Justin Trudeau does.”","After making threatening comments to government officials about abortion laws, Senator Chuck Schumer has been facing criticism and backlash. CNN's John Avlon has the story.",1.0,202.0,37.0,6.0,17.0,2.0,19.0,5.45945945945946,0.0,0.0,0.0,5.405405405405405,5.405405405405405,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,1.0,54.0,12.0,0.0,3.0,-1.0,6.5,-0.46,0.0,-16.67,0.0,5.41,-2.59,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,29.91,5.58,2.26,1.05,0.17,-3.58,0.03,0.0,5.75,0.0,-0.5,1.87,6.07,0.0,-0.02,0.1,0.41,-0.04,0.05,-0.02,0.0,6.07,0.0,-0.07,0.05
4,Judge Napolitano: Schumer's threat toward Supreme Court justices 'very dangerous' Fox News Schumer accused of threatening Kavanaugh and Gorsuch during rally CNN Chief Justice Roberts issues rare rebuke to Schumer's 'dangerous' and 'irresponsible' comments; Tr…,"Ivanka Trump on Wednesday commemorated the first anniversary of her signature policy, the Women's Global Development and Prosperity Initiative, with the unveiling of bipartisan legislation to support her efforts. However, the initiative drew criticism from ad…",1.0,226.0,35.0,4.0,21.0,1.0,35.0,6.457142857142857,0.0,0.0,0.0,0.0,14.285714285714285,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1.0,-1.0,1.0,4.0,-1.0,17.0,0.21,0.0,0.0,0.0,-2.78,11.51,3.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,3.0,0.0,0.0,-4.0,35.11,4.93,1.56,2.5,-0.13,-0.91,0.27,0.0,2.61,0.0,-0.88,3.82,5.57,0.0,-0.02,0.05,0.21,-0.04,-0.1,-0.02,0.0,5.57,0.0,-0.07,-0.1
5,"The Supreme Court hears arguments Wednesday in a major abortion case, the first with Justices Neil Gorsuch and Brett Kavanaugh on the bench.","Black voters, particularly those in South Carolina and a handful of other southern states on Super Tuesday, led -- and the Democratic establishment followed. That's why former Vice President Joe Biden is on the verge of becoming the Democratic front-runner. A…",1.0,118.0,23.0,1.0,12.0,2.0,23.0,5.130434782608695,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,-102.0,-18.0,-5.0,-3.0,-1.0,9.33,-0.24,0.0,-16.67,0.0,-2.44,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,20.58,2.49,0.59,1.97,-0.16,-1.13,0.2,0.0,0.51,0.0,-1.13,2.74,3.57,0.0,-0.02,0.01,0.08,-0.04,-0.2,-0.02,0.0,3.57,0.0,-0.07,-0.2
6,"""Justices know that criticism comes with the territory, but threatening statements of this sort from the highest levels of government are not only inappropriate, they are dangerous,"" Roberts wrote.","Justice Sonia Sotomayor wrote a scathing dissent late Friday night, castigating the government for repeatedly asking the Supreme Court on an emergency basis to allow controversial policies to go into effect and charging her conservative colleagues on the cour…",1.0,169.0,29.0,7.0,8.0,2.0,29.0,5.827586206896552,0.0,28.57142857142857,0.0,0.0,13.793103448275861,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,-53.0,-10.0,1.0,-7.0,1.0,-10.0,0.14,0.0,28.57,0.0,0.0,0.97,-9.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-9.0,0.0,0.0,-2.0,17.48,1.61,0.76,1.02,-0.18,-0.42,0.26,0.0,3.1,0.0,-1.32,3.93,2.42,0.0,-0.02,-0.01,-0.02,-0.04,-0.27,-0.02,0.0,2.42,0.0,-0.07,-0.27
7,"When Ivana Horacek suspected she was losing her pregnancy last October, the worry was unbearable. When it happened, she worried she would never find the treatment and support she needed from the health-care system.",Take a look at 34 photos of the week from February 28 through March 5.,1.0,181.0,34.0,9.0,8.0,3.0,17.0,5.323529411764706,0.0,22.22222222222222,0.0,2.941176470588235,11.76470588235294,23.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,23.0,0.0,0.0,7.0,125.0,19.0,8.0,3.0,1.0,2.0,1.59,0.0,22.22,0.0,2.94,11.76,8.0,0.0,0.0,1.0,-3.0,0.0,7.0,0.0,0.0,8.0,0.0,0.0,7.0,16.66,1.58,1.14,0.3,-0.08,-1.4,0.24,0.0,4.24,0.0,-1.08,4.58,1.57,0.0,-0.02,0.1,-0.09,-0.04,0.55,-0.02,0.0,1.57,0.0,-0.07,0.55
8,B.C. is failing its citizens in not providing universal access to contraception and leaving young people vulnerable to unintended pregnancies. The provincial government has a chance to change this in the upcoming budget.,"Sen. Chuck Schumer did cross a line with a statement he delivered vociferously at a rally outside the Supreme Court (and he has apologized), but the rebuke from Chief Justice Roberts opened the gates to feigned outrage by Mitch McConnell, the President and hi…",1.0,188.0,33.0,6.0,9.0,5.0,8.5,5.696969696969697,0.0,16.666666666666664,0.0,0.0,6.0606060606060606,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,1.0,-29.0,-11.0,-1.0,-9.0,3.0,-13.5,0.77,0.0,16.67,0.0,0.0,-0.76,-7.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-7.0,0.0,0.0,-1.0,16.8,1.44,1.09,-0.14,0.23,-3.1,0.26,0.0,4.52,0.0,-1.23,4.45,1.45,0.0,-0.02,0.07,-0.14,-0.04,0.53,-0.02,0.0,1.45,0.0,-0.07,0.53
9,"Conservative Leader Andrew Scheer appears to be backtracking on a campaign commitment to stop efforts to reopen the abortion debate, with a Conservative MP allowed to introduce a bill seeking to ban abortions for the purpose of choosing a child's sex.","Mississippi's 2019 law banning abortions at the detection of a fetal heartbeat -- as early as six weeks into pregnancy -- will remain blocked, a panel of circuit judges ruled on Thursday.",1.0,211.0,41.0,10.0,14.0,2.0,41.0,5.146341463414634,0.0,10.0,0.0,2.4390243902439024,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,55.0,9.0,6.0,3.0,0.0,9.0,0.27,0.0,10.0,0.0,2.44,0.0,4.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,19.21,2.13,1.46,0.0,0.17,-1.21,0.23,0.0,4.07,0.0,-1.1,3.73,1.37,0.0,-0.02,0.05,-0.19,-0.04,0.4,-0.02,0.0,1.37,0.0,-0.07,0.4
