,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,Some of the earliest animals on Earth stayed connected via networks of thread-like filaments that helped them to dominate the planet's oceans about half a billion years ago.,"Immobile populations of Earth's earliest animals may have been connected by long filaments in a 500 million-year-old example of a social network, scientists say.",1.0,146.0,28.0,4.0,7.0,2.0,28.0,5.214285714285714,0.0,0.0,0.0,7.142857142857142,0.0,24.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,1.0,8.0,4.0,-1.0,-1.0,0.0,4.0,-0.54,0.0,-20.0,0.0,7.14,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,-12.81,-3.85,-1.81,-3.58,-0.42,4.32,0.21,-0.01,-16.0,0.0,4.26,-2.8,-2.54,0.0,-0.06,-0.1,0.43,-0.1,0.18,-0.01,0.0,-2.54,-0.06,-0.12,0.18
1,Bears are mammals that belong to the family Ursidae.,"They knew Marley was the perfect dog. So when it came time to say goodbye to their beloved Labrador, Alicia and David Tschirhart did what they had to do to keep a part of Marley alive -- they cloned him.",1.0,44.0,9.0,2.0,4.0,2.0,9.0,4.888888888888889,0.0,50.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,-120.0,-31.0,-9.0,-6.0,-1.0,-11.0,0.79,0.0,40.91,0.0,-5.0,0.0,-23.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,-23.0,0.0,0.0,-3.0,-63.81,-13.35,-2.81,-5.08,-0.42,-5.18,0.05,-0.01,9.0,0.0,0.69,-2.8,-10.04,0.0,-0.06,-0.1,-0.07,-0.1,-0.32,-0.01,0.0,-10.04,-0.06,-0.12,-0.32
2,A stunning image showing a group of seals swimming in sync beneath an Antarctic iceberg has captured a major photography award.,"Concerns are mounting about how long the novel coronavirus may survive on surfaces -- so much so that China's central bank has taken measures to deep clean and destroy its cash, which changes hands multiple times a day, in an effort to contain the virus.",1.0,107.0,21.0,4.0,8.0,2.0,21.0,5.095238095238095,0.0,0.0,0.0,9.523809523809524,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,-103.0,-24.0,-6.0,-5.0,0.0,-24.0,0.43,0.0,-10.0,0.0,7.3,-4.44,-20.0,0.0,-2.0,0.0,0.0,0.0,-1.0,0.0,0.0,-20.0,0.0,0.0,-1.0,-59.81,-12.52,-2.47,-4.25,-0.42,-4.35,0.06,-0.01,0.67,0.0,2.67,-2.8,-9.2,0.0,-0.06,-0.1,-0.23,-0.1,-0.49,-0.01,0.0,-9.2,-0.06,-0.12,-0.49
3,Scientists have discovered the world’s largest known subterranean fish in a cave in northeastern India.,"As my wife, daughters and I hiked through the woods at one of the many state parks near our home, I explained to them how we were doing three things that were simultaneously boosting our happiness at that moment.",1.0,89.0,15.0,3.0,6.0,2.0,15.0,5.933333333333334,0.0,0.0,0.0,0.0,6.666666666666667,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,-85.0,-24.0,-3.0,-3.0,0.0,-24.0,1.47,0.0,-33.33,0.0,-2.56,6.67,-14.0,0.0,0.0,-1.0,-2.0,-3.0,-1.0,0.0,0.0,-14.0,-3.0,-3.0,-1.0,-62.31,-13.6,-2.56,-4.33,-0.42,-5.43,0.28,-0.01,-3.5,0.0,1.29,-1.13,-10.29,0.0,-0.06,-0.1,-0.32,-0.1,-0.57,-0.01,0.0,-10.29,-0.06,-0.12,-0.57
4,"Turkey's invitation to migrants to make their way into Greece has been widely seen as a provocation aimed at the European Union. For refugees who made their way to the border, it was another cruelty.",Take a moment to cherish your plants and appreciate the animals you see around you.,1.0,165.0,35.0,7.0,12.0,3.0,17.5,4.714285714285714,0.0,28.57142857142857,0.0,0.0,5.714285714285714,26.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,26.0,0.0,0.0,3.0,96.0,20.0,3.0,9.0,1.0,2.5,0.11,0.0,28.57,0.0,-13.33,5.71,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0,-48.61,-10.25,-1.81,-3.18,-0.22,-5.58,0.17,-0.01,-0.28,0.0,0.45,-0.32,-8.34,0.0,-0.06,-0.1,-0.37,-0.1,-0.02,-0.01,0.0,-8.34,-0.06,-0.12,-0.02
5,"For the first time, scientists have discovered something they didn’t think existed -- an animal that can’t breathe oxygen — and obviously doesn’t need to.","Donkey slaughter will be halted in Kenya following concerns over the rise in theft of the animals for export production and the impact on families that rely on them, according the country's Ministry of Agriculture, Livestock, Fisheries, and Cooperatives.",1.0,130.0,25.0,8.0,10.0,2.0,25.0,5.2,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,-86.0,-14.0,2.0,-7.0,0.0,-14.0,-0.34,0.0,-16.67,0.0,0.0,-5.13,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-45.31,-9.68,-1.14,-2.75,-0.25,-4.43,0.17,-0.01,-2.9,0.0,-0.1,-0.74,-7.2,0.0,-0.06,-0.1,-0.4,-0.1,-0.15,-0.01,0.0,-7.2,-0.06,-0.12,-0.15
6,"Each year, grey whales travel more than 16,000 kilometres along the Pacific Coast, from Mexico to Alaska and back. But every so often, many of them become stranded. Now a new study suggests these strandings could be linked to solar storms.","Researchers have discovered a new type of lion, the size of a domestic cat, with powerful flesh-cutting teeth, which roamed the earth around 24 million years ago.",1.0,199.0,41.0,6.0,11.0,4.0,13.666666666666666,4.853658536585366,0.0,16.666666666666664,0.0,0.0,0.0,39.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,39.0,0.0,0.0,1.0,63.0,14.0,3.0,3.0,2.0,-13.33,-0.18,0.0,16.67,0.0,-3.7,0.0,18.0,0.0,1.0,1.0,-1.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,1.0,-33.09,-6.99,-0.95,-2.3,0.01,-5.23,0.13,-0.01,-2.39,0.0,-0.5,-1.03,-4.39,0.0,0.08,0.04,-0.28,-0.1,-0.11,-0.01,0.0,-4.39,-0.06,-0.12,-0.11
7,"In this week's issue of our environment newsletter, we try a week of zero-waste grocery shopping and look at how climate change is likely to affect the farmable parts of Canada.",• Ex-CDC-chief: Study is an eyeopener on howvirus is spreading and how little we know,1.0,147.0,31.0,3.0,12.0,2.0,31.0,4.741935483870968,0.0,33.33333333333333,0.0,0.0,3.225806451612903,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,2.0,0.0,76.0,16.0,-1.0,8.0,1.0,16.0,0.01,0.0,-16.67,0.0,0.0,3.23,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,-30.43,-6.23,-1.18,-1.83,-0.04,-3.66,0.08,-0.01,0.08,0.0,-0.8,-0.85,-3.66,0.0,0.07,0.02,-0.32,0.02,-0.2,-0.01,0.0,-3.66,-0.06,0.13,-0.2
8,"News that a dog tested positive for the coronavirus in Hong Kong likely set off alarm bells this week among pet owners. While there's no indication the virus can spread to humans from dogs, some experts say there may be a need for quarantines.",An image of two mice slugging it out over scraps of food on the London Underground has won a prestigious wildlife photography award from the UK capital's Natural History Museum.,1.0,200.0,44.0,8.0,16.0,3.0,22.0,4.545454545454546,0.0,12.5,0.0,2.272727272727273,4.545454545454546,38.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,52.0,14.0,5.0,2.0,1.0,-8.0,-0.39,0.0,12.5,0.0,-7.73,4.55,12.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,12.0,0.0,0.0,-1.0,-22.47,-4.18,-0.81,-1.03,0.03,-3.44,0.02,-0.01,-0.32,0.0,-0.78,-0.56,-1.98,0.0,0.05,0.12,-0.34,0.01,-0.27,-0.01,0.0,-1.98,-0.06,0.1,-0.27
9,"How a pan-northern push for local control of hunting, fishing and whaling is challenging the Western approach to saving species at risk.","Osaka's airport has just improved its facilities -- but not for its human travelers. A world-class dog rest area, which includes shower facilities and a ""pee pole"" that cleans itself, will open at Osaka International Airport this week.",1.0,115.0,22.0,3.0,8.0,2.0,22.0,5.2272727272727275,0.0,33.33333333333333,0.0,0.0,9.090909090909092,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,-83.0,-16.0,-3.0,-5.0,-1.0,3.0,0.02,0.0,33.33,0.0,-2.63,9.09,-12.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-12.0,0.0,0.0,-2.0,-24.61,-4.75,-1.01,-1.18,-0.02,-3.27,0.04,-0.01,1.44,0.0,-0.99,0.12,-2.24,0.0,0.04,0.1,-0.37,-0.0,-0.32,-0.01,0.0,-2.24,-0.06,0.08,-0.32
