,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"The Scouts could be forced to sell off some of their vast property holdings, including campgrounds and hiking trails, to raise money for a compensation trust fund that could surpass a billion dollars.","The Boy Scouts of America has filed for bankruptcy, according to a court document filed in Delaware bankruptcy court early Tuesday.",1.0,168.0,33.0,9.0,10.0,2.0,33.0,5.090909090909091,0.0,11.11111111111111,0.0,6.0606060606060606,0.0,27.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,1.0,57.0,12.0,5.0,0.0,0.0,12.0,-0.19,0.0,11.11,0.0,6.06,0.0,10.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,1.0,24.26,4.7,4.39,-1.09,-0.09,10.64,-0.01,0.0,4.73,0.0,4.49,-1.5,2.17,0.0,-0.04,0.87,0.17,-0.04,0.65,-0.04,0.0,2.17,0.0,-0.04,0.65
1,There was a time when the fates of Quebec's aerospace industry and Bombardier were intimately linked. But the Bombardier-Airbus deal suggests that may no longer be the case. The aerospace industry may finally have to fly on its own.,"Voting is taking place in 14 Super Tuesday states on the most crucial day yet in the 2020 election, a day that will go a long way toward showing whether surging former Vice President Joe Biden can slow the march of liberal front-runner Sen. Bernie Sanders to …",1.0,194.0,39.0,9.0,11.0,4.0,13.0,4.9743589743589745,0.0,33.33333333333333,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0,1.0,-19.0,-9.0,-1.0,-5.0,2.0,-11.0,0.54,0.0,23.33,0.0,0.0,-2.08,-9.0,0.0,0.0,-1.0,-2.0,0.0,1.0,0.0,0.0,-9.0,0.0,0.0,1.0,37.26,7.7,4.39,-0.59,0.91,0.64,-0.07,0.0,15.84,0.0,1.46,-1.5,3.67,0.0,-0.04,0.37,-0.33,-0.04,0.65,-0.04,0.0,3.67,0.0,-0.04,0.65
2,Quebec's La Presse and Britain's Independent have proved that the most important thing about a paper is not paper. Could printless broadsheets may be the next media trend?,"Pier 1, the troubled home furnishings retailer that has closed hundreds of stores in recent years, filed for bankruptcy Monday.",1.0,144.0,28.0,5.0,12.0,2.0,14.0,5.142857142857143,1.0,40.0,0.0,3.571428571428571,0.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,36.0,8.0,2.0,3.0,0.0,-6.0,-0.26,1.0,40.0,0.0,3.57,-5.0,6.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,24.93,5.03,3.06,-0.09,0.58,-2.36,-0.03,0.33,21.77,0.0,1.64,-1.5,2.84,0.0,-0.04,0.54,-0.49,-0.04,0.32,-0.04,0.0,2.84,0.0,-0.04,0.32
3,"Intimate partner violence makes up nearly one-third of all police-reported violent crime in this country, and many victims say that the legal system is complicating efforts to change this.","In another sign of the growing financial crisis in print journalism, McClatchy, the owner or 30 US newspapers, has filed for bankruptcy protection.",1.0,160.0,29.0,5.0,10.0,2.0,29.0,5.517241379310345,0.0,20.0,0.0,0.0,6.896551724137931,29.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,35.0,6.0,2.0,1.0,0.0,6.0,0.08,0.0,20.0,0.0,-4.35,2.55,8.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,22.76,3.95,2.39,-0.34,0.41,-0.11,0.08,0.25,19.73,0.0,0.83,0.22,3.17,0.0,-0.04,0.87,-0.58,-0.04,0.15,-0.04,0.0,3.17,0.0,-0.04,0.15
4,"Ireland faced political turmoil Sunday as an exit poll from the weekend's parliamentary election suggested that Sinn Fein, a left-wing party committed to reunification of the island, finished in a virtual dead heat with the two parties that have governed sinc…","The National Museum of American Jewish History in Philadelphia has filed for Chapter 11 bankruptcy protection, according to court documents.",1.0,220.0,41.0,6.0,15.0,1.0,41.0,5.365853658536586,0.0,0.0,0.0,0.0,4.878048780487805,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,99.0,21.0,3.0,5.0,-1.0,21.0,-0.68,0.0,0.0,0.0,-5.0,4.88,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,33.46,5.7,2.19,0.51,0.11,3.64,0.11,0.2,14.51,0.0,0.35,0.85,4.37,0.0,-0.04,0.67,-0.43,-0.04,0.05,-0.04,0.0,4.37,0.0,-0.04,0.05
5,"Debt among older Americans has increased dramatically since 1999, due partly to the erosion of the country's social safety net.","In a span of days, two once-promising grocery chains with a flair for natural and organic filed for bankruptcy.",1.0,108.0,20.0,2.0,6.0,2.0,20.0,5.4,0.0,0.0,0.0,0.0,5.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,15.0,1.0,1.0,0.0,0.0,1.0,0.51,0.0,0.0,0.0,0.0,-0.26,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,21.93,3.36,1.39,-0.42,0.08,2.64,0.14,0.17,11.03,0.0,0.03,1.29,2.51,0.0,-0.04,0.54,-0.33,-0.04,-0.01,-0.04,0.0,2.51,0.0,-0.04,-0.01
6,U.S. stock index futures are pointing to a sharply lower open on Friday morning after the number of new coronavirus cases escalated.,"The Catholic Diocese of Buffalo, amid a sexual abuse scandal, has filed for Chapter 11 federal bankruptcy protection, it said in a statement Friday.",1.0,111.0,22.0,3.0,9.0,4.0,7.666666666666667,5.045454545454546,0.0,33.33333333333333,0.0,0.0,4.545454545454546,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,-14.0,-2.0,0.0,-1.0,2.0,-16.33,-0.16,0.0,33.33,0.0,-4.17,-3.79,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,14.12,1.98,0.96,-0.66,0.34,0.16,0.12,0.14,13.3,0.0,-0.2,1.54,1.75,0.0,-0.04,0.44,-0.4,-0.04,-0.06,-0.04,0.0,1.75,0.0,-0.04,-0.06
7,"U.S. stock futures pointed lower this morning following the long holiday weekend, after Apple (AAPL) revised its revenue forecast due to the fast-spreading coronavirus.",The Boy Scouts of America's bankruptcy filing Tuesday puts it into similar company as almost two dozen US Catholic dioceses and USA Gymnastics.,1.0,145.0,24.0,3.0,11.0,4.0,8.333333333333334,6.041666666666667,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,0.0,1.0,24.0,1.0,1.0,-1.0,2.0,-14.67,0.78,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,12.51,1.2,0.64,-0.59,0.54,-1.61,0.22,0.12,10.84,0.0,-0.37,1.16,1.17,0.0,-0.04,0.37,-0.45,-0.04,0.03,-0.04,0.0,1.17,0.0,-0.04,0.03
8,"The Dow's indicated decline would wipe out over half of Wednesday's more than 1,100-point or 4.5% rally.","Anthony Levandowski, a former Uber exec who oversaw its self-driving efforts, filed for bankruptcy protection Wednesday after being ordered to pay $179 million to Google over violating a contract.",1.0,88.0,17.0,2.0,6.0,3.0,9.0,5.176470588235294,0.0,0.0,0.0,0.0,5.88235294117647,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,-80.0,-12.0,-4.0,-4.0,1.0,-20.0,-0.62,0.0,0.0,0.0,-3.45,5.88,-8.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-8.0,0.0,0.0,-1.0,4.93,-0.19,0.28,-1.09,0.58,-2.92,0.2,0.11,8.93,0.0,-0.5,1.52,0.17,0.0,-0.04,0.31,-0.27,-0.04,-0.01,-0.04,0.0,0.17,0.0,-0.04,-0.01
9,Check out the companies making headlines in midday trading on Thursday.,"Dairy Farmers of America, a major farmer-owned cooperative, has put in a bid for a ""substantial"" part of Dean Foods' business. Dean, the country's largest milk processor, filed for bankruptcy in November.",1.0,61.0,11.0,2.0,5.0,2.0,11.0,5.545454545454546,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,-112.0,-21.0,-1.0,-10.0,-1.0,-5.0,0.14,0.0,0.0,0.0,-3.12,0.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,-3.84,-1.9,-0.01,-1.59,0.51,-3.76,0.23,0.1,7.4,0.0,-0.61,1.22,-1.23,0.0,-0.04,0.27,-0.33,-0.04,-0.05,-0.04,0.0,-1.23,0.0,-0.04,-0.05
