,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Former Blue Jays star shortstop Tony Fernandez, who won a World Series with Toronto in 1993 and four consecutive Gold Glove in the 1980s, has died at age 57 from a stroke and complications from a kidney disease.",Los Angeles Angels superstar Mike Trout has joined the list of Major League Baseball players criticizing the league for how it handled the Houston Astros cheating scandal.,1.0,174.0,38.0,3.0,17.0,2.0,38.0,4.578947368421052,0.0,0.0,0.0,2.631578947368421,2.631578947368421,29.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.0,11.0,-2.0,2.0,0.0,11.0,-0.79,0.0,0.0,0.0,2.63,-8.48,5.0,0.0,0.0,0.0,4.0,0.0,-1.0,0.0,0.0,5.0,0.0,0.0,-1.0,29.35,9.16,-1.94,5.19,-0.13,14.34,-0.43,-0.03,-12.4,0.0,0.08,-0.71,4.32,-0.35,-0.03,-0.16,3.32,-0.06,-0.97,-0.03,0.0,4.32,-0.06,-0.03,-0.97
1,"Amid fears about where the next outbreak of a fast-spreading new virus would appear, infections and deaths continued to rise across the globe Sunday, emptying streets of tourists and workers, shaking economies and rewriting the realities of daily life.","Major League Baseball is considering expanding the number of playoff teams and a live playoff selection TV show where teams select opponents on the last day of the regular season, according to the New York Post.",1.0,214.0,39.0,7.0,14.0,2.0,39.0,5.487179487179487,0.0,0.0,0.0,0.0,10.256410256410255,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,38.0,3.0,2.0,-3.0,0.0,3.0,0.6,0.0,-20.0,0.0,0.0,10.26,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,49.35,9.66,0.06,3.69,-0.13,14.84,0.02,-0.03,-12.4,0.0,-1.24,3.1,4.82,-0.35,-0.03,-0.16,1.32,-0.06,-0.97,-0.03,0.0,4.82,-0.06,-0.03,-0.97
2,"A man accused of fatally stabbing two people who prosecutors say tried to stop his racist tirade against two young black women on a Portland, Ore., commuter train was convicted of murder Friday.","Los Angeles Lakers superstar LeBron James has joined the chorus of athletes speaking out against baseball commissioner Rob Manfred's handling of the Houston Astros' sign-stealing scandal, imploring him to ""fix this.""",1.0,162.0,33.0,7.0,12.0,3.0,17.0,4.909090909090909,0.0,14.285714285714285,0.0,0.0,9.090909090909092,29.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,29.0,0.0,0.0,1.0,-24.0,2.0,1.0,-4.0,1.0,1.0,-1.09,0.0,14.29,0.0,0.0,5.87,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,38.69,7.83,0.73,2.53,0.2,7.67,-0.02,-0.03,-7.63,0.0,-1.68,3.98,4.66,-0.35,-0.03,-0.16,1.32,-0.06,-0.63,-0.03,0.0,4.66,-0.06,-0.03,-0.63
3,"Asia reported hundreds of new coronavirus cases on Wednesday, including the first U.S. soldier to be infected, as outbreaks in Italy and Iran spread to more countries.","As discussions continue about whether sign stealing should result in a ban from baseball, we thought it would be good to brief you on some of the game's unwritten rules, codes and red lines. Here are some of the things you won't find in the official rulebook …",1.0,141.0,27.0,5.0,11.0,4.0,9.333333333333334,5.222222222222222,0.0,20.0,0.0,0.0,3.7037037037037033,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,-72.0,-21.0,-6.0,0.0,2.0,-14.67,0.78,0.0,1.82,0.0,-2.08,1.62,-12.0,0.0,0.0,-2.0,0.0,-1.0,-3.0,0.0,0.0,-12.0,0.0,-1.0,-3.0,28.1,5.41,0.56,1.69,0.62,2.17,0.04,-0.03,-3.83,0.0,-1.9,3.08,3.57,-0.35,-0.03,-0.16,0.82,-0.06,-0.72,-0.03,0.0,3.57,-0.06,-0.03,-0.72
4,"The sudden rise in cases of novel coronavirus in Italy, Iran and South Korea is ""deeply concerning,"" but the virus can still be contained and does not amount to a pandemic, the World Health Organization (WHO) chief says.",The Houston Astros are cheaters. That is the conclusion of an investigation by Major League Baseball: Its players had concocted a scheme to tip off its hitters in real time as to precisely which pitches they would be receiving from the opposing pitchers.,1.0,183.0,38.0,8.0,14.0,2.0,38.0,4.815789473684211,0.0,25.0,0.0,0.0,2.631578947368421,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,-29.0,-5.0,-2.0,1.0,-1.0,16.5,-0.11,0.0,-5.0,0.0,-2.33,2.63,-7.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-7.0,0.0,0.0,-1.0,30.15,6.16,1.06,1.79,0.47,4.61,-0.01,-0.03,-0.54,0.0,-2.03,2.32,4.32,-0.35,-0.03,-0.16,0.52,-0.06,-0.77,-0.03,0.0,4.32,-0.06,-0.03,-0.77
5,"""[F]oundations like ours have the freedom to test out ideas that might not otherwise get tried, some of which may lead to breakthroughs,"" Bill and Melinda Gates wrote in their namesake foundation's annual letter for 2020. ""As always, Warren Buffett—a dear fri…",Take a look at 27 amazing sports photos from February 9 through February 16.,1.0,219.0,42.0,10.0,16.0,2.0,21.0,5.214285714285714,0.0,0.0,0.0,9.523809523809524,0.0,40.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,40.0,0.0,1.0,1.0,156.0,28.0,9.0,11.0,0.0,7.0,0.71,0.0,0.0,0.0,2.38,0.0,28.0,0.0,0.0,1.0,-2.0,0.0,1.0,0.0,0.0,28.0,0.0,1.0,1.0,37.52,7.33,1.73,2.19,0.37,3.39,0.03,-0.03,-2.52,0.0,-0.53,1.38,6.16,-0.35,-0.03,0.01,0.49,-0.06,-0.63,-0.03,0.0,6.16,-0.06,0.13,-0.63
7,Sparta Science's partnership with the NFL helps the league collect data on players at the Scouting Combine which can be used to predict and prevent future injuries.,"Pete Rose, major league baseball's all-time hits leader, should be in the National Baseball Hall of Fame, President Donald Trump tweeted Saturday.",1.0,138.0,27.0,6.0,11.0,2.0,27.0,5.111111111111111,0.0,16.666666666666664,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,13.0,5.0,3.0,-3.0,0.0,5.0,-0.57,0.0,-16.67,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,37.06,7.14,2.18,2.42,0.26,2.21,0.03,-0.03,-4.48,0.0,0.47,-0.31,6.66,-0.31,-0.03,0.11,0.28,-0.06,-0.47,-0.03,0.0,6.66,-0.06,0.22,-0.47
8,"The number of new coronavirus infections inside China — the source of the outbreak — was for the first time overtaken by fresh cases elsewhere on Wednesday, with Italy and Iran emerging as new epicentres of the rapidly spreading illness.","A memorial service honoring baseball coach John Altobelli, his wife, Keri, and their daughter Alyssa will be held Monday at Angel Stadium in Anaheim, California, two weeks after they died in a helicopter crash that also killed Kobe Bryant, his daughter Gianna…",1.0,198.0,40.0,4.0,13.0,2.0,40.0,4.95,0.0,25.0,0.0,5.0,7.5,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,-21.0,-2.0,-2.0,-8.0,1.0,-2.0,-0.26,0.0,8.33,0.0,2.62,0.36,-7.0,0.0,0.0,0.0,-1.0,0.0,-3.0,0.0,0.0,-7.0,0.0,0.0,-3.0,38.87,7.59,1.84,2.28,0.22,3.78,0.02,-0.03,-2.58,0.0,0.69,0.18,6.4,-0.32,-0.03,0.08,0.18,-0.06,-0.53,-0.03,0.0,6.4,-0.06,0.19,-0.53
9,A former Metro Vancouver youth hockey and baseball coach has been handed a suspended sentence after he was convicted of voyeurism in B.C. Supreme Court in New Westminster.,"President Donald Trump is expected to attend the Daytona 500 on Sunday, adding to his growing list of appearances at professional sports events over the last few months.",1.0,144.0,28.0,5.0,13.0,4.0,9.666666666666666,5.142857142857143,0.0,40.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,2.0,-18.33,0.07,0.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,34.92,6.75,1.66,2.17,0.38,2.0,0.03,-0.03,0.44,0.0,0.37,-0.17,5.89,-0.32,-0.03,0.05,0.09,-0.06,-0.47,-0.03,0.0,5.89,-0.06,0.17,-0.47
10,Peel Regional Police are asking for the public's help identifying a man who yelled racist comments and threats in three separate incidents in January.,Take a look at 26 amazing sports photos from February 23 through March 1.,1.0,127.0,24.0,4.0,11.0,2.0,24.0,5.291666666666667,0.0,25.0,0.0,0.0,8.333333333333332,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,67.0,10.0,3.0,6.0,0.0,10.0,1.01,0.0,25.0,0.0,-7.14,8.33,8.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,30.14,5.69,1.42,1.9,0.34,1.85,0.06,-0.03,1.54,0.0,0.1,0.3,5.11,-0.32,-0.03,0.04,0.11,-0.06,-0.52,-0.03,0.0,5.11,-0.06,0.15,-0.52
