,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Former New York Mayor Mike Bloomberg has qualified for this week's Democratic presidential debate in Nevada, putting him on the same stage as his rivals for the first ti,e in the race for the party's nomination.",Michael Bloomberg has spent more than $350 million of his own money on advertising in support of his 2020 presidential campaign. But President Donald Trump's now near-constant attacks on the former New York City mayor have given Bloomberg something no amount …,1.0,176.0,36.0,3.0,15.0,2.0,36.0,4.888888888888889,0.0,0.0,0.0,2.7777777777777777,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,27.0,0.0,0.0,2.0,-43.0,-6.0,-1.0,-3.0,0.0,15.0,-0.33,0.0,0.0,0.0,0.4,-2.38,-7.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,-3.4,1.24,-2.48,2.76,-0.1,9.35,-0.34,-0.1,-15.08,0.0,0.26,-1.99,-1.9,0.0,-0.02,-0.31,-0.64,-0.05,0.88,0.0,0.0,-1.9,0.0,-0.05,0.88
1,Former U.S. vice-president Joe Biden has won South Carolina's Democratic primary.,"Michael Bloomberg would sell his financial information and media company if he's elected president in an effort to be ""180 degrees away from where Donald Trump is on these issues,"" an adviser to his campaign said Tuesday.",1.0,71.0,11.0,2.0,7.0,4.0,4.0,6.454545454545454,0.0,0.0,0.0,9.090909090909092,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,-114.0,-26.0,-5.0,-7.0,2.0,-33.0,1.45,0.0,-28.57,0.0,9.09,-2.7,-20.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.0,0.0,-20.0,0.0,0.0,-2.0,-55.9,-11.26,-2.98,-1.24,0.9,-6.65,0.45,-0.1,-15.08,0.0,3.41,-1.99,-9.9,0.0,-0.02,-0.31,-0.64,-0.05,-0.12,0.0,0.0,-9.9,0.0,-0.05,-0.12
2,"Mike Bloomberg could be pouring up to half a billion dollars of his own money into his bid to win the Democratic Party nomination, but the former mayor of New York City faces a critical test on Super Tuesday in his run for the U.S. presidency.","Joe Biden is flying to South Carolina on Tuesday night, bailing at the last minute on his planned New Hampshire primary-night party ahead of another expected loss.",1.0,198.0,46.0,5.0,18.0,4.0,15.666666666666666,4.304347826086956,0.0,20.0,0.0,2.1739130434782608,2.1739130434782608,34.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,34.0,0.0,0.0,3.0,61.0,19.0,2.0,7.0,2.0,-11.33,-0.77,0.0,-13.33,0.0,2.17,-1.53,9.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,2.0,-31.07,-3.76,-2.14,1.1,1.24,-8.1,-0.01,-0.1,-8.42,0.0,2.16,-1.26,-4.9,0.0,-0.02,-0.31,-0.31,-0.05,0.55,0.0,0.0,-4.9,0.0,-0.05,0.55
3,"Clive Cussler, the million-selling adventure writer and real-life thrill seeker who wove personal details and spectacular fantasies into his page-turning novels about underwater explorer Dirk Pitt, has died.","""Thank God it's over,"" writes Nevadan Edwin Lyngar, who helped count votes in his precinct -- and was delighted to see it go unashamedly progressive. ""I think we are such a strong representation of America as a whole,"" he writes of his state.",1.0,180.0,28.0,3.0,12.0,2.0,28.0,6.428571428571429,0.0,0.0,0.0,7.142857142857142,3.571428571428571,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,1.0,-20.0,-15.0,-8.0,1.0,-1.0,6.5,1.78,0.0,-18.18,0.0,-2.16,3.57,-9.0,0.0,0.0,0.0,0.0,-1.0,-3.0,0.0,0.0,-9.0,0.0,-1.0,-3.0,-23.15,-4.51,-2.23,0.76,0.9,-5.74,0.29,-0.1,-10.08,0.0,2.78,-0.55,-4.4,0.0,-0.02,-0.31,-0.39,-0.05,0.38,0.0,0.0,-4.4,0.0,-0.05,0.38
4,Groups linked to oil and gas companies have been spending big on Facebook ads denouncing the First Nations-led protests that have targetted rail transport in Canada in the past month.,"How bad will it get? That was the question this week, but it applied to several things: the spread of COVID-19 coronavirus around the world, the resulting stock market plunge and the concern about whether America's political leaders are up to the challenge.",1.0,154.0,30.0,7.0,10.0,2.0,30.0,5.133333333333334,0.0,14.285714285714285,0.0,0.0,6.666666666666667,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,-61.0,-13.0,1.0,-4.0,0.0,8.5,0.13,-1.0,-19.05,0.0,0.0,2.02,-9.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-9.0,0.0,0.0,-2.0,-23.6,-4.56,-1.48,0.16,0.7,-3.92,0.22,-0.1,-8.23,0.0,1.72,0.5,-4.5,0.0,-0.02,-0.31,-0.44,-0.05,0.08,0.0,0.0,-4.5,0.0,-0.05,0.08
5,"From Olympia, Wash., to Boston, free public transportation is picking up speed.","Former President Barack Obama is intentionally staying on the sidelines of the Democratic primary fight, though you may not know it from all of those campaign ads in which he is playing a starring role.",1.0,68.0,12.0,2.0,5.0,3.0,6.5,5.666666666666667,0.0,50.0,0.0,8.333333333333332,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,-100.0,-23.0,-4.0,-4.0,1.0,-28.5,0.87,0.0,16.67,0.0,8.33,0.0,-17.0,0.0,0.0,-1.0,0.0,0.0,-3.0,0.0,0.0,-17.0,0.0,0.0,-3.0,-38.24,-7.6,-1.81,-1.07,0.74,-6.62,0.25,-0.1,-1.04,0.0,2.4,0.08,-6.57,0.0,-0.02,-0.31,-0.48,-0.05,-0.12,0.0,0.0,-6.57,0.0,-0.05,-0.12
6,"Nevada Democrats will host hundreds of caucuses on Saturday, the third contest in the state-by-state U.S. presidential nominating process, and nomination candidate Bernie Sanders will face a major test of his front-runner status.","A few months ago, South Carolina political activist Johnnie Cordero took the stage at a historically black college in Rock Hill for a presidential town hall and delivered impassioned remarks about a subject that long has troubled him: the killing of young bla…",1.0,197.0,33.0,4.0,16.0,4.0,11.333333333333334,5.96969696969697,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,1.0,-21.0,-10.0,0.0,0.0,3.0,-31.67,0.9,0.0,0.0,0.0,-2.33,-4.65,-11.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-11.0,0.0,0.0,1.0,-30.26,-6.76,-1.76,-0.38,0.9,-7.87,0.32,-0.1,-3.04,0.0,1.7,-0.21,-5.9,0.0,-0.02,-0.31,-0.5,-0.05,-0.12,0.0,0.0,-5.9,0.0,-0.05,-0.12
7,Surrey Coun. Allison Patton has been fined $500 and barred from practising as a naturopath for three days after admitting she falsely campaigned as a “community physician.”,"Mike Bloomberg's rivals savaged his claim to be the best candidate to defeat Donald Trump in November by branding him as a misogynistic, Obamacare-hating, soft-on-Wall-Street bully -- basically the rough equivalent of that other New York billionaire.",1.0,146.0,27.0,7.0,10.0,3.0,9.333333333333334,5.407407407407407,0.0,14.285714285714285,0.0,0.0,3.7037037037037033,23.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,1.0,-68.0,-10.0,3.0,-2.0,1.0,-27.67,-0.38,0.0,-10.71,0.0,-5.41,-4.4,-10.0,0.0,0.0,0.0,2.0,0.0,-1.0,0.0,0.0,-10.0,0.0,0.0,-1.0,-30.65,-6.89,-1.35,-0.61,0.9,-9.05,0.31,-0.1,-2.76,0.0,1.17,0.03,-5.9,0.0,-0.02,-0.31,-0.27,-0.05,-0.12,0.0,0.0,-5.9,0.0,-0.05,-0.12
8,Campaign workers for Bloomberg's rivals Sens. Bernie Sanders and Elizabeth Warren and former Vice President Joe Biden have unionized.,"The warning signs around Mike Bloomberg's campaign started flashing in early February. And by Tuesday night, it was clear that all the money in the former New York mayor's bank account couldn't save his sinking campaign.",1.0,115.0,19.0,2.0,13.0,3.0,9.5,6.052631578947368,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,-70.0,-17.0,-4.0,-2.0,0.0,-8.5,0.91,0.0,-16.67,0.0,-2.78,-5.56,-15.0,0.0,0.0,-1.0,0.0,0.0,-2.0,0.0,0.0,-15.0,0.0,0.0,-2.0,-34.4,-7.87,-1.59,-0.46,0.9,-9.95,0.36,-0.1,-4.13,0.0,0.76,-0.2,-6.57,0.0,-0.02,-0.31,-0.31,-0.05,-0.23,0.0,0.0,-6.57,0.0,-0.05,-0.23
9,"E-cigarette maker Juul Labs bought online ads on teen-focused websites after it launched its product in 2015, according to a lawsuit filed by the Massachusetts attorney general's office.",Joe Biden is moving closer to consolidating the support of moderate Democratic voters and donors after a resounding victory in South Carolina and Pete Buttigieg's departure from the party's presidential race.,1.0,159.0,28.0,4.0,12.0,2.0,28.0,5.678571428571429,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,28.0,0.0,0.0,2.0,-19.0,-3.0,1.0,-1.0,0.0,-3.0,-0.06,0.0,-33.33,0.0,-9.68,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,-33.0,-7.76,-1.58,-0.44,0.8,-8.82,0.37,-0.1,-5.23,0.0,0.43,-0.37,-6.0,0.0,-0.02,-0.31,-0.24,-0.05,-0.12,0.0,0.0,-6.0,0.0,-0.05,-0.12
