,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"COVID-19: Here's what's happening around the world Tuesday CBC.ca While other countries battle mushrooming coronavirus outbreaks, China claims victory is 'not far' The Globe and Mail Coronavirus: China orders travellers quarantined amid outbreak BBC News LILL…","Singapore has more reported cases of the novel coronavirus than any country outside of China, including two new cases from Westerdam passengers. CNN's Cyril Vanier speaks with Lawrence Wong, the co-chair of the multi-ministry task force on the coronavirus for…",1.0,225,36,7,19,2,18.5,6.25,0,14.285714285714285,0.0,2.7777777777777777,2.7777777777777777,34,0,0,0,1,0,0,0,0,34,0,0,0,4.0,-4.0,4.0,-1.0,0.0,-1.5,0.72,0.0,14.29,0.0,2.78,2.78,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,54.82,3.35,2.06,6.54,-0.23,-6.77,1.06,-0.03,-4.69,0.0,1.46,-1.36,6.68,0.0,-0.03,-0.06,0.38,-0.02,-0.41,-0.03,0.0,6.68,0.0,-0.03,-0.41
1,"China's president visits health centre as coronavirus death toll rises CBC.ca Coronavirus: Senior Chinese officials 'removed' as death toll hits 1,000 BBC News Coronavirus outbreak: City of Wuhan recorded by American teacher | USA TODAY USA TODAY The coronavi…","Defense Secretary Mark Esper called on the international community to ""wake up to the challenges presented by China,"" telling an audience of world leaders and top policymakers on Saturday that America's concerns about China should also be Europe's concerns.",1.0,222,39,5,25,2,20.0,5.6923076923076925,0,0.0,0.0,0.0,12.82051282051282,29,0,0,0,1,0,0,0,0,29,0,0,0,3.0,0.0,-1.0,8.0,0.0,-19.0,0.08,0.0,-16.67,0.0,-2.56,7.69,-4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,53.32,4.85,1.06,9.54,-0.23,-6.02,0.78,-0.03,-11.84,0.0,0.07,3.66,4.18,0.0,-0.03,-0.06,0.38,-0.02,-0.41,-0.03,0.0,4.18,0.0,-0.03,-0.41
2,Island couple aboard Diamond Princess hoping to return to Canada Friday CBC.ca Coronavirus fear in Cornwall as cruise passengers head there Montreal Gazette Coronavirus outbreak: Canadian officials provide update on Diamond Princess cruise ship passengers Glo…,"Concerns are growing over the global spread of the novel coronavirus after a spike in cases outside of mainland China among people with no connection to China or the city of Wuhan, ground zero for the outbreak.",1.0,225,36,4,23,2,18.5,6.25,0,0.0,0.0,0.0,5.555555555555555,24,0,0,0,0,0,0,0,0,24,0,0,0,51.0,-1.0,2.0,8.0,0.0,-18.5,1.55,0.0,-50.0,0.0,0.0,2.85,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,53.82,4.35,0.4,9.88,-0.23,-6.27,0.87,-0.03,-14.22,0.0,-0.39,2.92,1.68,0.0,-0.03,-0.06,0.05,-0.02,-0.41,-0.03,0.0,1.68,0.0,-0.03,-0.41
3,An extremely rare 1885 Trade Dollar is expected to sell for up to $2 million when it is auctioned next month.,"The novel coronavirus continues to spread worldwide, with new cluster outbreaks in South Korea, Europe, and the Middle East. Follow here for the latest.",1.0,89,21,5,3,2,21.0,4.238095238095238,0,40.0,0.0,0.0,0.0,17,0,0,0,3,0,1,0,0,17,0,0,1,-40.0,-3.0,3.0,-7.0,-1.0,9.0,-1.14,0.0,40.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,-5.0,0.0,0.0,1.0,20.07,0.35,0.31,5.04,-0.23,-5.77,0.41,-0.03,-5.41,0.0,-0.62,1.15,-1.32,0.0,-0.03,-0.06,0.63,-0.02,-0.16,-0.03,0.0,-1.32,0.0,-0.03,-0.16
4,"Almost half of the world's sandy beaches could be gone by 2100 if climate change continues as is, according to a new study published on Monday.","At least 2,120 people are now dead from the novel coronavirus, with all but eight of those deaths in mainland China.",1.0,118,26,7,6,2,26.0,4.538461538461538,0,14.285714285714285,0.0,0.0,0.0,26,0,0,0,1,0,0,0,0,26,0,0,0,22.0,5.0,6.0,2.0,0.0,5.0,-0.03,0.0,-85.71,0.0,0.0,-4.76,5.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.62,-1.05,0.66,2.74,-0.23,-4.47,0.2,-0.03,-5.27,0.0,-0.76,0.09,-1.32,0.0,-0.03,-0.06,0.58,-0.02,-0.21,-0.03,0.0,-1.32,0.0,-0.03,-0.21
5,Bears are mammals that belong to the family Ursidae.,Dr. Anthony Fauci warns that person-to-person Coronavirus transmission outside of China without definitive origin has 'the makings of a  pandemic.',1.0,44,9,2,4,2,9.0,4.888888888888889,0,50.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,9,0,0,0,-83.0,-11.0,-1.0,-4.0,-1.0,2.0,-1.46,0.0,50.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-10.0,0.0,0.0,0.0,-16.35,-4.82,0.06,0.88,-0.23,-6.44,0.12,-0.03,0.78,0.0,-0.85,-0.61,-4.15,0.0,-0.03,-0.06,0.38,-0.02,-0.25,-0.03,0.0,-4.15,0.0,-0.03,-0.25
6,"China reported a dramatic drop in new cases in the province at the heart of the coronavirus outbreak. Meanwhile, efforts are underway to bring home Canadians previously quarantined aboard a cruise ship in Japan.","Parents in McDonough, Georgia, were set to travel to China to meet their adopted daughter. Now, the adoption process is put on hold due to the coronavirus outbreak.",1.0,178,34,4,13,3,17.0,5.235294117647059,0,25.0,0.0,0.0,2.941176470588235,26,0,0,0,0,0,0,0,0,26,0,0,0,41.0,6.0,-3.0,3.0,0.0,3.0,0.34,0.0,-3.57,0.0,0.0,-0.63,4.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,4.0,0.0,0.0,-1.0,-12.9,-3.93,-0.08,0.83,-0.09,-6.7,0.11,-0.03,1.53,0.0,-0.92,-0.69,-3.75,0.0,-0.03,-0.06,0.24,-0.02,-0.27,-0.03,0.0,-3.75,0.0,-0.03,-0.27
7,"A hotel used for medical observation of people who had contact with coronavirus patients collapsed in southeastern China on Saturday, trapping some 70 people, state media reported. There were no immediate reports of deaths.","Multiple outbreaks of the novel coronavirus outside of mainland China have continued to worsen, as experts warn we may be approaching pandemic levels.",1.0,190,34,6,13,3,17.0,5.588235294117647,0,16.666666666666664,0.0,0.0,0.0,32,0,0,1,1,0,0,0,0,32,0,0,0,62.0,11.0,0.0,6.0,1.0,-6.0,0.02,0.0,0.0,0.0,0.0,-4.35,11.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,11.0,0.0,-1.0,0.0,-8.81,-3.27,0.06,0.79,0.02,-6.9,0.14,-0.03,1.05,0.0,-0.97,-1.12,-2.69,0.0,-0.03,0.06,0.26,-0.02,-0.29,-0.03,0.0,-2.69,0.0,-0.03,-0.29
8,"A jump in the number of new cases of coronavirus in China reflects a ""broader definition"" of a case of infection, a World Health Organization official says. Across mainland China, there were 15,152 new confirmed infections on Wednesday, bringing the total num…","China has spent decades nurturing its tech sector. Now, faced with a massive public health crisis, Beijing is pushing its tech companies to join the fight against the novel coronavirus.",1.0,219,42,5,16,2,21.0,5.214285714285714,0,20.0,0.0,0.0,4.761904761904762,29,0,0,0,1,0,0,0,0,29,0,0,0,63.0,12.0,-2.0,5.0,-1.0,6.0,0.01,0.0,5.71,0.0,-3.33,1.43,5.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,5.0,0.0,0.0,-2.0,-2.4,-1.87,0.06,1.1,-0.01,-6.6,0.13,-0.03,1.05,0.0,-1.01,-0.93,-2.21,0.0,-0.03,0.05,0.27,-0.02,-0.3,-0.03,0.0,-2.21,0.0,-0.03,-0.3
9,"Fears of a potential coronavirus pandemic grew on Monday after sharp rises in new cases reported in Iran, Italy and South Korea, but China relaxed restrictions on movements in several places including Beijing as its rates of new infections eased.",The Transportation Security Administration has banned employee use of TikTok for the agency's social media engagement as the US questions whether the China-owned app poses a threat to national security.,1.0,207,40,5,16,2,40.0,5.175,0,0.0,0.0,7.5,2.5,31,0,0,0,0,0,1,0,0,31,0,0,1,34.0,10.0,2.0,2.0,0.0,10.0,-0.59,0.0,0.0,0.0,7.5,-0.83,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,1.52,-0.95,0.06,1.34,-0.03,-4.47,0.11,-0.03,-0.96,0.0,-0.29,-1.0,-1.62,0.0,-0.03,0.04,0.18,-0.02,-0.21,-0.03,0.0,-1.62,0.0,-0.03,-0.21
