,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Hundreds of U.S. law enforcement agencies have partnered with Amazon's Ring doorbell camera company, despite persistent questions about privacy and data management. Windsor, Ont.'s mayor wants his city to join, too.","Civil rights icon Rep. John Lewis (D-GA) speaks with CNN after participating in a ""Bloody Sunday"" commemorative march in Selma, Alabama.",1.0,185,31,4,18,6,6.6,5.967741935483871,0,0.0,0.0,0.0,0.0,31,0,0,0,0,0,1,0,0,31,0,0,1,69.0,10.0,2.0,6.0,3.0,-3.9,0.44,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,9.62,-2.57,-1.31,5.35,3.74,-18.81,0.7,-0.03,-9.16,0.0,-1.91,-2.72,2.78,-0.03,-0.03,-0.15,-0.41,0.0,0.09,-0.03,0.0,2.78,0.0,0.0,0.09
1,The top official with U.S. Customs and Border Protection has admitted border officers wrongly held and interrogated Iranian-born travellers — many of them Canadian and American citizens — at the Canada-U.S. border after military tensions with Iran escalated l…,"When President Lyndon Johnson signed the Civil Rights Act of 1964 into law, it was a historic moment -- but also one that he worried would impact the election. For more, watch CNN Original Series ""Race for the White House"" Sundays at 9 p.m. ET/PT.",1.0,222,39,6,14,5,8.2,5.6923076923076925,0,0.0,0.0,2.564102564102564,2.564102564102564,30,0,0,1,0,0,1,0,0,30,0,0,1,19.0,-6.0,0.0,-5.0,0.0,-3.3,1.18,0.0,-16.67,0.0,2.56,0.34,-12.0,0.0,0.0,1.0,-2.0,0.0,-1.0,0.0,0.0,-12.0,0.0,0.0,-1.0,28.12,1.43,-0.31,3.35,3.24,-18.01,0.56,-0.03,-9.16,0.0,-0.62,-1.43,2.28,-0.03,-0.03,0.35,-0.41,0.0,0.09,-0.03,0.0,2.28,0.0,0.0,0.09
2,RCMP have begun their enforcement of a B.C. Supreme Court injunction in the traditional territory of the Wet'suwet'en Nation at the fourth site along a forest service road that Coastal Gaslink and its contractors have been prevented from accessing for weeks.,"The son of a Louisiana deputy pleaded guilty on Monday to setting fire to three black churches, according to federal prosecutors.",1.0,218,41,6,16,4,14.0,5.317073170731708,0,16.666666666666664,0.0,0.0,0.0,32,0,0,0,0,0,2,0,0,32,0,0,2,109.0,20.0,3.0,9.0,2.0,-7.0,0.13,0.0,16.67,0.0,0.0,-4.76,14.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,14.0,0.0,0.0,2.0,32.95,3.43,0.02,3.35,2.74,-15.81,0.39,-0.03,-3.6,0.0,-1.05,-1.86,2.78,-0.03,-0.03,0.19,-0.41,0.0,0.42,-0.03,0.0,2.78,0.0,0.0,0.42
3,"Syrian troops backed by Russian forces have been battling since December to eradicate the last rebel strongholds in the region in a war that has killed an estimated 400,000 Syrians and left much of Syria in ruins.","For the fourth consecutive year, first lady Melania Trump on Wednesday attended the International Women of Courage Awards at the State Department.",1.0,177,37,9,10,2,37.0,4.783783783783784,0,11.11111111111111,0.0,0.0,5.405405405405405,32,0,0,0,1,0,0,0,0,32,0,0,0,52.0,15.0,8.0,-1.0,0.0,15.0,-0.9,0.0,11.11,0.0,0.0,5.41,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,25.12,3.43,0.94,1.85,1.99,-8.96,0.17,-0.03,-2.21,0.0,-1.26,-0.72,3.03,-0.03,-0.03,0.1,-0.16,0.0,0.09,-0.03,0.0,3.03,0.0,0.0,0.09
4,RCMP have begun their enforcement of a B.C. Supreme Court injunction in the traditional territory of the Wet'suwet'en Nation at the fourth site along a forest service road that Coastal Gaslink and its contractors have been prevented from accessing for weeks.,"On February 19, 1942, President Franklin Delano Roosevelt gave the Secretary of War the authority to evacuate to designated military areas anyone deemed a US security threat.",1.0,218,41,6,16,4,14.0,5.317073170731708,0,16.666666666666664,0.0,0.0,0.0,32,0,0,0,0,0,2,0,0,32,0,0,2,70.0,14.0,2.0,3.0,2.0,-13.0,-0.16,0.0,16.67,0.0,0.0,-3.7,9.0,0.0,0.0,0.0,-2.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,2.0,28.62,4.23,0.89,2.15,1.94,-9.45,0.15,-0.03,-0.27,0.0,-1.39,-1.12,3.18,-0.03,-0.03,0.05,-0.21,0.0,0.29,-0.03,0.0,3.18,0.0,0.0,0.29
5,Members of the Wet'suwet'en nation are anxiously waiting to find out what's in the draft agreement that their hereditary chiefs recently struck with provincial and federal officials — and will learn more at clan meetings within the week.,"Decades before President Donald Trump ever attacked the media, Senator Barry Goldwater introduced a new idea to the presidential campaign trail: liberal media bias.",1.0,200,38,8,9,2,38.0,5.2631578947368425,0,12.5,0.0,0.0,5.263157894736842,33,0,0,0,0,0,1,0,0,33,0,0,1,59.0,14.0,6.0,-4.0,0.0,14.0,-0.61,0.0,12.5,0.0,0.0,1.1,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0,27.95,4.26,1.19,1.19,1.57,-5.78,0.12,-0.03,0.34,0.0,-1.48,-0.51,3.45,-0.03,-0.03,0.02,-0.25,0.0,0.25,-0.03,0.0,3.45,0.0,0.0,0.25
6,RCMP are poised to enforce a B.C. Supreme Court injunction in the traditional territory of the Wet’suwet’en Nation at the fourth site along a forest service road that Coastal Gaslink and its contractors have been prevented from accessing for weeks.,"In back-to-back appearances at CNN town halls Thursday night in Nevada, former Vice President Joe Biden and Massachusetts Sen. Elizabeth Warren rooted themselves in bread-and-butter Democratic issues. They spoke to the economic challenges of the middle class …",1.0,209,40,8,17,4,13.666666666666666,5.225,0,25.0,0.0,2.5,0.0,35,1,0,0,0,0,1,0,0,35,0,0,1,-14.0,2.0,6.0,-2.0,1.0,1.0,-0.64,0.0,25.0,0.0,2.5,-2.63,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.76,4.57,1.41,1.64,1.59,-6.63,0.1,-0.03,2.55,0.0,-1.18,-0.83,3.92,0.11,-0.03,-0.0,-0.27,0.0,0.23,-0.03,0.0,3.92,0.0,0.0,0.23
7,The Supreme Court of Canada has decided to hear two cases launched by civil rights groups challenging federal policies on the use of solitary confinement in prisons.,"How bad will it get? That was the question this week, but it applied to several things: the spread of COVID-19 coronavirus around the world, the resulting stock market plunge and the concern about whether America's political leaders are up to the challenge.",1.0,139,27,5,10,2,27.0,5.148148148148148,0,0.0,0.0,0.0,3.7037037037037033,25,0,0,0,1,0,0,0,0,25,0,0,0,-76.0,-16.0,-1.0,-4.0,0.0,5.5,0.15,-1.0,-33.33,0.0,0.0,-0.95,-8.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,-8.0,0.0,0.0,-2.0,20.62,3.18,1.19,1.1,1.36,-5.61,0.07,-0.03,1.09,0.0,-1.27,-0.6,3.03,0.1,-0.03,-0.02,-0.16,0.0,0.09,-0.03,0.0,3.03,0.0,0.0,0.09
8,RCMP have begun their enforcement of a B.C. Supreme Court injunction in the traditional territory of the Wet'suwet'en Nation at the fourth site along a forest service road that Coastal Gaslink and its contractors have been prevented from accessing for weeks.,"""Who Killed Malcolm X?"" -- a six-part Netflix series that started streaming during Black History Month -- has not only reintroduced this icon of black political radicalism to a new generation, it has pushed the Manhattan district attorney's office into relaun…",1.0,218,41,6,16,4,14.0,5.317073170731708,0,16.666666666666664,0.0,0.0,0.0,32,0,0,0,0,0,2,0,0,32,0,0,2,-2.0,0.0,-1.0,1.0,3.0,-7.0,-0.05,-1.0,16.67,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,1.0,23.06,3.65,1.14,1.35,1.4,-6.25,0.07,-0.03,1.8,0.0,-1.34,-0.83,3.11,0.08,-0.03,-0.04,-0.19,0.0,0.2,-0.03,0.0,3.11,0.0,0.0,0.2
9,"The RCMP denied using facial recognition technology as recently as January - before disclosing a few weeks later it had been using Clearview AI, a controversial app that has harvested billions of personal photos from social media, for months.","In the foothills of the Sierra de los Órganos Mountains, more than two hours west of Havana, a trickle of riders on horseback descends a reddish-brown mountain in a serpentine line. They smile as they pass a group of hikers and continue on their ride.",1.0,204,39,8,12,2,39.0,5.230769230769231,0,12.5,0.0,0.0,5.128205128205128,33,0,0,1,0,0,1,0,0,33,0,0,1,-3.0,-6.0,4.0,-1.0,-1.0,16.5,0.63,0.0,12.5,0.0,-2.22,5.13,0.0,-2.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,23.62,3.83,1.29,1.15,1.24,-4.27,0.06,-0.03,1.96,0.0,-1.4,-0.51,3.28,0.07,-0.03,0.05,-0.21,0.0,0.19,-0.03,0.0,3.28,0.0,0.0,0.19
