,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"A rare 1776 Continental dollar that was bought at a French flea market for less than $1 is worth nearly $100,000.",Federal Reserve chairman Jerome Powell on Tuesday warned Congress that the coronavirus could hurt the global economy.,1.0,93.0,21.0,3.0,4.0,2.0,21.0,4.428571428571429,0.0,66.66666666666666,0.0,4.761904761904762,0.0,21.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,-8.0,4.0,0.0,-5.0,0.0,4.0,-1.51,0.0,66.67,0.0,4.76,-11.76,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,-88.71,-13.06,-1.99,-10.56,0.07,-7.87,-0.93,-0.03,53.93,0.0,2.76,-3.21,-7.37,-0.57,-0.03,-0.07,2.5,-0.03,-0.68,-0.01,0.0,-7.37,-0.02,-0.03,-0.68
1,"The U.S. Department of Justice will seek a shorter prison sentence for Roger Stone, a convicted associate of President Donald Trump, hours after Trump tweeted that prosecutors were treating him unfairly, media outlets report.",It could be a good thing: More sunlight year-round and no losing an hour of sleep. All the states need now is approval from Congress.,1.0,192.0,34.0,5.0,17.0,4.0,11.666666666666666,5.647058823529412,0.0,20.0,0.0,0.0,5.88235294117647,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0,1.0,83.0,9.0,0.0,10.0,1.0,-0.83,1.29,0.0,-20.0,0.0,-8.0,1.88,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,-39.21,-6.56,-0.99,-4.06,1.07,-12.53,-0.32,-0.03,30.6,0.0,0.38,-0.27,-2.87,-0.57,-0.03,-0.07,1.0,-0.03,-0.18,-0.01,0.0,-2.87,-0.02,-0.03,-0.18
2,"A contentious motion Justin Trudeau has characterized as a ""near miss"" will come to a vote at the Commons trade committee today, immediately after Deputy Prime Minister Chrystia Freeland makes her case for swift passage of the implementation bill for the revi…","White House officials are expected to ask Congress for emergency funding this week to battle the coronavirus amid growing fears of a larger outbreak in the US, two officials familiar with the forthcoming request said.",1.0,219.0,42.0,5.0,19.0,1.0,42.0,5.214285714285714,0.0,0.0,0.0,2.380952380952381,4.761904761904762,35.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,35.0,0.0,0.0,2.0,36.0,7.0,0.0,4.0,-1.0,7.0,-0.01,0.0,-20.0,0.0,2.38,-3.81,7.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,2.0,-13.71,-1.73,-0.66,-1.23,0.4,-3.98,-0.26,-0.03,16.15,0.0,0.38,0.34,0.3,-0.57,-0.03,-0.07,0.5,-0.03,0.32,-0.01,0.0,0.3,-0.02,-0.03,0.32
3,Joe Biden is staring down what could be the end of his political career. The former U.S. vice-president's campaign is hobbling toward its do-or-die moment this weekend in South Carolina. Katie Simpson looks at the major challenges facing Biden.,Secretary of Defense Mark Esper is likely to face a grilling from lawmakers Wednesday on Capitol Hill for his decision to divert military funding to pay for the US border wall as he testifies before the House Armed Services Committee.,1.0,206.0,39.0,8.0,15.0,6.0,8.0,5.282051282051282,0.0,37.5,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,35.0,0.0,0.0,2.0,11.0,-1.0,3.0,-3.0,4.0,-32.0,0.41,0.0,17.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-4.21,-0.06,0.26,-0.81,1.32,-8.2,-0.21,-0.03,18.31,0.0,-0.21,-0.55,1.88,-0.57,-0.03,-0.07,0.25,-0.03,0.57,-0.01,0.0,1.88,-0.02,-0.03,0.57
4,"The federal government's much-anticipated economic impact study of the revised North American trade agreement does not forecast a significant economic boost when the deal takes effect, but officials from Global Affairs Canada told the Commons trade committee …","CNN's John King discusses intelligence officials telling Congress that Russia is working to re-elect President Trump, and the reactions from Rep. Devin Nunes (R-CA) and Donald Trump Jr.",1.0,223.0,38.0,4.0,18.0,1.0,38.0,5.868421052631579,0.0,0.0,0.0,5.263157894736842,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,65.0,10.0,0.0,1.0,-2.0,24.0,0.23,0.0,-25.0,0.0,1.69,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.89,0.74,0.01,0.04,0.87,-4.73,-0.07,-0.03,12.1,0.0,0.48,-1.08,2.03,-0.57,-0.03,-0.07,0.1,-0.03,0.32,-0.01,0.0,2.03,-0.02,-0.03,0.32
5,"Calling the president's frequent tweets about the case ""entirely inappropriate,"" a federal judge sentenced Donald Trump ally Roger Stone to over three years in prison on Thursday.",Former Nixon White House counsel John Dean reacts to news of top Justice Department officials undercutting their own federal prosecutors by announcing plans to reduce the government's sentence recommended for longtime Donald Trump confidante Roger Stone. Ston…,1.0,153.0,27.0,2.0,11.0,2.0,27.0,5.666666666666667,0.0,0.0,0.0,0.0,7.4074074074074066,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,-71.0,-10.0,-3.0,-10.0,0.0,8.5,-0.39,0.0,0.0,0.0,-5.41,4.7,-10.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,-10.0,0.0,0.0,-1.0,-0.71,-0.56,-0.49,-0.56,0.74,-4.25,-0.0,-0.03,7.96,0.0,0.07,-0.2,1.13,-0.57,-0.03,-0.07,0.17,-0.03,0.15,-0.01,0.0,1.13,-0.02,-0.03,0.15
6,"Democratic presidential candidates traded jabs over money and message on Sunday, two days before New Hampshire voters pick their choice to take on U.S. Republican President Donald Trump in November.","While Democratic presidential candidates are proposing sweeping student loan forgiveness programs, President Donald Trump's budget proposes eliminating one that already exists for public workers -- for the fourth year in a row.",1.0,169.0,30.0,3.0,16.0,4.0,10.333333333333334,5.633333333333334,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,1.0,-27.0,-2.0,-3.0,4.0,2.0,-21.67,-0.49,0.0,-16.67,0.0,-3.12,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,1.0,-2.42,-1.06,-0.7,-0.27,0.93,-6.29,0.04,-0.03,5.0,0.0,-0.23,-0.63,0.92,-0.57,-0.03,-0.07,0.21,-0.03,0.18,-0.01,0.0,0.92,-0.02,-0.03,0.18
7,Travel and tourism operators around the world are bracing for more difficult times ahead as the coronavirus outbreak chokes off demand from China and leads to cancellations from other international travellers.,"Roger Stone, a longtime Republican campaign adviser and confidant of US President Donald Trump, was sentenced to 40 months in prison on Thursday.",1.0,179.0,31.0,3.0,12.0,2.0,31.0,5.774193548387097,0.0,33.33333333333333,0.0,3.225806451612903,6.451612903225806,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,56.0,8.0,1.0,-1.0,0.0,8.0,0.43,0.0,-16.67,0.0,3.23,2.1,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-2.46,-1.31,-0.86,-0.56,0.82,-5.24,0.08,-0.03,6.95,0.0,-0.05,-0.14,0.38,-0.57,-0.03,-0.07,0.12,-0.03,0.07,-0.01,0.0,0.38,-0.02,-0.03,0.07
8,"Former vice-president Joe Biden's struggling campaign faced a do-or-die moment in South Carolina, and a dominant win there gives him a well-timed shot of momentum entering the coming week's Super Tuesday contests. 'We are very much alive,' Biden says.","Sen. Lindsey Graham stated on CBS News on Sunday morning that Attorney General William Barr has set up a mechanism to receive purportedly damaging information coming from Ukraine, via Rudy Giuliani, about former Vice President (and current Democratic presiden…",1.0,213.0,39.0,8.0,15.0,3.0,19.5,5.461538461538462,0.0,12.5,0.0,2.564102564102564,2.564102564102564,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,0.0,0.0,1.0,-9.0,0.0,3.0,-4.0,1.0,0.0,-0.23,0.0,12.5,0.0,2.56,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,1.29,-0.62,-0.43,-0.45,0.85,-5.7,0.09,-0.03,6.15,0.0,0.02,-0.2,1.19,-0.57,-0.03,-0.07,0.06,-0.03,0.1,-0.01,0.0,1.19,-0.02,-0.03,0.1
9,GOP Sen. Bill Cassidy on why he voted for war powers resolution: 'Congress has to fulfill its responsibility' Fox News Senate passes Iran War Powers resolution despite Trump's opposition CNN Mike Lee on why he voted to limit Trump's ability to wage war with I…,An associate of Roger Stone on Monday defended the Justice Department prosecutors who quit Stone's case last week after top officials at the department retracted their sentencing recommendation of seven to nine years in prison for the former informal adviser …,1.0,216.0,45.0,6.0,26.0,2.0,22.5,4.8,0.0,0.0,0.0,0.0,4.444444444444445,30.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,30.0,0.0,0.0,3.0,-4.0,4.0,3.0,8.0,1.0,-18.5,-0.57,0.0,0.0,0.0,-4.88,2.01,-6.0,0.0,0.0,0.0,-2.0,0.0,2.0,0.0,0.0,-6.0,0.0,0.0,2.0,4.59,0.54,-0.29,0.74,0.77,-5.77,0.02,-0.03,4.26,0.0,-0.18,-0.06,1.23,-0.57,-0.03,-0.07,0.0,-0.03,0.32,-0.01,0.0,1.23,-0.02,-0.03,0.32
