,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"China's president visits health centre as coronavirus death toll rises CBC.ca Coronavirus: Senior Chinese officials 'removed' as death toll hits 1,000 BBC News Coronavirus outbreak: City of Wuhan recorded by American teacher | USA TODAY USA TODAY The coronavi…","After his presidential run, Andrew Yang’s new nonprofit will focus on local but scalable projects that can have a tangible impact in solving the country’s problems.",1.0,222,39,5,25,2,20.0,5.6923076923076925,0,0.0,0.0,0.0,12.82051282051282,29,0,0,0,1,0,0,0,0,29,0,0,0,83.0,13.0,-1.0,14.0,0.0,-6.0,0.35,0.0,0.0,0.0,0.0,8.97,3.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,3.0,0.0,0.0,-1.0,16.67,1.42,-0.21,4.65,0.25,-5.78,0.22,-0.18,-9.31,0.0,-1.38,8.71,-2.02,-0.01,-0.05,-0.06,0.48,-0.04,-0.47,-0.01,0.0,-2.02,-0.01,-0.09,-0.47
1,Island couple aboard Diamond Princess hoping to return to Canada Friday CBC.ca Coronavirus fear in Cornwall as cruise passengers head there Montreal Gazette Coronavirus outbreak: Canadian officials provide update on Diamond Princess cruise ship passengers Glo…,Preparation work for Tesla’s Gigafactory near Berlin can continue after it was stopped following environmental complaints. The court said local authorities hadn’t bypassed regulations in allowing the tree felling work.,1.0,225,36,4,23,2,18.5,6.25,0,0.0,0.0,0.0,5.555555555555555,24,0,0,0,0,0,0,0,0,24,0,0,0,36.0,6.0,-7.0,10.0,-1.0,3.5,-0.05,0.0,-9.09,0.0,-6.67,2.22,-6.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-6.0,0.0,0.0,-1.0,18.17,-0.08,-0.71,3.65,0.25,-6.53,0.5,-0.18,-9.31,0.0,-1.38,5.08,-4.52,-0.01,-0.05,-0.06,-0.02,-0.04,-0.47,-0.01,0.0,-4.52,-0.01,-0.09,-0.47
2,"COVID-19: Here's what's happening around the world Tuesday CBC.ca While other countries battle mushrooming coronavirus outbreaks, China claims victory is 'not far' The Globe and Mail Coronavirus: China orders travellers quarantined amid outbreak BBC News LILL…","Instacart has misclassified its California gig workers based on the parameters established by California’s Assembly Bill 5, a San Diego judge has ruled. The ruling could be a first step that leads to big changes for other gig workers and the companies that em…",1.0,225,36,7,19,2,18.5,6.25,0,14.285714285714285,0.0,2.7777777777777777,2.7777777777777777,34,0,0,0,1,0,0,0,0,34,0,0,0,8.0,-8.0,-4.0,2.0,0.0,-3.5,1.32,0.0,5.19,0.0,0.51,2.78,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,-1.0,18.67,-0.58,0.12,1.98,0.25,-6.78,0.59,-0.18,-4.55,0.0,-0.45,2.94,-2.02,-0.01,-0.05,-0.06,0.15,-0.04,-0.47,-0.01,0.0,-2.02,-0.01,-0.09,-0.47
3,"A global recession would likely kill more people than the coronavirus, a Canadian expert says.",There’s a new home for the Snap Map and its original shows — plus a new test of news briefs. It’s in testing with a small percentage of users.,1.0,80,15,3,5,2,15.0,5.333333333333333,0,0.0,0.0,0.0,13.333333333333334,15,0,0,0,0,0,0,0,0,15,0,0,0,-34.0,-14.0,-2.0,-5.0,-1.0,0.5,1.4,0.0,0.0,0.0,0.0,13.33,-7.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-7.0,0.0,0.0,-1.0,-17.33,-6.08,-0.46,-2.35,0.25,-7.78,0.41,-0.18,-5.74,0.0,-0.68,4.51,-5.52,-0.01,-0.05,-0.06,-0.02,-0.04,-0.47,-0.01,0.0,-5.52,-0.01,-0.09,-0.47
4,"China reported a dramatic drop in new cases in the province at the heart of the coronavirus outbreak. Meanwhile, efforts are underway to bring home Canadians previously quarantined aboard a cruise ship in Japan.",Improving your public reputation often means taking a step out of the spotlight,1.0,178,34,4,13,3,17.0,5.235294117647059,0,25.0,0.0,0.0,2.941176470588235,26,0,0,0,0,0,0,0,0,26,0,0,0,111.0,21.0,1.0,10.0,2.0,4.0,0.08,0.0,25.0,0.0,-7.69,2.94,13.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,13.0,0.0,0.0,-1.0,-19.33,-5.58,-0.61,-3.35,0.45,-7.98,0.28,-0.18,-1.45,0.0,-0.82,3.38,-5.42,-0.01,-0.05,-0.06,-0.12,-0.04,-0.47,-0.01,0.0,-5.42,-0.01,-0.09,-0.47
5,A World Health Organization expert stresses the importance of keeping politics out of discussions about the coronavirus outbreak.,"WATCH LIVE: Federal Reserve Chairman Powell testifies on coronavirus, state of economy Washington Post Stock market news live: S&P 500, Nasdaq hit record highs, Powell testifies before Congress Yahoo Finance Live: Fed Chair Powell testifies before the House F…",1.0,112,18,2,9,2,18.0,6.222222222222222,0,0.0,0.0,0.0,11.11111111111111,14,0,0,0,0,0,0,0,0,14,0,0,0,-110.0,-21.0,-1.0,-21.0,1.0,-21.0,0.53,0.0,0.0,0.0,0.0,11.11,-17.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-17.0,0.0,0.0,0.0,-31.66,-7.91,-1.04,-4.68,0.42,-7.94,0.36,-0.18,-2.76,0.0,-0.91,3.98,-7.35,-0.01,-0.05,-0.06,-0.19,-0.04,-0.47,-0.01,0.0,-7.35,-0.01,-0.09,-0.47
6,"Fears of a potential coronavirus pandemic grew on Monday after sharp rises in new cases reported in Iran, Italy and South Korea, but China relaxed restrictions on movements in several places including Beijing as its rates of new infections eased.",China Vows More Fiscal Support as Virus Roils Economy Bloomberg Markets and Finance The coronavirus could cripple China's economy for longer than Wall Street wants to believe - Business Insider Business Insider China pledged to roll out more effective stimulu…,1.0,207,40,5,16,2,40.0,5.175,0,0.0,0.0,7.5,2.5,31,0,0,0,0,0,1,0,0,31,0,0,1,-14.0,0.0,-1.0,-5.0,1.0,0.0,-0.35,0.0,0.0,0.0,5.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,-26.9,-6.44,-0.92,-4.64,0.39,-4.78,0.26,-0.18,-3.7,0.0,0.09,3.18,-6.31,-0.01,-0.05,-0.06,-0.23,-0.04,-0.33,-0.01,0.0,-6.31,-0.01,-0.09,-0.33
7,"China has complained that Russia's measures to combat the coronavirus are discriminatory, but many Russians seem pleased that their country remains virtually virus-free so far, Chris Brown writes.","Beijing imposes strict quarantine rules | WION Ground Report | Coronavirus Outbreak WION More than 64,000 infected, GDP cuts, and SARS parallels: Here's how bad the global economy could get as t.. Business Insider Watertown woman discusses living in China dur…",1.0,169,28,8,8,2,28.0,6.035714285714286,0,12.5,0.0,3.571428571428571,7.142857142857142,26,0,1,1,0,0,1,0,0,26,0,0,1,-51.0,-13.0,1.0,-14.0,-1.0,7.5,0.67,0.0,12.5,0.0,3.57,-0.17,-11.0,0.0,1.0,1.0,-1.0,0.0,1.0,0.0,0.0,-11.0,0.0,0.0,1.0,-28.08,-6.83,-0.46,-5.6,0.38,-3.9,0.3,-0.18,-2.84,0.0,0.35,3.16,-6.14,-0.01,0.07,0.07,-0.27,-0.04,-0.22,-0.01,0.0,-6.14,-0.01,-0.09,-0.22
8,"China has complained that Russia's measures to combat the coronavirus are discriminatory, but many Russians seem pleased that their country remains virtually virus-free so far, Chris Brown writes.",Coronavirus outbreak: Virus now deadlier than SARS outbreak;200+ Canadians begin two-week quarantine Global News Coronavirus could cost $US280 billion in first quarter Airline Ratings The coronavirus is already hurting the world economy. Here's why it could g…,1.0,169,28,8,8,2,28.0,6.035714285714286,0,12.5,0.0,3.571428571428571,7.142857142857142,26,0,1,1,0,0,1,0,0,26,0,0,1,-55.0,-9.0,-1.0,-8.0,0.0,9.5,-0.02,0.0,1.39,0.0,3.57,-0.97,-7.0,0.0,1.0,1.0,-2.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,-29.0,-7.14,-0.1,-6.35,0.36,-3.22,0.33,-0.18,-2.17,0.0,0.56,3.15,-6.02,-0.01,0.17,0.16,-0.3,-0.04,-0.14,-0.01,0.0,-6.02,-0.01,-0.09,-0.14
9,"As the coronavirus outbreak continues to spread outside of China, experts say the situation is rapidly moving toward a pandemic. Adam Miller looks at why the World Health Organization isn't calling it one just yet.","China Virus: Military Doctors Arrive in Wuhan to Fight Coronavirus Outbreak QuickTake by Bloomberg For U.S. And China, Coronavirus Adds Pressure To Relationship Already Under Strain NPR More than 64,000 infected, GDP cuts, and SARS parallels: Here's how bad t…",1.0,180,35,8,10,3,17.5,5.142857142857143,0,12.5,0.0,0.0,2.857142857142857,32,0,0,0,1,0,1,0,0,32,0,0,1,-41.0,-5.0,6.0,-13.0,0.0,3.83,-0.38,0.0,12.5,0.0,0.0,-2.14,-6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-6.0,0.0,0.0,1.0,-28.63,-6.68,0.19,-6.75,0.45,-3.73,0.26,-0.18,-1.63,0.0,0.36,2.71,-5.32,-0.01,0.15,0.14,-0.22,-0.04,-0.07,-0.01,0.0,-5.32,-0.01,-0.09,-0.07
