,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"COVID-19: Here's what's happening around the world Tuesday CBC.ca While other countries battle mushrooming coronavirus outbreaks, China claims victory is 'not far' The Globe and Mail Coronavirus: China orders travellers quarantined amid outbreak BBC News LILL…","A Mexican national has been arrested and charged with acting as a Russian agent within the United States, the Justice Department said Tuesday.",1.0,225.0,36.0,7.0,19.0,2.0,18.5,6.25,0.0,14.285714285714285,0.0,2.7777777777777777,2.7777777777777777,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,105.0,13.0,1.0,13.0,0.0,-4.5,1.03,0.0,-2.38,0.0,2.78,2.78,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,55.46,3.64,1.77,6.03,-0.13,-7.09,0.98,0.0,1.24,0.0,1.14,-0.41,7.41,0.0,-0.03,-0.15,0.72,-0.03,-0.41,-0.03,0.0,7.41,-0.03,0.0,-0.41
1,"Nashville woman describes dramatic escape from home as tornado rips through city CBC.ca Nashville tornado: Drone footage shows incredible path of destruction and damage Global News 'Like a war scene': Alberta musicians endure Tennessee tornadoes, which left a…","A Facebook account impersonating the Swain County board of elections in North Carolina. Unfounded rumors that Tarrant County, Texas, doesn't have former Vice President Joe Biden on the ballot. Wrong claims in Maine that Election Day is on different days for R…",1.0,223.0,38.0,4.0,21.0,2.0,19.5,5.868421052631579,0.0,0.0,0.0,2.631578947368421,5.263157894736842,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,4.0,-4.0,-1.0,-2.0,-1.0,5.5,0.65,0.0,-20.0,0.0,2.63,2.88,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,54.46,4.64,0.27,7.03,-0.13,-6.59,0.78,0.0,-5.9,0.0,1.06,0.83,8.41,0.0,-0.03,-0.15,0.22,-0.03,-0.41,-0.03,0.0,8.41,-0.03,0.0,-0.41
2,"LOCUST PLAGUE: Farmers traumatized as swarms devour crops in seconds... (Third column, 11th story, link )","""At last,"" say Democrats who decry the outsized influence that Iowa and New Hampshire have in picking their party's presidential nominee. It's finally time for a Democratic nominating contest -- the Nevada caucuses -- where voters reflect the party's overall …",1.0,90.0,16.0,2.0,9.0,2.0,8.0,5.625,0.0,0.0,0.0,0.0,6.25,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,-130.0,-25.0,-4.0,-6.0,0.0,-12.5,0.26,0.0,0.0,0.0,0.0,3.81,-18.0,0.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,-18.0,0.0,0.0,-1.0,9.79,-2.36,-0.9,3.36,-0.13,-10.26,0.64,0.0,-8.28,0.0,0.16,1.57,2.08,0.0,-0.03,-0.15,0.38,-0.03,-0.41,-0.03,0.0,2.08,-0.03,0.0,-0.41
3,"From films to festivals, the entertainment world is seeing a growing list of event cancellations due to the spread of COVID-19 — and it's also affecting the spread of Canadian content.","Weeks into the novel coronavirus crisis, the outbreak finally appears to be stabilizing in central China, where the virus was initially detected before it spread throughout the country and the world.",1.0,154.0,31.0,5.0,12.0,2.0,31.0,4.967741935483871,0.0,20.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,-15.0,0.0,-1.0,4.0,0.0,0.0,-0.48,0.0,-13.33,0.0,0.0,-9.68,-5.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-5.0,0.0,0.0,-1.0,3.46,-2.11,-0.73,2.28,-0.13,-6.34,0.4,0.0,-4.47,0.0,-0.29,0.38,0.16,0.0,-0.03,-0.15,0.22,-0.03,-0.41,-0.03,0.0,0.16,-0.03,0.0,-0.41
4,"Two families in Guysborough County, N.S., became forever bound by tragedy in 2017 after an Afghanistan veteran with a complex mental illness — and a history of conflict in his marriage — fatally shot his wife, mother, daughter and himself.",This nursing home is at the center of Washington's coronavirus. Here's what one first responder saw there CNN Nursing Home at Center of Washington Coronavirus Outbreak Target of Criticism The Wall Street Journal Opinion: 1 Unfathomable Toll Of The Coronavirus…,1.0,200.0,40.0,3.0,17.0,4.0,14.0,5.0,0.0,0.0,0.0,0.0,12.5,29.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,29.0,0.0,0.0,2.0,-21.0,0.0,1.0,-5.0,2.0,-6.0,-0.53,0.0,-50.0,0.0,0.0,12.5,-4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-4.0,0.0,0.0,2.0,8.86,-0.16,-1.03,2.63,0.27,-7.39,0.27,0.0,-6.19,0.0,-0.56,2.17,0.61,0.0,-0.03,-0.15,0.52,-0.03,-0.01,-0.03,0.0,0.61,-0.03,0.0,-0.01
5,"As the number of coronavirus cases in China rose again by the end of Thursday, South Korea's fourth-largest city struggled to cope with a spike in illnesses after what authorities described as a ""super-spreading event"" at a church.",Cruise ship outbreak worsens as China coronavirus cases appear to level off CNN Cruise ship workers speak out amid coronavirus worries l ABC News ABC News Wuhan coronavirus: Photos inside Diamond Princess cruise with 135 sick - Business Insider Business Insid…,1.0,194.0,38.0,4.0,14.0,2.0,38.0,5.105263157894737,0.0,0.0,0.0,0.0,2.631578947368421,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,-26.0,-3.0,-1.0,-11.0,1.0,-3.0,-0.26,0.0,0.0,0.0,0.0,-4.69,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.46,0.81,-1.06,2.36,0.21,-4.09,0.19,0.0,-7.33,0.0,-0.74,1.71,0.91,0.0,-0.03,-0.15,0.38,-0.03,-0.08,-0.03,0.0,0.91,-0.03,0.0,-0.08
6,"Fifteen Americans have been quarantined in a hotel in Bethlehem as part of precautions against the coronavirus, a Palestinian government spokesperson said on Saturday.","The Chinese government has challenged the authenticity of leaked detention center records from the Western region of Xinjiang, in its most comprehensive statement yet on the high-profile release.",1.0,144.0,24.0,4.0,9.0,2.0,24.0,6.0,0.0,25.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,-24.0,-4.0,2.0,0.0,0.0,-4.0,0.0,0.0,25.0,0.0,-3.57,0.0,-3.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-3.0,0.0,0.0,-1.0,6.18,-0.5,-1.09,1.45,0.16,-3.73,0.27,0.0,-4.57,0.0,-0.87,1.01,-0.16,0.0,-0.03,-0.15,0.29,-0.03,-0.12,-0.03,0.0,-0.16,-0.03,0.0,-0.12
7,"The worst desert locust infestation in 70 years is ravaging East Africa, potentially endangering economies in a region heavily dependent on agriculture for food security.","More and more people face 14-day quarantines as health officials around the world try to stem the tide of the coronavirus outbreak, which has killed more than 700 people and infected more than 34,000.",1.0,146.0,25.0,3.0,10.0,2.0,25.0,5.84,0.0,33.33333333333333,0.0,0.0,8.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,-21.0,-9.0,-2.0,0.0,0.0,-9.0,0.93,0.0,33.33,0.0,0.0,-0.82,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.46,-1.36,-1.23,0.9,0.12,-3.34,0.31,0.0,-1.46,0.0,-0.97,1.49,-0.59,0.0,-0.03,-0.15,0.34,-0.03,-0.16,-0.03,0.0,-0.59,-0.03,0.0,-0.16
8,"Wall Street stock futures hit the ""limit down"" 5% early Monday, meaning Dow futures can't trade below 1,255 points.","Fourteen passengers from the Diamond Princess had tested positive for coronavirus before they boarded evacuation flights, the US departments of State and Health and Human Services said while the flights were en route to the Texas and California.",1.0,97.0,19.0,5.0,9.0,2.0,19.0,5.105263157894737,0.0,0.0,0.0,0.0,5.263157894736842,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,-111.0,-19.0,0.0,-7.0,0.0,-19.0,-0.37,0.0,-20.0,0.0,-2.63,5.26,-14.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-14.0,0.0,0.0,0.0,-5.87,-2.69,-1.12,0.36,0.09,-3.7,0.25,0.0,-2.75,0.0,-1.04,1.55,-1.59,0.0,-0.03,-0.15,0.5,-0.03,-0.19,-0.03,0.0,-1.59,-0.03,0.0,-0.19
9,South Korea raised its infectious disease alert to its highest level on Sunday as confirmed coronavirus cases in the country jumped to 602 and the death toll rose to five.,Italian Prime Minister Giuseppe Conte signed a decree early Sunday that will put millions of people across   northern Italy under lockdown due to the novel coronavirus.,1.0,142.0,30.0,4.0,11.0,2.0,30.0,4.733333333333333,0.0,0.0,0.0,0.0,6.666666666666667,23.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,23.0,0.0,0.0,2.0,1.0,4.0,1.0,2.0,0.0,4.0,-0.69,0.0,0.0,0.0,0.0,6.67,-3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,-3.0,0.0,0.0,2.0,-8.04,-2.66,-1.13,0.13,0.07,-2.89,0.17,0.0,-3.78,0.0,-1.1,1.75,-1.79,0.0,-0.03,-0.15,0.62,-0.03,-0.01,-0.03,0.0,-1.79,-0.03,0.0,-0.01
