,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"The RCMP has for the first time acknowledged using controversial facial recognition technology that has raised privacy concerns, saying it was used in the Mounties' efforts to crack down on online child sexual abuse.","The Department of Justice is dropping its criminal investigation involving former FBI Deputy Director Andrew McCabe without bringing charges, it announced on Friday.",1.0,183,34,9,10,2,34.0,5.382352941176471,0,11.11111111111111,0.0,0.0,11.76470588235294,30,0,0,0,0,0,1,0,0,30,0,0,1,40.0,11.0,4.0,0.0,0.0,11.0,-0.84,0.0,-8.89,0.0,0.0,7.42,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,7.0,0.0,0.0,-1.0,1.2,-0.69,3.52,-3.44,0.09,5.43,0.14,0.0,0.82,0.0,-1.4,7.78,1.24,0.0,-0.05,-0.09,-0.66,-0.02,0.05,-0.06,-0.01,1.24,-0.01,-0.01,0.05
1,"Canada's Feminist International Assistance Policy is aimed at supporting the economic, political, and social empowerment of women and girls, but the government is falling short of the mark when it comes to addressing the Rohingya genocide and refugee crisis.",Former Deputy FBI Director Andrew McCabe reacts after the Justice Department announced it was dropping its criminal probe over his involvement in the authorization of a 2016 leak to a then-Wall Street Journal reporter about a conversation he had endorsing the…,1.0,220,39,7,14,2,39.0,5.641025641025641,0,28.57142857142857,0.0,5.128205128205128,7.6923076923076925,28,0,0,0,0,0,1,0,0,28,0,0,1,0.0,-2.0,1.0,-3.0,1.0,-2.0,0.28,0.0,11.9,0.0,2.69,2.81,-8.0,0.0,0.0,0.0,-1.0,0.0,-3.0,0.0,0.0,-8.0,0.0,0.0,-3.0,19.7,1.81,2.52,-1.44,0.09,7.93,0.26,0.0,9.55,0.0,1.16,5.74,0.24,0.0,-0.05,-0.09,-0.66,-0.02,0.05,-0.06,-0.01,0.24,-0.01,-0.01,0.05
2,"The Quebec-born Blatchford, who worked at the National Post, Globe and Mail and both the Toronto Sun and Star, was diagnosed with late-stage lung cancer in the fall of 2019.",Harvey Weinstein's conviction is a win for New York state prosecutors and a win for sexual assault survivors throughout the United States. That he was not convicted on two counts of predatory sexual assault does not deter from that reality. After being remand…,1.0,144,30,3,11,2,30.0,4.8,0,33.33333333333333,0.0,3.3333333333333335,6.666666666666667,24,0,0,0,1,0,0,0,0,24,0,0,0,-74.0,-13.0,-3.0,-6.0,-1.0,15.67,-0.27,0.0,0.0,0.0,-1.32,-2.64,-7.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-7.0,0.0,0.0,-1.0,0.53,-0.35,0.86,-1.78,0.09,5.76,0.03,0.0,14.05,0.0,1.42,4.72,-1.42,0.0,-0.05,-0.09,-0.33,-0.02,-0.29,-0.06,-0.01,-1.42,-0.01,-0.01,-0.29
3,"To test how prevalent counterfeits are online, Marketplace purchased dozens of well-known products from five popular online retailers: AliExpress, Amazon, eBay, Walmart and Wish. More than half were suspected knockoffs.","Sen. Lindsey Graham stated on CBS News on Sunday morning that Attorney General William Barr has set up a mechanism to receive purportedly damaging information coming from Ukraine, via Rudy Giuliani, about former Vice President (and current Democratic presiden…",1.0,190,30,5,13,3,15.0,6.333333333333333,0,40.0,0.0,6.666666666666667,0.0,30,0,0,0,1,0,0,0,0,30,0,0,0,-32.0,-9.0,0.0,-6.0,1.0,-4.5,0.64,0.0,40.0,0.0,6.67,-2.56,-7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,2.45,-1.44,0.52,-1.44,0.34,0.93,0.29,0.0,17.96,0.0,2.38,2.55,-0.76,0.0,-0.05,-0.09,-0.16,-0.02,-0.45,-0.06,-0.01,-0.76,-0.01,-0.01,-0.45
4,"Four Chinese military hackers have been charged with breaking into the computer networks of the Equifax credit reporting agency and stealing the personal information of tens of millions of Americans, the U.S. Justice Department announced Monday.","The sentencing recommendation of seven to nine years for Stone was a ridiculous overreach. Barr called it unfair and unjust. He was right and it was his duty to insert himself in the process, writes James Schultz",1.0,210,36,6,15,4,12.333333333333334,5.833333333333333,0,16.666666666666664,0.0,0.0,5.555555555555555,28,0,0,0,1,0,0,0,0,28,0,0,0,34.0,-1.0,-1.0,6.0,1.0,0.0,1.08,0.0,-26.19,0.0,-5.41,-2.55,0.0,0.0,0.0,0.0,-1.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-3.0,7.6,-0.89,0.52,-0.84,0.69,-2.51,0.35,0.0,15.64,0.0,1.62,2.35,-0.76,0.0,-0.05,-0.09,-0.06,-0.02,-0.55,-0.06,-0.01,-0.76,-0.01,-0.01,-0.55
5,"U.S. President Donald Trump's re-election campaign said on Wednesday it filed a libel lawsuit against the New York Times, accusing the newspaper of intentionally publishing a false story last year related to the investigation into Russian interference in the …","A Mexican national has been arrested and charged with acting as a Russian agent within the United States, the Justice Department said Tuesday.",1.0,221,40,5,18,3,13.666666666666666,5.525,0,0.0,0.0,0.0,7.5,34,0,0,0,0,0,1,0,0,34,0,0,1,101.0,17.0,-1.0,12.0,1.0,-9.33,0.31,0.0,-16.67,0.0,0.0,7.5,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,1.0,12.86,0.15,0.36,0.06,0.76,-4.57,0.34,0.0,11.32,0.0,1.12,2.54,0.24,0.0,-0.05,-0.09,-0.16,-0.02,-0.45,-0.06,-0.01,0.24,-0.01,-0.01,-0.45
6,"Calling the president's frequent tweets about the case ""entirely inappropriate,"" a federal judge sentenced Donald Trump ally Roger Stone to over three years in prison on Thursday.","The Nevada caucus is wide open, with Bernie Sanders best positioned to take advantage of a fragmented field and the deep passion of his base. This is setting off rounds of hand-wringing as establishment types in the state and nationally (again) misjudge the m…",1.0,153,27,2,11,2,27.0,5.666666666666667,0,0.0,0.0,0.0,7.4074074074074066,25,0,0,0,1,0,0,0,0,25,0,0,0,-64.0,-17.0,-4.0,-3.0,0.0,5.0,0.73,0.0,-33.33,0.0,-6.82,2.86,-9.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,-9.0,0.0,0.0,-1.0,6.91,-0.97,-0.19,-0.3,0.66,-4.15,0.35,0.0,8.23,0.0,0.76,2.67,-0.33,0.0,-0.05,-0.09,-0.09,-0.02,-0.52,-0.06,-0.01,-0.33,-0.01,-0.01,-0.52
7,The confession a Quebec priest made just before he died in prison is being used by his victims to try to hold the Catholic Church accountable for decades of child abuse.,"The judge who decided Roger Stone's fate made an impassioned plea for the truth and the rule of law at his sentencing hearing Thursday, a direct rebuke of President Donald Trump amid the depending crisis over his interference in the Justice Department.",1.0,139,31,7,10,2,31.0,4.483870967741935,0,14.285714285714285,0.0,0.0,12.903225806451612,29,0,0,0,0,0,2,0,0,29,0,0,2,-72.0,-11.0,3.0,-8.0,0.0,-11.0,-0.54,0.0,14.29,0.0,-2.38,3.38,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.7,-1.31,0.02,-0.69,0.59,-3.32,0.21,0.0,7.7,0.0,0.49,3.45,-0.26,0.0,-0.05,-0.09,-0.16,-0.02,-0.33,-0.06,-0.01,-0.26,-0.01,-0.01,-0.33
8,"The Trudeau government is set to introduce legislation Monday amending the Criminal Code to ban conversion therapy, a controversial practice that aims to change the sexual orientation, gender identity or expression of LGBTQ people.","Harvey Weinstein's conviction is a landmark event, writes Kara Alaimo, but it's a beginning, not an ending. Alaimo says lawmakers need to do two things now to start to make real change: prioritize laws governing the use of non-disclosure agreements and work h…",1.0,198,34,7,15,2,34.0,5.823529411764706,0,14.285714285714285,0.0,0.0,2.941176470588235,29,0,0,0,0,0,0,0,0,29,0,0,0,-20.0,-9.0,-4.0,-1.0,0.0,12.5,0.75,0.0,5.19,0.0,-2.33,2.94,-9.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,2.42,-1.24,0.19,-0.44,0.54,-2.35,0.25,0.0,7.29,0.0,0.28,2.95,-0.2,0.0,-0.05,-0.09,-0.22,-0.02,-0.4,-0.06,-0.01,-0.2,-0.01,-0.01,-0.4
9,"Peter Corbière, a Niagara-on-the-Lake man at the centre of a 2018 CBC News investigation, was arrested on Thursday by Niagara police.","Black voters, particularly those in South Carolina and a handful of other southern states on Super Tuesday, led -- and the Democratic establishment followed. That's why former Vice President Joe Biden is on the verge of becoming the Democratic front-runner. A…",1.0,113,21,2,10,2,21.0,5.380952380952381,0,50.0,0.0,0.0,0.0,19,0,0,0,1,0,0,0,0,19,0,0,0,-107.0,-20.0,-4.0,-5.0,-1.0,7.33,0.02,0.0,33.33,0.0,-2.44,0.0,-11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-11.0,0.0,0.0,0.0,-4.7,-2.49,-0.18,-0.74,0.49,-2.87,0.24,0.0,10.53,0.0,0.11,2.26,-1.16,0.0,-0.05,-0.09,-0.16,-0.02,-0.45,-0.06,-0.01,-1.16,-0.01,-0.01,-0.45
