,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,The Teck Frontier project didn't deserve to be framed as a do-or-die test of political attitudes towards the energy sector and climate change. The fact that it was shows just how little progress we've made in this country in reconciling economic and environme…,White House trade adviser Peter Navarro debates the economy and job growth numbers between the Obama and Trump administrations with CNN's Poppy Harlow.,1.0,218.0,43.0,8.0,12.0,2.0,21.5,5.069767441860465,0.0,25.0,0.0,2.3255813953488373,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,37.0,0.0,0.0,1.0,89.0,20.0,7.0,-4.0,0.0,-1.5,-0.54,0.0,25.0,0.0,2.33,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,1.0,44.63,9.69,3.71,-2.81,-0.25,-1.52,-0.14,-0.02,15.71,0.0,0.65,-1.89,9.56,-1.35,-0.02,-0.08,-0.65,-0.04,0.19,-0.02,-0.02,9.56,-0.02,-0.04,0.19
1,"Deputy Prime Minister Chrystia Freeland insists a robust climate change plan can live alongside a thriving energy sector. But while the debate has become mired in blame-tossing, businesses are calling for less carping and more consensus.","The Nevada caucus is wide open, with Bernie Sanders best positioned to take advantage of a fragmented field and the deep passion of his base. This is setting off rounds of hand-wringing as establishment types in the state and nationally (again) misjudge the m…",1.0,202.0,36.0,8.0,16.0,3.0,18.0,5.611111111111111,0.0,12.5,0.0,5.555555555555555,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,-15.0,-8.0,2.0,2.0,1.0,-4.0,0.68,0.0,-20.83,0.0,-1.26,-4.55,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,36.63,6.19,3.71,-0.81,0.25,-3.27,0.13,-0.02,9.46,0.0,2.27,-1.89,8.06,-1.35,-0.02,-0.08,-0.65,-0.04,-0.31,-0.02,-0.02,8.06,-0.02,-0.04,-0.31
2,The first deadline for entry into the Conservative leadership race passes today. Who's in the running to replace Andrew Scheer?,"Now that the Democratic primary has been functionally narrowed to former Vice President Joe Biden and Sen. Bernie Sanders, with Donald Trump waiting in the wings to contend with one of them, there is one prediction about the coming election we can make with a…",1.0,108.0,20.0,2.0,9.0,2.0,10.0,5.4,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,-108.0,-25.0,-7.0,-5.0,0.0,-12.5,0.6,1.0,-22.22,0.0,0.0,-2.22,-17.0,0.0,0.0,0.0,-2.0,-1.0,0.0,0.0,0.0,-17.0,0.0,-1.0,0.0,2.63,-0.31,1.71,-2.47,0.08,-6.52,0.15,0.31,3.21,0.0,0.95,-1.89,2.22,-1.35,-0.02,-0.08,-0.65,-0.04,-0.47,-0.02,-0.02,2.22,-0.02,-0.04,-0.47
3,"Former New York Mayor Mike Bloomberg has qualified for this week's Democratic presidential debate in Nevada, putting him on the same stage as his rivals for the first ti,e in the race for the party's nomination.","El Comité Nacional Demócrata programó 12 debates para la carrera presidencial del partido en 2020. Hasta ahora, ocho han tenido lugar, y dos están programados para febrero.",1.0,176.0,36.0,3.0,15.0,2.0,36.0,4.888888888888889,0.0,0.0,0.0,2.7777777777777777,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,27.0,0.0,0.0,2.0,30.0,9.0,1.0,-2.0,-1.0,22.5,-0.52,0.0,0.0,0.0,2.78,0.0,2.0,0.0,0.0,0.0,-2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.63,0.44,0.96,-1.81,0.0,-1.64,0.03,0.23,0.09,0.0,0.99,-1.89,1.56,-1.35,-0.02,-0.08,-0.65,-0.04,-0.06,-0.02,-0.02,1.56,-0.02,-0.04,-0.06
4,"Israel goes to the polls on March 2, the third time in a year. Many countries have tracked Israel's lengthy political crisis, but it has particular resonance in France, home to the largest Jewish community in Europe, Don Murray writes.","Los seis principales aspirantes a la candidatura presidencial demócrata se reunieron para un debate el miércoles por la noche, solo días antes de las importantes asambleas partidarias de Nevada, y la atención estuvo puesta principalmente en el exalcalde de Nu…",1.0,196.0,40.0,5.0,15.0,3.0,20.0,4.9,0.0,0.0,0.0,0.0,5.0,32.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,1.0,-25.0,0.0,0.0,-6.0,2.0,-20.0,-0.62,0.0,0.0,0.0,0.0,5.0,0.0,-7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.63,1.69,0.91,-1.41,0.15,-1.92,-0.04,0.18,-1.79,0.0,0.46,-0.89,2.16,-1.35,-0.02,-0.08,-0.45,-0.04,-0.01,-0.02,-0.02,2.16,-0.02,-0.04,-0.01
5,"Every person has a tell. Your friends, co-workers, family members, partner and boss may actually be revealing their true intentions, but shrouding them in clever disguises.","El décimo debate demócrata fue un evento increíblemente polémico, con candidatos que se gritaban el uno al otro mientras luchaban por marcar diferencias entre ellos antes de las críticas elecciones primarias de Carolina del Sur el sábado. Estos son los ganado…",1.0,147.0,26.0,5.0,11.0,3.0,13.0,5.653846153846154,0.0,20.0,0.0,3.8461538461538463,0.0,26.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,26.0,0.0,0.0,2.0,-73.0,-15.0,2.0,-15.0,1.0,-7.5,0.29,0.0,20.0,0.0,3.85,0.0,-11.0,-6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-11.0,0.0,0.0,2.0,1.13,0.19,0.88,-1.81,0.25,-3.27,0.04,0.15,0.29,0.0,0.74,-1.05,1.56,-1.35,-0.02,-0.08,-0.49,-0.04,0.19,-0.02,-0.02,1.56,-0.02,-0.04,0.19
6,"Iranian state TV has announced the first partial results from the country's parliamentary elections, indicating a strong showing by hardliners in the capital Tehran.","Fidel Castro está de regreso. Desde más allá de la tumba, el ícono socialista que enfrentó al Tío Sam durante 50 años está lanzando su hechizo sobre otra campaña electoral estadounidense.",1.0,142.0,24.0,3.0,9.0,2.0,24.0,5.916666666666667,0.0,0.0,0.0,4.166666666666666,4.166666666666666,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,-15.0,-7.0,2.0,-8.0,-1.0,8.5,0.85,0.0,0.0,0.0,4.17,4.17,-6.0,-7.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,-3.51,-1.16,0.57,-2.38,0.18,-2.66,0.14,0.12,-1.07,0.0,0.99,-0.58,0.41,-1.35,-0.02,-0.08,-0.51,-0.04,0.05,-0.02,-0.02,0.41,-0.02,-0.04,0.05
7,"Prioritizing pageantry over policy, U.S. President Donald Trump basked in India's welcoming embrace on a day that featured a mega-rally with cheering crowds, a mutual admiration show with his counterpart and a sunset tour of the famed Taj Mahal.","Los adelantos tecnológicos avanzan a pasos agigantados y aunque muchos jóvenes disfruten del desarrollo que trae la cuarta revolución, se hace trascendental humanizar una revolución que mejore la calidad de vida en su sentido más material, dice el columnista …",1.0,207.0,39.0,5.0,16.0,4.0,13.333333333333334,5.3076923076923075,0.0,0.0,0.0,5.128205128205128,0.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.0,0.0,0.0,1.0,-14.0,-1.0,3.0,-10.0,3.0,-26.67,-0.22,0.0,0.0,0.0,5.13,0.0,-3.0,-5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,1.0,1.13,-0.31,0.59,-1.93,0.38,-3.54,0.13,0.11,-2.1,0.0,1.3,-0.74,1.06,-1.35,-0.02,-0.08,-0.53,-0.04,0.07,-0.02,-0.02,1.06,-0.02,-0.04,0.07
8,"Before Vancouver’s Olympic Village became what it’s now widely considered — a pretty but expensive place to live, work and hang out — it was the subject of heated debates.","En Nueva Hampshire, el senador por Vermont Bernie Sanders obtuvo la celebración televisada que se le escapó una semana antes. Pero una vez más, el exalcalde de South Bend, Indiana, Pete Buttigieg, lo hizo sudar. Aquí hay cinco conclusiones de las primarias de…",1.0,142.0,30.0,7.0,8.0,2.0,30.0,4.733333333333333,0.0,14.285714285714285,0.0,6.666666666666667,6.666666666666667,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,1.0,-76.0,-13.0,2.0,-20.0,-1.0,15.67,-0.34,0.0,14.29,0.0,6.67,6.67,-9.0,-3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-9.0,0.0,0.0,1.0,-2.48,-0.64,0.82,-2.47,0.31,-2.37,0.06,0.09,-1.31,0.0,1.71,-0.13,1.0,-1.35,-0.02,-0.08,-0.54,-0.04,0.08,-0.02,-0.02,1.0,-0.02,-0.04,0.08
9,"Clifford White, a board member of the First Nations LNG Alliance — a group backing the proposed Coastal GasLink natural gas pipeline — says it’s up to Wet’suwet’en people to decide how to move forward.","Para entender la participación en las urnas en el 2020, tenemos que repasar lo ocurrido en 2016. Ese año fue la primera elección sin las protecciones completas de la Ley de los Derechos del Votante.",1.0,167.0,35.0,9.0,18.0,2.0,35.0,4.771428571428571,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,3.0,0.0,8.0,-1.0,-1.0,17.5,0.09,0.0,0.0,0.0,0.0,-2.86,1.0,-5.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.87,-0.41,1.21,-1.91,0.25,-0.94,0.01,0.08,-2.11,0.0,1.37,-0.3,0.76,-1.25,-0.02,-0.08,-0.55,-0.04,-0.01,-0.02,-0.02,0.76,-0.02,-0.04,-0.01
10,"With traumatic brain injuries and the long-term fallout of degenerative brain disease permeating the broader sporting culture, B.C.’s sports organizations are under pressure to modernize their concussion protocols while educating players, coaches and official…","Esta es la última vez que los principales contendores aparecerán juntos en el escenario antes del Supermartes del 3 de marzo, cuando Sanders podría, con victorias en California y Texas, reclamar una ventaja desbocada en la pelea de la nominación demócrata.",1.0,227.0,34.0,5.0,16.0,3.0,12.0,6.676470588235294,0.0,20.0,0.0,0.0,5.88235294117647,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,1.0,11.0,-7.0,2.0,-7.0,1.0,-29.0,1.41,0.0,20.0,0.0,0.0,5.88,-3.0,-8.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,1.0,2.27,-0.31,1.17,-1.63,0.3,-1.85,0.14,0.07,-0.94,0.0,1.1,0.09,0.74,-1.26,-0.02,-0.08,-0.56,-0.04,0.01,-0.02,-0.02,0.74,-0.02,-0.04,0.01
11,"After famously railing against ""millionaires and billionaires,"" Bernie Sanders is focusing more on billionaires in the 2020 Democratic primary.","Andrew Yang suspendió su campaña política el martes en Nueva Hampshire, poniendo fin a la carrera que hizo saltar al empresario de la oscuridad total a ser un contendiente demócrata respaldado por un grupo devoto conocido como Yang Gang (pandilla Yang).",1.0,125.0,19.0,3.0,6.0,2.0,19.0,6.578947368421052,0.0,33.33333333333333,0.0,5.263157894736842,0.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,-88.0,-22.0,-2.0,-20.0,0.0,-22.0,1.38,0.0,33.33,0.0,5.26,0.0,-14.0,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-14.0,0.0,0.0,0.0,-1.95,-1.47,0.96,-2.22,0.25,-2.03,0.25,0.06,1.14,0.0,1.3,-0.08,-0.03,-1.26,-0.02,-0.08,-0.49,-0.04,-0.06,-0.02,-0.02,-0.03,-0.02,-0.04,-0.06
12,"Deputy Prime Minister Chrystia Freeland insists a robust climate change plan can live alongside a thriving energy sector. But while the debate has become mired in blame-tossing, businesses are calling for less carping and more consensus.","El año pasado, el Papa Francisco pidió ""propuestas audaces"" para satisfacer las necesidades espirituales de los católicos en la Amazonía, una vasta región con escasez de clérigos. Pero en un documento papal publicado el miércoles, Francisco ignoró el más auda…",1.0,202.0,36.0,8.0,16.0,3.0,18.0,5.611111111111111,0.0,12.5,0.0,5.555555555555555,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,-19.0,-4.0,7.0,-8.0,1.0,-2.0,0.09,0.0,12.5,0.0,5.56,0.0,3.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.4,-1.15,1.17,-1.96,0.29,-2.26,0.26,0.06,1.3,0.0,1.5,-0.22,0.48,-1.27,-0.02,-0.08,-0.5,-0.04,-0.12,-0.02,-0.02,0.48,-0.02,-0.04,-0.12
