,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,‘It hurts’: Student swimmer reacts to Ontario teacher strikes CBC.ca Entire Ontario public school system to be shut down Feb. 21 due to teachers strike Global News Ontario teachers announce provincewide strike CBC News Egan: Hello teach? Not following this le…,"While Democratic presidential candidates are proposing sweeping student loan forgiveness programs, President Donald Trump's budget proposes eliminating one that already exists for public workers -- for the fourth year in a row.",1.0,220.0,41.0,7.0,25.0,3.0,10.5,5.365853658536586,1.0,14.285714285714285,0.0,0.0,7.317073170731707,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,24.0,9.0,1.0,13.0,1.0,-21.5,-0.76,1.0,-2.38,0.0,-3.12,7.32,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,52.73,7.67,1.52,13.21,1.03,-16.81,0.32,0.97,0.2,0.0,-2.24,4.52,1.03,0.0,-0.03,-0.15,0.09,-0.06,-0.91,0.0,0.0,1.03,0.0,-0.06,-0.91
1,It's been five years since Dan Price took a massive pay cut so he could raise his employees' salary — and he says the experiment has been a resounding success.,"Welcome to CNN's fact check coverage of the tenth Democratic presidential debate from Charleston, South Carolina, ahead of the state's primary on Saturday.",1.0,130.0,30.0,8.0,9.0,2.0,30.0,4.333333333333333,0.0,25.0,0.0,6.666666666666667,0.0,24.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,24.0,0.0,0.0,3.0,-3.0,7.0,7.0,-2.0,0.0,7.0,-1.45,0.0,25.0,0.0,6.67,0.0,5.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,7.73,2.17,2.02,5.21,0.53,-7.06,-0.2,0.47,5.55,0.0,1.09,0.86,-1.47,0.0,0.47,-0.15,0.09,-0.06,0.59,0.0,0.0,-1.47,0.0,-0.06,0.59
2,"A 14-year-old boy who was the subject of an Amber Alert has been located, Toronto police say.","Bernie Sanders left Las Vegas on Saturday morning in a light drizzle. By the time he arrived in San Antonio hours later, his path to the Democratic nomination seemed as big and clear as the Texas sky.",1.0,77.0,17.0,5.0,6.0,2.0,17.0,4.529411764705882,0.0,40.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,-87.0,-20.0,2.0,-9.0,-1.0,-1.5,0.1,0.0,40.0,0.0,-2.7,0.0,-13.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-13.0,0.0,0.0,-2.0,-24.94,-4.0,1.18,1.55,0.36,-8.15,-0.3,0.3,12.34,0.0,-0.02,-0.36,-4.64,0.0,0.3,-0.15,-0.24,-0.06,0.09,0.0,0.0,-4.64,0.0,-0.06,0.09
3,"Bombardier Inc. has reached a preliminary deal to sell its transportation division to France-based Alstom SA for more than $7 billion US, the Wall Street Journal reported on Sunday.","More than one thousand members of the historic African-American sorority, Delta Sigma Theta, descended on Capitol Hill on Tuesday to promote 10 pieces of legislation they say are critical to the black community.",1.0,153.0,29.0,4.0,12.0,3.0,14.5,5.275862068965517,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,1.0,-26.0,-4.0,0.0,1.0,1.0,-18.5,-0.15,0.0,-25.0,0.0,0.0,-3.03,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,-22.27,-4.08,0.52,1.21,0.53,-9.31,-0.17,0.22,5.73,0.0,-0.57,-0.97,-3.72,0.0,0.22,-0.15,0.09,-0.06,0.09,0.0,0.0,-3.72,0.0,-0.06,0.09
4,Boosting an overheated real estate market and making money cheap for over-leveraged corporations and indebted Canadians is unlikely to mend the main COVID-19 economic crisis.,"Netflix has a hit with their new dating series ""Love Is Blind,"" but did two of the contestants spoil one of the storylines?",1.0,150.0,25.0,4.0,7.0,2.0,25.0,6.0,0.0,25.0,0.0,4.0,12.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,49.0,2.0,0.0,-1.0,1.0,2.0,1.61,-1.0,25.0,0.0,4.0,7.65,4.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,0.0,4.0,0.0,0.0,-1.0,-21.27,-4.93,0.12,0.01,0.43,-7.91,0.05,0.17,6.77,0.0,-0.11,1.06,-3.97,0.0,0.17,-0.15,-0.11,-0.06,-0.11,0.0,0.0,-3.97,0.0,-0.06,-0.11
5,"Prime Minister Justin Trudeau's government is asking Parliament to spend an additional $2.1 billion on Indigenous programs and initiatives, above and beyond what MPs already have approved.","US households now hold more than $14 trillion of debt, a new record, the New York Federal Reserve said this week.",1.0,162.0,27.0,5.0,9.0,3.0,14.0,6.0,0.0,20.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,69.0,6.0,3.0,1.0,1.0,-7.0,1.57,0.0,20.0,0.0,0.0,-4.76,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-18.61,-5.17,0.02,-0.45,0.53,-8.81,0.2,0.14,6.63,0.0,-0.46,0.42,-3.8,0.0,0.14,-0.15,0.09,-0.06,-0.24,0.0,0.0,-3.8,0.0,-0.06,-0.24
6,"Quebec aerospace giant Bombardier is leaving the commercial aviation business, the company announced late Wednesday night after it sold its remaining stake in the A220 and A330 program — formerly known as the C Series — to Airbus.","Libor is the world's most quoted interest rate, governing some $200 trillion of debt and contracts, including mortgages and consumer loans. After years of manipulation scandals the rate is now on its way out.",1.0,193.0,38.0,6.0,18.0,2.0,38.0,5.078947368421052,0.0,16.666666666666664,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32.0,0.0,0.0,2.0,18.0,4.0,2.0,4.0,-1.0,21.0,-0.07,0.0,-33.33,0.0,0.0,-8.82,6.0,0.0,0.0,-2.0,-2.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,-12.27,-3.76,0.09,0.5,0.46,-6.03,0.18,0.11,6.05,0.0,-0.72,-0.04,-2.68,0.0,0.11,-0.15,-0.05,-0.06,-0.05,0.0,0.0,-2.68,0.0,-0.06,-0.05
7,A little-known feature on the Canada Revenue Agency’s website is netting some Canadians hundreds of dollars they are owed from uncashed government cheques.,Chinese authorities are stepping in to run one of the country's largest conglomerates as it struggles to overcome a massive debt crisis made worse by the novel coronavirus outbreak.,1.0,133.0,23.0,4.0,12.0,2.0,23.0,5.782608695652174,0.0,50.0,0.0,0.0,4.3478260869565215,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,-20.0,-6.0,-3.0,6.0,0.0,-6.0,0.51,0.0,35.71,0.0,0.0,-12.89,-2.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,-2.0,0.0,0.0,-1.0,-15.02,-4.58,-0.11,0.46,0.41,-5.81,0.25,0.09,9.78,0.0,-0.91,0.16,-2.97,0.0,0.09,-0.03,-0.16,-0.06,-0.16,0.0,0.0,-2.97,0.0,-0.06,-0.16
8,The federal government has agreed to negotiate a financial restructuring of the Muskrat Falls hydro project to make the project financially sustainable over the long term and potentially sparing Newfoundland and Labrador from a massive spike in electricity ra…,"With less of a financial head start and more hurdles to face, women simply cannot afford to make ill-informed financial decisions on buying, saving, investing and managing debt, writes Carrie Schwab-Pomerantz, president of the Charles Schwab Foundation.",1.0,222.0,39.0,4.0,13.0,1.0,39.0,5.6923076923076925,0.0,0.0,0.0,5.128205128205128,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,5.0,2.0,-3.0,-1.0,-1.0,2.0,-0.17,0.0,0.0,0.0,2.43,-2.7,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-7.27,-3.44,-0.26,0.55,0.25,-3.87,0.29,0.08,7.13,0.0,-0.48,-0.17,-2.64,0.0,0.08,-0.04,-0.24,-0.06,-0.24,0.0,0.0,-2.64,0.0,-0.06,-0.24
9,Ontario's beleaguered Liberals will choose a new leader today as the party looks to rebound from a devastating election and rebuild ahead of the next one in 2022.,"The Citi Simplicity credit card doesn't earn any rewards, but it does come with a lengthy 21-month introductory interest rate on balance transfers.",1.0,135.0,28.0,4.0,7.0,2.0,28.0,4.821428571428571,0.0,0.0,0.0,0.0,3.571428571428571,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,10.0,5.0,0.0,-2.0,0.0,5.0,-0.61,0.0,0.0,0.0,0.0,-0.78,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-9.77,-3.63,-0.38,0.01,0.23,-3.41,0.24,0.07,5.01,0.0,-0.66,-0.08,-2.77,0.0,0.07,-0.05,-0.21,-0.06,-0.31,0.0,0.0,-2.77,0.0,-0.06,-0.31
