,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Quebec aerospace giant Bombardier is leaving the commercial aviation business, the company announced late Wednesday night after it sold its remaining stake in the A220 and A330 program — formerly known as the C Series — to Airbus.","President Donald Trump's acting chief of staff Mick Mulvaney railed against the so-called ""deep state"" during an appearance at the Oxford Union in the UK earlier this week, according to two attendees and quotes of his remarks provided to CNN.",1.0,193.0,38.0,6.0,18.0,2.0,38.0,5.078947368421052,0.0,16.666666666666664,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32.0,0.0,0.0,2.0,-10.0,-2.0,2.0,1.0,0.0,-2.0,0.0,0.0,16.67,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,23.24,4.29,0.38,6.14,0.19,9.77,-0.01,-0.14,2.47,0.0,-1.79,-2.42,3.57,-0.05,-0.1,-0.19,-0.43,0.0,0.76,-0.05,0.0,3.57,0.0,0.0,0.76
1,"A union representative called Bombardier's sale of its remaining shares in the A220 commercial jet program — formerly known as the C Series — ""the best-case scenario,"" while an aerospace expert said it's a ""sad' day for Quebec.","Justice Sonia Sotomayor wrote a scathing dissent late Friday night, castigating the government for repeatedly asking the Supreme Court on an emergency basis to allow controversial policies to go into effect and charging her conservative colleagues on the cour…",1.0,190.0,38.0,5.0,18.0,2.0,38.0,5.0,0.0,0.0,0.0,0.0,2.631578947368421,34.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,0.0,0.0,1.0,-32.0,-1.0,-1.0,3.0,1.0,-1.0,-0.69,0.0,0.0,0.0,0.0,-10.19,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,-1.0,21.74,4.29,-0.12,6.14,0.19,9.77,-0.05,-0.14,-5.87,0.0,-1.79,-1.11,4.57,-0.05,-0.1,-0.19,-0.43,0.0,0.26,-0.05,0.0,4.57,0.0,0.0,0.26
2,The representative for Quebec’s division of the International Association of Machinists and Aerospace Workers says he’s satisfied Airbus and its subsidiary Stelia intend to keep jobs in Quebec.,"His reelection bid accelerating, President Donald Trump has again seized credit for an economic turnaround, claimed record job creation and accused his predecessor of a ""con job"" on the subject.",1.0,166.0,28.0,3.0,15.0,2.0,28.0,5.928571428571429,0.0,0.0,0.0,3.571428571428571,0.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,1.0,1.0,-2.0,-2.0,2.0,0.0,-2.0,0.43,0.0,0.0,0.0,3.57,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,13.24,0.95,-0.95,5.14,0.19,6.44,0.25,-0.14,-8.64,0.0,-0.6,-1.54,1.57,-0.05,-0.1,-0.19,-0.43,0.0,0.1,-0.05,0.0,1.57,0.0,0.0,0.1
3,"Almost a quarter-century ago, Canada had a comprehensive plan to repair the Crown-Indigenous relationship. Is it time to revisit the final report of the Royal Commission on Aboriginal Peoples?","Mike Bloomberg has vowed as a Democratic candidate for president to ""strengthen entitlement programs."" But when he was mayor of New York City, Bloomberg twice compared Social Security to a ""Ponzi scheme"" and repeatedly said cuts to that program as well as Med…",1.0,164.0,29.0,4.0,10.0,2.0,14.5,5.655172413793103,1.0,0.0,0.0,3.4482758620689653,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,0.0,1.0,-54.0,-14.0,-2.0,-7.0,0.0,-7.5,0.59,1.0,-16.67,0.0,1.12,0.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,0.0,0.0,0.0,8.49,-0.46,-1.12,3.39,0.19,1.4,0.33,0.11,-10.03,0.0,-0.03,-1.76,-0.43,-0.05,-0.1,-0.19,-0.43,0.0,0.01,-0.05,0.0,-0.43,0.0,0.0,0.01
4,Quebec's La Presse and Britain's Independent have proved that the most important thing about a paper is not paper. Could printless broadsheets may be the next media trend?,"President Donald Trump has repeatedly promised middle class Americans fresh tax cuts if he wins a second four-year term in office in November, a pledge that might clash with his efforts to reduce yawning federal deficits.",1.0,144.0,28.0,5.0,12.0,2.0,14.0,5.142857142857143,1.0,40.0,0.0,3.571428571428571,0.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,-42.0,-8.0,-2.0,-1.0,0.0,-22.0,-0.02,1.0,40.0,0.0,-4.76,-2.78,-6.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,-6.0,0.0,0.0,-2.0,1.64,-1.51,-1.02,2.74,0.19,-1.73,0.28,0.26,-2.87,0.0,0.33,-1.9,-0.83,-0.05,-0.1,0.01,-0.43,0.0,-0.24,-0.05,0.0,-0.83,0.0,0.0,-0.24
5,The fiscal 2021 budget projects the deficit will hit $1 trillion this fiscal year and linger at $200 billion after a decade.,"Former President Barack Obama is intentionally staying on the sidelines of the Democratic primary fight, though you may not know it from all of those campaign ads in which he is playing a starring role.",1.0,103.0,22.0,2.0,6.0,2.0,22.0,4.681818181818182,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,-65.0,-13.0,-4.0,-3.0,0.0,-13.0,-0.12,0.0,-33.33,0.0,0.0,0.0,-9.0,0.0,0.0,-1.0,5.0,0.0,-3.0,0.0,0.0,-9.0,0.0,0.0,-3.0,-9.76,-3.21,-1.45,1.31,0.19,-2.48,0.16,0.19,-4.75,0.0,-0.02,-1.98,-2.1,-0.05,-0.1,-0.02,0.4,0.0,-0.4,-0.05,0.0,-2.1,0.0,0.0,-0.4
6,"""It can't be done overnight. It has to be done overtime. But with interest rates low, that gives us time,"" Phillip Swagel said Thursday.","The White House is preparing to present a budget that would not eliminate the federal deficit in the next 10 years, according to a summary of the plan reviewed by The Washington Post.",1.0,113.0,24.0,8.0,7.0,4.0,8.0,4.708333333333333,0.0,25.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,-38.0,-9.0,1.0,-2.0,2.0,-25.0,0.13,0.0,10.71,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-4.0,0.0,1.0,0.0,-16.48,-4.14,-0.9,0.43,0.48,-5.01,0.09,0.14,-2.53,0.0,-0.28,-2.05,-3.0,-0.05,-0.1,-0.05,0.29,0.0,-0.52,-0.05,0.0,-3.0,0.0,0.14,-0.52
7,"Rising jobs and incomes and low credit costs are the key components of a bright near-term outlook for the U.S. economy, writes Michael Ivanovitch.","Acting White House chief of staff Mick Mulvaney said Wednesday that the Republican Party views federal deficits as ""the worst thing"" when Democrats are in power but are ""a lot less interested"" when their own party is in the White House, The Washington Post re…",1.0,123.0,24.0,3.0,10.0,4.0,8.333333333333334,5.125,0.0,33.33333333333333,0.0,4.166666666666666,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,-93.0,-21.0,-3.0,-10.0,3.0,-36.67,0.33,0.0,-16.67,0.0,4.17,-2.22,-15.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-15.0,0.0,0.0,-1.0,-20.26,-4.84,-1.12,0.14,0.69,-6.87,0.08,0.11,0.18,0.0,0.06,-2.09,-3.68,-0.05,-0.1,-0.07,0.2,0.0,-0.61,-0.05,0.0,-3.68,0.0,0.12,-0.61
8,"The southern African nation's economy is expected to have contracted by 7.5% in 2019, according to the World Bank.","Independent voters, who make up a larger bloc than both Republicans or Democrats, are front and center in the New Hampshire primary, writes John Avlon",1.0,96.0,19.0,5.0,6.0,3.0,10.0,5.052631578947368,0.0,20.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,-30.0,-6.0,2.0,-4.0,2.0,-15.0,0.01,0.0,-13.33,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,-26.21,-5.94,-1.06,-0.52,0.75,-8.13,0.07,0.08,0.8,0.0,-0.15,-2.13,-4.54,-0.05,-0.1,-0.08,0.35,0.0,-0.68,-0.05,0.0,-4.54,0.0,0.11,-0.68
11,"A surge in coronavirus cases and deaths is weighing on investor sentiment this morning, with a good chunk of Wednesday's big gains likely to be erased at the Wall Street open.","The war in Afghanistan has lasted so long that kids born after it began are now old enough to fight in it. Now, news that US President Donald Trump could approve the first step to a US peace deal with the Taliban may herald a fragile but significant foreign p…",1.0,145.0,31.0,4.0,12.0,2.0,31.0,4.67741935483871,0.0,50.0,0.0,6.451612903225806,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,-66.0,-19.0,-6.0,-3.0,0.0,6.0,0.46,0.0,40.0,0.0,-1.55,-2.0,-7.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-7.0,0.0,0.0,-1.0,-22.87,-5.65,-1.23,-0.45,0.92,-9.67,0.15,0.04,6.57,0.0,1.24,-1.88,-3.64,-0.04,-0.09,-0.09,-0.06,0.0,-0.63,-0.04,0.0,-3.64,0.0,0.08,-0.63
