,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"China's president visits health centre as coronavirus death toll rises CBC.ca Coronavirus: Senior Chinese officials 'removed' as death toll hits 1,000 BBC News Coronavirus outbreak: City of Wuhan recorded by American teacher | USA TODAY USA TODAY The coronavi…",Plans to open a Philadelphia facility that would allow and supervise the injection of illegal drugs have been put on hold.,1.0,222,39,5,25,2,20.0,5.6923076923076925,0,0.0,0.0,0.0,12.82051282051282,29,0,0,0,1,0,0,0,0,29,0,0,0,120.0,18.0,-2.0,19.0,0.0,-1.0,0.84,0.0,-14.29,0.0,0.0,8.06,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,51.82,6.09,-0.93,13.25,-0.23,-6.11,0.49,0.0,-16.91,0.0,-1.31,8.68,2.54,-0.05,-0.02,-0.09,0.34,0.0,-0.68,-0.04,0.0,2.54,0.0,-0.07,-0.68
1,The top official with U.S. Customs and Border Protection has admitted border officers wrongly held and interrogated Iranian-born travellers — many of them Canadian and American citizens — at the Canada-U.S. border after military tensions with Iran escalated l…,"Although physicians still have no vaccine or cure for the novel coronavirus, health officials and pharmaceutical companies around the world are working hard to develop them.",1.0,222,39,6,14,5,8.2,5.6923076923076925,0,0.0,0.0,2.564102564102564,2.564102564102564,30,0,0,1,0,0,1,0,0,30,0,0,1,74.0,13.0,2.0,6.0,3.0,-17.8,0.0,0.0,-25.0,0.0,-1.28,-1.28,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,51.82,6.09,-0.43,7.75,1.27,-12.01,0.49,0.0,-16.91,0.0,-0.03,3.55,3.04,-0.05,-0.02,0.41,-0.16,0.0,-0.18,-0.04,0.0,3.04,0.0,-0.07,-0.18
2,Research involving long-term care residents tests how cannabidiol might be used therapeutically to help seniors live more comfortable lives.,"China has spent decades nurturing its tech sector. Now, faced with a massive public health crisis, Beijing is pushing its tech companies to join the fight against the novel coronavirus.",1.0,122,19,7,5,2,19.0,6.421052631578948,0,14.285714285714285,0.0,5.263157894736842,0.0,19,0,0,0,0,0,0,0,0,19,0,0,0,-34.0,-11.0,0.0,-6.0,-1.0,4.0,1.22,0.0,0.0,0.0,1.93,-3.33,-5.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-5.0,0.0,0.0,-2.0,18.49,-0.58,0.07,2.92,0.77,-10.38,0.73,0.0,-12.15,0.0,1.3,0.99,-0.46,-0.05,-0.02,0.24,-0.33,0.0,-0.35,-0.04,0.0,-0.46,0.0,-0.07,-0.35
3,"A new coronavirus is taking a growing toll on Chinese health workers on the front line of the fight to stop it, a top official said on Friday, as authorities reported more than 5,000 new cases, including more than 120 deaths.","Drug overdoses can be life threatening, but for two women who accidentally took massive hits of LSD the experience was life changing -- and in a good way.",1.0,185,41,7,12,2,41.0,4.512195121951219,0,14.285714285714285,0.0,2.4390243902439024,2.4390243902439024,28,0,0,0,2,0,0,0,0,28,0,0,0,58.0,13.0,2.0,2.0,0.0,13.0,-0.02,0.0,-25.71,0.0,-1.13,-1.13,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.57,1.59,0.32,2.25,0.52,-4.06,0.38,0.0,-9.77,0.0,1.26,0.32,0.04,-0.05,-0.02,0.16,0.09,0.0,-0.43,-0.04,0.0,0.04,0.0,-0.07,-0.43
4,A World Health Organization expert stresses the importance of keeping politics out of discussions about the coronavirus outbreak.,"President Donald Trump keeps telling us not to worry, that the fast-spreading COVID-19, the coronavirus, is ""going to go away,"" soon, probably by ""April,"" and that a vaccine is ""close."" The experts, including federally-employed top scientists, say he's wrong …",1.0,112,18,2,9,2,18.0,6.222222222222222,0,0.0,0.0,0.0,11.11111111111111,14,0,0,0,0,0,0,0,0,14,0,0,0,-109.0,-22.0,-8.0,-1.0,0.0,-2.5,0.7,0.0,-20.0,0.0,-2.5,6.11,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,0.0,-1.0,0.0,2.42,-1.71,-0.53,1.25,0.37,-4.87,0.51,0.0,-11.19,0.0,0.75,1.65,-2.46,-0.05,-0.02,0.11,-0.06,0.0,-0.48,-0.04,0.0,-2.46,0.0,-0.07,-0.48
5,"To test how prevalent counterfeits are online, Marketplace purchased dozens of well-known products from five popular online retailers: AliExpress, Amazon, eBay, Walmart and Wish. More than half were suspected knockoffs.","As an outbreak of a novel coronavirus has swept through Hubei province, China, the US Centers for Disease Control and Prevention has been preparing for its worst case scenario -- a widespread outbreak of illnesses in the United States.",1.0,190,30,5,13,3,15.0,6.333333333333333,0,40.0,0.0,6.666666666666667,0.0,30,0,0,0,1,0,0,0,0,30,0,0,0,-7.0,-9.0,0.0,-3.0,1.0,-24.0,1.28,0.0,20.0,0.0,6.67,-7.69,3.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,3.0,0.0,0.0,-1.0,5.32,-1.91,-0.6,1.25,0.43,-5.91,0.61,0.0,-5.48,0.0,1.51,0.68,-1.46,-0.05,-0.02,0.08,0.01,0.0,-0.51,-0.04,0.0,-1.46,0.0,-0.07,-0.51
6,"Two MPs - one Conservative, one Liberal - are proposing new laws on two very controversial topics: abortion and hard drug use. They may be acting out of conviction, but they're putting their party leaders under pressure.","As airlines upgrade their fleets with more environmentally compliant planes, the need for efficent aircraft disposal methods is more pressing than ever. We take a look at one company that's stepped in to fill the void.",1.0,184,37,7,12,3,18.5,4.972972972972973,0,28.57142857142857,0.0,0.0,5.405405405405405,33,0,0,0,4,0,2,0,0,33,0,0,2,1.0,1.0,0.0,1.0,0.0,0.5,-0.11,0.0,14.29,0.0,-2.78,5.41,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6.54,-1.05,-0.36,1.11,0.48,-6.15,0.49,0.0,-3.03,0.0,1.11,0.77,-0.32,-0.05,-0.02,0.05,0.48,0.0,-0.25,-0.04,0.0,-0.32,0.0,-0.07,-0.25
7,"Democratic presidential candidates traded jabs over money and message on Sunday, two days before New Hampshire voters pick their choice to take on U.S. Republican President Donald Trump in November.","British Prime Ministe is facing calls to sack a controversial advisor who has previously said that black Americans have lower IQs than white Americans and has voiced support for compulsory contraception in order to prevent the creation of a ""permanent undercl…",1.0,169,30,3,16,4,10.333333333333334,5.633333333333334,0,0.0,0.0,0.0,0.0,28,0,0,0,1,0,1,0,0,28,0,0,1,-51.0,-11.0,-6.0,3.0,3.0,-30.67,0.27,0.0,-11.11,0.0,-2.44,-4.88,-5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-5.0,0.0,0.0,1.0,5.57,-1.29,-0.68,1.5,0.64,-7.35,0.48,0.0,-4.77,0.0,0.81,0.15,-0.09,-0.05,-0.02,0.04,0.46,0.0,-0.18,-0.04,0.0,-0.09,0.0,-0.07,-0.18
8,"WARNING: This story contains disturbing details. Ten women filed a civil class-action lawsuit Thursday accusing one of Canada’s wealthiest businessmen and clothing manufaturers, Peter Nygard, of raping them at his seaside mansion in the Bahamas, and operating…","As the novel coronavirus outbreak continues to batter China, the country's central bank has implemented a new strategy to contain the virus -- deep cleaning and destroying potentially infected cash.",1.0,224,37,5,18,2,18.5,6.054054054054054,0,0.0,0.0,0.0,8.108108108108109,33,0,0,0,2,0,2,0,0,33,0,0,2,55.0,7.0,-1.0,9.0,0.0,-11.5,0.42,0.0,0.0,0.0,0.0,-1.89,8.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,2.0,10.93,-0.69,-0.71,2.03,0.55,-7.38,0.52,0.0,-6.11,0.0,0.57,0.58,0.65,-0.05,-0.02,0.02,0.56,0.0,-0.01,-0.04,0.0,0.65,0.0,-0.07,-0.01
9,"Language has a lot of power, and labelling people as 'addicts' lowers self-esteem, adds to social isolation, and can prevent people from getting needed care, writes Dr. Laura MacKinnon.",Visitors to the famously liberal Dutch capital could be restricted from accessing coffee shops after a survey reveals many young visitors only come to Amsterdam to experience its drug culture.,1.0,157,29,9,12,3,14.5,5.413793103448276,0,0.0,0.0,0.0,3.4482758620689653,25,0,0,0,0,0,0,0,0,25,0,0,0,-6.0,-1.0,2.0,2.0,1.0,-15.5,-0.02,0.0,-14.29,0.0,-3.33,0.11,-2.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-2.0,0.0,0.0,-1.0,8.52,-1.01,-0.33,1.85,0.57,-7.81,0.49,0.0,-7.19,0.0,0.39,0.45,0.44,-0.05,-0.02,0.01,0.44,0.0,-0.08,-0.04,0.0,0.44,0.0,-0.07,-0.08
