,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,A renowned Canadian doctor and emergencies specialist is leading a team of international experts investigating the coronavirus outbreak on the ground in China.,"White House officials have privately weighed appointing a czar to oversee the administration's response to the growing novel coronavirus outbreak, despite public denials by members of the administration, sources inside the administration and advisers close to…",1.0,137.0,23.0,3.0,9.0,2.0,23.0,5.956521739130435,0.0,33.33333333333333,0.0,8.695652173913043,4.3478260869565215,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,-88.0,-13.0,-2.0,-6.0,1.0,-13.0,-0.29,0.0,33.33,0.0,8.7,1.57,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,-35.56,-10.22,-3.0,-2.6,0.0,-4.26,0.73,-0.02,19.15,0.0,6.67,0.5,-6.11,-0.02,-0.04,-0.04,-0.38,-0.13,-0.4,-0.02,0.0,-6.11,-0.02,-0.13,-0.4
1,"Biden, Bloomberg 'both wrong' about Trump cutting CDC, NIH funding, AP fact check says Fox News Mike Bloomberg's Height Might Actually Hurt His Election Chances Against Trump, History Shows Newsweek Bloomberg targets Trump's 'reckless CDC cuts' in new coronav…","Most of the Americans who were being monitored at the University of Nebraska Medical Center for coronavirus after evacuating a cruise ship in Japan tested positive for the virus, the hospital says.",1.0,222.0,39.0,3.0,29.0,1.0,39.0,5.6923076923076925,0.0,0.0,0.0,0.0,2.564102564102564,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,56.0,7.0,-3.0,18.0,-1.0,7.0,0.5,0.0,-16.67,0.0,-3.12,-0.56,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,6.94,-2.22,-3.0,7.4,-0.5,3.74,0.6,-0.02,2.49,0.0,2.32,-0.4,1.89,-0.02,-0.04,-0.04,-0.38,-0.13,-0.4,-0.02,0.0,1.89,-0.02,-0.13,-0.4
2,"CBC's head of news, Jennifer McGuire, is stepping down after more than a decade in the role and leaving CBC at the end of this week, the public broadcaster announced Thursday.","Although physicians still have no vaccine or cure for the novel coronavirus, health officials and pharmaceutical companies around the world are working hard to develop them.",1.0,145.0,31.0,4.0,12.0,2.0,31.0,4.67741935483871,0.0,25.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,-3.0,5.0,0.0,4.0,0.0,5.0,-1.01,0.0,0.0,0.0,-3.85,-3.85,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-4.56,-2.22,-2.67,5.07,-0.33,3.74,0.22,-0.02,5.27,0.0,0.87,-1.55,0.89,-0.02,-0.04,-0.04,-0.38,-0.13,-0.4,-0.02,0.0,0.89,-0.02,-0.13,-0.4
3,"Medical experts say coronavirus COVID-19 and Ebola outbreaks show that robotic medicine can help fight infectious disease, but the goal needs to be applications in everyday health care.","It has been more than a month since the World Health Organization declared the novel coronavirus a public health emergency of international concern. Since the outbreak began, there have been more than 90,000 cases of the virus worldwide and more than 3,100 de…",1.0,158.0,28.0,7.0,9.0,2.0,28.0,5.642857142857143,0.0,14.285714285714285,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,-60.0,-15.0,1.0,-4.0,0.0,6.5,0.57,0.0,-19.05,0.0,0.0,-9.3,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-7.06,-2.97,-1.75,3.15,-0.25,2.99,0.27,-0.02,3.98,0.0,0.15,-2.12,0.89,-0.02,-0.04,-0.04,-0.38,-0.13,-0.4,-0.02,0.0,0.89,-0.02,-0.13,-0.4
4,"Thanks to artificial intelligence, the start-up BlueDot was able to predict the initial spread of coronavirus quicker than public health authorities. The technology, which incorporates natural language processing and machine learning, has been used for Zika v…","Laurie Garrett, an expert on pandemics and author of ""Ebola: Story of an Outbreak,"" spoke to CNN's Bianca Nobilo about what she thinks is behind the spike in novel coronavirus cases in China.",1.0,224.0,37.0,6.0,15.0,2.0,18.5,6.054054054054054,0.0,33.33333333333333,0.0,5.405405405405405,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,65.0,4.0,3.0,0.0,0.0,-14.5,1.24,0.0,0.0,0.0,5.41,0.0,6.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,6.0,0.0,0.0,-1.0,4.64,-1.62,-1.4,3.2,-0.2,0.64,0.38,-0.02,7.01,0.0,0.79,-2.47,1.89,-0.02,-0.04,-0.04,-0.38,-0.13,-0.4,-0.02,0.0,1.89,-0.02,-0.13,-0.4
5,"""In short, we may only be seeing the tip of the iceberg,"" Tedros Adhanom Ghebreyesus, director-general of the World Health Organization, said in a tweet on Sunday.","The coronavirus that emerged from Wuhan, China, last year is causing alarm across the world, with fear that this could become the next pandemic. Late last month, the World Health Organization declared the virus, named COVID-19, a ""Public Health Emergency of I…",1.0,137.0,27.0,4.0,10.0,2.0,27.0,5.074074074074074,0.0,25.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,1.0,0.0,-82.0,-15.0,-3.0,-7.0,0.0,6.0,-0.14,0.0,10.71,0.0,0.0,-7.14,-10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-10.0,0.0,1.0,0.0,-2.06,-2.39,-1.5,2.4,-0.17,0.49,0.29,-0.02,7.65,0.0,0.32,-2.7,0.72,-0.02,-0.04,-0.04,-0.38,0.03,-0.4,-0.02,0.0,0.72,-0.02,0.03,-0.4
6,"Mulvaney, who also heads the Office of Management and Budget, also said that there will ""probably"" be school closures and transportation issues due to the impact of the virus.","Before getting into what Naomi Campbell has to say, it is impossible to ignore what Naomi Campbell projects: A kind of surreal, cyborg beauty. She is what I imagine a 3D printout of what a perfect otherworldly woman would look like.",1.0,147.0,29.0,4.0,10.0,2.0,29.0,5.068965517241379,0.0,25.0,0.0,0.0,6.896551724137931,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,-45.0,-12.0,-5.0,0.0,-1.0,8.5,0.39,0.0,2.78,0.0,-9.76,2.02,-5.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-5.0,-1.0,0.0,-1.0,-5.41,-2.65,-1.57,1.83,-0.14,0.67,0.23,-0.02,8.1,0.0,-0.01,-1.88,-0.4,-0.02,-0.04,-0.04,-0.38,0.01,-0.4,-0.02,0.0,-0.4,-0.02,0.01,-0.4
7,"Former Vice President Joe Biden on Sunday criticized President Donald Trump's response to the coronavirus outbreak here in the U.S., saying Trump's administration was largely unprepared.","The White House is requiring health officials to get approval before making public statements about the coronavirus, sources tell CNN. Ron Klain, who served as the Ebola response coordinator under President Obama, discusses the decision.",1.0,161.0,26.0,3.0,14.0,4.0,9.333333333333334,6.1923076923076925,0.0,33.33333333333333,0.0,0.0,11.538461538461538,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,-42.0,-9.0,-4.0,-3.0,1.0,-8.17,0.39,0.0,19.05,0.0,-2.86,11.54,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,-6.18,-3.22,-1.75,1.9,0.12,-1.65,0.32,-0.02,9.48,0.0,-0.26,-0.68,-1.24,-0.02,-0.04,-0.04,-0.38,-0.01,-0.4,-0.02,0.0,-1.24,-0.02,-0.01,-0.4
8,"""How quickly that can be deployed will depend on some of the early data that we have, some animal data, what we will see in patients,"" Regeneron CEO Leonard Schleifer told CNBC.","A patient being treated for novel coronavirus at UC Davis Medical Center was admitted to the facility last week but wasn't tested until Sunday, according to a letter sent to UC Davis staff and obtained by CNN.",1.0,146.0,32.0,9.0,8.0,2.0,32.0,4.5625,0.0,11.11111111111111,0.0,0.0,0.0,24.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,24.0,0.0,2.0,0.0,-27.0,-5.0,0.0,-6.0,0.0,-5.0,-0.11,0.0,0.0,0.0,-2.7,0.0,-6.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,-6.0,0.0,2.0,0.0,-8.44,-3.0,-1.22,1.29,0.11,-0.94,0.21,-0.02,8.09,0.0,-0.46,-1.03,-1.44,-0.02,-0.04,0.18,-0.38,0.2,-0.4,-0.02,0.0,-1.44,-0.02,0.2,-0.4
9,Canadian hospitals are preparing for the next phase of the COVID-19 epidemic.,"Although physicians still have no vaccine or cure for the novel coronavirus, health officials and pharmaceutical companies around the world are working hard to develop them.",1.0,66.0,12.0,2.0,4.0,2.0,12.0,5.5,0.0,50.0,0.0,0.0,8.333333333333332,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,-82.0,-14.0,-2.0,-4.0,0.0,-14.0,-0.19,0.0,25.0,0.0,-3.85,4.49,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,0.0,0.0,0.0,-18.26,-4.82,-1.5,0.4,0.1,-2.37,0.22,-0.02,10.86,0.0,-0.62,-0.48,-3.01,-0.02,-0.04,0.16,-0.38,0.17,-0.4,-0.02,0.0,-3.01,-0.02,0.17,-0.4
10,"Canadian doctor stops shaking hands and advises people to use another form of acknowledgment, such as putting their hands in prayer, bowing or just smiling and looking someone in the eyes when saying hello.","A majority of Americans say they are at least somewhat confident the federal government can prevent a nationwide epidemic of novel coronavirus, according to a new CNN poll conducted by SSRS, but only about half say the government has done a good job of contai…",1.0,173.0,34.0,8.0,11.0,2.0,34.0,5.088235294117647,0.0,0.0,0.0,2.941176470588235,0.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,1.0,-43.0,-11.0,-1.0,-1.0,1.0,-11.0,0.29,0.0,-11.11,0.0,-1.5,-2.22,-5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.0,0.0,0.0,1.0,-16.56,-4.31,-1.18,0.31,0.09,-1.54,0.19,-0.02,8.58,0.0,-0.48,-0.79,-2.66,-0.02,-0.04,0.14,-0.38,0.14,-0.31,-0.02,0.0,-2.66,-0.02,0.14,-0.31
11,"President Donald Trump said Wednesday in an address from the White House that the risk to the U.S. from the deadly coronavirus ""remains very low.""","Vanessa Kerry writes that the story of Osmel Martinez Azcue, a man charged over $3,000 for taking responsible action and visiting a hospital to be screened for the novel coronavirus after he returned from China with flu-like symptoms, proves that if we are go…",1.0,122.0,25.0,2.0,10.0,4.0,6.75,4.88,0.0,0.0,0.0,0.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,-95.0,-19.0,-7.0,-3.0,3.0,-37.25,-0.05,0.0,-22.22,0.0,-2.27,5.73,-17.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-17.0,0.0,-1.0,-1.0,-19.39,-4.64,-1.42,0.15,0.25,-3.12,0.14,-0.02,6.69,0.0,-0.61,-0.38,-3.11,-0.02,-0.04,0.12,-0.38,0.12,-0.32,-0.02,0.0,-3.11,-0.02,0.12,-0.32
12,"Dr. Bonnie Henry's briefing Saturday was described as a 'masterclass in communicating compassion,' and highlights the physical and emotional tolls of public health work in times of crisis.",The Trump administration's efforts and ambitions to reduce the size of government could hamper agencies integral to responding to the coronavirus.,1.0,161.0,28.0,4.0,12.0,3.0,14.0,5.75,0.0,25.0,0.0,7.142857142857142,3.571428571428571,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,35.0,7.0,0.0,4.0,1.0,-7.0,-0.25,0.0,25.0,0.0,2.38,-1.19,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,-18.79,-4.68,-1.46,0.17,0.31,-3.9,0.17,-0.02,7.01,0.0,-0.17,-0.37,-3.26,-0.02,-0.04,0.11,-0.38,0.1,-0.32,-0.02,0.0,-3.26,-0.02,0.1,-0.32
13,"A fund set up by the World Bank three years ago to help fight infectious diseases has done more to rack up fees for bankers and investors than it has to help doctors battle outbreaks, say some critics.","The White House is in the midst of a sharp dispute with Senate Democrats over the amount of money needed to address the threat of the novel coronavirus, even as federal health officials warn that it's no longer a matter of ""if"" but ""when"" the US will have to …",1.0,164.0,38.0,8.0,12.0,2.0,38.0,4.315789473684211,0.0,0.0,0.0,0.0,2.631578947368421,29.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,29.0,0.0,0.0,1.0,-47.0,-12.0,0.0,-2.0,1.0,-12.0,0.1,0.0,-12.5,0.0,-2.0,-1.37,-8.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-8.0,0.0,0.0,1.0,-18.06,-4.01,-1.21,0.19,0.29,-2.86,0.1,-0.02,5.49,0.0,-0.3,-0.43,-2.9,-0.02,-0.04,0.17,-0.31,0.08,-0.26,-0.02,0.0,-2.9,-0.02,0.08,-0.26
