,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"China's president visits health centre as coronavirus death toll rises CBC.ca Coronavirus: Senior Chinese officials 'removed' as death toll hits 1,000 BBC News Coronavirus outbreak: City of Wuhan recorded by American teacher | USA TODAY USA TODAY The coronavi…",Federal Reserve chairman Jerome Powell on Tuesday warned Congress that the coronavirus could hurt the global economy.,1.0,222.0,39.0,5.0,25.0,2.0,20.0,5.6923076923076925,0.0,0.0,0.0,0.0,12.82051282051282,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,121.0,22.0,2.0,16.0,0.0,3.0,-0.25,0.0,0.0,0.0,0.0,1.06,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,53.49,6.42,-0.37,12.96,-0.27,-4.78,0.5,-0.03,-14.58,0.0,-1.83,8.66,2.1,-0.08,-0.04,-0.09,0.59,-0.02,-0.69,0.0,0.0,2.1,-0.03,-0.05,-0.69
1,"COVID-19: Here's what's happening around the world Tuesday CBC.ca While other countries battle mushrooming coronavirus outbreaks, China claims victory is 'not far' The Globe and Mail Coronavirus: China orders travellers quarantined amid outbreak BBC News LILL…","The US economy added 273,000 jobs in February, the US Bureau of Labor Statistics said Friday.",1.0,225.0,36.0,7.0,19.0,2.0,18.5,6.25,0.0,14.285714285714285,0.0,2.7777777777777777,2.7777777777777777,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,147.0,20.0,5.0,10.0,0.0,2.5,1.38,0.0,14.29,0.0,2.78,2.78,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,54.99,4.92,0.63,9.96,-0.27,-5.53,0.78,-0.03,-7.43,0.0,-0.44,3.64,4.6,-0.08,-0.04,-0.09,0.59,-0.02,-0.69,0.0,0.0,4.6,-0.03,-0.05,-0.69
2,It's been five years since Dan Price took a massive pay cut so he could raise his employees' salary — and he says the experiment has been a resounding success.,CNN's Alisyn Camerota speaks with South Carolina voters about Democratic candidate Mike Bloomberg and the economy ahead of the state's primary.,1.0,130.0,30.0,8.0,9.0,2.0,30.0,4.333333333333333,0.0,25.0,0.0,6.666666666666667,0.0,24.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,24.0,0.0,0.0,3.0,7.0,9.0,7.0,-3.0,0.0,9.0,-1.52,0.0,25.0,0.0,6.67,0.0,5.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,23.82,2.42,1.3,5.63,-0.27,-1.94,0.24,-0.03,-1.48,0.0,1.32,1.04,2.1,-0.08,0.29,-0.09,0.59,-0.02,0.31,0.0,0.0,2.1,-0.03,-0.05,0.31
3,California-based technology reporter Kari Paul and her partner were left stranded in the woods when their rental app-powered smart car lost connection to their cellphones and shut down.,"Fareed gives his take on the folly of Trump's fixation on trade deficits, which have actually risen during his term amid a booming economy.",1.0,158.0,28.0,5.0,10.0,2.0,28.0,5.642857142857143,0.0,20.0,0.0,3.571428571428571,3.571428571428571,24.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,24.0,0.0,0.0,4.0,42.0,4.0,2.0,1.0,0.0,4.0,0.81,0.0,20.0,0.0,-0.6,3.57,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,15.24,0.67,0.88,3.71,-0.27,-0.65,0.29,-0.03,0.25,0.0,1.43,0.63,0.85,-0.08,0.21,-0.09,0.34,-0.02,1.06,0.0,0.0,0.85,-0.03,-0.05,1.06
4,"The novel coronavirus has led to a global decline in consumption and production, and as the global economy weakens action by the Bank of Canada becomes more likely.",White House trade adviser Peter Navarro debates the economy and job growth numbers between the Obama and Trump administrations with CNN's Poppy Harlow.,1.0,137.0,28.0,4.0,9.0,2.0,28.0,4.892857142857143,0.0,0.0,0.0,3.571428571428571,3.571428571428571,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,8.0,5.0,3.0,-7.0,0.0,5.0,-0.72,0.0,0.0,0.0,3.57,3.57,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.89,-0.38,0.43,2.36,-0.27,0.12,0.17,-0.03,-2.72,0.0,1.49,0.38,-0.3,-0.08,0.16,-0.09,0.19,-0.02,0.71,0.0,0.0,-0.3,-0.03,-0.05,0.71
5,"Central bankers are waking up to dramatically overhauled expectations about interest rates, as the coronavirus that started in China and is now creeping around the world rewrites their plans as quickly as the virus spreads.",Stocks fluctuated wildly on Tuesday after the Federal Reserve slashed interest rates by a half point to help protect the US economy against the fallout from coronavirus.,1.0,189.0,35.0,6.0,10.0,2.0,35.0,5.4,0.0,33.33333333333333,0.0,0.0,5.714285714285714,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,0.0,0.0,1.0,46.0,8.0,2.0,-1.0,0.0,8.0,0.1,0.0,33.33,0.0,-3.7,-1.69,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,8.32,0.09,0.47,1.63,-0.27,1.81,0.18,-0.03,0.86,0.0,0.94,0.58,0.1,-0.08,0.13,-0.09,0.09,-0.02,0.64,0.0,0.0,0.1,-0.03,-0.05,0.64
6,"A global recession would likely kill more people than the coronavirus, a Canadian expert says.",CNN's Alison Kosik speaks to Jake Tapper about the significant drop in stocks due to coronavirus fears and the impacts it has had on the global economy.,1.0,80.0,15.0,3.0,5.0,2.0,15.0,5.333333333333333,0.0,0.0,0.0,0.0,13.333333333333334,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,-46.0,-12.0,-2.0,-4.0,0.0,-12.0,0.67,0.0,0.0,0.0,-3.7,9.63,-7.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-7.0,0.0,0.0,-1.0,-5.51,-2.44,0.06,0.39,-0.27,0.15,0.18,-0.03,-1.34,0.0,0.54,1.81,-1.61,-0.08,0.1,-0.09,0.02,-0.02,0.45,0.0,0.0,-1.61,-0.03,-0.05,0.45
7,"Finance Minister Bill Morneau and his G7 counterparts wrapped up a conference call Tuesday vowing to use every fiscal tool necessary to limit the economic harm of COVID-19, the respiratory illness caused by the novel coronavirus that is spreading around the g…","Democratic presidential candidate Tom Steyer took a shot at rival Sen. Bernie Sanders (I-VT), stating that there should be no government takeover of the economy and pushed back at the idea that the race to the nomination is over.",1.0,219.0,42.0,7.0,16.0,1.0,42.0,5.214285714285714,0.0,14.285714285714285,0.0,0.0,7.142857142857142,36.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,0.0,0.0,1.0,28.0,3.0,1.0,2.0,-2.0,22.5,0.32,0.0,-19.05,0.0,0.0,4.58,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,1.49,-0.96,0.26,0.83,-0.39,2.29,0.16,-0.03,-1.21,0.0,0.25,1.95,-0.27,-0.08,0.21,-0.09,-0.03,-0.02,0.43,0.0,0.0,-0.27,-0.03,-0.05,0.43
8,"Bombardier Inc. has reached a preliminary deal to sell its transportation division to France-based Alstom SA for more than $7 billion US, the Wall Street Journal reported on Sunday.",China is slowly getting back to work on Monday after the deadly coronavirus outbreak forced many parts of the country to extend the Lunar New Year holiday by more than a week. But it's still far from business as usual in the world's second-largest economy.,1.0,153.0,29.0,4.0,12.0,3.0,14.5,5.275862068965517,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,1.0,-59.0,-16.0,-2.0,-1.0,0.0,-8.0,0.56,0.0,-16.67,0.0,-2.22,-6.67,-12.0,0.0,0.0,-1.0,2.0,0.0,1.0,0.0,0.0,-12.0,0.0,0.0,1.0,-0.4,-1.25,0.08,0.74,-0.27,0.89,0.15,-0.03,-2.7,0.0,0.02,1.27,-0.23,-0.08,0.18,-0.09,0.15,-0.02,0.42,0.0,0.0,-0.23,-0.03,-0.05,0.42
9,"A union representative called Bombardier's sale of its remaining shares in the A220 commercial jet program — formerly known as the C Series — ""the best-case scenario,"" while an aerospace expert said it's a ""sad' day for Quebec.","Wendi Williams, who describes herself as a teacher in Virginia Beach, shared a video showing a man repeatedly pushing her reclined seat on an American Airlines flight. The video has gone viral, but the debate over reclining seats in economy isn't new. CNN's R…",1.0,190.0,38.0,5.0,18.0,2.0,38.0,5.0,0.0,0.0,0.0,0.0,2.631578947368421,34.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,0.0,0.0,1.0,-27.0,-6.0,-3.0,2.0,-1.0,23.33,0.07,0.0,0.0,0.0,0.0,2.63,-3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-3.0,0.0,0.0,-1.0,1.79,-0.58,0.03,1.26,-0.27,2.12,0.12,-0.03,-3.89,0.0,-0.17,0.99,0.5,-0.08,0.16,-0.09,0.09,-0.02,0.41,0.0,0.0,0.5,-0.03,-0.05,0.41
