,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,‘It hurts’: Student swimmer reacts to Ontario teacher strikes CBC.ca Entire Ontario public school system to be shut down Feb. 21 due to teachers strike Global News Ontario teachers announce provincewide strike CBC News Egan: Hello teach? Not following this le…,"NBA star LeBron James has given the inaugural graduating class of his I Promise School the gift that will last a lifetime: a free college education. Watch ""Full Circle"" every weeknight at 5pm E.T.",1.0,220.0,41.0,7.0,25.0,3.0,10.5,5.365853658536586,1.0,14.285714285714285,0.0,0.0,7.317073170731707,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,57.0,7.0,2.0,10.0,-1.0,-1.17,0.57,1.0,14.29,0.0,-2.94,7.32,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,44.44,7.32,1.21,12.66,0.81,-15.0,0.1,0.98,0.83,0.0,-2.56,4.53,0.71,-0.01,-0.02,-0.14,0.48,-0.09,-0.89,-0.03,0.0,0.71,-0.06,-0.1,-0.89
1,Sask. teachers vote in favour of job action mandate CBC.ca Saskatchewan teachers vote in favour of job action over contract dispute The Globe and Mail View Full coverage on Google News,"The United States ranks lower than 38 other countries on measurements of children's survival, health, education and nutrition -- and every country in the world has levels of excess carbon emissions that will prevent younger generations from a healthy and sust…",1.0,154.0,31.0,3.0,20.0,3.0,10.666666666666666,4.967741935483871,0.0,0.0,0.0,6.451612903225806,3.225806451612903,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,-66.0,-10.0,-1.0,5.0,2.0,-30.33,-0.4,0.0,0.0,0.0,1.57,3.23,-19.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-19.0,0.0,0.0,0.0,11.44,2.32,-0.79,10.16,0.81,-14.91,-0.1,0.48,-6.31,0.0,0.67,2.49,-5.29,-0.01,-0.02,-0.14,-0.02,-0.09,-0.89,-0.03,0.0,-5.29,-0.06,-0.1,-0.89
2,"COVID-19: Here's what's happening around the world Tuesday CBC.ca While other countries battle mushrooming coronavirus outbreaks, China claims victory is 'not far' The Globe and Mail Coronavirus: China orders travellers quarantined amid outbreak BBC News LILL…","While Democratic presidential candidates are proposing sweeping student loan forgiveness programs, President Donald Trump's budget proposes eliminating one that already exists for public workers -- for the fourth year in a row.",1.0,225.0,36.0,7.0,19.0,2.0,18.5,6.25,0.0,14.285714285714285,0.0,2.7777777777777777,2.7777777777777777,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,29.0,4.0,1.0,7.0,0.0,-13.5,0.12,0.0,-2.38,0.0,-0.35,2.78,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,24.11,2.32,-0.12,8.99,0.47,-12.27,0.27,0.31,-3.93,0.0,0.52,1.66,-1.63,-0.01,-0.02,-0.14,0.15,-0.09,-0.89,-0.03,0.0,-1.63,-0.06,-0.1,-0.89
3,Ontario's public school teachers will protest today at the legislature to coincide with a provincewide strike that will leave about two million students out of class.,"As my wife, daughters and I hiked through the woods at one of the many state parks near our home, I explained to them how we were doing three things that were simultaneously boosting our happiness at that moment.",1.0,141.0,26.0,5.0,9.0,2.0,26.0,5.423076923076923,0.0,0.0,0.0,0.0,7.6923076923076925,24.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,-33.0,-13.0,-1.0,0.0,0.0,-13.0,0.96,0.0,-33.33,0.0,-2.56,7.69,-3.0,0.0,0.0,-1.0,0.0,-3.0,-1.0,0.0,0.0,-3.0,-3.0,-3.0,-1.0,9.44,-0.18,-0.29,5.91,0.31,-9.08,0.24,0.23,-6.31,0.0,-0.25,2.47,-2.29,-0.01,-0.02,-0.14,0.48,-0.09,-0.89,-0.03,0.0,-2.29,-0.06,-0.1,-0.89
4,Ontario's beleaguered Liberals will choose a new leader today as the party looks to rebound from a devastating election and rebuild ahead of the next one in 2022.,"Valentine's Day represents different things to different people: Love, consumerism, chocolate for breakfast.",1.0,135.0,28.0,4.0,7.0,2.0,28.0,4.821428571428571,0.0,0.0,0.0,0.0,3.571428571428571,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,39.0,15.0,3.0,-1.0,0.0,15.0,-2.56,0.0,0.0,0.0,0.0,3.57,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,-0.56,-1.28,-0.59,3.66,0.21,-6.76,0.1,0.18,-7.74,0.0,-0.71,2.13,-2.69,-0.01,-0.02,-0.14,0.48,-0.09,-0.89,-0.03,0.0,-2.69,-0.06,-0.1,-0.89
5,"After insisting for years that she did nothing wrong, Ontario Sen. Lynn Beyak told her colleagues in the upper house today she now accepts that posting racist letters on her Senate website was ""ill-considered"" — and she regrets the harm she caused by describi…","Lamonte McIntyre spent 23 years behind bars for a double murder he didn't commit. On Monday, he was awarded $1.5 million to settle a lawsuit for his wrongful conviction, the Kansas Sate Attorney General's office announced.",1.0,217.0,44.0,8.0,17.0,2.0,22.0,4.931818181818182,0.0,12.5,0.0,0.0,9.090909090909092,34.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,34.0,0.0,0.0,8.0,30.0,8.0,1.0,4.0,-2.0,9.67,-0.26,0.0,-1.79,0.0,-2.78,3.54,4.0,0.0,1.0,0.0,-3.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,5.0,6.44,0.66,-0.12,3.82,0.14,-6.22,0.03,0.15,-6.61,0.0,-1.02,2.83,-1.29,-0.01,0.15,-0.14,0.32,-0.09,0.44,-0.03,0.0,-1.29,-0.06,-0.1,0.44
6,"Canada's Feminist International Assistance Policy is aimed at supporting the economic, political, and social empowerment of women and girls, but the government is falling short of the mark when it comes to addressing the Rohingya genocide and refugee crisis.","On February 19, 1942, President Franklin Delano Roosevelt gave the Secretary of War the authority to evacuate to designated military areas anyone deemed a US security threat.",1.0,220.0,39.0,7.0,14.0,2.0,39.0,5.641025641025641,0.0,28.57142857142857,0.0,5.128205128205128,7.6923076923076925,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,1.0,72.0,12.0,3.0,1.0,0.0,12.0,0.16,0.0,28.57,0.0,5.13,3.99,5.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,11.87,1.32,0.07,3.51,0.09,-3.4,0.08,0.12,-3.5,0.0,-0.51,3.13,-1.15,-0.01,0.12,-0.14,0.2,-0.09,0.4,-0.03,0.0,-1.15,-0.06,-0.1,0.4
7,"What a setting for a socialist revolution: Las Vegas. Bernie Sanders swept Sin City on Saturday, dominating the Nevada caucuses in a victory that makes the senator the unequivocal 2020 Democratic presidential frontrunner.","A Facebook account impersonating the Swain County board of elections in North Carolina. Unfounded rumors that Tarrant County, Texas, doesn't have former Vice President Joe Biden on the ballot. Wrong claims in Maine that Election Day is on different days for R…",1.0,189.0,33.0,4.0,13.0,3.0,16.5,5.7272727272727275,0.0,0.0,0.0,6.0606060606060606,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,-30.0,-9.0,-1.0,-10.0,0.0,2.5,0.51,0.0,-20.0,0.0,6.06,-2.38,-7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,12.07,1.07,-0.16,3.16,0.18,-4.1,0.13,0.1,-4.75,0.0,-0.01,2.39,-1.17,-0.01,0.1,-0.14,0.23,-0.09,0.24,-0.03,0.0,-1.17,-0.06,-0.1,0.24
8,"Wet'suwet'en hereditary chiefs in B.C. oppose the Coastal GasLink pipeline project running through their traditional territory. But Andrew Scheer says ""the vast majority of the Wet'suwet'en people"" support the project. What did the Conservative leader mean by…","The public charge rule, which goes into effect Monday, is a major step in the construction of what's known as Trump's ""invisible wall,"" a methodical overhaul of policies that's dramatically changing who can immigrate legally to the United States.",1.0,224.0,37.0,4.0,18.0,5.0,7.6,6.054054054054054,0.0,0.0,0.0,2.7027027027027026,2.7027027027027026,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,16.0,-2.0,-4.0,6.0,3.0,-31.4,0.72,0.0,-12.5,0.0,2.7,0.14,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,1.0,16.11,1.32,-0.34,3.43,0.47,-5.63,0.2,0.09,-5.71,0.0,0.01,2.11,-0.74,-0.01,0.09,-0.14,0.15,-0.09,0.22,-0.03,0.0,-0.74,-0.06,-0.1,0.22
9,"Hundreds of U.S. law enforcement agencies have partnered with Amazon's Ring doorbell camera company, despite persistent questions about privacy and data management. Windsor, Ont.'s mayor wants his city to join, too.","Former Vice President  Joe Biden fired back at Sen. Bernie Sanders (I-VT) during the South Carolina Democratic presidential debate hosted by CBS, after Sanders claimed that Barack Obama made similar comments praising Cuba's education system.",1.0,185.0,31.0,4.0,18.0,6.0,6.6,5.967741935483871,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,-21.0,-4.0,-1.0,-2.0,3.0,-10.9,0.08,0.0,0.0,0.0,-2.86,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,1.0,15.44,0.92,-0.49,3.66,0.81,-6.96,0.25,0.08,-6.49,0.0,-0.25,1.62,-0.39,-0.01,0.08,-0.14,0.08,-0.09,0.21,-0.03,0.0,-0.39,-0.06,-0.1,0.21
