,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"The Ontario Liberal leadership vote is March 7, but winning that will be the easy part of rebuilding the party, writes Jamal Abas.","A Facebook account impersonating the Swain County board of elections in North Carolina. Unfounded rumors that Tarrant County, Texas, doesn't have former Vice President Joe Biden on the ballot. Wrong claims in Maine that Election Day is on different days for R…",1.0,108,23,6,9,2,23.0,4.695652173913044,0,33.33333333333333,0.0,8.695652173913043,0.0,21,0,0,0,1,0,0,0,0,21,0,0,0,-111.0,-19.0,1.0,-14.0,-1.0,9.0,-0.52,0.0,13.33,0.0,8.7,-2.38,-13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-13.0,0.0,0.0,0.0,-64.61,-10.18,0.66,-3.79,-0.39,0.11,-0.5,-0.03,19.9,0.0,6.42,-2.73,-6.85,-0.07,-0.03,-0.21,0.4,-0.02,-0.72,-0.03,0.0,-6.85,0.0,-0.02,-0.72
1,"California moved up its primary to Super Tuesday, giving the highly populated state a shot at increased relevance in the race for the Democratic Party to choose its presidential candidate.","US officials have told Sen. Bernie Sanders that Russia is trying to help his presidential campaign as part of their efforts to meddle with the Democratic primary contest, people familiar with the matter told The Washington Post.",1.0,159,30,4,10,2,30.0,5.3,0,0.0,0.0,0.0,0.0,23,0,0,0,0,0,2,0,0,23,0,0,2,-33.0,-7.0,-3.0,-4.0,-1.0,11.5,0.11,0.0,-14.29,0.0,0.0,-2.7,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,-39.11,-6.68,-0.34,-3.29,-0.39,3.61,-0.2,-0.03,3.23,0.0,2.07,-2.73,-5.85,-0.07,-0.03,-0.21,-0.1,-0.02,0.28,-0.03,0.0,-5.85,0.0,-0.02,0.28
2,"For Steven Del Duca, winning the Ontario Liberal leadership was the easy job. Now he faces the far more difficult tasks of rebuilding his third-place party, giving Ontarians a compelling reason to vote Liberal, and taking on incumbent Premier Doug Ford.","""At last,"" say Democrats who decry the outsized influence that Iowa and New Hampshire have in picking their party's presidential nominee. It's finally time for a Democratic nominating contest -- the Nevada caucuses -- where voters reflect the party's overall …",1.0,213,41,7,15,3,20.5,5.195121951219512,0,14.285714285714285,0.0,4.878048780487805,2.4390243902439024,38,0,1,0,0,0,2,0,0,38,0,0,2,-7.0,0.0,1.0,0.0,1.0,0.0,-0.17,0.0,14.29,0.0,4.88,0.0,4.0,0.0,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,-12.61,-1.85,0.33,-1.46,-0.06,1.61,-0.14,-0.03,2.44,0.0,2.25,-1.92,-0.52,-0.07,0.3,-0.21,-0.27,-0.02,0.62,-0.03,0.0,-0.52,0.0,-0.02,0.62
3,Former U.S. vice-president Joe Biden has won South Carolina's Democratic primary.,"President Donald Trump on Sunday congratulated Vermont Sen. Bernie Sanders on ""a great win"" in the Nevada caucuses, saying he hopes the Democratic presidential candidate is ""treated fairly"" during the nominating process.",1.0,71,11,2,7,4,4.0,6.454545454545454,0,0.0,0.0,9.090909090909092,0.0,11,0,0,0,0,0,0,0,0,11,0,0,0,-118.0,-21.0,-2.0,-6.0,1.0,-12.0,0.55,0.0,-25.0,0.0,-0.28,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-16.0,0.0,0.0,-1.0,-34.86,-6.93,-0.59,-2.54,0.36,-3.52,0.21,-0.03,-1.53,0.0,3.39,-2.12,-4.6,-0.07,0.22,-0.21,-0.35,-0.02,0.28,-0.03,0.0,-4.6,0.0,-0.02,0.28
4,Sen. Bernie Sanders has promised to build a coalition broad enough to bring nothing less than a political revolution. Elections across the U.S. on Super Tuesday showed where he's falling short.,"The New England towns of Concord, Massachusetts, and Concord, New Hampshire, may only be about an hour away from each other by car, but their respective roles in American military history are miles apart.",1.0,163,31,7,10,6,6.4,5.258064516129032,0,0.0,0.0,6.451612903225806,3.225806451612903,27,0,0,0,0,0,0,0,0,27,0,0,0,-8.0,-3.0,4.0,-3.0,4.0,-27.6,0.23,0.0,-66.67,0.0,6.45,3.23,-3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-3.0,0.0,0.0,-1.0,-29.81,-5.98,-0.14,-2.59,1.01,-6.11,0.18,-0.03,-3.91,0.0,3.54,-1.6,-3.85,-0.07,0.17,-0.21,-0.4,-0.02,0.08,-0.03,0.0,-3.85,0.0,-0.02,0.08
5,"Hosni Mubarak, the Egyptian leader who for nearly 30 years was the resolute face of stability in the Mideast before being forced by the military to resign after nationwide protests that were part of the Arab world's 2011 pro-democracy upheaval, died on Tuesda…","Acting Director of National Intelligence Richard Grenell has written to his workforce promising to adopt a ""non-partisan approach"" in an apparent attempt to allay fears he'd been installed to do the bidding of President Donald Trump, who has long been at odds…",1.0,218,43,6,14,1,43.0,5.069767441860465,0,33.33333333333333,0.0,4.651162790697675,6.976744186046512,36,0,0,0,2,0,0,0,0,36,0,0,0,-1.0,1.0,-5.0,-1.0,0.0,1.0,-0.14,0.0,15.15,0.0,2.27,4.6,4.0,0.0,0.0,0.0,2.0,0.0,-1.0,0.0,0.0,4.0,0.0,0.0,-1.0,-17.28,-3.35,-0.0,-1.96,0.61,-1.74,0.13,-0.03,0.06,0.0,3.35,-0.62,-1.85,-0.07,0.14,-0.21,-0.1,-0.02,-0.05,-0.03,0.0,-1.85,0.0,-0.02,-0.05
6,Is Sanders really a socialist? Is billionaire Michael Bloomberg really an oligarch? Does any of that matter for the November election?,This week is a test for peace in Afghanistan. The Taliban have an historic opportunity to show that they have the will and the ability to reduce violence. This would pave the way for negotiations among Afghans for a comprehensive peace agreement.,1.0,114,21,3,8,1,7.0,5.428571428571429,3,0.0,0.0,0.0,0.0,17,0,0,0,0,0,0,0,0,17,0,0,0,-91.0,-21.0,-5.0,-5.0,-3.0,-7.0,0.55,3.0,-12.5,0.0,-7.14,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,-23.18,-4.61,-0.34,-2.36,0.32,-3.76,0.14,0.4,-1.87,0.0,2.54,-0.92,-3.14,-0.07,0.11,-0.21,-0.17,-0.02,-0.14,-0.03,0.0,-3.14,0.0,-0.02,-0.14
7,"Essex Mayor Larry Snively has been charged by Ontario Provincial Police (OPP) for ""procuring"" ineligible voters to cast ballots during the town's 2018 municipal election.",The Houston Astros are cheaters. That is the conclusion of an investigation by Major League Baseball: Its players had concocted a scheme to tip off its hitters in real time as to precisely which pitches they would be receiving from the opposing pitchers.,1.0,146,25,5,12,2,25.0,5.84,0,20.0,0.0,0.0,4.0,25,0,0,0,1,0,0,0,0,25,0,0,0,-66.0,-18.0,-5.0,-1.0,-1.0,3.5,0.91,0.0,-10.0,0.0,-2.33,4.0,-14.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,-14.0,0.0,0.0,-1.0,-23.61,-5.05,-0.34,-2.16,0.24,-3.03,0.21,0.34,-0.82,0.0,1.94,-0.65,-3.1,-0.07,0.09,-0.21,-0.1,-0.02,-0.22,-0.03,0.0,-3.1,0.0,-0.02,-0.22
8,Dozens of electoral district associations affiliated with the People's Party of Canada have been deregistered by Elections Canada for failing to meet their reporting requirements — just months after the party contested its first general election.,Sinn Féin wins most seats in Irish election as count continues CNN Sinn Fein surged in Ireland's election. Here's why that's so controversial CNN Irish Election Results And Analysis: 3 Big Takeways On Sinn Fein's Surge NPR Sinn Fein's gains in the Irish elect…,1.0,211,36,8,13,2,36.0,5.861111111111111,0,12.5,0.0,0.0,2.7777777777777777,30,0,0,1,0,0,2,0,0,30,0,0,2,-6.0,-8.0,3.0,-13.0,0.0,14.0,0.93,0.0,12.5,0.0,-4.55,0.51,0.0,0.0,-1.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-16.72,-4.18,-0.0,-1.9,0.17,-1.24,0.26,0.3,-0.83,0.0,1.47,-0.57,-2.52,-0.07,0.08,-0.1,-0.16,-0.02,-0.05,-0.03,0.0,-2.52,0.0,-0.02,-0.05
9,"The Islamic Jihad militant group in the Gaza Strip announced a unilateral ceasefire on Monday, calling for a halt after two days of intense fighting with Israel, just a week before the country's national elections.","Prime Minister Benjamin Netanyahu looks set to come out top in Israel's general election, according to projections made by the country's three main television stations early Tuesday, with 90% of votes counted.",1.0,180,35,3,14,2,35.0,5.142857142857143,0,0.0,0.0,0.0,2.857142857142857,30,0,0,0,1,0,0,0,0,30,0,0,0,2.0,3.0,-3.0,0.0,0.0,3.0,-0.42,0.0,0.0,0.0,-3.12,2.86,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.31,-3.58,-0.24,-1.59,0.11,0.1,0.23,0.27,-2.09,0.0,1.1,-0.5,-2.05,-0.07,0.07,-0.11,-0.1,-0.02,-0.12,-0.03,0.0,-2.05,0.0,-0.02,-0.12
10,The final results from Israel's election have confirmed that Prime Minister Benjamin Netanyahu has again fallen short of a parliamentary majority with his hard-line allies.,Nearly everything about the last year in Israeli politics has been unprecedented. A second election. A third election. A sitting Prime Minister indicted. That same Prime Minister standing next to the US President and talking about imminent annexation of Pales…,1.0,148,25,4,9,2,25.0,5.92,0,0.0,0.0,0.0,8.0,25,0,0,0,0,0,1,0,0,25,0,0,1,-73.0,-15.0,-3.0,-5.0,-3.0,17.0,0.39,0.0,-14.29,0.0,0.0,8.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,1.0,-15.25,-4.0,-0.34,-1.79,0.07,0.28,0.27,0.24,-3.12,0.0,0.79,0.02,-2.13,-0.07,0.06,-0.12,-0.15,-0.02,-0.08,-0.03,0.0,-2.13,0.0,-0.02,-0.08
11,Rivals from across France's political spectrum joined in a chorus of alarm and dismay Friday and warned that French democracy is in danger after an online leak of sexual images led an associate of French leader Emmanuel Macron to pull out of the race to becom…,"The new Russia drama is a shady tale of secret briefings, compromised trust, mysterious intelligence, improbable characters with hidden agendas and purges of American spy chiefs. But most importantly, this dark new revival of a saga that has ravaged US politi…",1.0,215,46,6,16,1,46.0,4.673913043478261,0,16.666666666666664,0.0,2.1739130434782608,10.869565217391305,32,0,0,0,0,0,0,0,0,32,0,0,0,-5.0,5.0,2.0,1.0,-1.0,25.5,-0.69,0.0,-8.33,0.0,-5.14,1.11,-2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-10.44,-2.6,-0.25,-1.37,-0.06,2.18,0.2,0.22,-2.59,0.0,0.72,0.7,-1.6,-0.07,0.05,-0.13,-0.18,-0.02,-0.13,-0.03,0.0,-1.6,0.0,-0.02,-0.13
12,"Search and rescue teams were out searching tornado-damaged structures for trapped or injured individuals, the Nashville Fire Department said. Earlier in the morning, the department had said it was responding to reports of approximately 40 collapses of structu…","Donald Trump's biggest rally might not be in a red state, or even in the United States. It's likely to be inside a cricket stadium in Gujarat state, in western India, packed as promised by the President's loyal counterpart.",1.0,223,38,7,14,2,19.0,5.868421052631579,0,28.57142857142857,0.0,0.0,2.631578947368421,33,0,0,0,1,0,1,0,0,33,0,0,1,38.0,-1.0,1.0,1.0,-1.0,-0.5,1.12,0.0,-4.76,0.0,-5.13,2.63,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,-5.76,-2.03,-0.11,-1.17,-0.08,1.72,0.24,0.2,-1.23,0.0,0.49,0.64,-1.08,-0.07,0.05,-0.13,-0.14,-0.02,-0.1,-0.03,0.0,-1.08,0.0,-0.02,-0.1
13,"Ahead of Israel's third election in less than 12 months, no single issue seems to have moved the needle significantly enough to swing voters in one direction or another — leading to predictions of a fourth poll in the fall.","President Donald Trump made 56 false claims last week -- repeating one of his conspiracy theories about the 2016 election, promoting new fiction about impeachment witness Lt. Col. Alexander Vindman, and inflating his accomplishments and his standing in the po…",1.0,184,40,5,10,2,40.0,4.6,0,0.0,0.0,5.0,5.0,30,0,0,0,2,0,0,0,0,30,0,0,0,-37.0,0.0,1.0,-7.0,-1.0,26.67,-0.93,0.0,0.0,0.0,2.5,-2.5,-1.0,0.0,0.0,0.0,-1.0,0.0,-3.0,0.0,0.0,-1.0,0.0,0.0,-3.0,-4.54,-1.39,-0.12,-1.29,-0.1,2.82,0.18,0.18,-2.1,0.0,0.65,0.75,-0.85,-0.07,0.04,-0.14,-0.03,-0.02,-0.14,-0.03,0.0,-0.85,0.0,-0.02,-0.14
14,"The United States and the Taliban are on target to sign a peace agreement next week after a seven-day period of reduced violence, American and Taliban officials said Friday.",Microsoft teamed up with a small Wisconsin town to test its cutting edge election security system called ElectionGuard. The tech giant says it can thwart hackers and help win back voters' trust in elections. Here's how.,1.0,145,29,3,13,2,29.0,5.0,0,33.33333333333333,0.0,3.4482758620689653,0.0,23,0,0,0,0,0,0,0,0,23,0,0,0,-39.0,-7.0,-5.0,-2.0,-2.0,17.0,-0.11,0.0,33.33,0.0,-2.11,-2.78,-13.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-13.0,0.0,0.0,-2.0,-6.08,-1.58,-0.27,-1.19,-0.12,3.04,0.16,0.17,-0.63,0.0,0.68,0.52,-1.12,-0.07,0.04,-0.14,-0.07,-0.02,-0.18,-0.03,0.0,-1.12,0.0,-0.02,-0.18
