,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,CBC's Marketplace rounds up the consumer and health news you need from the week.,"Multiple outbreaks of the novel coronavirus outside of mainland China have continued to worsen, as experts warn we may be approaching pandemic levels.",1.0,67.0,14.0,2.0,6.0,2.0,14.0,4.785714285714286,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,-61.0,-9.0,-4.0,-1.0,0.0,-9.0,-0.78,0.0,-16.67,0.0,0.0,-4.35,-9.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-9.0,0.0,-1.0,1.0,-93.55,-16.7,-3.45,-6.0,-0.15,-10.53,-0.44,0.0,-9.05,0.0,-1.7,-3.11,-14.0,0.0,0.0,-0.1,-0.4,-0.05,0.55,-0.05,0.0,-14.0,0.0,-0.05,0.55
1,"Syrian troops backed by Russian forces have been battling since December to eradicate the last rebel strongholds in the region in a war that has killed an estimated 400,000 Syrians and left much of Syria in ruins.","The Trump administration wants to slash billions of dollars in federal support from Medicaid, food stamps and other safety net programs for the poor, while largely sparing the Medicare program that benefits seniors.",1.0,177.0,37.0,9.0,10.0,2.0,37.0,4.783783783783784,0.0,11.11111111111111,0.0,0.0,5.405405405405405,32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,-6.0,4.0,6.0,-5.0,0.0,4.0,-0.76,0.0,11.11,0.0,-6.06,2.38,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-38.55,-5.2,0.05,-4.0,-0.15,0.97,-0.44,0.0,-3.49,0.0,-1.7,-0.41,-4.0,0.0,0.0,-0.1,0.1,-0.05,0.05,-0.05,0.0,-4.0,0.0,-0.05,0.05
2,"On Friday morning, more than 200 Canadian and permanent residents received their official authorization to leave their two-week coronavirus quarantine at an army base in Ontario. They talk about the challenges of the experience and what they plan to do with t…",The Centers for Disease Control and Prevention announced an investigation into a multi-state E. coli outbreak they believe is linked to Jimmy John's.,1.0,219.0,42.0,5.0,12.0,2.0,21.0,5.214285714285714,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,34.0,0.0,0.0,3.0,92.0,19.0,0.0,3.0,-1.0,9.5,-0.31,0.0,-20.0,0.0,0.0,-4.35,11.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,11.0,0.0,0.0,3.0,-6.22,0.3,-0.12,-2.67,-0.15,-0.53,-0.3,0.0,-5.34,0.0,-1.7,-1.31,0.0,0.0,0.0,-0.1,0.27,-0.05,0.88,-0.05,0.0,0.0,0.0,-0.05,0.88
3,"Canada's Feminist International Assistance Policy is aimed at supporting the economic, political, and social empowerment of women and girls, but the government is falling short of the mark when it comes to addressing the Rohingya genocide and refugee crisis.","The US Food and Drug Administration has issued a warning letter to the Jimmy John's sandwich chain, saying certain vegetables it served were implicated in five outbreaks of E. coli or salmonella in the past seven years.",1.0,220.0,39.0,7.0,14.0,2.0,39.0,5.641025641025641,0.0,28.57142857142857,0.0,5.128205128205128,7.6923076923076925,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,1.0,37.0,2.0,1.0,-2.0,-1.0,20.5,0.7,0.0,11.9,0.0,5.13,4.99,-5.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,10.2,2.3,0.3,-1.5,-0.15,3.23,-0.12,0.0,0.87,0.0,-0.42,0.16,0.5,0.0,0.0,-0.1,0.1,-0.05,0.8,-0.05,0.0,0.5,0.0,-0.05,0.8
4,"A global recession would likely kill more people than the coronavirus, a Canadian expert says.","The US Food and Drug Administration announced Wednesday it is requiring a boxed warning -- the agency's most prominent warning -- for the asthma and allergy medication montelukast, sold under the brand name Singulair.",1.0,80.0,15.0,3.0,5.0,2.0,15.0,5.333333333333333,0.0,0.0,0.0,0.0,13.333333333333334,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,-104.0,-19.0,-1.0,-9.0,0.0,-19.0,-0.08,0.0,-25.0,0.0,-2.94,4.51,-10.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-10.0,0.0,0.0,-1.0,-7.95,-1.3,-0.25,-2.6,-0.15,0.68,-0.07,0.0,-1.11,0.0,-0.67,2.18,-1.8,0.0,0.0,-0.1,0.0,-0.05,0.55,-0.05,0.0,-1.8,0.0,-0.05,0.55
5,"Donald Trump declared Wednesday that the U.S. is ""very, very ready"" for whatever the coronavirus threat brings, and he put his vice-president in charge of overseeing the nation's response.","House Speaker Nancy Pelosi and Senate Minority Leader Chuck Schumer slammed President Donald Trump's budget proposal on Tuesday, with Schumer describing it as ""a blueprint for destroying America.""",1.0,160.0,29.0,4.0,11.0,4.0,10.0,5.517241379310345,0.0,25.0,0.0,3.4482758620689653,3.4482758620689653,26.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,26.0,0.0,0.0,2.0,-9.0,1.0,1.0,-7.0,2.0,-4.5,-0.52,0.0,25.0,0.0,3.45,3.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-6.72,-1.37,-0.45,-2.33,0.18,-1.86,-0.01,0.0,1.73,0.0,-0.27,1.87,-1.5,0.0,0.0,-0.1,-0.07,-0.05,0.72,-0.05,0.0,-1.5,0.0,-0.05,0.72
6,"A Marketplace survey finds that Canadians seeking appliance repairs experience complications, whether it's an inability to access prompt service, diagnose the problem, find a part, or the expense associated with repairs and replacement. But advocates say righ…","Ordered into quarantine, a group evacuated to California from Wuhan, China, is at odds with the US Centers for Disease Control and Prevention and has petitioned for five ""critical"" changes in their conditions.",1.0,224.0,37.0,7.0,17.0,2.0,18.5,6.054054054054054,0.0,0.0,0.0,5.405405405405405,5.405405405405405,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,47.0,4.0,2.0,4.0,0.0,-14.5,0.69,0.0,-20.0,0.0,5.41,2.38,4.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,4.0,0.0,0.0,-1.0,3.31,-0.27,-0.16,-1.29,0.14,-2.45,0.11,0.0,0.19,0.0,0.3,1.93,-0.29,0.0,0.0,-0.1,-0.11,-0.05,0.55,-0.05,0.0,-0.29,0.0,-0.05,0.55
7,"An Iranian refugee who is trying to cross the border from Turkey into Greece described babies and the elderly waiting in freezing conditions, and Greek officials firing tear gas at refugees.",Here's what else you need to know to Get Up to Speed and Out the Door.,1.0,160.0,31.0,6.0,10.0,2.0,31.0,5.161290322580645,0.0,16.666666666666664,0.0,0.0,3.225806451612903,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,105.0,15.0,2.0,6.0,0.0,15.0,1.72,0.0,16.67,0.0,0.0,3.23,14.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,14.0,0.0,0.0,-1.0,2.83,-0.2,-0.07,-1.38,0.1,-1.34,0.09,0.0,1.12,0.0,0.05,1.7,-0.12,0.0,0.0,-0.1,-0.15,-0.05,0.42,-0.05,0.0,-0.12,0.0,-0.05,0.42
8,"Organizers say they intend to stay for a long time. They have brought in coffee and food to support the protesters, as well as extra sweaters for those who are cold.","No drug manufacturers have reported that they anticipate shortages of particular drugs due to the novel coronavirus, according to the US Food and Drug Administration, but the agency and experts in the pharmaceutical industry are paying close attention to the …",1.0,135.0,31.0,7.0,6.0,3.0,15.5,4.354838709677419,0.0,14.285714285714285,0.0,6.451612903225806,3.225806451612903,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,1.0,-85.0,-10.0,1.0,-8.0,2.0,-25.5,-1.01,0.0,-2.38,0.0,6.45,3.23,-6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-6.0,0.0,0.0,1.0,-0.33,-0.14,0.11,-1.89,0.18,-2.19,-0.02,0.0,1.58,0.0,0.57,1.53,-0.22,0.0,0.0,-0.1,-0.18,-0.05,0.44,-0.05,0.0,-0.22,0.0,-0.05,0.44
9,"Participants in the 12th edition of the 6633 Arctic Ultra marathon, which started on talk about the ""brutal"" challenges they faced while trying to complete the race. This year was the coldest year for the event since its inception.","The complete guide to American Express Centurion Lounges, including which airports have them, how to get in and a look at the new LAX location.",1.0,193.0,39.0,6.0,11.0,3.0,19.5,4.948717948717949,0.0,16.666666666666664,0.0,0.0,2.564102564102564,31.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,74.0,14.0,3.0,2.0,1.0,-5.5,0.19,0.0,16.67,0.0,0.0,2.56,8.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,2.95,0.7,0.15,-1.8,0.25,-2.48,-0.04,0.0,2.18,0.0,0.34,1.32,0.3,0.0,0.0,-0.1,0.0,-0.05,0.45,-0.05,0.0,0.3,0.0,-0.05,0.45
