,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Five takeaways from Joe Biden's super Super Tuesday CBC.ca Biden claims 9 Super Tuesday victories, Sanders takes 3, but leads in crucial California CBC.ca Super Tuesday: Biden seals comeback with string of victories BBC News Never mind the Biden bounce, Berni…","Seagulls prefer to eat food that humans have already touched, according to new research.",1.0,220.0,41.0,5.0,25.0,3.0,14.333333333333334,5.365853658536586,0.0,0.0,0.0,4.878048780487805,0.0,31.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,145.0,27.0,0.0,21.0,1.0,0.33,0.01,0.0,0.0,0.0,-2.26,0.0,19.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,57.04,9.3,-0.22,13.32,0.8,-10.27,0.19,-0.05,-16.7,0.0,2.64,-2.97,4.03,-0.12,-0.03,-0.19,2.65,-0.06,-0.64,-0.02,0.0,4.03,-0.04,-0.08,-0.64
1,"A bizarre-looking fish could be the key to helping solve the world's hunger issue, according to a new study.","Former food company executive Michelle Janavs was sentenced to five months in prison for paying bribes in the college admissions scam, the US Attorney's Office in Massachusetts said.",1.0,90.0,19.0,5.0,6.0,2.0,19.0,4.7368421052631575,0.0,20.0,0.0,5.263157894736842,5.263157894736842,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,-65.0,-9.0,0.0,-8.0,0.0,-9.0,-0.8,0.0,0.0,0.0,5.26,-1.88,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,-7.96,-1.7,-0.22,3.82,0.3,-7.93,-0.13,-0.05,-6.7,0.0,2.83,-0.34,-3.97,-0.12,-0.03,-0.19,1.15,-0.06,-0.64,-0.02,0.0,-3.97,-0.04,-0.08,-0.64
2,Scientists have discovered the world’s largest known subterranean fish in a cave in northeastern India.,"The US Food and Drug Administration approved the first generic version of Daraprim, a drug used to treat an infection caused by a parasite.",1.0,89.0,15.0,3.0,6.0,2.0,15.0,5.933333333333334,0.0,0.0,0.0,0.0,6.666666666666667,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,-27.0,-9.0,-1.0,-3.0,0.0,-9.0,1.1,0.0,0.0,0.0,0.0,-1.67,-9.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,-29.96,-6.7,-0.89,0.66,0.13,-8.49,0.17,-0.05,-10.03,0.0,1.14,1.01,-7.3,-0.12,-0.03,-0.19,0.65,-0.06,-0.64,-0.02,0.0,-7.3,-0.04,-0.08,-0.64
3,Bears are mammals that belong to the family Ursidae.,"A large meta-analysis finds that reducing sodium levels in our food lowers blood pressure in all of us, even those without hypertension, which could be a way to fight the number one killer: heart disease.",1.0,44.0,9.0,2.0,4.0,2.0,9.0,4.888888888888889,0.0,50.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,-126.0,-26.0,-2.0,-10.0,0.0,-26.0,0.03,0.0,25.0,0.0,0.0,-2.86,-24.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-24.0,0.0,-1.0,0.0,-52.21,-10.7,-1.47,-1.43,0.05,-10.27,0.05,-0.05,0.8,0.0,0.3,0.01,-9.97,-0.12,-0.03,-0.19,0.4,-0.06,-0.64,-0.02,0.0,-9.97,-0.04,-0.08,-0.64
4,Some of the earliest animals on Earth stayed connected via networks of thread-like filaments that helped them to dominate the planet's oceans about half a billion years ago.,"Former food company executive Michelle Janavs was sentenced to five months in prison Tuesday for paying bribes in the college admissions scam, the US Attorney's Office in Massachusetts said.",1.0,146.0,28.0,4.0,7.0,2.0,28.0,5.214285714285714,0.0,0.0,0.0,7.142857142857142,0.0,24.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,1.0,-16.0,-1.0,-1.0,-8.0,0.0,-1.0,-0.37,0.0,-20.0,0.0,7.14,-6.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-45.16,-9.3,-1.42,-2.08,-0.0,-7.53,0.05,-0.05,-2.7,0.0,1.22,-0.58,-8.57,-0.12,-0.03,-0.19,0.45,-0.06,-0.44,-0.02,0.0,-8.57,-0.04,-0.08,-0.44
5,"A Q&A with the Department of Energy's Under Secretary for Science, Paul Dabbar.","President Donald Trump's speech at the Conservative Political Action Conference Saturday was short and sweet compared to his more than two-hour long address last year, which remains the longest speech of his presidency.",1.0,67.0,13.0,1.0,8.0,2.0,13.0,5.153846153846154,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,-120.0,-20.0,-2.0,-4.0,0.0,-20.0,-0.51,0.0,-33.33,0.0,-3.03,0.0,-14.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-14.0,0.0,0.0,-2.0,-53.63,-10.86,-1.89,-2.34,-0.04,-8.21,0.04,-0.05,-5.03,0.0,0.64,-0.98,-9.47,-0.12,-0.03,-0.19,0.31,-0.06,-0.47,-0.02,0.0,-9.47,-0.04,-0.08,-0.47
6,"LOCUST PLAGUE: Farmers traumatized as swarms devour crops in seconds... (Third column, 11th story, link )","China has spent decades nurturing its tech sector. Now, faced with a massive public health crisis, Beijing is pushing its tech companies to join the fight against the novel coronavirus.",1.0,90.0,16.0,2.0,9.0,2.0,8.0,5.625,0.0,0.0,0.0,0.0,6.25,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,-66.0,-14.0,-5.0,-2.0,-1.0,-7.0,0.42,0.0,-14.29,0.0,-3.33,2.92,-8.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,-8.0,0.0,0.0,-2.0,-56.39,-11.55,-2.08,-2.39,-0.06,-9.41,0.1,-0.05,-6.7,0.0,0.23,-0.37,-9.68,-0.12,-0.03,-0.19,0.36,-0.06,-0.49,-0.02,0.0,-9.68,-0.04,-0.08,-0.49
7,"Sandwich chain Subway has been ordered to pay the CBC $500,000 in legal costs following its failed bid to sue the public broadcaster for defamation.","It's Carnival -- that time of parades, parties and overindulgence before Lent. See how people are enjoying festivals around the world from South America to Europe.",1.0,124.0,25.0,6.0,8.0,2.0,25.0,4.96,0.0,16.666666666666664,0.0,0.0,12.0,21.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,1.0,-14.0,-1.0,2.0,-4.0,-1.0,12.0,-0.35,0.0,-8.33,0.0,-3.85,12.0,-5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-5.0,0.0,0.0,1.0,-54.21,-10.95,-1.72,-2.55,-0.08,-8.18,0.06,-0.05,-5.87,0.0,-0.08,0.8,-9.22,-0.12,-0.03,-0.19,0.4,-0.06,-0.39,-0.02,0.0,-9.22,-0.04,-0.08,-0.39
8,CBC's Marketplace rounds up the consumer and health news you need from the week.,"The term ""cruise ship"" evokes images of luxury and well-being, but that is far from what a dream vacation has become for thousands of passengers now trapped on several cruise ships by the sudden emergence of the Wuhan coronavirus.",1.0,67.0,14.0,2.0,6.0,2.0,14.0,4.785714285714286,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,-125.0,-25.0,-2.0,-10.0,0.0,-25.0,-0.14,0.0,-25.0,0.0,-5.13,-2.56,-22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-22.0,0.0,0.0,1.0,-58.85,-11.7,-1.89,-2.9,-0.09,-8.45,0.01,-0.05,-7.07,0.0,-0.32,0.38,-9.86,-0.12,-0.03,-0.19,0.31,-0.06,-0.3,-0.02,0.0,-9.86,-0.04,-0.08,-0.3
9,CBC's Marketplace rounds up the consumer and health news you need from the week.,Confusion and delays appear to persist in testing Americans for coronavirus even after an outcry from state and local health authorities that the United States was behind in determining the extent of the outbreak.,1.0,67.0,14.0,2.0,6.0,2.0,14.0,4.785714285714286,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,-113.0,-20.0,-3.0,-6.0,0.0,-20.0,-0.51,0.0,-20.0,0.0,0.0,-8.82,-15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-15.0,0.0,0.0,1.0,-62.56,-12.3,-2.02,-3.18,-0.1,-8.67,-0.03,-0.05,-8.03,0.0,-0.51,0.05,-10.37,-0.12,-0.03,-0.19,0.25,-0.06,-0.24,-0.02,0.0,-10.37,-0.04,-0.08,-0.24
