,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Canada's Feminist International Assistance Policy is aimed at supporting the economic, political, and social empowerment of women and girls, but the government is falling short of the mark when it comes to addressing the Rohingya genocide and refugee crisis.","Michael Bloomberg would sell his financial information and media company if he's elected president in an effort to be ""180 degrees away from where Donald Trump is on these issues,"" an adviser to his campaign said Tuesday.",1.0,220,39,7,14,2,39.0,5.641025641025641,0,28.57142857142857,0.0,5.128205128205128,7.6923076923076925,28,0,0,0,0,0,1,0,0,28,0,0,1,35.0,2.0,0.0,0.0,0.0,2.0,0.64,0.0,0.0,0.0,5.13,4.99,-3.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-3.0,0.0,0.0,-1.0,36.48,4.47,1.53,1.26,0.0,10.55,0.3,-0.02,18.64,0.0,2.81,4.64,-1.09,0.0,-0.05,-0.18,-0.68,-0.05,0.18,0.0,0.0,-1.09,-0.03,-0.05,0.18
1,"Greek and Turkish riot police deployed on their shared border fired tear gas on Wednesday as hundreds of migrants tried again to cross into Greece, amid an escalating war of words between Athens and Ankara about what was happening.","Ivanka Trump on Wednesday commemorated the first anniversary of her signature policy, the Women's Global Development and Prosperity Initiative, with the unveiling of bipartisan legislation to support her efforts. However, the initiative drew criticism from ad…",1.0,193,39,8,12,2,39.0,4.948717948717949,0,12.5,0.0,0.0,0.0,33,0,0,0,0,0,1,0,0,33,0,0,1,-32.0,3.0,5.0,-5.0,0.0,21.0,-1.3,0.0,12.5,0.0,-2.78,-2.78,5.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,5.0,0.0,0.0,-3.0,22.98,4.47,2.03,0.26,0.0,10.55,-0.05,-0.02,10.6,0.0,0.25,0.8,1.41,0.0,-0.05,-0.18,-0.68,-0.05,0.18,0.0,0.0,1.41,-0.03,-0.05,0.18
2,"China has complained that Russia's measures to combat the coronavirus are discriminatory, but many Russians seem pleased that their country remains virtually virus-free so far, Chris Brown writes.","The public charge rule, which goes into effect Monday, is a major step in the construction of what's known as Trump's ""invisible wall,"" a methodical overhaul of policies that's dramatically changing who can immigrate legally to the United States.",1.0,169,28,8,8,2,28.0,6.035714285714286,0,12.5,0.0,3.571428571428571,7.142857142857142,26,0,1,1,0,0,1,0,0,26,0,0,1,-39.0,-11.0,0.0,-4.0,0.0,-11.0,0.7,0.0,0.0,0.0,3.57,4.58,-7.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-7.0,0.0,0.0,1.0,10.48,0.8,2.2,-1.41,0.0,6.88,0.2,-0.02,7.92,0.0,0.58,1.89,-0.09,0.0,0.29,0.15,-0.68,-0.05,0.18,0.0,0.0,-0.09,-0.03,-0.05,0.18
3,"China has complained that Russia's measures to combat the coronavirus are discriminatory, but many Russians seem pleased that their country remains virtually virus-free so far, Chris Brown writes.","On October 1, 2020, travelers will need a ""REAL ID-compliant"" driver's license, US passport, US military ID or other accepted identification to fly within the United States.",1.0,169,28,8,8,2,28.0,6.035714285714286,0,12.5,0.0,3.571428571428571,7.142857142857142,26,0,1,1,0,0,1,0,0,26,0,0,1,22.0,1.0,5.0,-3.0,0.0,1.0,0.59,0.0,12.5,0.0,3.57,7.14,1.0,0.0,1.0,1.0,-2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.23,-1.03,2.28,-2.24,0.0,5.05,0.32,-0.02,6.59,0.0,0.75,2.44,-0.84,0.0,0.45,0.32,-0.68,-0.05,0.18,0.0,0.0,-0.84,-0.03,-0.05,0.18
4,"Advances in missile technology by both the Russians and the Chinese have the potential to paralyze leaders and decision-makers in a crisis, Canada's top military commander warned in a speech Wednesday.","How bad will it get? That was the question this week, but it applied to several things: the spread of COVID-19 coronavirus around the world, the resulting stock market plunge and the concern about whether America's political leaders are up to the challenge.",1.0,171,31,3,12,2,31.0,5.516129032258065,0,0.0,0.0,3.225806451612903,6.451612903225806,21,0,0,0,0,0,0,0,0,21,0,0,0,-44.0,-12.0,-3.0,-2.0,0.0,9.5,0.52,-1.0,-33.33,0.0,3.23,1.8,-12.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-12.0,0.0,0.0,-2.0,0.88,-1.53,1.33,-1.94,0.0,4.55,0.29,-0.02,3.28,0.0,0.78,2.63,-2.29,0.0,0.35,0.22,-0.68,-0.05,-0.02,0.0,0.0,-2.29,-0.03,-0.05,-0.02
5,Critics say a lack of widespread testing for COVID-19 in the United States is the biggest failure in the Trump administration's handling of the outbreak. Quick and efficient tests are still not being done in large numbers across the country and many potential…,"5 things to know for February 13: Coronavirus, Justice Department, 2020 Dems, Israel, Deepwater Horizon CNN",1.0,218,43,6,15,2,21.5,5.069767441860465,0,33.33333333333333,0.0,2.3255813953488373,6.976744186046512,31,0,0,1,0,0,0,0,0,31,0,0,0,126.0,27.0,5.0,5.0,1.0,5.5,-0.68,0.0,33.33,0.0,2.33,6.98,15.0,0.0,0.0,1.0,-3.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,6.48,0.14,1.2,-1.24,0.0,2.63,0.2,-0.02,6.63,0.0,0.65,2.85,-1.59,0.0,0.29,0.32,-0.68,-0.05,-0.15,0.0,0.0,-1.59,-0.03,-0.05,-0.15
6,"A contentious motion Justin Trudeau has characterized as a ""near miss"" will come to a vote at the Commons trade committee today, immediately after Deputy Prime Minister Chrystia Freeland makes her case for swift passage of the implementation bill for the revi…","The new Russia drama is a shady tale of secret briefings, compromised trust, mysterious intelligence, improbable characters with hidden agendas and purges of American spy chiefs. But most importantly, this dark new revival of a saga that has ravaged US politi…",1.0,219,42,5,19,1,42.0,5.214285714285714,0,0.0,0.0,2.380952380952381,4.761904761904762,35,0,0,0,0,0,2,0,0,35,0,0,2,-1.0,1.0,1.0,4.0,-1.0,21.5,-0.15,0.0,-25.0,0.0,-4.94,-4.99,1.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,10.63,1.18,0.96,-0.17,-0.14,4.19,0.15,-0.02,4.27,0.0,0.57,2.69,-0.52,0.0,0.24,0.25,-0.68,-0.05,0.04,0.0,0.0,-0.52,-0.03,-0.05,0.04
7,"U.S. President Donald Trump's re-election campaign said on Wednesday it filed a libel lawsuit against the New York Times, accusing the newspaper of intentionally publishing a false story last year related to the investigation into Russian interference in the …","President Donald Trump made 56 false claims last week -- repeating one of his conspiracy theories about the 2016 election, promoting new fiction about impeachment witness Lt. Col. Alexander Vindman, and inflating his accomplishments and his standing in the po…",1.0,221,40,5,18,3,13.666666666666666,5.525,0,0.0,0.0,0.0,7.5,34,0,0,0,0,0,1,0,0,34,0,0,1,0.0,0.0,1.0,1.0,0.0,0.33,0.0,0.0,0.0,0.0,-2.5,0.0,3.0,0.0,0.0,0.0,-3.0,0.0,-2.0,0.0,0.0,3.0,0.0,0.0,-2.0,13.98,1.72,0.78,0.51,0.0,1.82,0.15,-0.02,2.49,0.0,0.21,2.91,0.16,0.0,0.2,0.19,-0.68,-0.05,0.06,0.0,0.0,0.16,-0.03,-0.05,0.06
8,Canada's response to the deadly novel coronavirus outbreak is winning unusual praise in China — a development that federal government sources here say is part of a broader re-engagement strategy aimed at repairing strained relations between the two countries.,"The United States will begin treating five major Chinese media companies as extensions of Beijing's government, requiring them to comply with rules governing foreign embassies and consulates.",1.0,221,39,7,13,2,39.0,5.666666666666667,0,28.57142857142857,0.0,5.128205128205128,10.256410256410255,33,0,0,0,1,0,0,0,0,33,0,0,0,56.0,12.0,1.0,3.0,0.0,12.0,-0.44,0.0,28.57,0.0,5.13,10.26,6.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,6.0,0.0,0.0,-1.0,16.6,2.03,0.86,0.48,0.0,2.79,0.17,-0.02,4.29,0.0,0.5,3.38,0.58,0.0,0.18,0.15,-0.57,-0.05,-0.04,0.0,0.0,0.58,-0.03,-0.05,-0.04
9,The Senate administration has signed contracts with outside consultants and human resources professionals worth hundreds of thousands of dollars in recent months — added costs at a time when Senate expenses have ballooned by more than 30 per cent in the last …,"National security adviser Robert O'Brien is expected to make major cuts to the National Security Council staff as early as next week, two sources familiar with the matter told CNN.",1.0,218,43,5,16,1,43.0,5.069767441860465,0,0.0,0.0,2.3255813953488373,0.0,37,0,0,0,1,0,0,0,0,37,0,0,0,67.0,13.0,1.0,2.0,-1.0,13.0,0.04,0.0,-25.0,0.0,2.33,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,18.38,2.67,0.73,0.76,-0.1,3.96,0.13,-0.02,2.86,0.0,0.45,2.74,1.31,0.0,0.15,0.12,-0.48,-0.05,-0.12,0.0,0.0,1.31,-0.03,-0.05,-0.12
