,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Making MAID legally accessible for a wider range of patients could have the unintended consequence of diminishing the number of health care professionals willing to provide it, ultimately worsening access.","John Oliver sang the praises of Medicare for All while poking fun at its political opponents, including Pete Buttigieg, on ""HBO's ""Last Week Tonight.""",1.0,176.0,30.0,6.0,10.0,2.0,30.0,5.866666666666666,0.0,0.0,0.0,6.666666666666667,3.3333333333333335,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,49.0,6.0,3.0,-1.0,0.0,17.5,0.57,0.0,0.0,0.0,2.5,3.33,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-0.84,-4.24,0.67,-3.2,-0.33,5.04,0.68,-0.03,-16.82,0.0,5.17,-0.67,-3.54,-0.04,-0.05,-0.14,-0.64,-0.06,-0.67,-0.04,0.0,-3.54,-0.01,-0.09,-0.67
1,"Charts showing body mass index have been posted in doctors' offices for decades, but experts caution against using the number to make assumptions about an individual's health.","Health care once again emerged as the single top issue for Democrats in Nevada in Saturday's caucuses -- though as in Iowa and New Hampshire, the vast majority of voters also said they were more interested in defeating President Donald Trump than in any one i…",1.0,149.0,27.0,7.0,12.0,2.0,27.0,5.518518518518518,0.0,14.285714285714285,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,-66.0,-19.0,3.0,-4.0,1.0,-19.0,0.84,0.0,-10.71,0.0,-4.35,-2.17,-10.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,-14.34,-5.74,1.17,-2.2,-0.33,3.54,0.51,-0.03,-9.68,0.0,1.84,-2.34,-2.54,-0.04,-0.05,-0.14,-0.64,-0.06,-0.67,-0.04,0.0,-2.54,-0.01,-0.09,-0.67
2,A World Health Organization expert stresses the importance of keeping politics out of discussions about the coronavirus outbreak.,The Supreme Court agreed Monday to once again become the decider on the future of Obamacare -- the controversial law that has become a fabric of society for the millions of Americans who have come to rely upon it.,1.0,112.0,18.0,2.0,9.0,2.0,18.0,6.222222222222222,0.0,0.0,0.0,0.0,11.11111111111111,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,-63.0,-21.0,-5.0,-2.0,0.0,-21.0,1.74,0.0,0.0,0.0,0.0,8.55,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,0.0,0.0,0.0,-31.17,-9.24,-0.33,-2.87,-0.33,0.04,0.69,-0.03,-12.06,0.0,0.73,0.81,-6.54,-0.04,-0.05,-0.14,-0.64,-0.06,-0.67,-0.04,0.0,-6.54,-0.01,-0.09,-0.67
3,"The delayed response by the U.S. government to the coronavirus outbreak could have significant ramifications, including the number of people ultimately diagnosed as infected, and potential fatalities from the disease, some health policy experts say.","In back-to-back appearances at CNN town halls Thursday night in Nevada, former Vice President Joe Biden and Massachusetts Sen. Elizabeth Warren rooted themselves in bread-and-butter Democratic issues. They spoke to the economic challenges of the middle class …",1.0,215.0,35.0,7.0,13.0,4.0,12.0,6.142857142857143,0.0,0.0,0.0,2.857142857142857,8.571428571428571,31.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,-8.0,-3.0,5.0,-6.0,1.0,-0.67,0.27,0.0,0.0,0.0,2.86,5.94,-3.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,-3.0,0.0,0.0,-1.0,-13.84,-6.74,0.17,-2.2,0.17,-3.21,0.75,-0.03,-13.25,0.0,0.88,1.75,-4.29,-0.04,-0.05,0.11,-0.64,-0.06,-0.67,-0.04,0.0,-4.29,-0.01,-0.09,-0.67
4,"A jump in the number of new cases of coronavirus in China reflects a ""broader definition"" of a case of infection, a World Health Organization official says. Across mainland China, there were 15,152 new confirmed infections on Wednesday, bringing the total num…","The total number of novel coronavirus cases in the United States jumped by two dozen over the weekend, as the first two deaths from the outbreak were confirmed.",1.0,219.0,42.0,5.0,16.0,2.0,21.0,5.214285714285714,0.0,20.0,0.0,0.0,4.761904761904762,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,86.0,14.0,2.0,7.0,0.0,-7.0,0.46,0.0,-13.33,0.0,0.0,1.19,7.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,-2.64,-3.84,0.07,-1.2,0.07,-3.36,0.61,-0.03,-9.96,0.0,0.41,1.55,-3.34,-0.04,-0.05,0.06,-0.44,-0.06,-0.67,-0.04,0.0,-3.34,-0.01,-0.09,-0.67
5,"Veterans Affairs has been quietly tightening access to the mental health services received by families of injured former soldiers, the country's veterans ombudsman said Friday.","There are already clusters of infection in several areas of the country. Financial markets are in turmoil, global travel is grinding to a halt, and many people worry about the safety of travel, work, school and meetings. Covid-19 is likely to get a lot worse …",1.0,152.0,25.0,6.0,10.0,2.0,25.0,6.08,0.0,16.666666666666664,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,-63.0,-21.0,-1.0,-7.0,-1.0,9.67,1.41,0.0,-40.48,0.0,-2.17,-8.7,-6.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,-6.34,-4.74,0.17,-1.54,0.01,-2.8,0.66,-0.03,-8.33,0.0,0.09,0.63,-3.71,-0.04,-0.05,0.02,-0.48,-0.06,-0.67,-0.04,0.0,-3.71,-0.01,-0.09,-0.67
6,"As the coronavirus outbreak continues to spread outside of China, experts say the situation is rapidly moving toward a pandemic. Adam Miller looks at why the World Health Organization isn't calling it one just yet.","Since the Centers for Disease Control and Prevention on Tuesday warned that it's not a question of if, but when the novel coronavirus will spread in the United States, some places have already issued emergency declarations, and more could be coming from citie…",1.0,180.0,35.0,8.0,10.0,3.0,17.5,5.142857142857143,0.0,12.5,0.0,0.0,2.857142857142857,32.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,1.0,-38.0,-8.0,-1.0,-4.0,2.0,-25.5,0.07,0.0,1.39,0.0,0.0,-1.79,-6.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,-6.0,0.0,0.0,1.0,-4.98,-3.96,0.53,-1.78,0.1,-3.46,0.56,-0.03,-7.76,0.0,-0.14,0.37,-2.68,-0.04,-0.05,0.0,-0.36,-0.06,-0.53,-0.04,0.0,-2.68,-0.01,-0.09,-0.53
7,"A new coronavirus is taking a growing toll on Chinese health workers on the front line of the fight to stop it, a top official said on Friday, as authorities reported more than 5,000 new cases, including more than 120 deaths.","Amie Harwick, a Hollywood sex therapist and ex-fiancée of comedian Drew Carey, was killed over the weekend, Los Angeles police said. An ex-boyfriend has been arrested as a suspect in her death, police said.",1.0,185.0,41.0,7.0,12.0,2.0,41.0,4.512195121951219,0.0,14.285714285714285,0.0,2.4390243902439024,2.4390243902439024,28.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,12.0,7.0,0.0,-4.0,-1.0,24.0,-0.58,0.0,-14.29,0.0,2.44,-6.38,0.0,0.0,0.0,0.0,2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-2.0,-3.34,-2.62,0.67,-1.7,0.05,-1.02,0.4,-0.03,-7.1,0.0,-0.0,0.13,-2.42,-0.04,-0.05,-0.02,-0.14,-0.06,-0.55,-0.04,0.0,-2.42,-0.01,-0.09,-0.55
8,"As scientists race to develop a vaccine to combat the coronavirus epidemic, many Canadian adults aren't getting taking advantage of vaccinations that are already available to protect them against other serious illnesses, public health experts say.","President Donald Trump formally announced Friday that he will nominate Kenneth Braithwaite, the current US ambassador to Norway, to be his next Navy Secretary.",1.0,212.0,36.0,8.0,10.0,2.0,36.0,5.888888888888889,0.0,12.5,0.0,8.333333333333332,2.7777777777777777,33.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,33.0,0.0,0.0,1.0,76.0,12.0,4.0,-1.0,0.0,12.0,0.22,0.0,-12.5,0.0,8.33,2.78,11.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,11.0,0.0,0.0,-1.0,0.94,-2.13,0.9,-1.87,0.01,0.32,0.44,-0.03,-6.8,0.0,0.76,-0.02,-1.65,-0.04,-0.05,0.08,-0.2,-0.06,-0.45,-0.04,0.0,-1.65,-0.01,-0.09,-0.45
9,"A cruise ship that has been quarantined off the coast of California by public health officials over fears of a possible COVID-19 outbreak includes 235 Canadian passengers, Global Affairs Canada has confirmed.","Senior Department of Health and Human Services officials failed to act on repeated warnings from staff about family separations at the US-Mexico border, and staff members were advised not to put controversial information in writing, according to a HHS inspect…",1.0,177.0,32.0,6.0,12.0,2.0,32.0,5.53125,0.0,16.666666666666664,0.0,0.0,6.25,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,-44.0,-8.0,0.0,-6.0,1.0,-8.0,0.01,0.0,0.0,0.0,0.0,1.25,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,0.86,-2.14,0.87,-1.8,-0.03,0.99,0.43,-0.03,-6.13,0.0,0.53,0.21,-1.54,-0.04,-0.05,0.06,-0.14,-0.06,-0.47,-0.04,0.0,-1.54,-0.01,-0.09,-0.47
