,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Five takeaways from Joe Biden's super Super Tuesday CBC.ca Biden claims 9 Super Tuesday victories, Sanders takes 3, but leads in crucial California CBC.ca Super Tuesday: Biden seals comeback with string of victories BBC News Never mind the Biden bounce, Berni…","Former President Barack Obama is staying on the sidelines during the 2020 Democratic primaries, but he plays an important role in presidential candidate Michael Bloomberg's new ad campaign. CNN's Jeff Zeleny reports.",1.0,220.0,41.0,5.0,25.0,3.0,14.333333333333334,5.365853658536586,0.0,0.0,0.0,4.878048780487805,0.0,31.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,35.0,9.0,2.0,9.0,0.0,-1.67,-0.42,0.0,-33.33,0.0,1.75,0.0,1.0,0.0,0.0,0.0,2.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,55.15,8.91,0.36,12.57,0.81,-9.23,0.21,-0.06,-13.78,0.0,2.26,-2.78,4.35,-0.2,-0.04,-0.21,2.27,-0.02,-0.67,-0.01,0.0,4.35,-0.03,-0.02,-0.67
1,"In 1989 astronaut Fred Gregory made history when he became the first African American to command a NASA mission, but he paid little attention to the headlines that he made.","Photojournalism has always been a male-dominated field. But throughout history, women have made their mark on the industry.",1.0,143.0,30.0,5.0,9.0,2.0,30.0,4.766666666666667,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,23.0,0.0,0.0,3.0,37.0,12.0,1.0,3.0,-1.0,21.0,-1.12,0.0,-25.0,0.0,0.0,0.0,5.0,0.0,0.0,-1.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,16.65,3.41,0.36,4.57,0.31,-1.4,-0.08,-0.06,-13.78,0.0,-0.18,-2.78,0.35,-0.2,-0.04,-0.21,1.27,-0.02,0.83,-0.01,0.0,0.35,-0.03,-0.02,0.83
2,"A rare rainbow snake was spotted slithering through a Florida forest last week, marking the first time in 50 years the multi-colored serpent has been seen in the area, experts said.","There are now at least four US coronavirus cases without any related travel history, health officials say.",1.0,151.0,31.0,8.0,10.0,2.0,31.0,4.870967741935484,0.0,25.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,61.0,14.0,6.0,3.0,0.0,14.0,-0.42,0.0,-25.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,9.0,0.0,0.0,0.0,6.49,1.91,1.36,2.24,0.14,1.55,-0.15,-0.06,-5.45,0.0,-0.99,-2.78,0.01,-0.2,-0.04,-0.21,0.93,-0.02,0.33,-0.01,0.0,0.01,-0.03,-0.02,0.33
3,"A leaf that fell from an elm tree more than 6,000 years ago was discovered intact by archaeologists in the United Kingdom.","""Parasite"" made history with a Best Picture win, and actors Laura Dern and Joaquin Phoenix took home their first Oscars.",1.0,101.0,22.0,3.0,7.0,2.0,22.0,4.590909090909091,0.0,33.33333333333333,0.0,0.0,4.545454545454546,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,2.0,1.0,-4.0,0.0,2.0,-0.46,0.0,33.33,0.0,-5.0,4.55,4.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,4.0,0.0,0.0,-1.0,-11.1,-1.09,0.61,0.32,0.06,0.77,-0.25,-0.06,0.8,0.0,-1.39,-1.64,-1.15,-0.2,-0.04,-0.21,0.77,-0.02,0.08,-0.01,0.0,-1.15,-0.03,-0.02,0.08
4,"The Vatican is set to open the secret archives of Pope Pius XII, the World War II-era pope whose record during the Holocaust has come under intense scrutiny.","With the song, Eilish becomes the youngest person in the history of the Bond franchise to write and record a theme song for one of the iconic films.",1.0,130.0,28.0,5.0,12.0,2.0,28.0,4.642857142857143,0.0,20.0,0.0,0.0,3.571428571428571,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,9.0,0.0,2.0,4.0,0.0,0.0,0.32,0.0,20.0,0.0,0.0,3.57,4.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-15.85,-1.69,0.56,0.17,0.01,1.5,-0.3,-0.06,1.89,0.0,-1.64,-1.15,-1.25,-0.2,-0.04,-0.21,0.47,-0.02,-0.07,-0.01,0.0,-1.25,-0.03,-0.02,-0.07
5,"A frozen bird found in the Siberian permafrost is a 46,000-year-old lark, scientists have revealed.","OneUnited Bank, one of the largest black-owned banks in the US, released a new Visa Debit Card to celebrate Black History Month.",1.0,85.0,15.0,4.0,4.0,2.0,15.0,5.666666666666667,0.0,25.0,0.0,0.0,6.666666666666667,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,-22.0,-7.0,2.0,-6.0,0.0,-7.0,0.8,0.0,25.0,0.0,-4.55,6.67,-5.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,-26.51,-4.26,0.36,-1.26,-0.03,-0.18,-0.17,-0.06,3.44,0.0,-1.8,-0.31,-2.99,-0.2,-0.04,-0.21,0.27,-0.02,-0.17,-0.01,0.0,-2.99,-0.03,-0.02,-0.17
6,"Toxic and invisible oil spread well beyond the initial footprint of the Deepwater Horizon oil spill, new research reveals.",Time Magazine released magazine covers honoring women throughout history as a part of its 100 Women of the Year project. CNN's Amara Walker and Christi Paul speak with Time Magazine's senior editor Emma Baker about the project.,1.0,104.0,19.0,1.0,10.0,2.0,19.0,5.473684210526316,0.0,0.0,0.0,5.263157894736842,5.263157894736842,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,-87.0,-18.0,-2.0,-11.0,-1.0,0.5,0.31,0.0,0.0,0.0,2.56,5.26,-14.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-14.0,0.0,0.0,-1.0,-31.42,-5.52,-0.21,-1.43,-0.05,-0.8,-0.1,-0.06,0.98,0.0,-1.17,0.09,-4.22,-0.2,-0.04,-0.21,0.12,-0.02,-0.24,-0.01,0.0,-4.22,-0.03,-0.02,-0.24
7,Some of the earliest animals on Earth stayed connected via networks of thread-like filaments that helped them to dominate the planet's oceans about half a billion years ago.,"During the South Carolina Democratic presidential debate hosted by CBS News, Sen. Elizabeth Warren (D-MA) attacked Michael Bloomberg's history of supporting Republican candidates, including Sen. Lindsey Graham (R-SC).",1.0,146.0,28.0,4.0,7.0,2.0,28.0,5.214285714285714,0.0,0.0,0.0,7.142857142857142,0.0,24.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,1.0,-44.0,0.0,0.0,-12.0,-2.0,18.67,-1.57,0.0,0.0,0.0,3.57,0.0,-2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,1.0,-29.85,-5.34,-0.27,-1.93,-0.07,-0.15,-0.08,-0.06,-0.86,0.0,-0.45,-0.27,-4.03,-0.2,-0.04,-0.21,0.14,-0.02,-0.17,-0.01,0.0,-4.03,-0.03,-0.02,-0.17
8,"Despite most scientists generally accepting that dinosaurs were cold-blooded creatures, a new study suggests they were in fact warm-blooded.","The New England towns of Concord, Massachusetts, and Concord, New Hampshire, may only be about an hour away from each other by car, but their respective roles in American military history are miles apart.",1.0,122.0,19.0,4.0,5.0,2.0,19.0,6.421052631578948,0.0,50.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,-49.0,-15.0,1.0,-8.0,0.0,-15.0,1.39,0.0,-16.67,0.0,0.0,0.0,-13.0,0.0,0.0,2.0,0.0,0.0,-1.0,0.0,0.0,-13.0,0.0,0.0,-1.0,-31.29,-6.2,-0.31,-2.54,-0.08,-0.64,0.07,-0.06,3.26,0.0,-0.69,-0.55,-4.65,-0.2,-0.04,0.01,0.04,-0.02,-0.23,-0.01,0.0,-4.65,-0.03,-0.02,-0.23
9,"By banning protests on the field of play and at official ceremonies, the International Olympic Committee has unintentionally created the perfect environment for dissent, writes Oren Weisfeld.","From the Tower of Pisa in Italy to Britain's Big Ben, some of the world's most famous buildings have a distinct list. However, architectural leanings are not confined to history.",1.0,165.0,27.0,4.0,11.0,2.0,27.0,6.111111111111111,0.0,0.0,0.0,3.7037037037037033,7.4074074074074066,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,16.0,-3.0,1.0,1.0,-1.0,12.0,1.14,0.0,-33.33,0.0,0.37,4.07,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.15,-6.09,-0.34,-2.43,-0.09,-0.23,0.16,-0.06,1.55,0.0,-0.52,-0.03,-4.45,-0.2,-0.04,-0.01,-0.03,-0.02,-0.27,-0.01,0.0,-4.45,-0.03,-0.02,-0.27
