,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Philip Haney, a Department of Homeland Security (DHS) whistleblower who was an outspoken critic of the administration of former President Barack Obama, was found dead Friday, about 40 miles east of Sacramento, Calif., local authorities said.","Chad Mizelle, a Trump administration official who is viewed as an ally of senior White House policy adviser and immigration hardliner Stephen Miller, has been tapped to be the Department of Homeland Security's top attorney.",1.0,207,36,4,17,3,18.5,5.722222222222222,0,50.0,0.0,0.0,5.555555555555555,29,0,0,0,1,0,0,0,0,29,0,0,0,18.0,1.0,-2.0,-1.0,1.0,-16.5,0.32,0.0,0.0,0.0,-2.86,2.7,-4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,18.35,1.6,-1.62,2.62,1.0,-10.91,0.22,0.0,35.37,0.0,-1.74,2.63,0.46,0.0,-0.02,-0.06,0.52,-0.03,-0.49,-0.03,0.0,0.46,0.0,-0.03,-0.49
1,"Feeling trapped in Canada with no way of visiting his family back in Lebanon, Salam Al Sayed Ali of Windsor, Ont. said his problems all began when the U.S. denied him entry. Now, he can't board planes that fly over American soil, even for mere minutes.",The US House Committee on Homeland Security on Wednesday requested Secret Service protection for all presidential candidates. The request comes after protesters rushed the stage at a Biden campaign rally in California on Tuesday night.,1.0,207,46,8,17,6,9.4,4.5,0,0.0,0.0,0.0,6.521739130434782,40,0,0,1,0,0,4,0,0,40,0,0,4,6.0,11.0,5.0,-2.0,3.0,-8.1,-1.24,0.0,0.0,0.0,-2.86,6.52,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,4.0,18.35,6.6,0.38,2.62,2.5,-15.46,-0.39,0.0,10.37,0.0,-1.74,3.11,5.96,0.0,-0.02,0.44,0.02,-0.03,1.51,-0.03,0.0,5.96,0.0,-0.03,1.51
2,A federal appeals court on Friday temporarily halted a Trump administration policy to make asylum seekers wait in Mexico while their cases wind through U.S. immigration courts.,"Amid concerns that the Trump administration is downplaying the potential effects of the spread of coronavirus in the US, Republican Sen. John Kennedy (R-LA) pressed acting Homeland Security Secretary Chad Wolf over the issue during a Senate Appropriations sub…",1.0,150,27,4,13,4,9.333333333333334,5.555555555555555,0,0.0,0.0,0.0,0.0,27,0,0,0,0,0,1,0,0,27,0,0,1,-72.0,-12.0,0.0,-9.0,2.0,-10.17,-0.14,0.0,-25.0,0.0,0.0,-5.13,-5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.0,0.0,0.0,1.0,-0.65,1.93,-0.28,1.28,2.33,-17.0,-0.24,0.0,2.04,0.0,-1.74,1.1,3.46,0.0,-0.02,0.27,-0.14,-0.03,1.17,-0.03,0.0,3.46,0.0,-0.03,1.17
3,"Federal authorities announced an investigation of the Seattle-area nursing home at the centre of an outbreak of the new coronavirus as the U.S. death toll climbed to 11, including the first fatality outside Washington state.","On October 1, 2020, travelers will need a ""REAL ID-compliant"" driver's license, US passport, US military ID or other accepted identification to fly within the United States.",1.0,190,35,3,14,4,12.0,5.428571428571429,0,0.0,0.0,0.0,8.571428571428571,25,0,0,0,1,0,0,0,0,25,0,0,0,43.0,8.0,0.0,3.0,2.0,-15.0,-0.02,0.0,0.0,0.0,0.0,8.57,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,1.6,-0.87,0.87,2.25,-17.1,-0.2,0.0,-2.13,0.0,-1.74,2.24,1.71,0.0,-0.02,0.19,0.02,-0.03,0.76,-0.03,0.0,1.71,0.0,-0.03,0.76
5,"Many around the world are racing to make purchases in preparation for the coronavirus outbreak, but experts remind us what to first consider before buying supplies with your credit card.","A Facebook account impersonating the Swain County board of elections in North Carolina. Unfounded rumors that Tarrant County, Texas, doesn't have former Vice President Joe Biden on the ballot. Wrong claims in Maine that Election Day is on different days for R…",1.0,157,30,5,10,2,30.0,5.233333333333333,0,20.0,0.0,0.0,3.3333333333333335,26,0,0,0,0,0,1,0,0,26,0,1,1,-62.0,-12.0,0.0,-13.0,-1.0,16.0,0.02,0.0,0.0,0.0,0.0,0.95,-8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-8.0,0.0,1.0,1.0,-12.15,-0.73,-0.62,-1.05,1.67,-13.87,-0.21,0.0,-0.18,0.0,-1.14,1.67,0.29,0.0,-0.02,0.11,-0.14,-0.03,0.67,-0.03,0.0,0.29,0.0,0.14,0.67
6,"U.S. President Donald Trump has commuted what he called a ""ridiculous"" 14-year prison sentence for former Illinois governor Rod Blagojevich and pardoned former New York Police Department commissioner Bernie Kerik, among a long list of others.","Senior Department of Health and Human Services officials failed to act on repeated warnings from staff about family separations at the US-Mexico border, and staff members were advised not to put controversial information in writing, according to a HHS inspect…",1.0,207,36,4,19,4,12.333333333333334,5.75,0,0.0,0.0,0.0,5.555555555555555,32,0,0,0,0,0,1,0,0,32,0,0,1,-14.0,-4.0,-2.0,1.0,3.0,-27.67,0.22,0.0,-16.67,0.0,0.0,0.56,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,-7.79,-0.4,-0.76,-0.24,1.71,-14.33,-0.15,0.0,-2.24,0.0,-1.23,1.8,0.75,0.0,-0.02,0.08,-0.19,-0.03,0.65,-0.03,0.0,0.75,0.0,0.11,0.65
7,"Tiina Jauhiainen, a Finnish national and former fitness instructor, spoke to CBC News and Reuters about how she become embroiled in a saga involving a Dubai princess that took her to the Philippines, the Arabian Sea and a British courtroom.","On January 7, hours after Iran fired missiles at a base in Iraq housing American troops, the Iranian Foreign Minister, Javad Zarif, said that was the end of his country's response to the killing of Iranian General Qasem Soleimani.",1.0,201,40,5,14,2,40.0,5.025,0,0.0,0.0,0.0,2.5,29,0,0,0,0,0,3,0,0,29,0,0,3,9.0,1.0,2.0,-5.0,0.0,1.0,0.1,0.0,-33.33,0.0,0.0,-0.06,-3.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,-3.0,0.0,0.0,2.0,-5.27,0.35,-0.74,-0.26,1.5,-11.22,-0.19,0.0,-3.79,0.0,-1.29,1.52,0.71,0.0,-0.02,0.06,-0.23,-0.03,0.88,-0.03,0.0,0.71,0.0,0.09,0.88
8,"The Trump administration is considering invoking special powers to rapidly expand domestic manufacturing of protective masks and clothing to combat the coronavirus in the U.S., two officials told Reuters.","Please, Mr. President, re-think this one. Richard Grenell, as close a friend and ally as he might be, is very much the wrong man at the wrong time as acting Director of National Intelligence. He is a catastrophe-in-waiting who will be in a position he is tota…",1.0,176,29,6,10,4,10.333333333333334,6.068965517241379,0,16.666666666666664,0.0,3.4482758620689653,0.0,25,0,0,0,1,0,0,0,0,25,0,0,0,-38.0,-18.0,-2.0,-4.0,0.0,-1.42,1.52,0.0,-33.33,0.0,3.45,-4.26,-7.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-7.0,0.0,0.0,-2.0,-6.09,-0.29,-0.62,-0.72,1.56,-12.09,-0.1,0.0,-3.14,0.0,-0.96,1.03,0.24,0.0,-0.02,0.05,-0.14,-0.03,0.73,-0.03,0.0,0.24,0.0,0.08,0.73
9,"Iranian-born Canadian citizen Farzad Alavi said he was denied entry to the U.S. on Jan. 10 because of his past mandatory military service in Iran. Alavi, who lost his wife in the Jan. 8 Ukrainian plane crash, claims the U.S. border services' reason is unjust.","The public charge rule, which goes into effect Monday, is a major step in the construction of what's known as Trump's ""invisible wall,"" a methodical overhaul of policies that's dramatically changing who can immigrate legally to the United States.",1.0,215,45,6,18,9,5.875,4.777777777777778,0,33.33333333333333,0.0,0.0,8.88888888888889,34,0,2,0,2,0,3,0,0,34,0,0,3,7.0,6.0,-2.0,6.0,7.0,-33.12,-0.56,0.0,20.83,0.0,0.0,6.32,1.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,-2.85,0.8,-0.52,-0.28,2.1,-13.23,-0.16,0.0,-0.96,0.0,-1.04,1.52,0.76,0.0,0.18,0.04,0.02,-0.03,0.91,-0.03,0.0,0.76,0.0,0.07,0.91
10,"Peter Nygard, one of Canada's wealthiest businessmen and clothing manufacturers, is the target of a police investigation in the Bahamas involving allegations of sexual assault by four women, CBC's The Fifth Estate has learned.","A private group that supports President Donald Trump's border wall effort is communicating with the administration on plans to build a wall along the southern border and donate it to the US government, according to interviews and correspondence obtained exclu…",1.0,193,34,4,16,2,34.0,5.676470588235294,0,25.0,0.0,0.0,5.88235294117647,29,0,0,0,2,0,0,0,0,29,0,0,0,-28.0,-6.0,-3.0,0.0,1.0,-6.0,0.15,0.0,10.71,0.0,-2.5,5.88,1.0,0.0,0.0,0.0,2.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-2.19,0.69,-0.62,-0.11,1.91,-11.61,-0.13,0.0,0.07,0.0,-1.1,1.65,0.73,0.0,0.17,0.03,0.16,-0.03,0.78,-0.03,0.0,0.73,0.0,0.06,0.78
