,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"COVID-19: Here's what's happening around the world Tuesday CBC.ca While other countries battle mushrooming coronavirus outbreaks, China claims victory is 'not far' The Globe and Mail Coronavirus: China orders travellers quarantined amid outbreak BBC News LILL…","Dr. Ben Carson, secretary of Housing and Urban Development, tells ABC News that a plan for passengers of the Grand Princess cruise ship is in the works, but declines to share details.",1.0,225.0,36.0,7.0,19.0,2.0,18.5,6.25,0.0,14.285714285714285,0.0,2.7777777777777777,2.7777777777777777,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,73.0,4.0,4.0,1.0,-1.0,2.5,1.5,0.0,-19.05,0.0,-0.35,-0.35,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,43.94,1.06,1.07,6.38,-0.07,-8.03,1.05,-0.04,-0.38,0.0,0.75,-0.47,4.45,-0.04,-0.03,-0.13,0.59,-0.11,-0.79,-0.01,0.0,4.45,-0.13,-0.04,-0.79
1,"'SHE WANTS BACK IN'... (First column, 4th story, link ) Related stories: BLOOMBERG CONSIDERS HILLARY RUNNING MATE... MADAM VP: 'I never say never because I do believe in serving my country'... Clinton could get her revenge against Trump... The implausible tic…","On January 7, hours after Iran fired missiles at a base in Iraq housing American troops, the Iranian Foreign Minister, Javad Zarif, said that was the end of his country's response to the killing of Iranian General Qasem Soleimani.",1.0,220.0,41.0,7.0,20.0,5.0,8.2,5.365853658536586,0.0,0.0,0.0,0.0,4.878048780487805,39.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,39.0,2.0,0.0,2.0,28.0,2.0,4.0,1.0,3.0,-30.8,0.44,0.0,-33.33,0.0,0.0,2.31,7.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,7.0,2.0,0.0,1.0,41.44,3.56,1.07,6.88,1.43,-13.18,0.61,-0.04,-7.52,0.0,-0.64,0.58,6.95,-0.04,0.47,0.87,1.09,0.39,0.21,-0.01,0.0,6.95,0.87,-0.04,0.21
2,Abused women and children who seek refuge in short-stay crisis shelters often need long-term physical protection and counselling that can't be found in emergency shelters. A national shortage of so-called second-stage shelters puts them at risk of more violen…,"At first glance the advertisement looks decent: A one-bedroom flat in London's trendy Camden Town, situated in a pretty townhouse and boasting ""high ceilings"" and ""designer marble worktops.""",1.0,222.0,39.0,6.0,14.0,2.0,19.5,5.6923076923076925,0.0,16.666666666666664,0.0,2.564102564102564,10.256410256410255,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,59.0,11.0,3.0,3.0,0.0,5.0,-0.13,0.0,16.67,0.0,-8.15,10.26,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,41.28,3.72,0.74,5.05,0.93,-11.13,0.57,-0.04,-4.35,0.0,-0.25,2.72,5.12,-0.04,0.31,0.54,0.59,0.22,0.21,-0.01,0.0,5.12,0.54,-0.04,0.21
3,"The average price of a Canadian home eclipsed $500,000 last month, and it was the best January for sales in a dozen years.","White House officials have privately weighed appointing a czar to oversee the administration's response to the growing novel coronavirus outbreak, despite public denials by members of the administration, sources inside the administration and advisers close to…",1.0,100.0,23.0,2.0,8.0,2.0,23.0,4.3478260869565215,0.0,50.0,0.0,4.3478260869565215,0.0,21.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,1.0,-125.0,-13.0,-3.0,-7.0,1.0,-13.0,-1.9,0.0,50.0,0.0,4.35,-2.78,-9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.0,0.0,0.0,1.0,10.69,-0.19,-0.43,2.63,0.68,-9.23,0.21,-0.04,5.58,0.0,0.39,1.23,1.7,-0.04,0.22,0.37,0.59,0.14,0.21,-0.01,0.0,1.7,0.37,-0.04,0.21
4,"Former New York Mayor Mike Bloomberg has qualified for this week's Democratic presidential debate in Nevada, putting him on the same stage as his rivals for the first ti,e in the race for the party's nomination.","The public charge rule, which goes into effect Monday, is a major step in the construction of what's known as Trump's ""invisible wall,"" a methodical overhaul of policies that's dramatically changing who can immigrate legally to the United States.",1.0,176.0,36.0,3.0,15.0,2.0,36.0,4.888888888888889,0.0,0.0,0.0,2.7777777777777777,0.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,27.0,0.0,0.0,2.0,-32.0,-3.0,-5.0,3.0,0.0,-3.0,-0.44,0.0,-12.5,0.0,2.78,-2.56,-6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-6.0,0.0,0.0,2.0,7.54,0.06,-0.93,2.58,0.53,-5.49,0.11,-0.04,1.53,0.0,0.46,0.33,0.85,-0.04,0.17,0.27,0.39,0.09,0.41,-0.01,0.0,0.85,0.27,-0.04,0.41
5,"Prime Minister Justin Trudeau's government is asking Parliament to spend an additional $2.1 billion on Indigenous programs and initiatives, above and beyond what MPs already have approved.","Bernie Sanders left Las Vegas on Saturday morning in a light drizzle. By the time he arrived in San Antonio hours later, his path to the Democratic nomination seemed as big and clear as the Texas sky.",1.0,162.0,27.0,5.0,9.0,3.0,14.0,6.0,0.0,20.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,-2.0,-10.0,2.0,-6.0,0.0,-4.5,1.57,0.0,20.0,0.0,-2.7,0.0,-5.0,0.0,0.0,0.0,2.0,0.0,-2.0,0.0,0.0,-5.0,0.0,0.0,-2.0,3.11,-1.28,-0.93,1.55,0.6,-6.66,0.22,-0.04,2.16,0.0,0.05,-0.26,-0.05,-0.04,0.14,0.21,0.59,0.05,0.21,-0.01,0.0,-0.05,0.21,-0.04,0.21
6,Durham Regional Police Human Trafficking Unit is the first in Canada to team up with a human trafficking survivor.,"The Nevada caucus is wide open, with Bernie Sanders best positioned to take advantage of a fragmented field and the deep passion of his base. This is setting off rounds of hand-wringing as establishment types in the state and nationally (again) misjudge the m…",1.0,96.0,19.0,2.0,9.0,2.0,19.0,5.052631578947368,0.0,50.0,0.0,5.263157894736842,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,-121.0,-25.0,-4.0,-5.0,0.0,-3.0,0.12,0.0,16.67,0.0,-1.56,-4.55,-15.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-15.0,0.0,0.0,-1.0,-9.48,-3.37,-1.36,0.81,0.5,-6.78,0.17,-0.04,6.9,0.0,0.5,-0.69,-1.55,-0.04,0.11,0.16,0.45,0.03,0.07,-0.01,0.0,-1.55,0.16,-0.04,0.07
7,"The decision to quarantine some 3,700 people on board the Diamond Princess cruise ship in Japan amid an outbreak of coronavirus is unprecedented. But experts say it's also likely doing more harm than good.",Plans to open a Philadelphia facility that would allow and supervise the injection of illegal drugs have been put on hold.,1.0,172.0,34.0,5.0,12.0,3.0,17.0,5.0588235294117645,0.0,20.0,0.0,2.941176470588235,5.88235294117647,34.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,70.0,13.0,-2.0,6.0,1.0,-4.0,0.2,0.0,5.71,0.0,2.94,1.12,13.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,-9.43,-3.07,-1.3,0.63,0.55,-7.13,0.13,-0.04,6.71,0.0,0.55,-0.27,-0.8,-0.04,0.1,0.25,0.47,0.01,-0.04,-0.01,0.0,-0.8,0.12,-0.04,-0.04
8,Finance Minister Bill Morneau was told weeks into the Liberals' second mandate that Canadians are most worried about affordability in areas where governments have a lot of power over prices — particularly child care.,"Justice Sonia Sotomayor wrote a scathing dissent late Friday night, castigating the government for repeatedly asking the Supreme Court on an emergency basis to allow controversial policies to go into effect and charging her conservative colleagues on the cour…",1.0,183.0,34.0,5.0,15.0,2.0,34.0,5.382352941176471,0.0,40.0,0.0,0.0,2.941176470588235,34.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,-39.0,-5.0,-1.0,0.0,1.0,-5.0,-0.31,0.0,40.0,0.0,0.0,-9.88,2.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,2.0,0.0,0.0,-2.0,-8.17,-2.83,-1.26,0.82,0.49,-5.5,0.14,-0.04,8.78,0.0,0.27,-0.28,-0.22,-0.04,0.08,0.32,0.37,-0.0,-0.12,-0.01,0.0,-0.22,0.1,-0.04,-0.12
9,"Anti-pipeline protests that started in the B.C. Interior have spread to both coasts, blocking port access and shutting down rail routes. None of this is good for Prime Minister Justin Trudeau's quest for Indigenous reconciliation.","Weeks into the novel coronavirus crisis, the outbreak finally appears to be stabilizing in central China, where the virus was initially detected before it spread throughout the country and the world.",1.0,196.0,35.0,6.0,14.0,5.0,9.0,5.6,0.0,16.666666666666664,0.0,5.714285714285714,5.714285714285714,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,27.0,4.0,0.0,6.0,3.0,-22.0,0.15,0.0,-16.67,0.0,5.71,-3.96,7.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,7.0,0.0,0.0,-1.0,-5.86,-2.54,-1.13,0.88,0.73,-6.71,0.16,-0.04,8.1,0.0,0.61,-0.0,0.15,-0.04,0.07,0.27,0.29,-0.01,-0.19,-0.01,0.0,0.15,0.07,-0.04,-0.19
10,"Rates of intimate partner violence in the North are among the highest in the country, and yet there are only 14 shelters total across all three territories.","Countries around the world have been eager to cash in on the rising spending power of Chinese travelers. Shops advertise Mandarin speaking salespeople, the United States and Japan offer 10-year visas, and hotels and duty-free retailers accept China's Alipay a…",1.0,130.0,27.0,2.0,8.0,2.0,27.0,4.814814814814815,0.0,100.0,0.0,3.7037037037037033,0.0,20.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,-91.0,-13.0,-3.0,-12.0,0.0,7.0,-0.71,0.0,80.0,0.0,1.2,0.0,-14.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,-14.0,0.0,0.0,0.0,-9.97,-3.03,-1.38,0.38,0.66,-6.05,0.11,-0.04,15.12,0.0,0.7,-0.3,-0.73,-0.04,0.06,0.33,0.41,-0.02,-0.24,-0.01,0.0,-0.73,0.06,-0.04,-0.24
11,Edmonton's Housing First initiative aims to eliminate chronic homelessness in the city by 2022.,"Indian graffiti artist Epoc was taking a break from painting his towering, multicolored mural in Kannagi Nagar when he made a surprisingly frank admission.",1.0,82.0,14.0,1.0,7.0,2.0,14.0,5.857142857142857,0.0,0.0,0.0,0.0,7.142857142857142,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,-50.0,-10.0,-4.0,-1.0,0.0,-10.0,0.36,0.0,-20.0,0.0,0.0,2.98,-8.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,-8.0,0.0,0.0,-2.0,-17.39,-4.53,-1.68,-0.12,0.6,-6.59,0.16,-0.04,12.64,0.0,0.48,0.05,-1.97,-0.04,0.06,0.29,0.42,-0.03,-0.29,-0.01,0.0,-1.97,0.04,-0.04,-0.29
12,"Ireland faced political turmoil Sunday as an exit poll from the weekend's parliamentary election suggested that Sinn Fein, a left-wing party committed to reunification of the island, finished in a virtual dead heat with the two parties that have governed sinc…","The US government is preparing to evacuate Americans who have been quarantined on a cruise ship in Japan for over a week, after dozens of people on board tested positive for the novel coronavirus earlier this month.",1.0,220.0,41.0,6.0,15.0,1.0,41.0,5.365853658536586,0.0,0.0,0.0,0.0,4.878048780487805,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,41.0,4.0,-1.0,3.0,-1.0,4.0,0.53,0.0,-28.57,0.0,-2.7,4.88,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-13.06,-3.71,-1.54,0.07,0.47,-4.97,0.16,-0.04,10.54,0.0,0.28,0.17,-1.47,-0.04,0.05,0.26,0.44,-0.04,-0.33,-0.01,0.0,-1.47,0.03,-0.04,-0.33
13,Housing stocks could be building a solid foundation for a breakout after nearing record highs for the first time in 14 years.,"As the novel coronavirus outbreak continues to batter China, the country's central bank has implemented a new strategy to contain the virus -- deep cleaning and destroying potentially infected cash.",1.0,104.0,22.0,5.0,7.0,2.0,22.0,4.7272727272727275,0.0,20.0,0.0,4.545454545454546,0.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,-65.0,-8.0,-1.0,-2.0,0.0,-8.0,-0.91,0.0,20.0,0.0,4.55,-10.0,-7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,-17.63,-4.37,-1.5,-0.33,0.43,-4.94,0.11,-0.04,10.17,0.0,0.44,-0.07,-2.19,-0.04,0.04,0.23,0.45,-0.04,-0.36,-0.01,0.0,-2.19,0.02,-0.04,-0.36
