,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"The Vatican is set to open the secret archives of Pope Pius XII, the World War II-era pope whose record during the Holocaust has come under intense scrutiny.","Eight Los Angeles County Sheriff's deputies are facing administrative action after they allegedly shared graphic photos of a helicopter crash that killed Kobe Bryant, his daughter and seven others, Los Angeles County Sheriff Alex Villanueva told CNN Monday.",1.0,130,28,5,12,2,28.0,4.642857142857143,0,20.0,0.0,0.0,3.571428571428571,25,0,0,0,0,0,0,0,0,25,0,0,0,-90.0,-10.0,0.0,-9.0,0.0,-10.0,-1.15,0.0,0.0,0.0,0.0,-1.69,-7.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,0.0,-7.0,0.0,0.0,-1.0,-38.89,-4.46,-0.25,-0.03,-0.11,1.54,-0.6,-0.05,9.23,0.0,-1.9,0.57,-1.72,-0.25,0.0,-0.16,-0.48,-0.11,-0.84,-0.05,0.0,-1.72,-0.03,-0.13,-0.84
1,"Justice Thomas McKay has ruled that three parts of Canada’s prostitution laws violate the Charter of Rights and Freedoms. The decision means charges against London, Ont. couple Tiffany Harvey and Hamad Anwar are stayed.","China has spent decades nurturing its tech sector. Now, faced with a massive public health crisis, Beijing is pushing its tech companies to join the fight against the novel coronavirus.",1.0,186,34,6,20,4,11.333333333333334,5.470588235294118,0,16.666666666666664,0.0,0.0,2.941176470588235,30,0,0,0,1,0,0,0,0,30,0,0,0,30.0,4.0,-1.0,9.0,1.0,-3.67,0.27,0.0,2.38,0.0,-3.33,-0.39,6.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,6.0,0.0,0.0,-2.0,-10.89,-1.46,0.25,3.97,0.89,-6.79,-0.18,-0.05,7.57,0.0,-1.9,0.25,0.78,-0.25,0.0,-0.16,0.02,-0.11,-0.84,-0.05,0.0,0.78,-0.03,-0.13,-0.84
2,Prime Minister Justin Trudeau today visited one of the most notorious entrepôts of the African transatlantic slave trade.,This week is a test for peace in Afghanistan. The Taliban have an historic opportunity to show that they have the will and the ability to reduce violence. This would pave the way for negotiations among Afghans for a comprehensive peace agreement.,1.0,104,18,1,10,2,18.0,5.777777777777778,0,0.0,0.0,0.0,11.11111111111111,14,0,0,1,1,0,0,0,0,14,0,0,0,-101.0,-24.0,-7.0,-3.0,-2.0,4.0,0.9,0.0,-12.5,0.0,-7.14,11.11,-12.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,-28.89,-5.79,-1.25,1.97,0.55,-7.35,0.06,-0.05,1.45,0.0,-1.9,2.87,-3.72,-0.25,0.0,0.17,0.19,-0.11,-0.84,-0.05,0.0,-3.72,-0.03,-0.13,-0.84
3,"Greek and Turkish riot police deployed on their shared border fired tear gas on Wednesday as hundreds of migrants tried again to cross into Greece, amid an escalating war of words between Athens and Ankara about what was happening.","There is something curiously and unexpectedly satisfying about Alastair Philip Wiper's images of factories, laboratories and industrial facilities.",1.0,193,39,8,12,2,39.0,4.948717948717949,0,12.5,0.0,0.0,0.0,33,0,0,0,0,0,1,0,0,33,0,0,1,63.0,21.0,6.0,4.0,0.0,21.0,-2.27,0.0,-37.5,0.0,-5.56,-5.56,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,1.0,-15.64,-2.71,-0.25,1.47,0.39,-2.38,-0.03,-0.05,1.52,0.0,-1.9,1.4,-1.22,-0.25,0.0,0.09,0.02,-0.11,-0.59,-0.05,0.0,-1.22,-0.03,-0.13,-0.59
4,"Canada's Feminist International Assistance Policy is aimed at supporting the economic, political, and social empowerment of women and girls, but the government is falling short of the mark when it comes to addressing the Rohingya genocide and refugee crisis.","5 things to know for February 13: Coronavirus, Justice Department, 2020 Dems, Israel, Deepwater Horizon CNN",1.0,220,39,7,14,2,39.0,5.641025641025641,0,28.57142857142857,0.0,5.128205128205128,7.6923076923076925,28,0,0,0,0,0,1,0,0,28,0,0,1,128.0,23.0,6.0,4.0,1.0,23.0,-0.11,0.0,28.57,0.0,5.13,7.69,12.0,0.0,0.0,0.0,-3.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,-2.29,-0.86,0.15,1.57,0.29,0.61,0.06,-0.05,4.78,0.0,-0.87,2.06,-0.72,-0.25,0.0,0.04,-0.08,-0.11,-0.44,-0.05,0.0,-0.72,-0.03,-0.13,-0.44
5,"Turkey's invitation to migrants to make their way into Greece has been widely seen as a provocation aimed at the European Union. For refugees who made their way to the border, it was another cruelty.","Several migrants attempting to cross from Turkey to Greece told CNN over the past week that Greek security forces took their documents, money, phones and clothes before sending them back to Turkey in their underwear.",1.0,165,35,7,12,3,17.5,4.714285714285714,0,28.57142857142857,0.0,0.0,5.714285714285714,26,0,0,0,0,0,3,0,0,26,0,0,3,-17.0,0.0,2.0,-1.0,1.0,-17.5,-0.49,0.0,28.57,0.0,0.0,5.71,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-2.55,-0.29,0.42,1.3,0.39,-0.99,-0.04,-0.05,6.95,0.0,-1.04,2.17,-0.72,-0.25,0.0,0.0,-0.14,-0.11,-0.0,-0.05,0.0,-0.72,-0.03,-0.13,-0.0
6,"Syrian troops backed by Russian forces have been battling since December to eradicate the last rebel strongholds in the region in a war that has killed an estimated 400,000 Syrians and left much of Syria in ruins.","Donald Trump's biggest rally might not be in a red state, or even in the United States. It's likely to be inside a cricket stadium in Gujarat state, in western India, packed as promised by the President's loyal counterpart.",1.0,177,37,9,10,2,37.0,4.783783783783784,0,11.11111111111111,0.0,0.0,5.405405405405405,32,0,0,0,1,0,0,0,0,32,0,0,0,-8.0,-2.0,3.0,-3.0,-1.0,17.5,0.04,0.0,-22.22,0.0,-5.13,5.41,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,-1.03,0.4,0.9,0.82,0.31,0.66,-0.1,-0.05,6.01,0.0,-1.16,2.2,0.14,-0.25,0.0,-0.02,-0.05,-0.11,-0.12,-0.05,0.0,0.14,-0.03,-0.13,-0.12
7,"To test how prevalent counterfeits are online, Marketplace purchased dozens of well-known products from five popular online retailers: AliExpress, Amazon, eBay, Walmart and Wish. More than half were suspected knockoffs.","The Chinese government has challenged the authenticity of leaked detention center records from the Western region of Xinjiang, in its most comprehensive statement yet on the high-profile release.",1.0,190,30,5,13,3,15.0,6.333333333333333,0,40.0,0.0,6.666666666666667,0.0,30,0,0,0,1,0,0,0,0,30,0,0,0,22.0,2.0,3.0,4.0,1.0,-13.0,0.33,0.0,40.0,0.0,3.1,0.0,7.0,0.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,7.0,0.0,0.0,-1.0,1.74,0.04,0.75,0.84,0.39,-0.86,0.05,-0.05,8.91,0.0,-0.42,1.55,0.53,-0.25,0.0,-0.04,0.02,-0.11,-0.21,-0.05,0.0,0.53,-0.03,-0.13,-0.21
8,"Justice Thomas McKay has ruled that three parts of Canada’s prostitution laws violate the Charter of Rights and Freedoms. The decision means charges against London, Ont. couple Tiffany Harvey and Hamad Anwar are stayed.","In the foothills of the Sierra de los Órganos Mountains, more than two hours west of Havana, a trickle of riders on horseback descends a reddish-brown mountain in a serpentine line. They smile as they pass a group of hikers and continue on their ride.",1.0,186,34,6,20,4,11.333333333333334,5.470588235294118,0,16.666666666666664,0.0,0.0,2.941176470588235,30,0,0,0,1,0,0,0,0,30,0,0,0,-21.0,-11.0,2.0,7.0,1.0,-11.17,0.87,0.0,16.67,0.0,-2.22,2.94,-3.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-3.0,0.0,0.0,-2.0,3.45,0.21,0.75,1.63,0.55,-2.44,0.07,-0.05,8.58,0.0,-0.59,1.37,0.83,-0.25,0.0,-0.05,0.08,-0.11,-0.28,-0.05,0.0,0.83,-0.03,-0.13,-0.28
9,"Justice Thomas McKay has ruled that three parts of Canada’s prostitution laws violate the Charter of Rights and Freedoms. The decision means charges against London, Ont. couple Tiffany Harvey and Hamad Anwar are stayed.","President Donald Trump made 56 false claims last week -- repeating one of his conspiracy theories about the 2016 election, promoting new fiction about impeachment witness Lt. Col. Alexander Vindman, and inflating his accomplishments and his standing in the po…",1.0,186,34,6,20,4,11.333333333333334,5.470588235294118,0,16.666666666666664,0.0,0.0,2.941176470588235,30,0,0,0,1,0,0,0,0,30,0,0,0,-35.0,-6.0,2.0,3.0,1.0,-2.0,-0.05,0.0,16.67,0.0,-2.5,-4.56,-1.0,0.0,0.0,0.0,-2.0,0.0,-3.0,0.0,0.0,-1.0,0.0,0.0,-3.0,4.81,0.34,0.75,2.27,0.69,-3.71,0.09,-0.05,8.31,0.0,-0.72,1.23,1.08,-0.25,0.0,-0.06,0.12,-0.11,-0.34,-0.05,0.0,1.08,-0.03,-0.13,-0.34
