,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Two Canadians who were aboard a cruise ship that was refused entry to several countries before docking in Cambodia last week received an unusual greeting when they returned to Canada Sunday — border agents were waiting at their gate, requesting they put on ma…","The Border Patrol will be sending elite tactical teams into ""sanctuary cities"" like New York and Chicago to help with immigration arrests. One hundred agents are being deployed to work with Immigration and Customs Enforcement (ICE), including members of a uni…",1.0,217,44,10,15,1,44.0,4.931818181818182,0,30.0,0.0,0.0,4.545454545454546,38,0,0,0,1,0,1,0,0,38,0,0,1,-3.0,3.0,1.0,-1.0,-1.0,23.5,-0.43,0.0,7.78,0.0,-7.32,4.55,3.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,43.56,11.2,4.91,1.88,-1.15,18.01,-0.38,0.0,17.8,0.0,-1.83,1.3,10.19,0.0,-0.01,-0.07,0.53,-0.01,0.35,-0.03,0.0,10.19,-0.03,-0.01,0.35
1,The top official with U.S. Customs and Border Protection has admitted border officers wrongly held and interrogated Iranian-born travellers — many of them Canadian and American citizens — at the Canada-U.S. border after military tensions with Iran escalated l…,CNN's Nick Valencia speaks to a Nigerian-American professional whose future is uncertain after the Trump administration adds six new countries to an expanded immigration ban.,1.0,222,39,6,14,5,8.2,5.6923076923076925,0,0.0,0.0,2.564102564102564,2.564102564102564,30,0,0,1,0,0,1,0,0,30,0,0,1,72.0,14.0,2.0,4.0,3.0,-16.8,-0.31,0.0,-25.0,0.0,2.56,-1.44,7.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,46.06,8.7,2.91,1.38,0.85,0.11,0.0,0.0,2.8,0.0,-0.55,0.31,6.19,0.0,-0.01,0.43,0.03,-0.01,0.35,-0.03,0.0,6.19,-0.03,-0.01,0.35
2,"At least five Iranian-born Canadian citizens were denied entry to the United States after it says it suspended its wrongful detainment practices, leaving some to wonder if the refusals are part of a broader strategy targeting Iranian-born travellers.","Chad Mizelle, a Trump administration official who is viewed as an ally of senior White House policy adviser and immigration hardliner Stephen Miller, has been tapped to be the Department of Homeland Security's top attorney.",1.0,213,38,8,10,2,38.0,5.605263157894737,0,25.0,0.0,2.631578947368421,5.263157894736842,30,0,0,1,1,0,3,0,0,30,0,0,3,24.0,3.0,2.0,-8.0,0.0,3.0,0.21,0.0,-25.0,0.0,-0.23,2.41,-3.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,-3.0,0.0,0.0,3.0,43.89,7.53,2.91,-0.12,0.52,4.07,0.1,0.0,6.14,0.0,-0.1,0.88,4.85,0.0,-0.01,0.6,0.2,-0.01,1.01,-0.03,0.0,4.85,-0.03,-0.01,1.01
3,Ontario's beleaguered Liberals will choose a new leader today as the party looks to rebound from a devastating election and rebuild ahead of the next one in 2022.,"Justice Sonia Sotomayor wrote a scathing dissent late Friday night, castigating the government for repeatedly asking the Supreme Court on an emergency basis to allow controversial policies to go into effect and charging her conservative colleagues on the cour…",1.0,135,28,4,7,2,28.0,4.821428571428571,0,0.0,0.0,0.0,3.571428571428571,24,0,0,0,1,0,0,0,0,24,0,0,0,-87.0,-11.0,-2.0,-8.0,1.0,-11.0,-0.87,0.0,0.0,0.0,0.0,-9.25,-8.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,-8.0,0.0,0.0,-2.0,23.31,4.45,1.91,-1.62,0.35,3.56,-0.04,0.0,1.55,0.0,-0.53,0.74,2.69,0.0,-0.01,0.43,0.28,-0.01,0.6,-0.03,0.0,2.69,-0.03,-0.01,0.6
4,"Fears of a potential coronavirus pandemic grew on Monday after sharp rises in new cases reported in Iran, Italy and South Korea, but China relaxed restrictions on movements in several places including Beijing as its rates of new infections eased.","The public charge rule, which goes into effect Monday, is a major step in the construction of what's known as Trump's ""invisible wall,"" a methodical overhaul of policies that's dramatically changing who can immigrate legally to the United States.",1.0,207,40,5,16,2,40.0,5.175,0,0.0,0.0,7.5,2.5,31,0,0,0,0,0,1,0,0,31,0,0,1,-1.0,1.0,-3.0,4.0,0.0,1.0,-0.16,0.0,-12.5,0.0,7.5,-0.06,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,1.0,25.36,5.0,1.51,-0.72,0.25,5.65,-0.06,0.0,-1.2,0.0,0.71,0.44,2.79,0.0,-0.01,0.33,0.13,-0.01,0.55,-0.03,0.0,2.79,-0.03,-0.01,0.55
5,Abused women and children who seek refuge in short-stay crisis shelters often need long-term physical protection and counselling that can't be found in emergency shelters. A national shortage of so-called second-stage shelters puts them at risk of more violen…,"Senior Department of Health and Human Services officials failed to act on repeated warnings from staff about family separations at the US-Mexico border, and staff members were advised not to put controversial information in writing, according to a HHS inspect…",1.0,222,39,6,14,2,19.5,5.6923076923076925,0,16.666666666666664,0.0,2.564102564102564,10.256410256410255,31,0,0,0,0,0,1,0,0,31,0,0,1,1.0,-1.0,0.0,-4.0,1.0,-20.5,0.17,0.0,0.0,0.0,2.56,5.26,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,1.0,29.23,5.2,1.41,-0.45,0.19,3.62,0.01,0.0,-0.25,0.0,0.71,1.54,2.85,0.0,-0.01,0.27,0.03,-0.01,0.51,-0.03,0.0,2.85,-0.03,-0.01,0.51
6,"Israel goes to the polls on March 2, the third time in a year. Many countries have tracked Israel's lengthy political crisis, but it has particular resonance in France, home to the largest Jewish community in Europe, Don Murray writes.","OneUnited Bank, one of the largest black-owned banks in the US, released a new Visa Debit Card to celebrate Black History Month.",1.0,196,40,5,15,3,20.0,4.9,0,0.0,0.0,0.0,5.0,32,0,0,0,1,0,1,0,0,32,0,0,1,89.0,18.0,3.0,5.0,1.0,-2.0,0.04,0.0,0.0,0.0,-4.55,5.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,1.0,28.27,5.49,1.19,-0.12,0.28,2.25,-0.05,0.0,-1.96,0.0,0.35,1.57,3.04,0.0,-0.01,0.22,0.1,-0.01,0.49,-0.03,0.0,3.04,-0.03,-0.01,0.49
7,"Former vice-president Joe Biden's struggling campaign faced a do-or-die moment in South Carolina, and a dominant win there gives him a well-timed shot of momentum entering the coming week's Super Tuesday contests. 'We are very much alive,' Biden says.","On October 1, 2020, travelers will need a ""REAL ID-compliant"" driver's license, US passport, US military ID or other accepted identification to fly within the United States.",1.0,213,39,8,15,3,19.5,5.461538461538462,0,12.5,0.0,2.564102564102564,2.564102564102564,36,0,0,0,0,0,1,0,0,36,0,0,1,66.0,12.0,5.0,4.0,1.0,-7.5,0.02,0.0,12.5,0.0,2.56,2.56,11.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0,29.68,5.58,1.41,0.13,0.35,1.16,-0.02,0.0,-1.68,0.0,0.4,1.29,3.69,0.0,-0.01,0.18,0.03,-0.01,0.47,-0.03,0.0,3.69,-0.03,-0.01,0.47
8,"A Saskatoon woman is pleading for help after her daughter, who has a young child, was refused refugee status by the Canadian government.","The director of the religious group at the center of South Korea's novel coronavirus outbreak has denied responsibility for the recent spike in infections, saying authorities were trying to ""exaggerate"" its involvement to shift blame.",1.0,114,23,5,8,2,23.0,4.956521739130435,0,40.0,0.0,0.0,4.3478260869565215,23,0,0,0,0,0,2,0,0,23,0,0,2,-86.0,-12.0,-2.0,-6.0,0.0,-12.0,-0.76,0.0,25.71,0.0,0.0,-9.94,-5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-5.0,0.0,0.0,1.0,19.78,3.87,1.24,-0.45,0.3,0.7,-0.06,0.0,1.6,0.0,0.15,1.26,2.74,0.0,-0.01,0.16,-0.02,-0.01,0.57,-0.03,0.0,2.74,-0.03,-0.01,0.57
9,"Federal departments or agencies have mishandled personal information belonging to 144,000 Canadians over the past two years, according to new figures tabled in the House of Commons — and not everyone who was swept up in a privacy breach was told about it.","At first glance the advertisement looks decent: A one-bedroom flat in London's trendy Camden Town, situated in a pretty townhouse and boasting ""high ceilings"" and ""designer marble worktops.""",1.0,213,43,9,12,2,43.0,4.953488372093023,0,22.22222222222222,0.0,0.0,2.3255813953488373,35,0,0,1,2,0,0,0,0,35,0,0,0,50.0,15.0,6.0,1.0,0.0,28.5,-0.87,0.0,22.22,0.0,-10.71,2.33,11.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,21.76,4.5,1.51,-0.52,0.25,2.33,-0.09,0.0,2.44,0.0,-0.05,1.05,3.19,0.0,-0.01,0.23,0.13,-0.01,0.45,-0.03,0.0,3.19,-0.03,-0.01,0.45
