,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,It's been five years since Dan Price took a massive pay cut so he could raise his employees' salary — and he says the experiment has been a resounding success.,"While Democratic presidential candidates are proposing sweeping student loan forgiveness programs, President Donald Trump's budget proposes eliminating one that already exists for public workers -- for the fourth year in a row.",1.0,130.0,30.0,8.0,9.0,2.0,30.0,4.333333333333333,0.0,25.0,0.0,6.666666666666667,0.0,24.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,24.0,0.0,0.0,3.0,-66.0,-2.0,2.0,-3.0,0.0,-2.0,-1.79,0.0,8.33,0.0,3.54,0.0,-6.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,-6.0,0.0,0.0,3.0,-44.02,-4.11,2.58,-3.32,-0.39,5.7,-0.81,-0.03,11.06,0.0,4.32,-2.56,-4.44,-0.03,0.92,-0.18,0.17,-0.09,2.16,-0.05,-0.01,-4.44,-0.01,-0.2,2.16
1,"LOCUST PLAGUE: Farmers traumatized as swarms devour crops in seconds... (Third column, 11th story, link )","At first glance the advertisement looks decent: A one-bedroom flat in London's trendy Camden Town, situated in a pretty townhouse and boasting ""high ceilings"" and ""designer marble worktops.""",1.0,90.0,16.0,2.0,9.0,2.0,8.0,5.625,0.0,0.0,0.0,0.0,6.25,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,-73.0,-12.0,-1.0,-2.0,0.0,-6.5,-0.2,0.0,0.0,0.0,-10.71,6.25,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,-64.02,-11.11,-0.42,-3.32,-0.39,-5.3,-0.16,-0.03,-1.44,0.0,0.99,0.57,-8.44,-0.03,0.42,-0.18,0.17,-0.09,0.66,-0.05,-0.01,-8.44,-0.01,-0.2,0.66
2,"Many Canadian residents with U.S. citizenship could have problems with their banks and other financial institutions in coming months unless they provide them with a U.S. identification number, CBC News has learned. Experts say those who refuse or who can't co…","Sen. Bernie Sanders was expected to deliver a speech tailored to African American voters Saturday night, but what he gave instead was a roughly thirty-minute stump speech -- without a single mention of how his record is better suited than Joe Biden's to serve…",1.0,220.0,41.0,9.0,13.0,6.0,7.166666666666667,5.365853658536586,0.0,0.0,0.0,0.0,4.878048780487805,34.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,34.0,0.0,0.0,2.0,3.0,-3.0,0.0,0.0,4.0,-14.83,0.43,0.0,-33.33,0.0,-2.27,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-27.36,-5.11,0.91,-1.98,0.95,-9.25,-0.03,-0.03,-5.61,0.0,-0.12,1.15,-3.78,-0.03,0.25,-0.18,-0.16,-0.09,0.83,-0.05,-0.01,-3.78,-0.01,-0.2,0.83
3,"Shopify Inc. reports a profit of $771,000 US in its latest quarter, compared with a loss of $1.5 million in the same quarter a year earlier, as its sales rose 47 per cent.","Issui Enomoto knows the nooks and crannies of Tokyo and Yokohama intimately. For more than a decade, he has photographed their shape-shifting qualities from within his taxi.",1.0,139.0,33.0,3.0,10.0,4.0,11.333333333333334,4.212121212121212,0.0,0.0,0.0,0.0,3.0303030303030303,24.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,24.0,0.0,0.0,2.0,-8.0,6.0,0.0,1.0,1.0,-2.17,-1.23,0.0,0.0,0.0,0.0,3.03,-1.0,0.0,0.0,0.0,4.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-29.27,-4.11,0.08,-2.07,1.11,-10.18,-0.26,-0.03,-7.69,0.0,-0.68,0.98,-3.94,-0.03,0.17,-0.18,0.67,-0.09,0.91,-0.05,-0.01,-3.94,-0.01,-0.2,0.91
4,"No cases of the coronavirus have yet emerged in elementary or secondary schools in Canada, but it's certainly possible that a student or teacher could become infected. CBC News looks at the ramifications if a case of COVID-19 materializes in a Canadian school.","In back-to-back appearances at CNN town halls Thursday night in Nevada, former Vice President Joe Biden and Massachusetts Sen. Elizabeth Warren rooted themselves in bread-and-butter Democratic issues. They spoke to the economic challenges of the middle class …",1.0,218.0,43.0,6.0,13.0,3.0,21.5,5.069767441860465,0.0,0.0,0.0,0.0,2.3255813953488373,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,-5.0,5.0,4.0,-6.0,0.0,8.83,-0.8,0.0,0.0,0.0,0.0,-0.31,-3.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-3.0,0.0,0.0,-1.0,-14.62,-1.51,0.18,-1.52,1.01,-8.7,-0.22,-0.03,-8.94,0.0,-1.01,0.74,-2.64,-0.03,0.12,-0.18,0.37,-0.09,0.56,-0.05,-0.01,-2.64,-0.01,-0.2,0.56
5,"Canadian charity GlobalMedic is spearheading efforts to get Bahamians working, homes back in liveable condition.","The religious practices of Shincheonji are in the public eye because the movement appears to be the source of South Korea's growing novel coronavirus outbreak that has infected more than 5,000 people there.",1.0,98.0,15.0,4.0,6.0,2.0,15.0,6.533333333333333,0.0,25.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,-76.0,-18.0,-2.0,-4.0,0.0,-18.0,1.26,0.0,-8.33,0.0,0.0,-6.06,-13.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-13.0,0.0,0.0,0.0,-24.86,-4.45,-0.09,-2.32,0.78,-8.8,0.05,-0.03,-5.61,0.0,-1.23,0.19,-4.44,-0.03,0.09,-0.18,0.17,-0.09,0.33,-0.05,-0.01,-4.44,-0.01,-0.2,0.33
6,A self-employed Vancouver mother says she can't afford to miss work even if she might have symptoms of COVID-19 because she doesn't have paid sick leave.,"Would you have to pay for a coronavirus test? It depends. CNN Bernie Sanders' Medicare for All Would Likely Increase Wages, Create Jobs Newsweek N.J. coronavirus update: Legislation would ensure Medicaid and insurance coverage NJ.com As coronavirus spreads, M…",1.0,128.0,26.0,9.0,6.0,2.0,26.0,4.923076923076923,0.0,0.0,0.0,7.6923076923076925,11.538461538461538,21.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,21.0,0.0,0.0,3.0,-94.0,-13.0,3.0,-19.0,-3.0,19.17,-0.77,-1.0,0.0,0.0,7.69,11.54,-11.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,-11.0,0.0,0.0,2.0,-27.88,-4.97,0.44,-2.89,0.61,-7.3,0.01,-0.03,-6.8,0.0,-0.29,1.45,-4.87,-0.03,0.21,-0.18,0.03,-0.09,0.59,-0.05,-0.01,-4.87,-0.01,-0.2,0.59
7,Quebec's La Presse and Britain's Independent have proved that the most important thing about a paper is not paper. Could printless broadsheets may be the next media trend?,"In 2017, an estimated 900,000 Chinese tertiary students studied abroad. Around half of those went to either the United States or Australia, contributing billions of dollars to their economies -- money that those countries now stand to lose.",1.0,144.0,28.0,5.0,12.0,2.0,14.0,5.142857142857143,1.0,40.0,0.0,3.571428571428571,0.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,-59.0,-10.0,-1.0,2.0,-1.0,-5.0,-0.2,1.0,40.0,0.0,3.57,-2.63,-5.0,0.0,0.0,1.0,-2.0,0.0,-1.0,0.0,0.0,-5.0,0.0,0.0,-1.0,-28.15,-5.11,0.33,-2.57,0.49,-7.68,0.01,0.09,-2.69,0.0,-0.1,0.95,-4.57,-0.03,0.17,-0.06,-0.08,-0.09,0.41,-0.05,-0.01,-4.57,-0.01,-0.2,0.41
8,"Smartphones are becoming pocket-sized financial coaches, as mobile apps leverage artificial intelligence to push Americans to make smarter money decisions.","In the next two decades, the world could see a 60% increase in the number of cancer cases, according to a new report from the World Health Organization. In low- and middle-income countries, the increase could be as high as 81%.",1.0,136.0,20.0,4.0,7.0,2.0,20.0,6.8,0.0,25.0,0.0,15.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,-51.0,-21.0,-1.0,-7.0,-1.0,-0.5,2.24,0.0,5.0,0.0,15.0,-2.44,-8.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,-29.24,-6.11,0.14,-2.87,0.39,-7.3,0.19,0.08,-1.17,0.0,1.31,0.56,-5.22,-0.03,0.14,-0.07,-0.16,-0.09,0.27,-0.05,-0.01,-5.22,-0.01,-0.2,0.27
9,"Almost a third of Americans across all income levels are regularly running out of money before their next paycheck hits, according to a new survey from Salary Finance.","We live to travel. It's our passion, our hobby, our vocation and our job. So the increasing restrictions on movement that are being put in place to combat the spread of the coronavirus hits us right in our hearts.",1.0,140.0,28.0,3.0,9.0,2.0,28.0,5.0,0.0,33.33333333333333,0.0,0.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,1.0,-35.0,-11.0,-6.0,-1.0,-2.0,15.0,0.51,0.0,22.22,0.0,-5.13,0.0,-3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-3.0,0.0,-6.0,1.0,-29.72,-6.11,-0.12,-2.92,0.31,-6.2,0.16,0.07,0.89,0.0,0.95,0.24,-5.14,-0.03,0.12,0.02,-0.23,-0.09,0.26,-0.05,-0.01,-5.14,-0.01,-0.2,0.26
