,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Advances in missile technology by both the Russians and the Chinese have the potential to paralyze leaders and decision-makers in a crisis, Canada's top military commander warned in a speech Wednesday.","Defense Secretary Mark Esper called on the international community to ""wake up to the challenges presented by China,"" telling an audience of world leaders and top policymakers on Saturday that America's concerns about China should also be Europe's concerns.",1.0,171.0,31.0,3.0,12.0,2.0,31.0,5.516129032258065,0.0,0.0,0.0,3.225806451612903,6.451612903225806,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,-48.0,-8.0,-3.0,-5.0,0.0,-8.0,-0.1,0.0,-16.67,0.0,0.66,1.32,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,-8.0,-3.07,-2.68,-0.53,-0.24,7.11,0.23,-0.05,-13.87,0.0,1.85,2.73,-7.44,-0.02,-0.03,-0.14,-0.53,-0.05,-0.59,0.0,0.0,-7.44,-0.03,-0.03,-0.59
1,Ontario's beleaguered Liberals will choose a new leader today as the party looks to rebound from a devastating election and rebuild ahead of the next one in 2022.,"A Facebook account impersonating the Swain County board of elections in North Carolina. Unfounded rumors that Tarrant County, Texas, doesn't have former Vice President Joe Biden on the ballot. Wrong claims in Maine that Election Day is on different days for R…",1.0,135.0,28.0,4.0,7.0,2.0,28.0,4.821428571428571,0.0,0.0,0.0,0.0,3.571428571428571,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,-84.0,-14.0,-1.0,-16.0,-1.0,14.0,-0.39,0.0,-20.0,0.0,0.0,1.19,-10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,-26.0,-4.57,-2.18,-3.03,-0.24,5.61,-0.12,-0.05,-13.87,0.0,0.24,1.29,-5.94,-0.02,-0.03,-0.14,-0.03,-0.05,-0.59,0.0,0.0,-5.94,-0.03,-0.03,-0.59
2,"Canadians love to talk about their cellphone bills, and today Canada's telecommunications regulator will jump into that conversation as it launches nine days of hearings.","The presidential primary system remains an impediment to political progress. It's hard to imagine a worse system to nominate candidates to the highest office in the land. If you think this system works well and need further evidence, look no further than the …",1.0,146.0,25.0,5.0,10.0,2.0,25.0,5.84,0.0,0.0,0.0,4.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,25.0,0.0,0.0,2.0,-71.0,-19.0,-3.0,-1.0,-1.0,10.33,0.91,0.0,0.0,0.0,-2.82,-6.82,-7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-7.0,0.0,0.0,1.0,-28.33,-6.07,-1.68,-2.86,-0.24,4.11,0.1,-0.05,-13.87,0.0,1.03,-0.38,-5.11,-0.02,-0.03,-0.14,0.14,-0.05,0.07,0.0,0.0,-5.11,-0.03,-0.03,0.07
3,"Hundreds of U.S. law enforcement agencies have partnered with Amazon's Ring doorbell camera company, despite persistent questions about privacy and data management. Windsor, Ont.'s mayor wants his city to join, too.","On January 7, hours after Iran fired missiles at a base in Iraq housing American troops, the Iranian Foreign Minister, Javad Zarif, said that was the end of his country's response to the killing of Iranian General Qasem Soleimani.",1.0,185.0,31.0,4.0,18.0,6.0,6.6,5.967741935483871,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,-7.0,-8.0,1.0,-1.0,4.0,-32.4,1.04,0.0,-33.33,0.0,0.0,-2.56,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-19.75,-5.32,-1.68,-0.78,0.76,-1.24,0.25,-0.05,-13.87,0.0,0.43,-1.21,-3.19,-0.02,-0.03,-0.14,-0.03,-0.05,0.16,0.0,0.0,-3.19,-0.03,-0.03,0.16
4,"Prime Minister Justin Trudeau's government is asking Parliament to spend an additional $2.1 billion on Indigenous programs and initiatives, above and beyond what MPs already have approved.","The religious practices of Shincheonji are in the public eye because the movement appears to be the source of South Korea's growing novel coronavirus outbreak that has infected more than 5,000 people there.",1.0,162.0,27.0,5.0,9.0,3.0,14.0,6.0,0.0,20.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,-12.0,-6.0,-1.0,-1.0,1.0,-19.0,0.73,0.0,-13.33,0.0,0.0,-6.06,-3.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-19.2,-5.67,-1.48,-1.33,0.76,-2.97,0.34,-0.05,-9.87,0.0,0.07,-1.72,-3.24,-0.02,-0.03,-0.14,0.27,-0.05,0.01,0.0,0.0,-3.24,-0.03,-0.03,0.01
5,"The Ontario Liberal leadership vote is March 7, but winning that will be the easy part of rebuilding the party, writes Jamal Abas.","India already has over 500 million internet users, a number that's set to almost double in the next decade.",1.0,108.0,23.0,6.0,9.0,2.0,23.0,4.695652173913044,0.0,33.33333333333333,0.0,8.695652173913043,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,19.0,4.0,2.0,4.0,0.0,4.0,0.01,0.0,33.33,0.0,8.7,0.0,2.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-27.83,-6.57,-1.18,-1.69,0.6,-2.62,0.18,-0.05,-4.98,0.0,1.28,-2.05,-3.94,-0.02,-0.03,-0.14,0.31,-0.05,-0.09,0.0,0.0,-3.94,-0.03,-0.03,-0.09
6,"California moved up its primary to Super Tuesday, giving the highly populated state a shot at increased relevance in the race for the Democratic Party to choose its presidential candidate.","5 things to know for February 13: Coronavirus, Justice Department, 2020 Dems, Israel, Deepwater Horizon CNN",1.0,159.0,30.0,4.0,10.0,2.0,30.0,5.3,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,23.0,0.0,0.0,2.0,67.0,14.0,3.0,0.0,1.0,14.0,-0.45,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,-3.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,2.0,-26.71,-6.21,-1.25,-1.81,0.48,-1.37,0.16,-0.05,-6.25,0.0,0.9,-2.29,-4.15,-0.02,-0.03,-0.14,0.19,-0.05,0.12,0.0,0.0,-4.15,-0.03,-0.03,0.12
7,National protests sparked by the opposition of some Wet'suwet'en hereditary chiefs to a pipeline project in B.C. are also sparking debate in Conservative circles about the party's own relationship to Indigenous communities.,"The coronavirus that emerged from Wuhan, China, last year is causing alarm across the world, with fear that this could become the next pandemic. Late last month, the World Health Organization declared the virus, named COVID-19, a ""Public Health Emergency of I…",1.0,192.0,32.0,3.0,14.0,4.0,11.0,6.0,0.0,33.33333333333333,0.0,0.0,6.25,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,-27.0,-10.0,-4.0,-3.0,2.0,-10.0,0.79,0.0,19.05,0.0,0.0,-0.89,-6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,-21.75,-5.69,-1.43,-1.4,0.64,-2.81,0.23,-0.05,-3.04,0.0,0.62,-1.69,-3.94,-0.02,-0.03,-0.01,0.1,-0.05,0.03,0.0,0.0,-3.94,-0.03,-0.03,0.03
8,The Wet'suwet'en Nation is divided over whether to support a new natural gas pipeline through its territory or oppose it. At public meeting in Houston B.C.,"Bus-on-rail Pacer trains were introduced to Britain in the 1980s. Forty years later, what was supposed to be a temporary measure is still in service, much to the anger of commuters tired of discomfort aboard what has for some become a symbol of the UK's north…",1.0,130.0,26.0,4.0,8.0,4.0,9.0,5.0,0.0,25.0,0.0,3.8461538461538463,3.8461538461538463,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,1.0,-85.0,-20.0,-5.0,-5.0,2.0,-14.0,0.33,0.0,-19.44,0.0,3.85,-2.68,-5.0,0.0,0.0,-1.0,-2.0,0.0,1.0,0.0,0.0,-5.0,0.0,0.0,1.0,-24.78,-5.96,-1.46,-1.75,0.76,-4.15,0.17,-0.05,-1.46,0.0,0.82,-1.48,-3.77,-0.02,-0.03,-0.02,0.03,-0.05,0.07,0.0,0.0,-3.77,-0.03,-0.03,0.07
9,"Transport Canada still won't say what ""minor non-compliances"" were found during track inspections before the two recent oil train derailments near Guernsey, Sask.","In offices across Asia, desks are empty, as the region grapples with the deadly coronavirus. Instead, millions are participating in what may be the world's biggest work-from-home experiment.",1.0,140.0,23.0,4.0,9.0,2.0,23.0,6.086956521739131,0.0,25.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,-23.0,-5.0,-2.0,1.0,-1.0,9.0,0.27,0.0,-25.0,0.0,0.0,-3.57,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.2,-6.47,-1.48,-1.93,0.66,-3.83,0.23,-0.05,-0.2,0.0,0.6,-1.71,-3.94,-0.02,-0.03,-0.04,0.07,-0.05,0.01,0.0,0.0,-3.94,-0.03,-0.03,0.01
