,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,Scientists have discovered the world’s largest known subterranean fish in a cave in northeastern India.,"The Israeli military and Palestinian militants in Gaza exchanged fire on Sunday, hours after a graphic video showing an Israeli army bulldozer scraping the body of a dead man off the ground went viral.",1.0,89.0,15.0,3.0,6.0,2.0,15.0,5.933333333333334,0.0,0.0,0.0,0.0,6.666666666666667,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,-79.0,-19.0,-1.0,-6.0,0.0,-19.0,0.99,0.0,0.0,0.0,0.0,3.73,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,0.0,0.0,-68.62,-15.79,-0.95,-6.86,-0.47,-8.02,0.87,-0.02,-13.53,0.0,-1.19,4.34,-13.1,-0.95,-0.02,-0.19,-0.62,-0.03,-0.43,-0.1,0.0,-13.1,-0.05,-0.02,-0.43
1,"APPLE down more than 20%... (Second column, 2nd story, link ) Related stories: Ex-Fed Gov sees coordinated global central bank action soon in response to virus... POPE CANCELS MORE EVENTS... DOG TESTS POSITIVE... Pets face quarantine... Mexico confirms first …","At least 2,120 people are now dead from the novel coronavirus, with all but eight of those deaths in mainland China.",1.0,221.0,40.0,5.0,22.0,6.0,6.666666666666667,5.525,0.0,0.0,0.0,0.0,2.5,40.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,125.0,19.0,4.0,18.0,4.0,-14.33,0.95,0.0,-100.0,0.0,0.0,-2.26,19.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,-2.62,-3.29,0.05,1.14,1.53,-12.19,0.67,-0.02,-13.53,0.0,-1.19,2.26,0.4,-0.95,-0.02,-0.19,0.38,-0.03,-0.43,-0.1,0.0,0.4,-0.05,-0.02,-0.43
2,"Israel goes to the polls on March 2, the third time in a year. Many countries have tracked Israel's lengthy political crisis, but it has particular resonance in France, home to the largest Jewish community in Europe, Don Murray writes.","On January 7, hours after Iran fired missiles at a base in Iraq housing American troops, the Iranian Foreign Minister, Javad Zarif, said that was the end of his country's response to the killing of Iranian General Qasem Soleimani.",1.0,196.0,40.0,5.0,15.0,3.0,20.0,4.9,0.0,0.0,0.0,0.0,5.0,32.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,1.0,4.0,1.0,2.0,-4.0,1.0,-19.0,-0.02,0.0,-33.33,0.0,0.0,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.05,0.87,0.39,1.47,1.2,-9.13,0.39,-0.02,-13.53,0.0,-1.19,2.4,2.23,-0.95,-0.02,-0.19,0.38,-0.03,-0.1,-0.1,0.0,2.23,-0.05,-0.02,-0.1
3,"Hosni Mubarak, the Egyptian leader who for nearly 30 years was the resolute face of stability in the Mideast before being forced by the military to resign after nationwide protests that were part of the Arab world's 2011 pro-democracy upheaval, died on Tuesda…","After Sen. Elizabeth Warren suspended her presidential campaign -- the last of the serious female candidates who had vied for the Democratic nomination this year to do so -- many women (and some men) despaired, wondering: Will there be a female president in m…",1.0,218.0,43.0,6.0,14.0,1.0,43.0,5.069767441860465,0.0,33.33333333333333,0.0,4.651162790697675,6.976744186046512,36.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,1.0,-1.0,-2.0,2.0,-1.0,21.0,0.14,0.0,20.83,0.0,4.65,6.98,-1.0,0.0,-1.0,-2.0,2.0,0.0,-2.0,0.0,0.0,-1.0,0.0,0.0,-2.0,23.38,3.71,0.8,1.39,0.53,-1.86,0.29,-0.02,-5.2,0.0,-0.02,2.96,4.15,-0.95,-0.02,-0.19,0.63,-0.03,-0.18,-0.1,0.0,4.15,-0.05,-0.02,-0.18
4,The Trudeau government has made its case for why a country like Canada should win a seat on the United Nations Security Council. There hasn't been any discussion of the drawbacks.,"Concerns are growing over the global spread of the novel coronavirus after a spike in cases outside of mainland China among people with no connection to China or the city of Wuhan, ground zero for the outbreak.",1.0,149.0,31.0,6.0,12.0,3.0,15.5,4.806451612903226,0.0,16.666666666666664,0.0,6.451612903225806,3.225806451612903,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,1.0,-25.0,-6.0,4.0,-3.0,1.0,-21.5,0.1,0.0,-33.33,0.0,6.45,0.52,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,16.98,3.01,1.05,0.94,0.53,-2.99,0.18,-0.02,-3.53,0.0,1.03,2.55,3.5,-0.95,-0.02,-0.19,0.38,-0.03,-0.03,-0.1,0.0,3.5,-0.05,-0.02,-0.03
5,"For the first time, scientists have discovered something they didn’t think existed -- an animal that can’t breathe oxygen — and obviously doesn’t need to.","5 things to know for February 13: Coronavirus, Justice Department, 2020 Dems, Israel, Deepwater Horizon CNN",1.0,130.0,25.0,8.0,10.0,2.0,25.0,5.2,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,38.0,9.0,7.0,0.0,1.0,9.0,-0.55,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.55,1.54,1.55,0.3,0.37,-2.16,0.18,-0.02,-5.2,0.0,0.66,1.73,2.73,-0.95,-0.02,-0.19,0.21,-0.03,-0.1,-0.1,0.0,2.73,-0.05,-0.02,-0.1
6,"In this week's issue of our environment newsletter, we examine the concept of 'in-pipe hydro' and visualize just how many people worldwide live in cities.","With US coronavirus cases topping 220 across 19 states and the death toll climbing to more than a dozen, state governments have asked thousands of residents to seclude themselves from the rest of the community to help contain the virus.",1.0,130.0,25.0,3.0,8.0,2.0,25.0,5.2,0.0,0.0,0.0,0.0,4.0,23.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,2.0,0.0,-67.0,-15.0,-4.0,-6.0,0.0,-15.0,0.28,0.0,0.0,0.0,0.0,-3.5,-8.0,0.0,0.0,1.0,-2.0,1.0,0.0,0.0,0.0,-8.0,0.0,2.0,0.0,4.24,0.49,1.19,-0.43,0.25,-1.57,0.17,-0.02,-6.39,0.0,0.4,1.73,1.9,-0.95,-0.02,-0.05,0.09,0.11,-0.15,-0.1,0.0,1.9,-0.05,0.27,-0.15
7,"Yohanen and Shifra Lowen, two former Hasidic Jews who claim the Quebec government didn't do enough to ensure they received a proper education, are headed to trial in a case that could reshape how the province oversees private religious schools.",A security flaw in a mobile app used primarily by Prime Minister Benjamin Netanyahu's Likud party exposed the personal data of every eligible voter in Israel just three weeks before a national election.,1.0,205.0,40.0,10.0,12.0,2.0,40.0,5.125,0.0,10.0,0.0,5.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,35.0,7.0,8.0,-2.0,0.0,7.0,-0.03,0.0,10.0,0.0,5.0,-3.03,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,9.63,1.58,1.8,-0.49,0.16,0.75,0.16,-0.02,-6.03,0.0,0.83,1.22,2.65,-0.95,-0.02,-0.06,0.13,0.09,-0.18,-0.1,0.0,2.65,-0.05,0.23,-0.18
8,"The Islamic Jihad militant group in the Gaza Strip announced a unilateral ceasefire on Monday, calling for a halt after two days of intense fighting with Israel, just a week before the country's national elections.","As Israel prepares for its third election in less than a year, polls show that neither Israeli Prime Minister Benjamin Netanyahu and his rival Benny Gantz, who leads the Blue and White party, have a clear path to forming a 61-seat coalition. CNN's Oren Lieber…",1.0,180.0,35.0,3.0,14.0,2.0,35.0,5.142857142857143,0.0,0.0,0.0,0.0,2.857142857142857,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,-36.0,-10.0,-2.0,-5.0,0.0,12.5,0.34,0.0,0.0,0.0,-4.44,0.63,-10.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,-10.0,0.0,0.0,-2.0,11.05,1.87,1.5,-0.31,0.09,2.0,0.15,-0.02,-6.86,0.0,0.6,1.14,2.79,-0.95,-0.02,-0.08,0.16,0.08,-0.21,-0.1,0.0,2.79,-0.05,0.2,-0.21
9,The final results from Israel's election have confirmed that Prime Minister Benjamin Netanyahu has again fallen short of a parliamentary majority with his hard-line allies.,"Before joining Donald Trump's administration as special envoy for the Middle East in January 2017, I had spent the bulk of my career negotiating real estate deals as a lawyer and executive. Eyebrows were raised in some circles as to whether a person with my b…",1.0,148.0,25.0,4.0,9.0,2.0,25.0,5.92,0.0,0.0,0.0,0.0,8.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,1.0,-67.0,-21.0,-2.0,-8.0,0.0,2.0,1.25,0.0,-16.67,0.0,0.0,8.0,-10.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,-10.0,-3.0,0.0,1.0,8.98,1.11,1.35,-0.66,0.03,1.99,0.22,-0.02,-7.53,0.0,0.42,1.6,2.4,-0.95,-0.02,-0.09,0.08,0.07,-0.13,-0.1,0.0,2.4,-0.05,0.18,-0.13
