,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"In 2019, U.S. workers quit their jobs at the fastest rate on record. Workers in these five fields are most likely to quit their jobs, according to the Bureau of Labor Statistics.","Oscar-winning actor George Clooney says Nespresso still has ""work to do"" after an investigation claimed to uncover child labor at six of its suppliers in Guatemala.",1.0,147.0,32.0,4.0,11.0,5.0,8.25,4.59375,0.0,25.0,0.0,3.125,0.0,24.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,24.0,0.0,0.0,2.0,8.0,6.0,-1.0,2.0,3.0,-17.75,-0.75,0.0,25.0,0.0,-0.72,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-19.53,-0.67,-0.89,-1.33,2.81,-15.99,-0.56,-0.08,12.15,0.0,1.06,-2.2,-3.01,-0.93,-0.07,0.72,1.49,-0.09,1.48,0.0,0.0,-3.01,0.0,-0.12,1.48
1,"As the labor market tightens, companies are relying on marginalized communities to fill the employment gap. The Body Shop is lending a helping hand for the unemployed — with no questions asked.","The US economy added 273,000 jobs in February, the US Bureau of Labor Statistics said Friday.",1.0,162.0,32.0,7.0,12.0,3.0,16.0,5.0625,0.0,28.57142857142857,0.0,3.125,3.125,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,84.0,16.0,5.0,3.0,1.0,0.0,0.19,0.0,28.57,0.0,3.12,3.12,15.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,-12.03,-0.67,0.61,-0.83,1.81,-12.12,-0.32,-0.08,13.93,0.0,1.06,-0.64,-0.51,-0.93,-0.07,0.22,0.49,-0.09,0.48,0.0,0.0,-0.51,0.0,-0.12,0.48
2,U.S. Department of Labor's Bureau of Labor Statistics reported a decrease in unemployment among people with disabilities. But struggles still remain to find a job for those with disabilities.,2020 Democratic hopefuls Amy Klobuchar and Tom Steyer both couldn't name the president of Mexico when asked during a Telemundo interview while campaigning in Nevada this week.,1.0,163.0,29.0,4.0,12.0,5.0,7.5,5.620689655172414,0.0,0.0,0.0,0.0,3.4482758620689653,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,14.0,2.0,0.0,1.0,3.0,-19.5,0.1,0.0,0.0,0.0,0.0,3.45,-6.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,-9.2,-1.67,0.11,-0.67,2.15,-13.66,-0.06,-0.08,5.01,0.0,0.02,-0.01,-2.35,-0.93,-0.07,0.05,0.16,-0.09,0.15,0.0,0.0,-2.35,0.0,-0.12,0.15
3,Increased employment among workers who are at least 65 years old has taken on out-sized proportion of job growth in the last two years.,"Bernie Sanders left Las Vegas on Saturday morning in a light drizzle. By the time he arrived in San Antonio hours later, his path to the Democratic nomination seemed as big and clear as the Texas sky.",1.0,112.0,24.0,4.0,7.0,2.0,24.0,4.666666666666667,0.0,25.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,-52.0,-13.0,1.0,-8.0,-1.0,5.5,0.23,0.0,25.0,0.0,-2.7,0.0,-6.0,0.0,0.0,0.0,2.0,0.0,-2.0,0.0,0.0,-6.0,0.0,0.0,-2.0,-20.53,-3.42,-0.14,-1.83,1.56,-10.31,-0.16,-0.08,6.79,0.0,-0.5,-0.56,-2.51,-0.93,-0.07,-0.03,0.49,-0.09,-0.02,0.0,0.0,-2.51,0.0,-0.12,-0.02
4,"Rising jobs and incomes and low credit costs are the key components of a bright near-term outlook for the U.S. economy, writes Michael Ivanovitch.",Somewhere in Donald Trump's chest beats a wounded heart. It is the part of him that can't stand it when an unflattering photo of him is shared all over the internet. This happened to him last week when a photo proliferated on social media in which it appears …,1.0,123.0,24.0,3.0,10.0,4.0,8.333333333333334,5.125,0.0,33.33333333333333,0.0,4.166666666666666,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,-89.0,-25.0,-6.0,0.0,1.0,-8.0,0.8,0.0,11.11,0.0,4.17,0.0,-10.0,0.0,0.0,-1.0,0.0,0.0,-5.0,0.0,0.0,-10.0,0.0,0.0,-5.0,-25.13,-4.47,-0.49,-1.93,1.61,-11.43,-0.14,-0.08,9.53,0.0,0.02,-0.89,-3.41,-0.93,-0.07,-0.08,0.29,-0.09,-0.12,0.0,0.0,-3.41,0.0,-0.12,-0.12
5,"On Tuesday, The Home Depot announced plans to hire 80,000 people for their busy spring season. In order to recruit such a large volume of workers, Home Depot is highlighting its tuition assistance program. This emphasis on education benefits has become an inc…","The US travel industry, which has been badly hit by a plunge in sales caused by the coronavirus, could be getting some help from the federal government.",1.0,218.0,43.0,7.0,19.0,3.0,14.333333333333334,5.069767441860465,0.0,14.285714285714285,0.0,2.3255813953488373,0.0,37.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,37.0,0.0,0.0,2.0,92.0,16.0,0.0,11.0,1.0,-12.67,0.4,0.0,-14.29,0.0,2.33,-3.7,14.0,0.0,-1.0,-1.0,1.0,0.0,2.0,0.0,0.0,14.0,0.0,0.0,2.0,-12.37,-2.0,-0.06,-0.5,1.48,-11.17,-0.13,-0.08,8.18,0.0,0.06,-1.11,-1.18,-0.93,-0.07,-0.11,0.33,-0.09,0.15,0.0,0.0,-1.18,0.0,-0.12,0.15
6,"At least 80 people in the U.S. across 13 states have been confirmed to have COVID-19, or coronavirus, according to most recent information from the Centers for Disease Control and Prevention. Officials maintain that the immediate risk to the American public, …","Weeks into the novel coronavirus crisis, the outbreak finally appears to be stabilizing in central China, where the virus was initially detected before it spread throughout the country and the world.",1.0,219.0,42.0,6.0,15.0,4.0,10.75,5.214285714285714,0.0,16.666666666666664,0.0,0.0,2.380952380952381,33.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,50.0,11.0,0.0,7.0,2.0,-20.25,-0.24,0.0,-16.67,0.0,0.0,-7.3,7.0,0.0,0.0,1.0,2.0,0.0,-1.0,0.0,0.0,7.0,0.0,0.0,-1.0,-3.1,-0.38,0.11,-0.05,1.53,-11.51,-0.1,-0.08,7.56,0.0,-0.25,-0.92,-0.16,-0.93,-0.07,0.01,0.49,-0.09,0.05,0.0,0.0,-0.16,0.0,-0.12,0.05
9,U.S. stock index futures rose on Wednesday morning after the S&P 500 and Nasdaq eked out fresh record closing highs on Tuesday.,"Arthur Conan Doyle's 1912 saga ""The Lost World"" was inspired by reports from three little-known European colonies at the top of South America. Today the independent nations of Guyana and Suriname and the French territory of Guyane are finally stepping out fro…",1.0,106.0,22.0,2.0,13.0,4.0,7.666666666666667,4.818181818181818,0.0,0.0,0.0,4.545454545454546,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,-113.0,-20.0,-3.0,-4.0,2.0,-13.33,-0.4,0.0,-40.0,0.0,2.16,-2.38,-14.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-14.0,0.0,0.0,0.0,22.97,4.47,0.59,1.83,1.65,-10.16,-0.03,-0.06,-2.66,0.0,0.08,-0.39,3.19,-0.75,-0.05,0.18,0.79,-0.07,-0.22,0.0,0.0,3.19,0.0,-0.1,-0.22
10,U.S. government debt prices were lower Thursday morning after key Super Tuesday victories for former Vice President Joe Biden sparked a risk-on rally on Wall Street.,"In a city where new bars and restaurants open all the time, the old, revered favorites take on a different meaning. Explore CNN Travel's picks for dimly lit nooks, shiny bartops and cavernous corners worth returning to again and again.",1.0,140.0,26.0,2.0,16.0,4.0,9.0,5.384615384615385,0.0,50.0,0.0,0.0,3.8461538461538463,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,-56.0,-14.0,-1.0,3.0,1.0,-11.0,0.48,0.0,50.0,0.0,-5.0,3.85,-7.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,18.47,3.45,0.27,2.0,1.67,-10.62,-0.01,-0.07,0.96,0.0,-0.12,-0.2,2.81,-0.76,-0.05,0.13,0.68,-0.08,-0.24,0.0,0.0,2.81,0.0,-0.1,-0.24
11,It can be confusing to figure out how much you need to be saving for retirement right now. But the financial analysts at Blacktower Financial Management Group have done the math for you — and it turns out that you can probably squeak by without the $1 million…,El encuentro entre el pontífice y el expresidente de Brasil Lula da Silva fue a puerta cerrada en la residencia Santa Marta en el Vaticano. El exmandatario publicó imágenes de la reunión en su cuenta de Twitter.,1.0,213.0,48.0,13.0,8.0,2.0,24.0,4.4375,0.0,15.384615384615385,0.0,2.083333333333333,4.166666666666666,32.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,32.0,0.0,0.0,4.0,38.0,11.0,12.0,-11.0,-1.0,5.5,-0.29,0.0,15.38,0.0,2.08,4.17,8.0,-12.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,8.0,0.0,0.0,4.0,20.81,4.44,0.92,1.47,1.51,-9.76,-0.06,-0.07,1.09,0.0,-0.11,-0.02,2.99,-0.78,-0.06,0.1,0.66,-0.08,0.07,0.08,0.0,2.99,0.0,-0.1,0.07
