,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,This week we launch an in-depth series about the painful and pressing problem of domestic violence — and how as a society we might be able to change outcomes for victims.,"During a CNN town hall in Nevada, Democratic presidential candidate Pete Buttigieg discusses conservative radio personality Rush Limbaugh's attack on Buttigieg's sexuality.",1.0,140,31,5,8,2,31.0,4.516129032258065,0,20.0,0.0,0.0,6.451612903225806,27,0,0,0,0,2,0,0,0,27,0,2,0,-11.0,9.0,4.0,-6.0,0.0,9.0,-2.35,0.0,20.0,0.0,0.0,-2.64,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,-10.53,1.7,0.44,-3.35,-0.14,7.74,-0.67,-0.02,12.23,0.0,-2.29,4.47,2.25,-0.14,-0.05,-0.16,-0.35,1.93,-1.16,0.0,0.0,2.25,0.0,1.93,-1.16
1,"In December 2017, Margarita Gracheva's husband brutally attacked her. She has since emerged as one of the most high-profile victims of Russia's epidemic of domestic violence, Chris Brown writes.",Democratic presidential candidate Pete Buttigieg shared a story at the CNN Town Hall in Nevada about how he tried to use his foreign language skills to help a family caught in the middle of a protest.,1.0,166,29,4,10,3,14.5,5.724137931034483,0,0.0,0.0,0.0,6.896551724137931,26,0,0,1,2,0,0,0,0,26,0,0,0,1.0,-7.0,-1.0,-3.0,1.0,-21.5,1.14,0.0,0.0,0.0,0.0,4.12,-1.0,0.0,0.0,1.0,2.0,0.0,-2.0,0.0,0.0,-1.0,0.0,0.0,-2.0,2.47,0.7,-0.06,-2.35,0.36,-0.51,-0.07,-0.02,2.23,0.0,-2.29,4.69,1.75,-0.14,-0.05,0.34,0.65,0.93,-1.16,0.0,0.0,1.75,0.0,0.93,-1.16
2,"In December 2017, Margarita Gracheva's husband took her to a wooded area near their home and chopped off both her hands in a jealous rage. She has since emerged as one of the most high-profile victims of Russia's epidemic of domestic violence, Chris Brown wri…",The Supreme Court agreed Monday to hear an appeal by a Catholic foster agency that argues it's in danger of losing its government contract because it refuses to recruit or certify same sex couples as potential foster parents.,1.0,216,45,4,15,2,22.5,4.8,0,0.0,0.0,0.0,6.666666666666667,38,0,0,1,2,0,5,0,0,38,0,0,5,28.0,7.0,-4.0,1.0,0.0,-15.5,-0.15,0.0,0.0,0.0,-2.63,-1.23,4.0,0.0,-1.0,1.0,2.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,23.47,5.7,-0.23,-0.35,0.19,-0.59,-0.18,-0.02,-1.11,0.0,-2.29,4.69,5.58,-0.14,-0.05,0.51,0.98,0.6,0.51,0.0,0.0,5.58,0.0,0.6,0.51
3,"Canada's Feminist International Assistance Policy is aimed at supporting the economic, political, and social empowerment of women and girls, but the government is falling short of the mark when it comes to addressing the Rohingya genocide and refugee crisis.","Ivanka Trump on Wednesday commemorated the first anniversary of her signature policy, the Women's Global Development and Prosperity Initiative, with the unveiling of bipartisan legislation to support her efforts. However, the initiative drew criticism from ad…",1.0,220,39,7,14,2,39.0,5.641025641025641,0,28.57142857142857,0.0,5.128205128205128,7.6923076923076925,28,0,0,0,0,0,1,0,0,28,0,0,1,-5.0,3.0,4.0,-3.0,0.0,21.0,-0.61,0.0,28.57,0.0,2.35,4.91,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-3.0,34.97,6.7,0.44,0.4,0.11,3.49,-0.02,-0.02,4.37,0.0,-1.01,4.95,5.0,-0.14,-0.05,0.34,0.65,0.43,0.34,0.0,0.0,5.0,0.0,0.43,0.34
4,Abused women and children who seek refuge in short-stay crisis shelters often need long-term physical protection and counselling that can't be found in emergency shelters. A national shortage of so-called second-stage shelters puts them at risk of more violen…,"""At last,"" say Democrats who decry the outsized influence that Iowa and New Hampshire have in picking their party's presidential nominee. It's finally time for a Democratic nominating contest -- the Nevada caucuses -- where voters reflect the party's overall …",1.0,222,39,6,14,2,19.5,5.6923076923076925,0,16.666666666666664,0.0,2.564102564102564,10.256410256410255,31,0,0,0,0,0,1,0,0,31,0,0,1,2.0,-2.0,0.0,-1.0,0.0,-1.0,0.33,0.0,16.67,0.0,2.56,7.82,-3.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,42.27,7.3,0.64,0.85,0.06,2.04,0.08,-0.02,5.27,0.0,-0.75,5.61,5.25,-0.14,-0.05,0.24,0.45,0.33,0.24,0.0,0.0,5.25,0.0,0.33,0.24
5,"A Saskatoon woman is pleading for help after her daughter, who has a young child, was refused refugee status by the Canadian government.","The University of Pennsylvania-affiliated Penn Museum launched a program called the Global Guides, which works with Philadelphia organizations to hire refugees as docents.",1.0,114,23,5,8,2,23.0,4.956521739130435,0,40.0,0.0,0.0,4.3478260869565215,23,0,0,0,0,0,2,0,0,23,0,0,2,-35.0,0.0,1.0,-3.0,0.0,0.0,-1.52,0.0,40.0,0.0,-4.35,4.35,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,29.14,5.04,0.61,0.15,0.03,1.66,0.03,-0.02,9.77,0.0,-1.01,5.07,4.08,-0.14,-0.05,0.18,0.32,0.26,0.34,0.0,0.0,4.08,0.0,0.26,0.34
6,"Rates of intimate partner violence in the North are among the highest in the country, and yet there are only 14 shelters total across all three territories.","Like any institution, monarchies must adapt to remain relevant and in place.",1.0,130,27,2,8,2,27.0,4.814814814814815,0,100.0,0.0,3.7037037037037033,0.0,20,0,0,1,2,0,0,0,0,20,0,0,0,65.0,15.0,-1.0,5.0,0.0,15.0,-0.6,0.0,100.0,0.0,3.7,0.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,22.05,3.99,0.15,-0.35,0.0,1.96,-0.03,-0.02,21.55,0.0,-0.66,4.06,2.82,-0.14,-0.05,0.27,0.51,0.22,0.13,0.0,0.0,2.82,0.0,0.22,0.13
7,"Two families in Guysborough County, N.S., became forever bound by tragedy in 2017 after an Afghanistan veteran with a complex mental illness — and a history of conflict in his marriage — fatally shot his wife, mother, daughter and himself.",A Belfast couple made history after British MPs voted to extend same-sex marriage to Northern Ireland last July.,1.0,200,40,3,17,4,14.0,5.0,0,0.0,0.0,0.0,12.5,29,0,0,0,2,0,2,0,0,29,0,0,2,105.0,22.0,0.0,9.0,2.0,-4.0,-0.28,0.0,0.0,0.0,0.0,12.5,13.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,13.0,0.0,0.0,2.0,25.47,4.83,-0.06,0.4,0.23,0.56,-0.05,-0.02,17.88,0.0,-0.87,4.87,3.0,-0.14,-0.05,0.22,0.65,0.18,0.22,0.0,0.0,3.0,0.0,0.18,0.22
8,"Kate, the Duchess of Cambridge, took part in a recent podcast, one of several events in recent months as more attention has been focusing on her role within the Royal Family.","""Parasite"" se llevó el Oscar a Mejor película. Conoce aquí todos los ganadores.",1.0,144,31,4,11,2,31.0,4.645161290322581,0,25.0,0.0,0.0,0.0,23,0,0,0,1,0,2,0,0,23,0,0,2,77.0,18.0,3.0,2.0,-1.0,24.5,-0.51,0.0,25.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,2.0,21.92,4.48,-0.12,0.32,0.19,1.35,-0.1,-0.02,17.81,0.0,-1.03,4.11,2.47,-0.14,-0.05,0.18,0.65,0.15,0.29,0.0,0.0,2.47,0.0,0.15,0.29
9,"Talking money with your relationship partner at the beginning of a marriage can be challenging, but it's absolutely critical to creating a successful life together.",Las nominaciones para los 92 ° Premios de la Academia se anunciarán el lunes por la mañana. Aquí estaremos publicando la lista de nominados.,1.0,140,25,5,6,2,25.0,5.6,0,20.0,0.0,4.0,8.0,23,0,0,0,0,0,1,0,0,23,0,0,1,23.0,1.0,3.0,-4.0,-1.0,13.0,0.72,0.0,20.0,0.0,4.0,8.0,4.0,-8.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,18.67,3.6,-0.06,-0.25,0.16,1.39,-0.05,-0.02,17.25,0.0,-0.75,4.3,2.05,-0.14,-0.05,0.14,0.55,0.13,0.24,0.0,0.0,2.05,0.0,0.13,0.24
