,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Democratic presidential candidates traded jabs over money and message on Sunday, two days before New Hampshire voters pick their choice to take on U.S. Republican President Donald Trump in November.","The public charge rule, which goes into effect Monday, is a major step in the construction of what's known as Trump's ""invisible wall,"" a methodical overhaul of policies that's dramatically changing who can immigrate legally to the United States.",1.0,169,30,3,16,4,10.333333333333334,5.633333333333334,0,0.0,0.0,0.0,0.0,28,0,0,0,1,0,1,0,0,28,0,0,1,-39.0,-9.0,-5.0,4.0,2.0,-28.67,0.3,0.0,-12.5,0.0,0.0,-2.56,-5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-5.0,0.0,0.0,1.0,-6.87,-3.74,-1.52,1.48,1.65,-13.95,0.4,-0.09,-11.62,0.0,-1.84,-2.25,-0.35,-0.57,0.0,0.0,0.35,-0.17,0.35,-0.04,0.0,-0.35,0.0,-0.22,0.35
1,"Federal authorities announced an investigation of the Seattle-area nursing home at the centre of an outbreak of the new coronavirus as the U.S. death toll climbed to 11, including the first fatality outside Washington state.","Would you have to pay for a coronavirus test? It depends. CNN Bernie Sanders' Medicare for All Would Likely Increase Wages, Create Jobs Newsweek N.J. coronavirus update: Legislation would ensure Medicaid and insurance coverage NJ.com As coronavirus spreads, M…",1.0,190,35,3,14,4,12.0,5.428571428571429,0,0.0,0.0,0.0,8.571428571428571,25,0,0,0,1,0,0,0,0,25,0,0,0,-32.0,-4.0,-3.0,-11.0,-1.0,5.17,-0.26,-1.0,0.0,0.0,0.0,8.57,-7.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,-7.0,0.0,0.0,-1.0,3.63,-1.24,-1.52,0.48,1.65,-13.12,0.3,-0.09,-11.62,0.0,-1.84,2.04,-1.85,-0.57,0.0,0.0,0.35,-0.17,-0.15,-0.04,0.0,-1.85,0.0,-0.22,-0.15
2,U.S. stock index futures are pointing to a higher open on Wall Street Tuesday as stocks look to continue Monday's rally.,"President Donald Trump made 56 false claims last week -- repeating one of his conspiracy theories about the 2016 election, promoting new fiction about impeachment witness Lt. Col. Alexander Vindman, and inflating his accomplishments and his standing in the po…",1.0,100,21,4,10,4,7.333333333333333,4.761904761904762,0,25.0,0.0,0.0,0.0,19,0,0,0,0,0,0,0,0,19,0,0,0,-121.0,-19.0,0.0,-7.0,1.0,-6.0,-0.76,0.0,25.0,0.0,-2.5,-7.5,-12.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,-12.0,0.0,0.0,-3.0,-22.87,-5.07,-1.19,-1.19,1.65,-14.39,0.04,-0.09,-3.28,0.0,-1.84,0.61,-4.35,-0.57,0.0,0.0,0.01,-0.17,-0.32,-0.04,0.0,-4.35,0.0,-0.22,-0.32
3,"While most of the proposals involving Medicare are largely aimed at behind-the-scenes shifts, the budget also would make it easier for older Americans to opt out of Medicare and would allow recipients to put money in tax-advantaged accounts earmarked for heal…","Para entender la participación en las urnas en el 2020, tenemos que repasar lo ocurrido en 2016. Ese año fue la primera elección sin las protecciones completas de la Ley de los Derechos del Votante.",1.0,220,41,10,10,1,41.0,5.365853658536586,0,10.0,0.0,2.4390243902439024,0.0,29,0,0,1,0,0,1,0,0,29,0,0,1,56.0,6.0,9.0,-9.0,-2.0,23.5,0.68,0.0,10.0,0.0,2.44,-2.86,4.0,-6.0,0.0,1.0,-2.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,-6.12,-1.99,0.48,-2.02,0.9,-6.62,0.07,-0.09,-2.87,0.0,-1.23,-0.11,-3.1,-0.57,0.0,0.25,-0.15,-0.17,-0.15,-0.04,0.0,-3.1,0.0,-0.22,-0.15
4,Former New York City and billionaire businessman Mike Bloomberg has released plans to help shore up Social Security and increase retirement savings as part of his bid for the White House. Here's how his proposals aim to boost workers' bottom lines.,Este es el momento para la pregunta definitiva sobre el movimiento de Bernie Sanders: ¿está Estados Unidos preparado para un presidente socialista democrático?,1.0,208,41,9,19,3,20.5,5.073170731707317,0,0.0,0.0,4.878048780487805,0.0,35,0,0,0,0,0,2,0,0,35,0,0,2,71.0,18.0,8.0,3.0,2.0,-2.5,-0.88,-1.0,0.0,0.0,4.88,0.0,16.0,-4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0,0.0,0.0,2.0,1.53,-0.14,1.28,-0.72,0.85,-6.05,0.02,-0.09,-4.62,0.0,-0.37,-0.54,-1.15,-0.57,0.0,0.2,-0.25,-0.17,0.15,-0.04,0.0,-1.15,0.0,-0.22,0.15
5,The fiscal 2021 budget projects the deficit will hit $1 trillion this fiscal year and linger at $200 billion after a decade.,"[OPINIÓN] La nueva regla de carga pública, impulsada por el gobierno Trump, básicamente ""crea una prueba de riqueza para inmigrantes que se basa en factores como su edad, salud, educación, ingresos y recursos"", asegura Steve Tobocman.",1.0,103,22,2,6,2,22.0,4.681818181818182,0,0.0,0.0,0.0,0.0,20,0,0,0,5,0,0,0,0,20,0,0,0,-96.0,-14.0,-1.0,-16.0,0.0,-14.0,-0.85,0.0,0.0,0.0,0.0,0.0,-14.0,-3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-14.0,0.0,0.0,0.0,-10.87,-2.07,0.64,-2.02,0.65,-5.42,-0.07,-0.09,-5.78,0.0,-0.62,-0.82,-2.35,-0.57,0.0,0.17,0.51,-0.17,0.01,-0.04,0.0,-2.35,0.0,-0.22,0.01
6,"The Supreme Court hears arguments Wednesday in a major abortion case, the first with Justices Neil Gorsuch and Brett Kavanaugh on the bench.","Vanessa Kerry writes that the story of Osmel Martinez Azcue, a man charged over $3,000 for taking responsible action and visiting a hospital to be screened for the novel coronavirus after he returned from China with flu-like symptoms, proves that if we are go…",1.0,118,23,1,12,2,23.0,5.130434782608695,0,0.0,0.0,0.0,0.0,21,0,0,0,0,0,0,0,0,21,0,0,0,-99.0,-21.0,-8.0,-1.0,1.0,-21.0,0.2,0.0,-22.22,0.0,-2.27,-2.27,-15.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-15.0,0.0,-1.0,-1.0,-17.58,-3.31,0.05,-2.09,0.51,-4.83,-0.08,-0.09,-6.62,0.0,-0.79,-1.03,-3.06,-0.57,0.0,0.14,0.35,-0.17,-0.08,-0.04,0.0,-3.06,0.0,-0.22,-0.08
7,"While headlines focus on millennials' perceived inability to save for retirement, Americans of all ages are financially strapped: 45% of boomers have nothing saved for retirement and one-third of those between 67 and 72 have postponed leaving the workforce th…",Another strikeout for the Trump administration in court.,1.0,221,40,10,13,1,40.0,5.525,0,10.0,0.0,0.0,2.5,31,0,0,1,3,0,0,0,0,31,0,0,0,172.0,32.0,9.0,9.0,-1.0,32.0,-0.6,0.0,10.0,0.0,0.0,2.5,23.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,-9.74,-2.11,0.73,-2.02,0.28,-2.26,-0.03,-0.09,-5.99,0.0,-0.92,-0.87,-2.35,-0.57,0.0,0.25,0.6,-0.17,-0.15,-0.04,0.0,-2.35,0.0,-0.22,-0.15
8,Part of investors' worries surround the uncertainty over the potential impact of a widespread Covid-19 outbreak in the United States. But that's not all that's worrying investors.,"The Trump administration wants to slash billions of dollars in federal support from Medicaid, food stamps and other safety net programs for the poor, while largely sparing the Medicare program that benefits seniors.",1.0,153,27,3,9,3,13.5,5.666666666666667,0,0.0,0.0,0.0,11.11111111111111,20,0,0,1,0,0,0,0,0,20,0,0,0,-30.0,-6.0,0.0,-6.0,1.0,-19.5,0.12,0.0,0.0,0.0,-6.06,8.08,-11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-11.0,0.0,0.0,0.0,-11.2,-2.63,0.48,-2.41,0.32,-3.21,0.02,-0.09,-6.62,0.0,-1.02,0.21,-3.01,-0.57,0.0,0.33,0.46,-0.17,-0.21,-0.04,0.0,-3.01,0.0,-0.22,-0.21
9,RenalytixAI has developed an artificial intelligence clinical diagnostic that rates a person's chances of getting kidney disease.,"Mike Bloomberg has vowed as a Democratic candidate for president to ""strengthen entitlement programs."" But when he was mayor of New York City, Bloomberg twice compared Social Security to a ""Ponzi scheme"" and repeatedly said cuts to that program as well as Med…",1.0,113,17,3,8,2,17.0,6.647058823529412,0,0.0,0.0,5.88235294117647,0.0,17,0,0,0,0,0,0,0,0,17,0,0,0,-105.0,-26.0,-3.0,-9.0,0.0,-5.0,1.58,0.0,-16.67,0.0,3.56,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-16.0,0.0,0.0,-1.0,-16.37,-4.04,0.28,-2.82,0.25,-3.62,0.16,-0.09,-7.12,0.0,-0.52,-0.03,-3.85,-0.57,0.0,0.3,0.35,-0.17,-0.25,-0.04,0.0,-3.85,0.0,-0.22,-0.25
