,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"What a setting for a socialist revolution: Las Vegas. Bernie Sanders swept Sin City on Saturday, dominating the Nevada caucuses in a victory that makes the senator the unequivocal 2020 Democratic presidential frontrunner.","During a CNN town hall in South Carolina, Democratic presidential candidate Sen. Bernie Sanders (I-VT) describes how he will fund his ""Medicare for All"" plan.",1.0,189.0,33.0,4.0,13.0,3.0,16.5,5.7272727272727275,0.0,0.0,0.0,6.0606060606060606,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,55.0,8.0,1.0,0.0,0.0,4.0,0.37,0.0,0.0,0.0,6.06,0.0,2.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,2.0,0.0,0.0,-2.0,9.85,-1.06,-0.48,-2.21,0.58,-5.75,0.47,-0.06,-8.2,0.0,4.22,-2.15,-1.65,-0.83,-0.05,-0.15,0.7,-0.03,-0.7,-0.03,0.0,-1.65,-0.02,-0.02,-0.7
1,Joe Biden is staring down what could be the end of his political career. The former U.S. vice-president's campaign is hobbling toward its do-or-die moment this weekend in South Carolina. Katie Simpson looks at the major challenges facing Biden.,"John Oliver sang the praises of Medicare for All while poking fun at its political opponents, including Pete Buttigieg, on ""HBO's ""Last Week Tonight.""",1.0,206.0,39.0,8.0,15.0,6.0,8.0,5.282051282051282,0.0,37.5,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,35.0,0.0,0.0,2.0,79.0,15.0,5.0,4.0,4.0,-4.5,-0.01,0.0,37.5,0.0,-4.17,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0,18.35,1.94,1.52,-1.21,2.08,-10.0,0.24,-0.06,10.55,0.0,1.19,-2.15,2.35,-0.83,-0.05,-0.15,0.2,-0.03,0.3,-0.03,0.0,2.35,-0.02,-0.02,0.3
2,"What a setting for a socialist revolution: Las Vegas. Bernie Sanders swept Sin City on Saturday, dominating the Nevada caucuses in a victory that makes the senator the unequivocal 2020 Democratic presidential frontrunner.","Welcome to CNN's fact check coverage of the tenth Democratic presidential debate from Charleston, South Carolina, ahead of the state's primary on Saturday.",1.0,189.0,33.0,4.0,13.0,3.0,16.5,5.7272727272727275,0.0,0.0,0.0,6.0606060606060606,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,56.0,10.0,3.0,2.0,1.0,-6.5,-0.06,0.0,0.0,0.0,6.06,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,15.52,0.94,0.85,-1.55,1.58,-8.58,0.32,-0.06,4.3,0.0,2.2,-2.15,1.02,-0.83,-0.05,-0.15,0.36,-0.03,-0.03,-0.03,0.0,1.02,-0.02,-0.02,-0.03
3,"What a setting for a socialist revolution: Las Vegas. Bernie Sanders swept Sin City on Saturday, dominating the Nevada caucuses in a victory that makes the senator the unequivocal 2020 Democratic presidential front-runner.","Bernie Sanders left Las Vegas on Saturday morning in a light drizzle. By the time he arrived in San Antonio hours later, his path to the Democratic nomination seemed as big and clear as the Texas sky.",1.0,190.0,33.0,4.0,13.0,3.0,16.5,5.757575757575758,0.0,0.0,0.0,6.0606060606060606,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,26.0,-4.0,1.0,-2.0,0.0,-2.0,1.33,0.0,0.0,0.0,3.36,0.0,-3.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,-3.0,0.0,0.0,-2.0,14.35,0.44,0.52,-1.71,1.33,-7.88,0.36,-0.06,1.18,0.0,2.7,-2.15,0.35,-0.83,-0.05,-0.15,0.45,-0.03,-0.2,-0.03,0.0,0.35,-0.02,-0.02,-0.2
4,"Federal authorities announced an investigation of the Seattle-area nursing home at the centre of an outbreak of the new coronavirus as the U.S. death toll climbed to 11, including the first fatality outside Washington state.","Republican Sen. John Cornyn Wednesday blasted the socialist vision of Democratic presidential candidate Bernie Sanders and said it's critical Republicans keep control of the Senate to be a ""firewall"" against the Vermont senator's policies in case he's elected.",1.0,190.0,35.0,3.0,14.0,4.0,12.0,5.428571428571429,0.0,0.0,0.0,0.0,8.571428571428571,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,-33.0,-3.0,-4.0,-2.0,1.0,-7.0,-0.44,0.0,-14.29,0.0,0.0,3.31,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,13.65,0.54,0.12,-1.61,1.38,-8.35,0.32,-0.06,-0.7,0.0,1.79,-0.44,-0.45,-0.83,-0.05,-0.15,0.5,-0.03,-0.3,-0.03,0.0,-0.45,-0.02,-0.02,-0.3
5,"Although most Medicare beneficiaries don't pay monthly surcharges for their coverage, more than 4 million do. Here's how to make sure you really need to pay those extra amounts.","""At last,"" say Democrats who decry the outsized influence that Iowa and New Hampshire have in picking their party's presidential nominee. It's finally time for a Democratic nominating contest -- the Nevada caucuses -- where voters reflect the party's overall …",1.0,149.0,29.0,6.0,6.0,3.0,14.5,5.137931034482759,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,25.0,0.0,0.0,2.0,-71.0,-12.0,0.0,-9.0,1.0,-6.0,-0.23,0.0,0.0,0.0,0.0,-2.44,-9.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,-9.0,0.0,0.0,1.0,6.35,-0.39,0.35,-2.88,1.24,-8.25,0.25,-0.06,-1.95,0.0,1.19,-0.73,-0.98,-0.83,-0.05,0.02,0.7,-0.03,-0.03,-0.03,0.0,-0.98,-0.02,-0.02,-0.03
6,"While most of the proposals involving Medicare are largely aimed at behind-the-scenes shifts, the budget also would make it easier for older Americans to opt out of Medicare and would allow recipients to put money in tax-advantaged accounts earmarked for heal…","The Nevada caucus is wide open, with Bernie Sanders best positioned to take advantage of a fragmented field and the deep passion of his base. This is setting off rounds of hand-wringing as establishment types in the state and nationally (again) misjudge the m…",1.0,220.0,41.0,10.0,10.0,1.0,41.0,5.365853658536586,0.0,10.0,0.0,2.4390243902439024,0.0,29.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,29.0,0.0,0.0,1.0,3.0,-3.0,4.0,-4.0,-1.0,19.0,0.43,0.0,-23.33,0.0,-4.38,-4.55,-5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,11.28,0.65,1.09,-3.21,0.86,-4.39,0.23,-0.06,-1.41,0.0,1.1,-0.93,-0.79,-0.83,-0.05,0.13,0.55,-0.03,0.02,-0.03,0.0,-0.79,-0.02,-0.02,0.02
7,"Though President Donald Trump has repeatedly vowed to protect Social Security benefits, his budget includes big cuts to parts of the program. One proposal could make it more difficult for individuals to keep receiving disability benefits.",• 5 takeaways from the New Hampshire Democratic primary • Analysis: Chris Cillizza's winners and losers • Trump wins GOP primary • Analysis: Joe Biden's path to the nomination has zero historic precedent,1.0,203.0,36.0,8.0,14.0,3.0,18.0,5.638888888888889,0.0,0.0,0.0,8.333333333333332,2.7777777777777777,33.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,33.0,0.0,0.0,2.0,32.0,3.0,6.0,-4.0,2.0,-15.0,0.46,0.0,0.0,0.0,2.27,-0.25,10.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,2.0,12.85,0.81,1.39,-2.96,0.83,-4.38,0.25,-0.06,-2.26,0.0,1.78,-0.74,-0.15,-0.83,-0.05,0.1,0.57,-0.03,0.18,-0.03,0.0,-0.15,-0.02,-0.02,0.18
8,The fiscal 2021 budget projects the deficit will hit $1 trillion this fiscal year and linger at $200 billion after a decade.,"Would you have to pay for a coronavirus test? It depends. CNN Bernie Sanders' Medicare for All Would Likely Increase Wages, Create Jobs Newsweek N.J. coronavirus update: Legislation would ensure Medicaid and insurance coverage NJ.com As coronavirus spreads, M…",1.0,103.0,22.0,2.0,6.0,2.0,22.0,4.681818181818182,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,-119.0,-17.0,-4.0,-19.0,-3.0,15.17,-1.01,-1.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,5.0,0.0,-1.0,0.0,0.0,-12.0,0.0,0.0,-1.0,2.96,-0.62,0.96,-3.66,0.69,-3.92,0.15,-0.06,-2.92,0.0,1.38,-0.89,-1.1,-0.83,-0.05,0.07,1.03,-0.03,0.08,-0.03,0.0,-1.1,-0.02,-0.02,0.08
9,U.S. stock index futures are pointing to a higher open on Wall Street Tuesday as stocks look to continue Monday's rally.,"Bernie Sanders, el claro favorito para ganar la nominación presidencial demócrata, le preguntaron el fin de semana cuánto costarían sus diversos planes si se aplicaran. No sabía.",1.0,100.0,21.0,4.0,10.0,4.0,7.333333333333333,4.761904761904762,0.0,25.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,-52.0,-6.0,2.0,-8.0,1.0,-6.17,-0.87,0.0,25.0,0.0,0.0,0.0,-6.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,-5.25,-1.86,0.82,-3.81,0.78,-5.02,0.09,-0.06,-0.95,0.0,1.05,-1.02,-1.95,-0.83,-0.05,0.05,0.9,-0.03,0.0,-0.03,0.0,-1.95,-0.02,-0.02,0.0
