,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,A Soviet spy radio has been discovered in Germany by archaeologists searching for Roman remains.,Security researchers are reporting flaws in a smartphone-based voting app that's been used by military voters overseas and is now being tested for use in the US.,1.0,82,15,5,5,2,15.0,5.466666666666667,0,20.0,0.0,0.0,0.0,15,0,0,0,0,0,0,0,0,15,0,0,0,-53.0,-12.0,-3.0,-3.0,0.0,-12.0,0.47,0.0,-17.5,0.0,0.0,-3.7,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,-83.4,-17.24,-0.1,-7.23,0.0,-14.13,0.36,-0.01,6.3,0.0,-1.28,-3.03,-11.94,0.0,-0.03,-0.14,-0.6,-0.03,-0.71,-0.05,0.0,-11.94,0.0,-0.03,-0.71
1,Could cyborg locusts be the bomb-sniffing dogs of the future?,"For some military families and veterans, President Trump's downplaying of traumatic brain injuries serves as a push to bring more attention to the severity of the injury.",1.0,52,10,1,5,1,10.0,5.2,1,100.0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,8,0,0,0,-92.0,-17.0,-1.0,-6.0,-1.0,-17.0,-0.13,1.0,100.0,0.0,0.0,-11.11,-13.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-13.0,0.0,0.0,0.0,-98.4,-19.74,-2.1,-7.23,-0.5,-16.63,0.23,0.49,46.3,0.0,-1.28,-3.03,-15.44,0.0,-0.03,-0.14,-0.6,-0.03,-0.71,-0.05,0.0,-15.44,0.0,-0.03,-0.71
2,"Advances in missile technology by both the Russians and the Chinese have the potential to paralyze leaders and decision-makers in a crisis, Canada's top military commander warned in a speech Wednesday.","On October 1, 2020, travelers will need a ""REAL ID-compliant"" driver's license, US passport, US military ID or other accepted identification to fly within the United States.",1.0,171,31,3,12,2,31.0,5.516129032258065,0,0.0,0.0,3.225806451612903,6.451612903225806,21,0,0,0,0,0,0,0,0,21,0,0,0,24.0,4.0,0.0,1.0,0.0,4.0,0.07,0.0,0.0,0.0,3.23,6.45,-4.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,-63.74,-13.58,-2.1,-4.9,-0.33,-10.46,0.29,0.32,26.3,0.0,-0.21,-0.88,-12.27,0.0,-0.03,-0.14,-0.6,-0.03,-0.71,-0.05,0.0,-12.27,0.0,-0.03,-0.71
3,The top official with U.S. Customs and Border Protection has admitted border officers wrongly held and interrogated Iranian-born travellers — many of them Canadian and American citizens — at the Canada-U.S. border after military tensions with Iran escalated l…,"On February 19, 1942, President Franklin Delano Roosevelt gave the Secretary of War the authority to evacuate to designated military areas anyone deemed a US security threat.",1.0,222,39,6,14,5,8.2,5.6923076923076925,0,0.0,0.0,2.564102564102564,2.564102564102564,30,0,0,1,0,0,1,0,0,30,0,0,1,74.0,12.0,2.0,1.0,3.0,-18.8,0.21,0.0,0.0,0.0,2.56,-1.14,7.0,0.0,0.0,1.0,-2.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,-33.65,-8.49,-1.35,-3.23,0.5,-13.08,0.36,0.24,16.3,0.0,0.17,-0.77,-8.44,0.0,-0.03,0.11,-0.6,-0.03,-0.46,-0.05,0.0,-8.44,0.0,-0.03,-0.46
4,"When U.S. President Donald Trump seemed to downplay traumatic brain injuries (TBI) sustained by American troops in an Iranian missile strike, University of Windsor assistant professor and former military spouse Kate Kemplin knew she needed to speak out.","The Israeli military and Palestinian militants in Gaza exchanged fire on Sunday, hours after a graphic video showing an Israeli army bulldozer scraping the body of a dead man off the ground went viral.",1.0,216,38,6,17,4,13.0,5.684210526315789,0,0.0,0.0,0.0,5.263157894736842,36,0,0,0,0,0,1,0,0,36,0,0,1,48.0,4.0,2.0,5.0,2.0,-21.0,0.74,0.0,0.0,0.0,0.0,2.32,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,-16.8,-5.64,-0.9,-1.63,0.8,-13.69,0.4,0.19,10.3,0.0,-0.12,-0.17,-4.94,0.0,-0.03,0.06,-0.6,-0.03,-0.31,-0.05,0.0,-4.94,0.0,-0.03,-0.31
5,"U.S. President Donald Trump offered to pardon WikiLeaks founder Julian Assange if he said that Russia had nothing to do with WikiLeaks's publication of Democratic Party emails in 2016, a London court has been told.","The New England towns of Concord, Massachusetts, and Concord, New Hampshire, may only be about an hour away from each other by car, but their respective roles in American military history are miles apart.",1.0,180,35,8,17,4,12.0,5.142857142857143,0,12.5,0.0,2.857142857142857,0.0,33,0,0,0,1,0,1,0,0,33,0,0,1,9.0,1.0,5.0,4.0,2.0,-22.0,0.11,0.0,-54.17,0.0,2.86,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-11.57,-4.24,-0.27,-0.57,1.0,-14.26,0.34,0.16,8.39,0.0,0.16,-0.65,-3.11,0.0,-0.03,0.03,-0.43,-0.03,-0.21,-0.05,0.0,-3.11,0.0,-0.03,-0.21
6,Rescuers have recovered at least 16 bodies after an overcrowded boat carrying about 125 Rohingya refugees sank off an island in the Bay of Bengal,Secretary of Defense Mark Esper is likely to face a grilling from lawmakers Wednesday on Capitol Hill for his decision to divert military funding to pay for the US border wall as he testifies before the House Armed Services Committee.,1.0,121,25,4,8,1,25.0,4.84,0,0.0,0.0,0.0,0.0,23,0,0,0,2,0,0,0,0,23,0,0,0,-74.0,-15.0,-1.0,-10.0,-1.0,-15.0,-0.04,0.0,-20.0,0.0,0.0,0.0,-10.0,0.0,0.0,0.0,2.0,0.0,-2.0,0.0,0.0,-10.0,0.0,0.0,-2.0,-16.26,-4.67,-0.39,-1.09,0.71,-12.82,0.26,0.13,5.23,0.0,-0.05,-0.99,-3.23,0.0,-0.03,0.0,-0.17,-0.03,-0.28,-0.05,0.0,-3.23,0.0,-0.03,-0.28
7,"The U.S. government began outlining its extradition case against Julian Assange in a London court on Monday, arguing that the WikiLeaks founder is not a free-speech champion but an ""ordinary"" criminal who put many lives at risk with his secret-spilling.","The Senate has passed the Iran War Powers resolution, a rare measure that has bipartisan support despite the fact that it is opposed by President Donald Trump and aimed at reining in his ability to use military action against Iran without congressional approv…",1.0,214,40,5,15,4,13.666666666666666,5.35,0,20.0,0.0,2.5,5.0,38,0,0,1,0,0,2,0,0,38,0,0,2,-4.0,-3.0,-3.0,0.0,3.0,-29.33,0.28,0.0,7.5,0.0,0.17,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,3.0,0.0,0.0,0.0,-8.15,-3.12,-0.35,-0.61,0.88,-13.15,0.25,0.11,5.37,0.0,0.11,-0.62,-1.44,0.0,-0.03,0.11,-0.22,-0.03,-0.08,-0.05,0.0,-1.44,0.0,-0.03,-0.08
8,"The peace deal would call for negotiations between Afghans on both sides of the conflict to start next month, an eventual countrywide cease-fire and a commitment from the Taliban not to harbour terrorist groups like al-Qaeda, while setting a timetable for the…","On January 7, hours after Iran fired missiles at a base in Iraq housing American troops, the Iranian Foreign Minister, Javad Zarif, said that was the end of his country's response to the killing of Iranian General Qasem Soleimani.",1.0,219,42,5,15,1,42.0,5.214285714285714,0,0.0,0.0,7.142857142857142,2.380952380952381,34,0,0,0,0,0,0,0,0,34,0,0,0,27.0,3.0,2.0,-4.0,-1.0,3.0,0.29,0.0,-33.33,0.0,7.14,-0.18,2.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,-1.0,-1.29,-1.69,-0.32,-0.23,0.67,-10.26,0.24,0.1,3.25,0.0,0.75,-0.62,-0.49,0.0,-0.03,0.08,-0.26,-0.03,-0.15,-0.05,0.0,-0.49,0.0,-0.03,-0.15
9,"Canada's Feminist International Assistance Policy is aimed at supporting the economic, political, and social empowerment of women and girls, but the government is falling short of the mark when it comes to addressing the Rohingya genocide and refugee crisis.","Photojournalism has always been a male-dominated field. But throughout history, women have made their mark on the industry.",1.0,220,39,7,14,2,39.0,5.641025641025641,0,28.57142857142857,0.0,5.128205128205128,7.6923076923076925,28,0,0,0,0,0,1,0,0,28,0,0,1,114.0,21.0,3.0,8.0,-1.0,30.0,-0.25,0.0,3.57,0.0,5.13,7.69,10.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,4.3,-0.84,-0.1,-0.03,0.6,-8.24,0.27,0.09,4.41,0.0,1.06,-0.09,-0.34,0.0,-0.03,0.06,-0.3,-0.03,-0.11,-0.05,0.0,-0.34,0.0,-0.03,-0.11
