,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Five takeaways from Joe Biden's super Super Tuesday CBC.ca Biden claims 9 Super Tuesday victories, Sanders takes 3, but leads in crucial California CBC.ca Super Tuesday: Biden seals comeback with string of victories BBC News Never mind the Biden bounce, Berni…","CNN political director David Chalian takes a look at how Sen. Bernie Sanders claimed victory in the first-in-the-nation primary in New Hampshire, according to a CNN projection.",1.0,220,41,5,25,3,14.333333333333334,5.365853658536586,0,0.0,0.0,4.878048780487805,0.0,31,0,0,0,3,0,0,0,0,31,0,0,0,70.0,14.0,2.0,10.0,0.0,0.83,-0.19,0.0,0.0,0.0,1.17,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,53.96,8.66,0.46,12.12,0.64,-8.09,0.19,-0.02,-13.72,0.0,2.98,-1.98,3.55,-0.01,-0.03,-0.14,2.39,-0.04,-0.71,0.0,0.0,3.55,0.0,-0.05,-0.71
1,"'SHE WANTS BACK IN'... (First column, 4th story, link ) Related stories: BLOOMBERG CONSIDERS HILLARY RUNNING MATE... MADAM VP: 'I never say never because I do believe in serving my country'... Clinton could get her revenge against Trump... The implausible tic…",CNN's John King discusses the poll numbers around the Democratic presidential candidates following Sen. Bernie Sanders (I-VT) projected win in the Nevada caucuses.,1.0,220,41,7,20,5,8.2,5.365853658536586,0,0.0,0.0,0.0,4.878048780487805,39,0,1,2,2,1,2,0,0,39,2,0,2,79.0,18.0,4.0,7.0,2.0,-3.3,-0.76,0.0,0.0,0.0,-4.35,4.88,19.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,19.0,2.0,0.0,2.0,53.96,8.66,1.46,9.62,1.64,-11.15,0.19,-0.02,-13.72,0.0,0.54,0.46,7.55,-0.01,0.47,0.86,1.89,0.46,0.29,0.0,0.0,7.55,1.0,-0.05,0.29
2,Big wins on Super Tuesday and in South Carolina have turned Joe Biden's campaign for the Democratic nomination around. Is it his to lose again?,"One thing is abundantly clear from CNN's poll of polls released on Wednesday: It's Bernie Sanders ... and then the rest of the 2020 Democratic presidential field, at the moment.",1.0,119,25,4,9,2,12.5,4.76,1,0.0,0.0,4.0,4.0,25,0,0,0,0,0,2,0,0,25,0,0,2,-29.0,-5.0,1.0,-1.0,-1.0,-2.0,-0.17,1.0,-33.33,0.0,0.67,4.0,0.0,0.0,0.0,0.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,20.29,3.33,0.79,5.12,0.97,-10.74,-0.02,0.31,-13.72,0.0,1.06,0.98,4.22,-0.01,0.3,0.53,1.06,0.29,0.62,0.0,0.0,4.22,0.67,-0.05,0.62
3,Everything you need to know about the races tonight — including where Super Tuesday came from in the first place.,"A substantial share of voters turning out to vote in two critical southern Super Tuesday states said they made up their minds about whom to support in the last few days, according to preliminary results from CNN exit polls.",1.0,94,20,5,5,2,20.0,4.7,0,0.0,0.0,0.0,0.0,18,0,0,0,0,0,1,0,0,18,0,0,1,-91.0,-19.0,-1.0,-6.0,0.0,-19.0,-0.04,0.0,0.0,0.0,-2.56,-2.56,-16.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,-2.79,-0.59,0.71,1.87,0.64,-8.66,-0.13,0.23,-13.72,0.0,0.32,0.24,0.8,-0.01,0.22,0.36,0.64,0.21,0.54,0.0,0.0,0.8,0.5,-0.05,0.54
4,"Former New York Mayor Mike Bloomberg has qualified for this week's Democratic presidential debate in Nevada, putting him on the same stage as his rivals for the first ti,e in the race for the party's nomination.","As Maine voters go to the polls on Tuesday, GOP Sen. Susan Collins wouldn't say whether she voted for President Donald Trump or whether she thinks he should be reeelected.",1.0,176,36,3,15,2,36.0,4.888888888888889,0,0.0,0.0,2.7777777777777777,0.0,27,0,0,0,0,0,2,0,0,27,0,0,2,34.0,6.0,-5.0,4.0,-1.0,21.0,0.16,0.0,-12.5,0.0,2.78,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,-0.24,0.26,0.26,1.92,0.44,-4.21,-0.16,0.18,-13.72,0.0,0.43,-0.2,0.55,-0.01,0.17,0.26,0.39,0.16,0.69,0.0,0.0,0.55,0.4,-0.05,0.69
5,"What a setting for a socialist revolution: Las Vegas. Bernie Sanders swept Sin City on Saturday, dominating the Nevada caucuses in a victory that makes the senator the unequivocal 2020 Democratic presidential frontrunner.","Super Tuesday has more presidential primaries than any other day, and this year's results should have a major say on who will become the Democratic nominee. A third of the party's pledged delegates are up for grabs.",1.0,189,33,4,13,3,16.5,5.7272727272727275,0,0.0,0.0,6.0606060606060606,0.0,27,0,0,0,1,0,0,0,0,27,0,0,0,10.0,-4.0,-3.0,2.0,0.0,-2.0,0.89,0.0,-14.29,0.0,6.06,0.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,3.63,0.33,0.13,1.62,0.47,-4.5,-0.04,0.15,-13.72,0.0,1.06,-0.5,0.38,-0.01,0.14,0.19,0.39,0.13,0.46,0.0,0.0,0.38,0.33,-0.05,0.46
6,"The campaigns of three candidates who have withdrawn from the Democratic nomination for the U.S. presidency were important parts of the Dirtbag Left's strategy for electing Bernie Sanders. On Super Tuesday, the group's earlier excitement appears at best prema…","US officials have told Sen. Bernie Sanders that Russia is trying to help his presidential campaign as part of their efforts to meddle with the Democratic primary contest, people familiar with the matter told The Washington Post.",1.0,222,39,5,16,4,10.0,5.6923076923076925,0,20.0,0.0,7.6923076923076925,0.0,31,0,0,0,1,0,0,0,0,31,0,0,0,30.0,2.0,-2.0,2.0,1.0,-8.5,0.5,0.0,5.71,0.0,7.69,-2.7,2.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,2.0,0.0,0.0,-2.0,11.1,1.23,0.17,1.83,0.64,-5.63,0.04,0.12,-10.86,0.0,1.73,-0.71,0.84,-0.01,0.11,0.15,0.39,0.1,0.29,0.0,0.0,0.84,0.29,-0.05,0.29
7,Bernie Sanders's rivals have raised the possibility of pushing him out on a second ballot if he enters this summer's Democratic convention with a lead short of a first-ballot majority. That was the subtext of a revealing exchange in a presidential candidates'…,The Nevada Democratic Party has reported 100% of precincts from Saturday's caucuses in the state.,1.0,219,42,5,12,2,21.0,5.214285714285714,0,20.0,0.0,2.380952380952381,0.0,32,0,0,0,0,0,2,0,0,32,0,0,2,136.0,27.0,3.0,4.0,0.0,6.0,-0.32,0.0,20.0,0.0,2.38,0.0,17.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,2.0,16.34,2.29,0.21,1.5,0.52,-5.1,0.04,0.1,-8.72,0.0,1.58,-0.87,1.3,-0.01,0.1,0.11,0.27,0.09,0.41,0.0,0.0,1.3,0.25,-0.05,0.41
8,"The Ontario Liberal leadership vote is March 7, but winning that will be the easy part of rebuilding the party, writes Jamal Abas.","Sen. Elizabeth Warren released a new campaign ad Tuesday, hitting Michael Bloomberg in the states that vote on Super Tuesday and attacking the billionaire for his campaign spending and past support of a Republican incumbent whom Warren ousted for her Senate s…",1.0,108,23,6,9,2,23.0,4.695652173913044,0,33.33333333333333,0.0,8.695652173913043,0.0,21,0,0,0,1,0,0,0,0,21,0,0,0,-111.0,-19.0,1.0,-10.0,0.0,2.0,-0.52,0.0,33.33,0.0,6.31,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,-3.0,0.0,0.0,-9.0,0.0,0.0,-3.0,8.07,0.99,0.35,0.9,0.42,-4.47,-0.02,0.09,-5.57,0.0,2.16,-0.99,0.44,-0.01,0.08,0.08,0.28,0.07,0.29,0.0,0.0,0.44,0.22,-0.05,0.29
9,Joe Biden is staring down what could be the end of his political career. The former U.S. vice-president's campaign is hobbling toward its do-or-die moment this weekend in South Carolina. Katie Simpson looks at the major challenges facing Biden.,"One of the things we have lost -- or forgotten -- during the presidency of Donald Trump is empathy. Understanding that we are all, at root, far more alike than we are dissimilar and that caring for one another -- at a basic human level -- is something that tr…",1.0,206,39,8,15,6,8.0,5.282051282051282,0,37.5,0.0,0.0,0.0,35,0,0,0,0,0,2,0,0,35,0,0,2,-5.0,-11.0,-1.0,7.0,4.0,-17.0,1.06,0.0,-6.94,0.0,-2.0,-2.0,5.0,0.0,0.0,0.0,-2.0,-3.0,2.0,0.0,0.0,5.0,0.0,-3.0,2.0,11.26,1.56,0.66,1.02,0.74,-5.47,-0.01,0.08,-2.63,0.0,1.75,-1.09,1.15,-0.01,0.07,0.06,0.19,0.06,0.39,0.0,0.0,1.15,0.2,-0.05,0.39
