,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"A bizarre-looking fish could be the key to helping solve the world's hunger issue, according to a new study.","Harvey Weinstein's conviction is a landmark event, writes Kara Alaimo, but it's a beginning, not an ending. Alaimo says lawmakers need to do two things now to start to make real change: prioritize laws governing the use of non-disclosure agreements and work h…",1.0,90,19,5,6,2,19.0,4.7368421052631575,0,20.0,0.0,5.263157894736842,5.263157894736842,15,0,0,0,0,0,0,0,0,15,0,0,0,-128.0,-24.0,-6.0,-10.0,0.0,-2.5,-0.33,0.0,10.91,0.0,2.94,5.26,-23.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-23.0,0.0,0.0,0.0,-75.14,-12.71,-0.36,-5.11,-0.25,-4.78,-0.53,0.0,4.07,0.0,2.84,2.14,-11.18,0.0,-0.04,-0.11,-0.54,-0.11,-0.93,0.0,0.0,-11.18,0.0,-0.11,-0.93
1,Abused women and children who seek refuge in short-stay crisis shelters often need long-term physical protection and counselling that can't be found in emergency shelters. A national shortage of so-called second-stage shelters puts them at risk of more violen…,"Black voters, particularly those in South Carolina and a handful of other southern states on Super Tuesday, led -- and the Democratic establishment followed. That's why former Vice President Joe Biden is on the verge of becoming the Democratic front-runner. A…",1.0,222,39,6,14,2,19.5,5.6923076923076925,0,16.666666666666664,0.0,2.564102564102564,10.256410256410255,31,0,0,0,0,0,1,0,0,31,0,0,1,2.0,-2.0,0.0,-1.0,-1.0,5.83,0.33,0.0,0.0,0.0,0.13,10.26,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-9.14,-2.71,0.14,-1.11,-0.25,-4.53,-0.05,0.0,2.4,0.0,1.49,4.64,-3.18,0.0,-0.04,-0.11,-0.54,-0.11,-0.43,0.0,0.0,-3.18,0.0,-0.11,-0.43
2,"Prime Minister Justin Trudeau's government is asking Parliament to spend an additional $2.1 billion on Indigenous programs and initiatives, above and beyond what MPs already have approved.","Former Democratic presidential candidate Andrew Yang is joining CNN as a political commentator, the network announced Wednesday.",1.0,162,27,5,9,3,14.0,6.0,0,20.0,0.0,0.0,0.0,25,0,0,0,2,0,0,0,0,25,0,0,0,50.0,10.0,2.0,0.0,1.0,-3.0,-0.59,0.0,-13.33,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,-7.14,-3.38,-0.02,-1.44,0.08,-6.28,0.21,0.0,2.96,0.0,0.18,2.05,-2.51,0.0,-0.04,-0.11,0.13,-0.11,-0.6,0.0,0.0,-2.51,0.0,-0.11,-0.6
3,"A global recession would likely kill more people than the coronavirus, a Canadian expert says.","Nearly a month after ending his long shot Democratic presidential campaign, Andrew Yang launched on Thursday a nonprofit group focused on making the central ideas of his campaign a reality.",1.0,80,15,3,5,2,15.0,5.333333333333333,0,0.0,0.0,0.0,13.333333333333334,15,0,0,0,0,0,0,0,0,15,0,0,0,-80.0,-15.0,-1.0,-5.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,13.33,-8.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-8.0,0.0,0.0,-2.0,-26.64,-6.71,-0.61,-2.61,0.0,-6.9,0.17,0.0,-1.77,0.0,-0.47,4.09,-4.68,0.0,-0.04,-0.11,-0.04,-0.11,-0.68,0.0,0.0,-4.68,0.0,-0.11,-0.68
4,"Wet'suwet'en hereditary chiefs in B.C. oppose the Coastal GasLink pipeline project running through their traditional territory. But Andrew Scheer says ""the vast majority of the Wet'suwet'en people"" support the project. What did the Conservative leader mean by…","Tennessee Republican lawmakers are pushing back on a proposed three-day tax exemption on feminine hygiene products, saying it would lead to a loss of too much tax revenue.",1.0,224,37,4,18,5,7.6,6.054054054054054,0,0.0,0.0,2.7027027027027026,2.7027027027027026,31,0,0,0,0,0,1,0,0,31,0,0,1,80.0,9.0,-2.0,9.0,3.0,-20.4,0.91,0.0,-16.67,0.0,-0.87,-0.87,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,-9.54,-4.31,-0.76,-0.71,0.55,-8.76,0.3,0.0,-4.6,0.0,-0.32,3.19,-2.78,0.0,-0.04,-0.11,-0.14,-0.11,-0.53,0.0,0.0,-2.78,0.0,-0.11,-0.53
5,"From outside Wet'suwet'en Nation, the conflict over a gas pipeline seems complex, but key players have emerged. Here's a guide to some of them and how they fit into the organizations that make up Wet'suwet'en Nation.","In South Carolina, Michael Bloomberg is something of a phantom: He won't be on the ballot in the state's Democratic primary on Saturday, but you can still feel his presence. And the dueling attachments black voters here have to the billionaire reveal a lot ab…",1.0,181,36,6,10,3,18.0,5.027777777777778,0,0.0,0.0,0.0,5.555555555555555,30,0,0,1,0,0,1,0,0,30,0,0,1,-35.0,-9.0,-1.0,-7.0,1.0,-4.5,0.23,0.0,-28.57,0.0,0.0,5.56,-7.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,-7.0,0.0,0.0,-1.0,-5.31,-2.88,-0.52,-0.77,0.58,-8.26,0.21,0.0,-6.49,0.0,-0.67,3.06,-1.68,0.0,-0.04,0.06,-0.2,-0.11,-0.43,0.0,0.0,-1.68,0.0,-0.11,-0.43
6,National protests sparked by the opposition of some Wet'suwet'en hereditary chiefs to a pipeline project in B.C. are also sparking debate in Conservative circles about the party's own relationship to Indigenous communities.,William J. Barber and Liz Theoharis write that there is untapped potential among the voting bloc of 23 million poor and low-income voters that remains largely ignored by the major political parties.,1.0,192,32,3,14,4,11.0,6.0,0,33.33333333333333,0.0,0.0,6.25,26,0,0,1,0,0,0,0,0,26,0,0,0,25.0,0.0,-2.0,5.0,1.0,-5.0,0.78,0.0,13.33,0.0,0.0,3.12,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.71,-2.43,-0.79,-0.25,0.75,-8.91,0.28,0.0,-3.08,0.0,-0.92,3.07,-1.46,0.0,-0.04,0.18,-0.25,-0.11,-0.5,0.0,0.0,-1.46,0.0,-0.11,-0.5
7,Finance Minister Bill Morneau was told weeks into the Liberals' second mandate that Canadians are most worried about affordability in areas where governments have a lot of power over prices — particularly child care.,"Amid bipartisan congressional backlash, the Education Department said Wednesday that it would delay a rule change that would slash funding for rural, low-income schools across the US.",1.0,183,34,5,15,2,34.0,5.382352941176471,0,40.0,0.0,0.0,2.941176470588235,34,0,0,1,0,0,0,0,0,34,0,0,0,26.0,7.0,0.0,5.0,0.0,7.0,-0.43,0.0,40.0,0.0,0.0,-0.76,13.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,13.0,0.0,0.0,-1.0,1.61,-1.84,-0.73,0.27,0.62,-6.52,0.26,0.0,0.32,0.0,-1.11,2.66,-0.3,0.0,-0.04,0.27,-0.29,-0.11,-0.55,0.0,0.0,-0.3,0.0,-0.11,-0.55
8,"Anti-pipeline protests that started in the B.C. Interior have spread to both coasts, blocking port access and shutting down rail routes. None of this is good for Prime Minister Justin Trudeau's quest for Indigenous reconciliation.",Mitch Landrieu offers 2020 Democrats pointers on how to connect with southern voters ahead of primary elections.,1.0,196,35,6,14,5,9.0,5.6,0,16.666666666666664,0.0,5.714285714285714,5.714285714285714,33,0,0,0,0,0,0,0,0,33,0,0,0,100.0,18.0,4.0,8.0,3.0,-8.0,-0.05,0.0,16.67,0.0,5.71,5.71,16.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,4.86,-1.27,-0.58,0.56,0.86,-7.44,0.27,0.0,0.36,0.0,-0.62,2.66,0.49,0.0,-0.04,0.23,-0.31,-0.11,-0.6,0.0,0.0,0.49,0.0,-0.11,-0.6
9,"Language has a lot of power, and labelling people as 'addicts' lowers self-esteem, adds to social isolation, and can prevent people from getting needed care, writes Dr. Laura MacKinnon.",A federal appeals court on Wednesday upheld a ruling giving Florida ex-felons the right to vote regardless of fines and fees associated with their convictions.,1.0,157,29,9,12,3,14.5,5.413793103448276,0,0.0,0.0,0.0,3.4482758620689653,25,0,0,0,0,0,0,0,0,25,0,0,0,22.0,4.0,5.0,2.0,1.0,-10.5,0.01,0.0,0.0,0.0,-8.0,3.45,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.56,-1.41,-0.16,0.59,0.85,-7.62,0.26,0.0,-1.27,0.0,-0.8,2.42,0.32,0.0,-0.04,0.19,-0.34,-0.11,-0.63,0.0,0.0,0.32,0.0,-0.11,-0.63
10,"Rates of intimate partner violence in the North are among the highest in the country, and yet there are only 14 shelters total across all three territories.","Militant progressives may be willing to gamble the future of the republic on the illusory chance of seeing their democratic socialist hero 'occupy White House,' writes Garry Kasparov, who hopes the majority will prevail. Even if you love Bernie Sanders and ag…",1.0,130,27,2,8,2,27.0,4.814814814814815,0,100.0,0.0,3.7037037037037033,0.0,20,0,0,1,2,0,0,0,0,20,0,0,0,-89.0,-15.0,-8.0,-5.0,0.0,6.0,-0.4,0.0,90.0,0.0,-3.44,-2.38,-16.0,0.0,0.0,1.0,2.0,0.0,-2.0,0.0,0.0,-16.0,0.0,0.0,-2.0,0.04,-1.71,-0.45,0.26,0.75,-6.63,0.19,0.0,6.49,0.0,-0.61,1.92,-0.27,0.0,-0.04,0.26,-0.17,-0.11,-0.66,0.0,0.0,-0.27,0.0,-0.11,-0.66
11,"Calling himself ""a proud feminist,"" UN Secretary-General Antonio Guterres lashed out at men who abuse power and declared before Sunday's observances of International Women's Day that the fight for gender equality is ""the biggest human rights challenge we face…","When the World Health Organization declared the outbreak of the novel coronavirus a public health emergency of international concern, it did so over fears that smaller or less-developed countries would struggle to contain the virus.",1.0,222,39,6,17,1,39.0,5.6923076923076925,0,16.666666666666664,0.0,2.564102564102564,2.564102564102564,39,0,0,0,0,1,0,0,0,39,0,1,0,24.0,4.0,1.0,6.0,-1.0,4.0,0.04,0.0,16.67,0.0,2.56,-17.44,10.0,0.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,10.0,0.0,1.0,-1.0,4.77,-0.96,-0.36,0.73,0.58,-4.81,0.21,0.0,6.01,0.0,-0.55,1.71,0.82,0.0,-0.04,0.23,-0.2,-0.02,-0.68,0.0,0.0,0.82,0.0,-0.02,-0.68
12,"The Philippines notified the United States on Tuesday it would end a major security pact allowing American forces to train in the country, in the most serious threat under President Rodrigo Duterte to their 69-year treaty alliance.","A major part of the Affordable Care Act -- the expansion of the Medicaid program -- may be linked to lower rates of women dying in pregnancy, childbirth or about six weeks postpartum, according to a new study.",1.0,195,37,5,14,2,37.0,5.27027027027027,0,0.0,0.0,0.0,2.7027027027027026,30,0,0,1,0,0,2,0,0,30,0,0,2,23.0,-1.0,0.0,0.0,0.0,-1.0,0.74,0.0,-20.0,0.0,0.0,0.07,2.0,0.0,0.0,1.0,-1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,6.7,-0.48,-0.36,0.89,0.52,-3.43,0.2,0.0,4.32,0.0,-0.69,1.55,1.05,0.0,-0.04,0.28,-0.23,-0.03,-0.54,0.0,0.0,1.05,0.0,-0.03,-0.54
13,"Catherine Pugh, the disgraced former mayor of Baltimore was sentenced to three years in federal prison Thursday for arranging fraudulent sales of her self-published children's books to nonprofits and foundations to promote her political career and fund her ru…","Wazhma Frogh writes that as the US nears a deal with the Taliban, she grows increasingly uneasy that Afghanistan will come to resemble the early 1990s, when civil war and extremist forces came to dominate her country's politics and people.",1.0,222,39,4,15,1,39.0,5.6923076923076925,0,25.0,0.0,0.0,7.6923076923076925,29,0,0,0,1,0,6,0,0,29,0,0,6,22.0,-1.0,-4.0,3.0,-1.0,-1.0,0.69,0.0,25.0,0.0,-2.5,2.69,-2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-2.0,0.0,0.0,3.0,10.29,0.07,-0.43,1.11,0.39,-2.09,0.21,0.0,4.66,0.0,-0.82,1.76,1.18,0.0,-0.04,0.25,-0.18,-0.04,-0.14,0.0,0.0,1.18,0.0,-0.04,-0.14
14,"Egypt held a full-honours military funeral Wednesday for the country's former autocratic President Hosni Mubarak, who ruled for decades before he was ousted in the 2011 Arab Spring uprising that swept much of the region.","A handful of students, teachers, advocacy groups and parents sued the State of California two years ago, alleging the state deprived students from disadvantaged communities the opportunity to learn basic reading and writing skills.",1.0,186,35,5,11,2,35.0,5.314285714285714,0,20.0,0.0,0.0,5.714285714285714,30,0,0,0,1,0,1,0,0,30,0,0,1,-12.0,1.0,0.0,-4.0,0.0,1.0,-0.51,0.0,20.0,0.0,0.0,-3.11,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,10.99,0.29,-0.42,1.03,0.35,-1.21,0.2,0.0,4.62,0.0,-0.92,1.82,1.35,0.0,-0.04,0.23,-0.14,-0.04,-0.13,0.0,0.0,1.35,0.0,-0.04,-0.13
15,The former NYU Stern professor believes every child deserves to have their basic needs met.,"The new rule essentially creates a wealth test for immigrants that is based on factors like their age, health, education, income and resources.",1.0,77,15,4,5,2,15.0,5.133333333333334,0,0.0,0.0,0.0,0.0,15,0,0,0,0,0,1,0,0,15,0,0,1,-44.0,-8.0,1.0,-5.0,0.0,-8.0,-0.13,0.0,-33.33,0.0,-4.35,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,4.79,-0.78,-0.48,0.58,0.31,-1.68,0.18,0.0,3.34,0.0,-1.02,1.51,0.57,0.0,-0.04,0.21,-0.16,-0.04,-0.12,0.0,0.0,0.57,0.0,-0.04,-0.12
16,"You've probably heard it before: If you stop spending on unnecessary luxuries, you could afford the everyday essentials without the struggle. But that type of advice typically misses the nuances that make up the myriad reasons why younger Americans may strugg…","Vermont Sen. Bernie Sanders' praise for a 1960s literacy program in Cuba is suddenly at the center of the 2020 presidential race, with critics excoriating the self-described democratic socialist candidate for the remarks.",1.0,220,41,10,9,2,20.5,5.365853658536586,0,0.0,0.0,2.4390243902439024,7.317073170731707,33,0,0,0,0,0,3,1,0,33,0,0,3,31.0,8.0,8.0,-4.0,-1.0,4.0,-0.36,0.0,-50.0,0.0,-0.59,4.29,6.0,0.0,0.0,0.0,-2.0,0.0,3.0,1.0,0.0,6.0,0.0,0.0,3.0,7.74,-0.18,-0.18,0.42,0.28,-1.77,0.18,0.0,2.2,0.0,-0.96,1.67,0.94,0.0,-0.04,0.19,-0.18,-0.05,0.01,0.06,0.0,0.94,0.0,-0.05,0.01
17,"The southern African nation's economy is expected to have contracted by 7.5% in 2019, according to the World Bank.","Durable and versatile enough to act as a picnic blanket, beach towel or stylish scarf, this towel is life-changing for frequent travelers.",1.0,96,19,5,6,3,10.0,5.052631578947368,0,20.0,0.0,0.0,0.0,17,0,0,0,2,0,0,0,0,17,0,0,0,-21.0,-3.0,3.0,-1.0,1.0,-12.0,-0.27,0.0,-30.0,0.0,-13.64,0.0,-3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,3.47,-0.88,-0.19,0.12,0.31,-2.44,0.15,0.0,2.31,0.0,-1.04,1.4,0.38,0.0,-0.04,0.17,-0.09,-0.05,-0.04,0.06,0.0,0.38,0.0,-0.05,-0.04
18,"""[F]oundations like ours have the freedom to test out ideas that might not otherwise get tried, some of which may lead to breakthroughs,"" Bill and Melinda Gates wrote in their namesake foundation's annual letter for 2020. ""As always, Warren Buffett—a dear fri…","The coronavirus that has devastated China is also hurting the small businesses that shape everyday life in every corner of the world. The food we eat, the work we do and the clothes we wear -- many are reminders of the vital role China plays in the global eco…",1.0,219,42,10,16,2,21.0,5.214285714285714,0,0.0,0.0,9.523809523809524,0.0,40,0,0,1,1,0,1,0,0,40,0,1,1,7.0,-7.0,0.0,3.0,0.0,-3.5,0.89,0.0,-20.0,0.0,7.48,-4.08,10.0,0.0,0.0,0.0,1.0,-3.0,1.0,0.0,0.0,10.0,0.0,-2.0,1.0,6.12,-0.29,0.06,0.37,0.28,-2.46,0.14,0.0,1.35,0.0,-0.61,1.16,1.08,0.0,-0.04,0.21,-0.06,-0.05,-0.03,0.05,0.0,1.08,0.0,-0.0,-0.03
19,"From Olympia, Wash., to Boston, free public transportation is picking up speed.","A neo-fascist party, whose leader is on trial for hate speech, has big hopes for the general election in Slovakia this weekend.",1.0,68,12,2,5,3,6.5,5.666666666666667,0,50.0,0.0,8.333333333333332,0.0,12,0,0,0,0,0,0,0,0,12,0,0,0,-38.0,-10.0,0.0,-4.0,1.0,-15.5,0.85,0.0,0.0,0.0,8.33,-4.55,-8.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,0.96,-1.26,-0.11,0.04,0.3,-3.2,0.16,0.0,2.98,0.0,-0.28,0.95,0.32,0.0,-0.04,0.19,-0.09,-0.06,-0.08,0.05,0.0,0.32,0.0,-0.01,-0.08
20,Former New York City and billionaire businessman Mike Bloomberg has released plans to help shore up Social Security and increase retirement savings as part of his bid for the White House. Here's how his proposals aim to boost workers' bottom lines.,"Jill Filipovic responds to the recording of Michael Bloomberg, recently surfaced and reportedly from 2015, describing stop-and-frisk and policing in highly racialized terms. If you need proof that Michael Bloomberg is the absolute wrong person to lead the div…",1.0,208,41,9,19,3,20.5,5.073170731707317,0,0.0,0.0,4.878048780487805,0.0,35,0,0,0,0,0,2,0,0,35,0,0,2,-14.0,2.0,1.0,8.0,1.0,1.0,-0.62,0.0,-12.5,0.0,2.31,-2.56,5.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,2.95,-0.76,0.07,0.42,0.32,-3.2,0.14,0.0,2.08,0.0,-0.15,0.76,0.73,0.0,-0.04,0.18,-0.11,-0.06,-0.02,0.05,0.0,0.73,0.0,-0.01,-0.02
21,"The worst desert locust infestation in 70 years is ravaging East Africa, potentially endangering economies in a region heavily dependent on agriculture for food security.","Ousted Egyptian leader Hosni Mubarak, who ruled his country with an iron fist for nearly three decades, has died at age 91, state media said on Tuesday.",1.0,146,25,3,10,2,25.0,5.84,0,33.33333333333333,0.0,0.0,8.0,23,0,0,0,1,0,0,0,0,23,0,0,0,20.0,-2.0,-2.0,-1.0,0.0,-2.0,1.17,0.0,33.33,0.0,0.0,0.59,-4.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-4.0,0.0,0.0,-1.0,1.95,-1.03,-0.04,0.35,0.3,-3.0,0.16,0.0,2.78,0.0,-0.26,0.94,0.55,0.0,-0.04,0.17,-0.08,-0.06,-0.06,0.05,0.0,0.55,0.0,-0.02,-0.06
