,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"The RCMP has for the first time acknowledged using controversial facial recognition technology that has raised privacy concerns, saying it was used in the Mounties' efforts to crack down on online child sexual abuse.","Hoan Ton-That's app, Clearview AI, has triggered fears about facial recognition — and the dystopian future it could foreshadow. CNN Business' Donie O'Sullivan sits down with the CEO to talk about questions of legality, privacy, and bias in the era of facial r…",1.0,183,34,9,10,2,34.0,5.382352941176471,0,11.11111111111111,0.0,0.0,11.76470588235294,30,0,0,0,0,0,1,0,0,30,0,0,1,-35.0,-9.0,3.0,-10.0,0.0,12.5,0.31,0.0,11.11,0.0,0.0,7.11,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,10.89,0.22,3.22,-2.86,0.05,7.81,0.28,-0.08,-2.61,0.0,-1.76,8.34,1.68,0.0,0.0,-0.19,-0.54,0.0,-0.19,-0.05,0.0,1.68,0.0,-0.08,-0.19
1,"The federal privacy commissioner is opening an investigation into how the RCMP uses facial recognition technology, a day after the national police force admitted using the controversial technology from Clearview AI.","Eight Los Angeles County Sheriff's deputies are facing administrative action after they allegedly shared graphic photos of a helicopter crash that killed Kobe Bryant, his daughter and seven others, Los Angeles County Sheriff Alex Villanueva told CNN Monday.",1.0,185,31,5,12,2,31.0,5.967741935483871,0,20.0,0.0,0.0,3.225806451612903,28,0,0,0,0,0,0,0,0,28,0,0,0,-35.0,-7.0,0.0,-9.0,0.0,-7.0,0.18,0.0,0.0,0.0,0.0,-2.04,-4.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,0.0,-4.0,0.0,0.0,-1.0,11.89,-1.28,1.22,-1.86,0.05,6.31,0.57,-0.08,1.84,0.0,-1.76,4.07,0.68,0.0,0.0,-0.19,-0.54,0.0,-0.69,-0.05,0.0,0.68,0.0,-0.08,-0.69
2,"Hundreds of U.S. law enforcement agencies have partnered with Amazon's Ring doorbell camera company, despite persistent questions about privacy and data management. Windsor, Ont.'s mayor wants his city to join, too.","Comedian Drew Carey is mourning the death of his ex-fiancée Amie Harwick, writing in a social media post that he was ""lucky"" that she was a part of his life.",1.0,185,31,4,18,6,6.6,5.967741935483871,0,0.0,0.0,0.0,0.0,31,0,0,0,0,0,1,0,0,31,0,0,1,57.0,1.0,-1.0,9.0,4.0,-23.4,1.7,0.0,-60.0,0.0,-3.33,-3.33,11.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,11.0,0.0,0.0,-3.0,12.23,-1.78,0.22,0.47,1.39,-2.33,0.67,-0.08,-3.35,0.0,-1.76,1.57,1.34,0.0,0.0,-0.19,-0.54,0.0,-0.52,-0.05,0.0,1.34,0.0,-0.08,-0.52
3,Canada’s cyber security centre says it’s working on the “holy grail” of encryption to protect government data from security breaches.,"An ex-boyfriend of Amie Harwick was charged Wednesday with killing the former sex therapist in her Hollywood Hills apartment by throwing her over a balcony, officials said.",1.0,114,20,5,14,2,20.0,5.7,0,0.0,0.0,10.0,0.0,18,0,0,0,0,0,0,0,0,18,0,0,0,-32.0,-7.0,0.0,3.0,0.0,-7.0,0.29,0.0,-20.0,0.0,10.0,-3.7,-7.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,-7.0,0.0,0.0,-4.0,-5.36,-4.78,-0.03,0.64,1.05,-3.29,0.65,-0.08,-5.94,0.0,0.74,0.32,-1.57,0.0,0.0,-0.19,-0.54,0.0,-0.69,-0.05,0.0,-1.57,0.0,-0.08,-0.69
4,CBC's Marketplace rounds up the consumer and health news you need from the week.,"A mother reaches into an envelope and pulls out her child's report card while her young son stands visibly anxious nearby. Report card season can be a nerve-wracking time for any student, but in this situation, the stakes are even higher: She reads out loud h…",1.0,67,14,2,6,2,14.0,4.785714285714286,0,0.0,0.0,0.0,0.0,12,0,0,0,0,0,1,0,0,12,0,0,1,-148.0,-32.0,-5.0,-8.0,0.0,-9.0,0.11,0.0,-28.57,0.0,0.0,-4.35,-28.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,-28.0,0.0,0.0,-3.0,-25.31,-7.78,-0.78,-0.86,0.85,-5.07,0.45,-0.08,-7.5,0.0,0.24,-0.42,-4.52,0.0,0.0,-0.19,-0.54,0.0,-0.59,-0.05,0.0,-4.52,0.0,-0.08,-0.59
5,"A 43-year-old German man shot and killed nine people at several locations in a Frankfurt suburb overnight in attacks that appear to have been motivated by far-right beliefs, officials said Thursday.","First lady Melania Trump received a Palm Beach society award on Wednesday at a luncheon held at The Breakers, a local luxury resort.",1.0,168,31,6,11,2,31.0,5.419354838709677,0,16.666666666666664,0.0,3.225806451612903,6.451612903225806,29,0,0,0,1,0,0,0,0,29,0,0,0,58.0,8.0,4.0,-2.0,0.0,8.0,0.64,0.0,16.67,0.0,-5.47,6.45,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,-21.77,-6.95,-0.62,-1.03,0.72,-3.43,0.43,-0.08,-5.75,0.0,0.44,0.15,-3.66,0.0,0.0,-0.19,-0.37,0.0,-0.69,-0.05,0.0,-3.66,0.0,-0.08,-0.69
6,"It's illegal to pay a surrogate to carry someone else's baby in Canada. Yet, surrogacy is far from free. A CBC investigation into the industry reveals why some parents are left with serious questions about payments they made — and why they're reluctant to rep…",Residents of a high-rise apartment block in London have lost a long-running legal bid to stop visitors to the Tate Modern art museum from looking through their windows -- after a judge ruled that they could solve the problem simply by closing their blinds.,1.0,216,45,10,11,3,15.0,4.8,0,20.0,0.0,2.2222222222222223,4.444444444444445,40,0,0,1,0,0,0,0,0,40,0,0,0,3.0,1.0,2.0,-2.0,1.0,-29.0,-0.04,0.0,20.0,0.0,2.22,-0.1,5.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,5.0,0.0,0.0,-2.0,-12.39,-4.36,0.07,-1.15,0.77,-4.54,0.32,-0.08,-4.03,0.0,0.45,0.28,-1.47,0.0,0.0,-0.05,-0.4,0.0,-0.76,-0.05,0.0,-1.47,0.0,-0.08,-0.76
7,Arizona House passes ban on transgender females in women's sports; Dems dub it 'Show me your genitals' bill Fox News Arizona House passes bill banning transgender student athletes from participating in girls sports CBS News Arizona state House passes bill ban…,"An extremely rare, $194,000 grand piano was smashed when movers dropped it while taking it out of a recording studio, Canadian virtuoso Angela Hewitt has revealed.",1.0,220,41,6,25,1,41.0,5.365853658536586,0,0.0,0.0,0.0,0.0,23,0,0,0,0,0,2,0,0,23,1,0,2,82.0,15.0,0.0,18.0,-1.0,15.0,0.06,0.0,-16.67,0.0,-3.85,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-4.86,-2.91,0.09,0.51,0.55,-2.12,0.32,-0.08,-5.25,0.0,0.17,-0.19,-1.95,0.0,0.0,-0.06,-0.42,0.0,-0.56,-0.05,0.0,-1.95,0.12,-0.08,-0.56
8,The federal privacy watchdog and three of his provincial counterparts will jointly investigate Canadian use of facial-recognition technology supplied by U.S. firm Clearview AI.,"Since Evelyn Yang told her story, nearly 40 additional people have alleged sexual misconduct by OB-GYN Robert Hadden, who avoided prison time in a 2016 plea deal.",1.0,153,24,3,10,4,8.333333333333334,6.375,0,0.0,0.0,0.0,0.0,22,0,0,0,1,0,1,0,0,22,0,0,1,17.0,-3.0,-1.0,-2.0,2.0,-18.67,1.34,0.0,0.0,0.0,0.0,-7.41,-5.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-5.0,0.0,0.0,-1.0,-6.44,-3.67,-0.23,0.14,0.72,-3.87,0.42,-0.08,-6.19,0.0,-0.04,-0.55,-2.44,0.0,0.0,-0.08,-0.32,0.0,-0.52,-0.05,0.0,-2.44,0.11,-0.08,-0.52
9,"Federal departments or agencies have mishandled personal information belonging to 144,000 Canadians over the past two years, according to new figures tabled in the House of Commons — and not everyone who was swept up in a privacy breach was told about it.",The Federal Communications Commission wants America's biggest wireless carriers to pay tens of millions of dollars to resolve accusations the companies failed to protect the privacy of US cellphone users.,1.0,213,43,9,12,2,43.0,4.953488372093023,0,22.22222222222222,0.0,0.0,2.3255813953488373,35,0,0,1,2,0,0,0,0,35,0,0,0,38.0,13.0,4.0,-3.0,0.0,13.0,-0.88,0.0,22.22,0.0,-3.33,-4.34,13.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,-1.71,-2.38,0.12,0.04,0.65,-1.8,0.36,-0.08,-4.72,0.0,-0.22,-0.6,-1.52,0.0,0.0,0.01,-0.14,0.0,-0.59,-0.05,0.0,-1.52,0.1,-0.08,-0.59
10,"The RCMP denied using facial recognition technology as recently as January - before disclosing a few weeks later it had been using Clearview AI, a controversial app that has harvested billions of personal photos from social media, for months.","The Instagram-favorite retailer is taking an extra 20% off selected items and offering free express shipping for purchases over $100 from brands like Lovers and Friends, Sam Edelman, Michael Lauren, Free People, Katie May and Privacy Please.",1.0,204,39,8,12,2,39.0,5.230769230769231,0,12.5,0.0,0.0,5.128205128205128,33,0,0,1,0,0,1,0,0,33,0,0,1,-1.0,2.0,4.0,-8.0,0.0,2.0,-0.31,0.0,-12.5,0.0,-5.41,5.13,-1.0,0.0,0.0,1.0,-2.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,1.35,-1.69,0.31,-0.05,0.6,-0.47,0.34,-0.08,-4.4,0.0,-0.36,-0.39,-0.96,0.0,0.0,0.08,-0.18,0.0,-0.55,-0.05,0.0,-0.96,0.09,-0.08,-0.55
11,"The federal government is refusing to turn over uncensored documents to three residential school survivors who need the files to determine whether they should seek to reopen their compensation cases, according to their lawyer.","Clearview AI's cofounder Hoan Ton-That claims his company has scraped billions of photos from the internet, including popular sites like Facebook, Twitter and YouTube — all to help law enforcement solve crimes. But what does that mean for your privacy?",1.0,193,34,9,8,2,34.0,5.676470588235294,0,11.11111111111111,0.0,0.0,2.941176470588235,27,0,0,0,1,0,2,0,0,27,0,0,2,-20.0,-6.0,2.0,-11.0,0.0,14.0,0.35,-1.0,11.11,0.0,-5.0,2.94,-13.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-13.0,0.0,0.0,0.0,2.98,-1.53,0.55,-0.45,0.55,0.22,0.36,-0.08,-4.25,0.0,-0.47,-0.4,-0.99,0.0,0.0,0.06,-0.12,0.0,-0.44,-0.05,0.0,-0.99,0.08,-0.08,-0.44
12,"A U.S. federal judge on Thursday sharply rebuked Attorney General William Barr's handling of the special counsel's Russia report, saying Barr had made a ""calculated effort"" to spin the investigation's findings in favour of President Donald Trump.","What if your membership in a Facebook health group you assumed was private wasn't secret? And what if marketers could easily learn your name and diagnosis? Andrea Downing, a tech project manager and breast cancer advocate, has spent the past two years trying …",1.0,210,37,5,19,4,12.666666666666666,5.675675675675675,0,0.0,0.0,2.7027027027027026,2.7027027027027026,33,0,0,0,0,0,0,0,0,33,0,0,0,-7.0,-7.0,-3.0,2.0,3.0,-2.0,0.74,-2.0,-12.5,0.0,0.43,0.43,-3.0,0.0,0.0,0.0,-1.0,0.0,-3.0,0.0,0.0,-3.0,0.0,0.0,-3.0,5.66,-1.17,0.45,0.06,0.67,-0.84,0.38,-0.08,-4.98,0.0,-0.37,-0.42,-0.56,0.0,0.0,0.04,-0.16,0.0,-0.5,-0.05,0.0,-0.56,0.08,-0.08,-0.5
13,"Tesla and SpaceX CEO Elon Musk tweeted that Facebook is ""lame"" on Saturday, adding ""#DeleteFacebook"" in response to an anti-Facebook tweet by celebrity Sacha Baron Cohen.","The US aviation industry and the Trump administration are in a pitched battle over the response to the coronavirus pandemic, three sources familiar with recent calls between officials from a series of government agencies and US airlines have told CNN.",1.0,145,26,3,14,2,26.0,5.576923076923077,0,33.33333333333333,0.0,0.0,3.8461538461538463,26,0,0,0,0,0,0,0,0,26,0,0,0,-67.0,-14.0,0.0,-4.0,0.0,-14.0,0.28,0.0,0.0,0.0,0.0,3.85,-5.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,3.32,-1.64,0.22,0.14,0.63,-0.79,0.38,-0.08,-3.22,0.0,-0.46,-0.36,-0.68,0.0,0.0,0.03,-0.18,0.0,-0.55,-0.05,0.0,-0.68,0.07,-0.08,-0.55
