,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Nearly two dozen people have been arrested after refusing to leave blockades across B.C. on Tuesday, after they came together in support of Wet'suwet'en hereditary chiefs.","While Democratic presidential candidates are proposing sweeping student loan forgiveness programs, President Donald Trump's budget proposes eliminating one that already exists for public workers -- for the fourth year in a row.",1.0,146,26,6,8,4,9.0,5.615384615384615,0,16.666666666666664,0.0,3.8461538461538463,3.8461538461538463,24,0,0,0,1,0,0,0,0,24,0,0,0,-50.0,-6.0,0.0,-4.0,2.0,-23.0,-0.51,0.0,0.0,0.0,0.72,3.85,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,-27.68,-7.55,0.41,-4.64,1.91,-18.38,0.4,-0.03,3.77,0.0,2.24,-0.26,-4.09,0.0,-0.02,-0.1,0.33,-0.03,-0.94,-0.01,0.0,-4.09,0.0,-0.06,-0.94
1,"Documents obtained by CBC News and Radio-Canada suggest tests will explore whether there's a connection between poor air quality at federal buildings in Gatineau, Que., and a bat infestation — including whether dead bats are responsible for elevated methane l…","A United Parcel Service (UPS) employee was arrested after sending threatening text messages to his employer about planning a mass shooting at a UPS facility in Northern California, authorities said.",1.0,221,40,7,16,2,20.5,5.525,0,14.285714285714285,0.0,0.0,5.0,34,0,0,0,0,0,0,0,0,34,0,0,0,52.0,10.0,1.0,2.0,0.0,-9.5,-0.11,0.0,-2.38,0.0,0.0,1.67,6.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,6.0,0.0,0.0,-1.0,9.82,-0.55,0.91,-0.64,0.91,-12.63,0.35,-0.03,2.58,0.0,0.32,0.32,0.91,0.0,-0.02,-0.1,-0.17,-0.03,-0.94,-0.01,0.0,0.91,0.0,-0.06,-0.94
2,Former prime minister Jean Chrétien dismissed the notion that Canada is suffering through a national unity crisis insisting that rail blockades and regional tensions over oil and gas pale by comparison to the challenges he faced while an elected official.,"The top judge on the Washington, DC, federal district court said Thursday that judges in the federal court will not be influenced by public criticism after tweets sent earlier this week by President Donald Trump over the sentencing recommendation for his form…",1.0,216,40,6,17,2,40.0,5.4,0,16.666666666666664,0.0,2.5,10.0,34,0,0,0,0,0,1,0,0,34,0,0,1,-3.0,-2.0,1.0,1.0,1.0,-2.0,0.19,0.0,-3.33,0.0,-2.26,7.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.66,1.78,0.75,1.02,0.57,-4.21,0.29,-0.03,2.97,0.0,0.51,2.18,2.57,0.0,-0.02,-0.1,-0.33,-0.03,-0.61,-0.01,0.0,2.57,0.0,-0.06,-0.61
3,Quiet talks brokered by a government desperate to stop a growing economic threat led to two rail rivals coming together with a workaround to bypass blockade sites.,"Michael Bloomberg would sell his financial information and media company if he's elected president in an effort to be ""180 degrees away from where Donald Trump is on these issues,"" an adviser to his campaign said Tuesday.",1.0,137,27,6,9,2,27.0,5.074074074074074,0,0.0,0.0,3.7037037037037033,11.11111111111111,21,0,0,0,1,0,0,0,0,21,0,0,0,-48.0,-10.0,-1.0,-5.0,0.0,-10.0,0.07,0.0,-28.57,0.0,3.7,8.41,-10.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-10.0,0.0,0.0,-2.0,6.32,-0.3,0.66,-0.14,0.41,-3.26,0.18,-0.03,-0.99,0.0,0.91,3.38,0.16,0.0,-0.02,-0.1,-0.17,-0.03,-0.69,-0.01,0.0,0.16,0.0,-0.06,-0.69
4,This week saw the end of a nine-day marathon round of public hearings that pitted dominant cell phone carriers against affordability advocates and smaller carriers. Here's what we learned from them.,"With various audio clips playing in the background, the video highlighted various achievements spanning across the star's long career.",1.0,168,31,4,11,3,15.5,5.419354838709677,0,0.0,0.0,3.225806451612903,0.0,29,0,0,0,0,1,0,0,0,29,0,1,0,52.0,12.0,1.0,5.0,1.0,-3.5,-0.69,0.0,0.0,0.0,-2.04,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,1.0,0.0,3.92,-0.75,0.21,-0.44,0.51,-4.98,0.19,-0.03,-3.37,0.0,1.05,1.89,0.31,0.0,-0.02,-0.1,-0.27,0.17,-0.74,-0.01,0.0,0.31,0.0,0.14,-0.74
5,"The RCMP has for the first time acknowledged using controversial facial recognition technology that has raised privacy concerns, saying it was used in the Mounties' efforts to crack down on online child sexual abuse.","President Donald Trump formally announced Friday that he will nominate Kenneth Braithwaite, the current US ambassador to Norway, to be his next Navy Secretary.",1.0,183,34,9,10,2,34.0,5.382352941176471,0,11.11111111111111,0.0,0.0,11.76470588235294,30,0,0,0,0,0,1,0,0,30,0,0,1,47.0,10.0,5.0,-1.0,0.0,10.0,-0.28,0.0,-13.89,0.0,0.0,11.76,8.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,8.0,0.0,0.0,-1.0,4.82,-0.55,0.75,-0.81,0.41,-3.05,0.18,-0.03,-3.11,0.0,0.61,2.85,0.57,0.0,-0.02,-0.1,-0.33,0.13,-0.61,-0.01,0.0,0.57,0.0,0.11,-0.61
6,"Hundreds of U.S. law enforcement agencies have partnered with Amazon's Ring doorbell camera company, despite persistent questions about privacy and data management. Windsor, Ont.'s mayor wants his city to join, too.","Like any institution, monarchies must adapt to remain relevant and in place.",1.0,185,31,4,18,6,6.6,5.967741935483871,0,0.0,0.0,0.0,0.0,31,0,0,0,0,0,1,0,0,31,0,0,1,120.0,19.0,1.0,15.0,4.0,-5.4,0.55,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,1.0,5.75,-0.84,0.41,0.07,0.91,-5.58,0.26,-0.03,-4.51,0.0,0.29,1.86,0.91,0.0,-0.02,-0.1,-0.38,0.11,-0.51,-0.01,0.0,0.91,0.0,0.09,-0.51
7,Durham Regional Police Human Trafficking Unit is the first in Canada to team up with a human trafficking survivor.,Take a look at 34 photos of the week from February 28 through March 5.,1.0,96,19,2,9,2,19.0,5.052631578947368,0,50.0,0.0,5.263157894736842,0.0,19,0,0,0,0,0,0,0,0,19,0,0,0,40.0,4.0,1.0,4.0,0.0,4.0,1.32,0.0,50.0,0.0,5.26,0.0,4.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-4.68,-2.55,-0.09,-0.39,0.78,-5.93,0.21,-0.03,0.69,0.0,0.71,1.11,-0.34,0.0,-0.02,-0.1,-0.42,0.09,-0.57,-0.01,0.0,-0.34,0.0,0.07,-0.57
8,"Making MAID legally accessible for a wider range of patients could have the unintended consequence of diminishing the number of health care professionals willing to provide it, ultimately worsening access.","India already has over 500 million internet users, a number that's set to almost double in the next decade.",1.0,176,30,6,10,2,30.0,5.866666666666666,0,0.0,0.0,6.666666666666667,3.3333333333333335,25,0,0,0,0,0,0,0,0,25,0,0,0,87.0,11.0,2.0,5.0,0.0,11.0,1.18,0.0,0.0,0.0,6.67,3.33,6.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,-3.9,-2.66,-0.03,-0.64,0.69,-4.98,0.26,-0.03,-0.82,0.0,1.2,0.9,-0.65,0.0,-0.02,-0.1,-0.44,0.08,-0.61,-0.01,0.0,-0.65,0.0,0.05,-0.61
9,Canada’s spy agency is now warning Canadians travelling abroad for work that they could be targeted by foreign intelligence services.,"NBA legend Kobe Bryant and his 13-year-old daughter, Gianna, were buried Friday at a Southern California cemetery following their deaths January 26 in a helicopter crash, death certificates released Tuesday by Los Angeles County officials show.",1.0,114,20,7,7,2,20.0,5.7,0,28.57142857142857,0.0,10.0,5.0,20,0,0,0,0,0,0,0,0,20,0,0,0,-95.0,-16.0,1.0,-13.0,0.0,-16.0,-0.11,0.0,11.9,0.0,10.0,-0.56,-14.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.0,0.0,-14.0,0.0,0.0,-2.0,-9.48,-3.75,0.11,-1.14,0.61,-5.22,0.28,-0.03,0.83,0.0,1.92,0.9,-1.39,0.0,-0.02,-0.1,-0.47,0.07,-0.64,-0.01,0.0,-1.39,0.0,0.04,-0.64
