,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"A Q&A with the Department of Energy's Under Secretary for Science, Paul Dabbar.","As my wife, daughters and I hiked through the woods at one of the many state parks near our home, I explained to them how we were doing three things that were simultaneously boosting our happiness at that moment.",1.0,67,13,1,8,2,13.0,5.153846153846154,0,0.0,0.0,0.0,0.0,13,0,0,0,0,0,0,0,0,13,0,0,0,-107.0,-26.0,-5.0,-1.0,0.0,-26.0,0.69,0.0,-33.33,0.0,-2.56,0.0,-14.0,0.0,0.0,-1.0,-2.0,-3.0,-1.0,0.0,0.0,-14.0,-3.0,-3.0,-1.0,-92.38,-18.43,-4.28,-3.26,-0.22,-11.0,0.09,-0.04,-15.43,0.0,-2.5,-2.73,-13.32,-0.22,-0.05,-0.17,-0.49,-0.13,-0.57,-0.02,0.0,-13.32,-0.06,-0.21,-0.57
1,"Toxic and invisible oil spread well beyond the initial footprint of the Deepwater Horizon oil spill, new research reveals.","""Mad Mike"" Hughes died during an attempt to launch his homemade rocket Saturday.",1.0,104,19,1,10,2,19.0,5.473684210526316,0,0.0,0.0,5.263157894736842,5.263157894736842,15,0,0,0,0,0,0,0,0,15,0,0,0,36.0,6.0,-1.0,4.0,0.0,6.0,0.24,0.0,0.0,0.0,5.26,-2.43,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,2.0,0.0,0.0,-1.0,-73.88,-15.43,-4.28,-2.26,-0.22,-8.0,0.25,-0.04,-15.43,0.0,0.13,-0.09,-12.32,-0.22,-0.05,-0.17,-0.49,-0.13,-0.57,-0.02,0.0,-12.32,-0.06,-0.21,-0.57
2,"Despite most scientists generally accepting that dinosaurs were cold-blooded creatures, a new study suggests they were in fact warm-blooded.","Concerns are mounting about how long the novel coronavirus may survive on surfaces -- so much so that China's central bank has taken measures to deep clean and destroy its cash, which changes hands multiple times a day, in an effort to contain the virus.",1.0,122,19,4,5,2,19.0,6.421052631578948,0,50.0,0.0,0.0,0.0,17,0,0,2,0,0,0,0,0,17,0,0,0,-88.0,-26.0,-6.0,-8.0,0.0,-26.0,1.75,0.0,40.0,0.0,-2.22,-4.44,-22.0,0.0,-2.0,2.0,0.0,0.0,-1.0,0.0,0.0,-22.0,0.0,0.0,-1.0,-61.71,-14.43,-3.28,-3.59,-0.22,-7.0,0.62,-0.04,1.24,0.0,-0.74,-0.97,-11.32,-0.22,-0.05,0.5,-0.49,-0.13,-0.57,-0.02,0.0,-11.32,-0.06,-0.21,-0.57
3,Could cyborg locusts be the bomb-sniffing dogs of the future?,"China has spent decades nurturing its tech sector. Now, faced with a massive public health crisis, Beijing is pushing its tech companies to join the fight against the novel coronavirus.",1.0,52,10,1,5,1,10.0,5.2,1,100.0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0,8,0,0,0,-104.0,-20.0,-6.0,-6.0,-2.0,-5.0,0.0,1.0,85.71,0.0,-3.33,-3.33,-16.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-16.0,0.0,0.0,-2.0,-73.13,-16.18,-3.53,-4.26,-0.47,-8.75,0.5,0.21,22.07,0.0,-1.18,-1.41,-13.07,-0.22,-0.05,0.33,-0.49,-0.13,-0.57,-0.02,0.0,-13.07,-0.06,-0.21,-0.57
4,Scientists think if there is life on Mars it's likely to be hidden in deep underground caves.,"Actor Robert Conrad, known for the television show ""The Wild, Wild West,"" died Saturday at the age of 84, according to his family spokesperson Jeff Ballard.",1.0,77,17,5,4,2,17.0,4.529411764705882,0,40.0,0.0,0.0,0.0,17,0,0,0,0,0,0,0,0,17,0,0,0,-54.0,-9.0,2.0,-10.0,0.0,-9.0,-0.51,0.0,40.0,0.0,0.0,-3.85,-7.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-7.0,0.0,0.0,-1.0,-74.98,-15.83,-2.88,-4.86,-0.42,-8.4,0.29,0.16,22.57,0.0,-1.44,-1.67,-12.32,-0.22,-0.05,0.23,-0.49,-0.13,-0.57,-0.02,0.0,-12.32,-0.06,-0.21,-0.57
5,"You’ve heard of the “big bang” theory regarding the start of the universe? Scientists say they recently detected a similar deep-space explosion, up to five times more powerful than any such blast observed previously.","An Interior Department official pushed misleading information about climate change into the agency's reports, according to The New York Times, at a time when the Trump administration has rolled back environmental protection regulations and repeatedly downplay…",1.0,183,34,5,12,2,17.0,5.382352941176471,1,0.0,0.0,2.941176470588235,0.0,29,0,0,0,1,0,0,0,0,29,0,0,0,-42.0,-2.0,0.0,-4.0,1.0,-19.0,-0.87,1.0,0.0,0.0,0.16,-2.78,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,-58.55,-12.76,-2.45,-3.93,-0.39,-8.17,0.3,0.29,16.24,0.0,-1.13,-1.85,-9.82,-0.22,-0.05,0.16,-0.32,-0.13,-0.57,-0.02,0.0,-9.82,-0.06,-0.21,-0.57
6,"Following the news that scientists discovered a fast radio burst from deep space that is ""repeating"" every 16 days, experts are increasing their efforts to look for alien life.","There is something curiously and unexpectedly satisfying about Alastair Philip Wiper's images of factories, laboratories and industrial facilities.",1.0,148,29,7,9,2,29.0,5.103448275862069,0,28.57142857142857,0.0,3.4482758620689653,0.0,27,0,0,0,1,0,1,0,0,27,0,0,1,18.0,11.0,5.0,1.0,0.0,11.0,-2.12,0.0,-21.43,0.0,-2.11,-5.56,11.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0,-51.81,-11.29,-1.85,-3.69,-0.36,-6.29,0.26,0.25,15.8,0.0,-0.83,-1.97,-8.32,-0.22,-0.05,0.12,-0.2,-0.13,-0.43,-0.02,0.0,-8.32,-0.06,-0.21,-0.43
7,Scientists have discovered the world’s largest known subterranean fish in a cave in northeastern India.,Ted Cruz will self-quarantine after interacting with individual with coronavirus CNN Ted Cruz to stay at home after 'brief' interaction with coronavirus patient at CPAC Fox News Ted Cruz shook hands with infected CPAC attendee | TheHill The Hill Ted Cruz will…,1.0,89,15,3,6,2,15.0,5.933333333333334,0,0.0,0.0,0.0,6.666666666666667,13,0,0,0,0,0,0,0,0,13,0,0,0,-130.0,-27.0,-2.0,-18.0,1.0,-27.0,0.72,0.0,0.0,0.0,-2.38,4.29,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,-54.13,-11.93,-1.91,-3.88,-0.34,-6.62,0.34,0.21,11.9,0.0,-1.04,-1.24,-8.95,-0.22,-0.05,0.08,-0.24,-0.13,-0.45,-0.02,0.0,-8.95,-0.06,-0.21,-0.45
8,"Bob McDonald's science blog: New finds of the remains of Homo erectus and their stone tools reveals a culture that developed new ideas, but didn't abandon old ones",The science is looking pretty unanimous on this one: Drivers of expensive cars are the worst.,1.0,136,28,5,13,1,28.0,4.857142857142857,0,0.0,0.0,0.0,0.0,26,0,0,0,0,0,1,0,0,26,0,0,1,58.0,12.0,2.0,9.0,-1.0,12.0,-0.02,0.0,-66.67,0.0,-6.25,-12.5,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,1.0,-50.71,-10.99,-1.72,-3.26,-0.44,-5.44,0.27,0.18,8.86,0.0,-1.2,-1.4,-7.99,-0.22,-0.05,0.05,-0.27,-0.13,-0.35,-0.02,0.0,-7.99,-0.06,-0.21,-0.35
9,"As the Conservative Party rebuilds and seeks a new leader, Preston Manning urges fellow conservatives not to seek out a single saviour but to develop a competent team with a range of skills. And to be careful with social media.","The coronavirus that emerged from Wuhan, China, last year is causing alarm across the world, with fear that this could become the next pandemic. Late last month, the World Health Organization declared the virus, named COVID-19, a ""Public Health Emergency of I…",1.0,188,40,6,13,3,20.0,4.7,0,16.666666666666664,0.0,0.0,0.0,31,0,0,0,0,0,0,0,0,31,0,0,0,-31.0,-2.0,-1.0,-4.0,1.0,-1.0,-0.51,0.0,2.38,0.0,0.0,-7.14,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-42.78,-9.03,-1.48,-2.76,-0.32,-5.3,0.21,0.16,8.1,0.0,-1.33,-1.53,-6.72,-0.22,-0.05,0.03,-0.29,-0.13,-0.37,-0.02,0.0,-6.72,-0.06,-0.21,-0.37
