,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"North American manufacturers and retailers haven't yet experienced widespread disruptions from the coronavirus outbreak. But contingency plans are in effect for industries that use Chinese suppliers — which, these days, means a lot of different businesses.","How bad will it get? That was the question this week, but it applied to several things: the spread of COVID-19 coronavirus around the world, the resulting stock market plunge and the concern about whether America's political leaders are up to the challenge.",1.0,221,36,6,13,3,18.0,6.138888888888889,0,16.666666666666664,0.0,0.0,2.7777777777777777,36,0,0,0,0,0,0,0,0,36,0,0,0,6.0,-7.0,0.0,-1.0,1.0,-3.5,1.14,-1.0,-16.67,0.0,0.0,-1.87,3.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,3.0,0.0,0.0,-2.0,46.08,1.45,0.33,0.8,0.59,-3.64,1.03,-0.03,2.92,0.0,-2.64,0.18,7.48,-0.06,0.0,-0.2,-0.76,-0.24,-0.82,-0.02,-0.02,7.48,-0.15,-0.2,-0.82
1,"The global shortage of skills needed to design and build alternative-energy vehicles is a huge economic opportunity for Canada, writes Randy Zadra.","Twitter said it would take action against a misleading video of former Vice President Joe Biden that was retweeted by President Donald Trump, a major action that courted blowback from the White House. But then the social media company botched it.",1.0,126,22,5,7,2,22.0,5.7272727272727275,0,20.0,0.0,0.0,4.545454545454546,22,0,0,0,0,0,0,0,0,22,0,0,0,-80.0,-19.0,-2.0,-9.0,-1.0,1.5,0.7,0.0,5.71,0.0,0.0,2.11,-9.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-9.0,0.0,0.0,-1.0,-1.42,-5.55,-0.17,-2.2,0.09,-1.64,0.82,-0.03,4.59,0.0,-2.64,1.06,0.48,-0.06,0.0,-0.2,-0.76,-0.24,-0.82,-0.02,-0.02,0.48,-0.15,-0.2,-0.82
2,"In December 2017, Margarita Gracheva's husband brutally attacked her. She has since emerged as one of the most high-profile victims of Russia's epidemic of domestic violence, Chris Brown writes.","In the foothills of the Sierra de los Órganos Mountains, more than two hours west of Havana, a trickle of riders on horseback descends a reddish-brown mountain in a serpentine line. They smile as they pass a group of hikers and continue on their ride.",1.0,166,29,4,10,3,14.5,5.724137931034483,0,0.0,0.0,0.0,6.896551724137931,26,0,0,1,2,0,0,0,0,26,0,0,0,-41.0,-16.0,0.0,-3.0,0.0,-8.0,1.12,0.0,0.0,0.0,-2.22,6.9,-7.0,-2.0,0.0,1.0,1.0,0.0,-2.0,0.0,0.0,-7.0,0.0,0.0,-2.0,-3.92,-5.55,-0.67,-2.2,0.26,-3.47,0.75,-0.03,-1.52,0.0,-2.64,2.14,-0.52,-0.06,0.0,0.14,-0.09,-0.24,-0.82,-0.02,-0.02,-0.52,-0.15,-0.2,-0.82
3,"In December 2017, Margarita Gracheva's husband took her to a wooded area near their home and chopped off both her hands in a jealous rage. She has since emerged as one of the most high-profile victims of Russia's epidemic of domestic violence, Chris Brown wri…","Arthur Conan Doyle's 1912 saga ""The Lost World"" was inspired by reports from three little-known European colonies at the top of South America. Today the independent nations of Guyana and Suriname and the French territory of Guyane are finally stepping out fro…",1.0,216,45,4,15,2,22.5,4.8,0,0.0,0.0,0.0,6.666666666666667,38,0,0,1,2,0,5,0,0,38,0,0,5,-3.0,3.0,-1.0,-2.0,0.0,1.5,-0.41,0.0,-40.0,0.0,-2.38,4.29,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,5.0,7.33,-1.55,-0.92,-0.95,0.09,-2.39,0.48,-0.03,-4.58,0.0,-2.64,2.62,1.98,-0.06,0.0,0.3,0.24,-0.24,0.43,-0.02,-0.02,1.98,-0.15,-0.2,0.43
4,"A growing number of Canadians want to repair household items instead of tossing them into the trash. The strategy not only saves consumers money, but addresses the issue of waste in our society.","More and more people face 14-day quarantines as health officials around the world try to stem the tide of the coronavirus outbreak, which has killed more than 700 people and infected more than 34,000.",1.0,162,33,6,10,3,16.5,4.909090909090909,0,0.0,0.0,0.0,9.090909090909092,28,0,0,0,0,0,1,0,0,28,0,1,1,-5.0,-1.0,1.0,0.0,1.0,-17.5,-0.0,0.0,0.0,0.0,0.0,0.27,6.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,3.28,-1.55,-0.67,-1.2,0.19,-2.94,0.35,-0.03,-6.41,0.0,-2.64,3.4,1.48,-0.06,0.0,0.2,0.04,-0.24,0.38,-0.02,-0.02,1.48,-0.15,0.0,0.38
5,"Canadian charity GlobalMedic is spearheading efforts to get Bahamians working, homes back in liveable condition.","Over the past year, a handful of surprising auction house press releases have graced my inbox. ""Sotheby's Partners with The Strokes' Fabrizio Moretti For Special Old Masters Exhibition & Auction,"" one proclaimed, while another proudly boasted: ""Christie's to …",1.0,98,15,4,6,2,15.0,6.533333333333333,0,25.0,0.0,0.0,0.0,15,0,0,0,0,0,0,0,0,15,0,0,0,-124.0,-24.0,-1.0,-12.0,0.0,-4.5,0.84,0.0,25.0,0.0,0.0,0.0,-24.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-24.0,-1.0,0.0,0.0,-10.09,-4.55,-0.83,-2.03,0.09,-3.56,0.53,-0.03,-3.47,0.0,-2.64,2.4,-1.02,-0.06,0.0,0.14,-0.09,-0.24,0.18,-0.02,-0.02,-1.02,-0.15,-0.03,0.18
6,"CNBC Select breaks down the rewards, benefits and fees associated with the Amex Business Platinum Card to help you decide if it's the right card for your business needs.","Days after an Atlanta prosecutor said he would consider opening a formal investigation into James Brown's death, Brown's longtime attorney said he would have no objection if authorities wanted to examine the singer's remains.",1.0,141,29,5,12,2,29.0,4.862068965517241,0,0.0,0.0,6.896551724137931,3.4482758620689653,26,0,0,0,0,0,2,0,0,26,0,0,2,-51.0,-5.0,-4.0,-1.0,0.0,-5.0,-0.78,0.0,0.0,0.0,6.9,-2.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.5,-4.69,-0.81,-1.77,0.02,-2.0,0.41,-0.03,-4.94,0.0,-1.65,2.17,-1.23,-0.06,0.0,0.09,-0.19,-0.24,0.32,-0.02,-0.02,-1.23,-0.15,-0.05,0.32
7,"Peter Corbière, a Niagara-on-the-Lake man at the centre of a 2018 CBC News investigation, was arrested on Thursday by Niagara police.","President Donald Trump made 56 false claims last week -- repeating one of his conspiracy theories about the 2016 election, promoting new fiction about impeachment witness Lt. Col. Alexander Vindman, and inflating his accomplishments and his standing in the po…",1.0,113,21,2,10,2,21.0,5.380952380952381,0,50.0,0.0,0.0,0.0,19,0,0,0,1,0,0,0,0,19,0,0,0,-108.0,-19.0,-2.0,-7.0,-1.0,7.67,-0.14,0.0,50.0,0.0,-2.5,-7.5,-12.0,0.0,0.0,0.0,-2.0,0.0,-3.0,0.0,0.0,-12.0,0.0,0.0,-3.0,-19.55,-5.8,-1.17,-1.82,-0.03,-1.83,0.4,-0.03,0.21,0.0,-1.77,1.58,-2.27,-0.06,0.0,0.05,-0.13,-0.24,0.18,-0.02,-0.02,-2.27,-0.15,-0.07,0.18
8,"Transport Canada says the section of Canadian Pacific Railway track marked by two recent oil train derailments in Saskatchewan was inspected by regulators three times in the last year. But it won't say what kind of ""minor non-compliances"" were found during tw…","El director ejecutivo de Amazon anunció el lunes un nuevo fondo para respaldar a científicos, activistas y organizaciones que trabajan para mitigar el impacto del cambio climático.",1.0,219,42,8,17,2,21.0,5.214285714285714,0,25.0,0.0,0.0,0.0,34,0,0,0,2,0,1,0,0,34,0,0,1,65.0,15.0,5.0,1.0,0.0,-6.0,-0.49,0.0,25.0,0.0,0.0,0.0,11.0,-1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0,-12.48,-4.32,-0.78,-1.09,-0.08,-1.7,0.36,-0.03,1.44,0.0,-1.87,1.11,-1.4,-0.06,0.0,0.03,0.02,-0.24,0.18,-0.02,-0.02,-1.4,-0.15,-0.09,0.18
9,"As prom season approaches, some dress shops and bridal boutiques are experiencing delays from their Chinese suppliers amid the coronavirus outbreak.","Concerns about the coronavirus have sparked a dramatic decline in air travel this week, dealing the aviation industry what one executive called on Thursday a ""gut punch.""",1.0,128,21,2,11,2,21.0,6.095238095238095,0,50.0,0.0,0.0,9.523809523809524,21,0,0,1,0,0,1,0,0,21,0,0,1,-16.0,-6.0,-2.0,0.0,0.0,7.0,0.76,0.0,50.0,0.0,0.0,2.12,-2.0,0.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,1.0,-15.92,-5.25,-1.07,-1.1,-0.11,-1.59,0.43,-0.03,4.92,0.0,-1.95,1.69,-2.02,-0.06,0.0,0.1,-0.06,-0.24,0.18,-0.02,-0.02,-2.02,-0.15,-0.1,0.18
