,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"In 1989 astronaut Fred Gregory made history when he became the first African American to command a NASA mission, but he paid little attention to the headlines that he made.","After 328 days in space, NASA astronaut Christina Koch received an adorable greeting from her four-legged pet.",1.0,143.0,30.0,5.0,9.0,2.0,30.0,4.766666666666667,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,23.0,0.0,0.0,3.0,49.0,13.0,3.0,2.0,0.0,13.0,-0.76,0.0,0.0,0.0,-5.88,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,-12.98,-0.78,0.23,-2.06,-0.31,8.2,-0.35,-0.04,-15.22,0.0,-2.88,-1.29,-3.2,-0.05,-0.06,-0.13,0.28,-0.06,2.25,0.0,0.0,-3.2,-0.04,-0.13,2.25
1,"Following the news that scientists discovered a fast radio burst from deep space that is ""repeating"" every 16 days, experts are increasing their efforts to look for alien life.","New York City's largely obsolete payphones will start being pulled in order to free up sidewalk space, according to New York City Council Speaker Corey Johnson.",1.0,148.0,29.0,7.0,9.0,2.0,29.0,5.103448275862069,0.0,28.57142857142857,0.0,3.4482758620689653,0.0,27.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,1.0,13.0,3.0,1.0,-4.0,0.0,3.0,-0.09,0.0,28.57,0.0,-0.4,-3.85,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,-10.48,-1.28,1.23,-2.06,-0.31,7.7,-0.18,-0.04,-0.94,0.0,-1.15,-1.29,-1.2,-0.05,-0.06,-0.13,0.28,-0.06,1.25,0.0,0.0,-1.2,-0.04,-0.13,1.25
2,"You’ve heard of the “big bang” theory regarding the start of the universe? Scientists say they recently detected a similar deep-space explosion, up to five times more powerful than any such blast observed previously.",The mystery of the contents of a purse found in the space between a locker and a wall in an Ohio middle school have been revealed. The dust-covered purse was discovered by a custodian.,1.0,183.0,34.0,5.0,12.0,2.0,17.0,5.382352941176471,1.0,0.0,0.0,2.941176470588235,0.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,32.0,0.0,-1.0,2.0,-1.0,0.0,0.94,1.0,-33.33,0.0,2.94,-2.94,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.02,0.22,0.89,-1.06,-0.31,3.53,-0.03,0.29,-5.7,0.0,-0.75,-1.29,0.14,-0.05,-0.06,-0.13,0.28,-0.06,0.58,0.0,0.0,0.14,-0.04,-0.13,0.58
3,Scientists think if there is life on Mars it's likely to be hidden in deep underground caves.,"As my wife, daughters and I hiked through the woods at one of the many state parks near our home, I explained to them how we were doing three things that were simultaneously boosting our happiness at that moment.",1.0,77.0,17.0,5.0,4.0,2.0,17.0,4.529411764705882,0.0,40.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,-97.0,-22.0,-1.0,-5.0,0.0,-22.0,0.07,0.0,6.67,0.0,-2.56,0.0,-10.0,0.0,0.0,-1.0,-2.0,-3.0,-1.0,0.0,0.0,-10.0,-3.0,-3.0,-1.0,-18.23,-3.28,0.73,-2.56,-0.31,1.45,-0.17,0.21,1.92,0.0,-1.28,-1.29,-2.2,-0.05,-0.06,-0.13,0.03,-0.06,0.25,0.0,0.0,-2.2,-0.04,-0.13,0.25
4,"A ""potentially hazardous asteroid"" that whizzed past Earth earlier this month is so large it has its own ""moon.""","""Thank God it's over,"" writes Nevadan Edwin Lyngar, who helped count votes in his precinct -- and was delighted to see it go unashamedly progressive. ""I think we are such a strong representation of America as a whole,"" he writes of his state.",1.0,94.0,19.0,3.0,4.0,2.0,10.0,4.947368421052632,0.0,33.33333333333333,0.0,0.0,5.263157894736842,19.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,19.0,0.0,0.0,2.0,-106.0,-24.0,-8.0,-7.0,-1.0,-11.5,0.3,0.0,15.15,0.0,-9.3,5.26,-16.0,0.0,1.0,0.0,0.0,-1.0,-2.0,0.0,0.0,-16.0,0.0,-1.0,-2.0,-26.98,-4.98,0.23,-3.46,-0.31,-1.2,-0.17,0.16,5.16,0.0,-1.6,-0.23,-3.2,-0.05,0.14,-0.13,-0.12,-0.06,0.45,0.0,0.0,-3.2,-0.04,-0.13,0.45
5,"A Q&A with the Department of Energy's Under Secretary for Science, Paul Dabbar.","How bad will it get? That was the question this week, but it applied to several things: the spread of COVID-19 coronavirus around the world, the resulting stock market plunge and the concern about whether America's political leaders are up to the challenge.",1.0,67.0,13.0,1.0,8.0,2.0,13.0,5.153846153846154,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,-148.0,-30.0,-5.0,-6.0,0.0,-8.5,0.15,-1.0,-33.33,0.0,0.0,-4.65,-20.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-20.0,0.0,0.0,-2.0,-37.31,-7.12,-0.44,-3.4,-0.31,-2.47,-0.13,0.13,1.76,0.0,-1.81,-0.41,-4.86,-0.05,0.1,-0.13,-0.22,-0.06,0.25,0.0,0.0,-4.86,-0.04,-0.13,0.25
6,Jupiter's Great Red Spot just got a makeover.,"The term ""cruise ship"" evokes images of luxury and well-being, but that is far from what a dream vacation has become for thousands of passengers now trapped on several cruise ships by the sudden emergence of the Wuhan coronavirus.",1.0,38.0,8.0,1.0,5.0,2.0,8.0,4.75,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,-154.0,-31.0,-3.0,-11.0,0.0,-31.0,-0.17,0.0,-25.0,0.0,-5.13,-2.56,-26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.0,0.0,0.0,0.0,-48.84,-9.35,-0.92,-3.78,-0.31,-4.09,-0.17,0.1,-0.67,0.0,-1.96,-0.53,-6.77,-0.05,0.08,-0.13,-0.29,-0.06,0.1,0.0,0.0,-6.77,-0.04,-0.13,0.1
7,NASA released a stunningly detailed panorama of Mars this week.,"As an outbreak of a novel coronavirus has swept through Hubei province, China, the US Centers for Disease Control and Prevention has been preparing for its worst case scenario -- a widespread outbreak of illnesses in the United States.",1.0,54.0,10.0,1.0,4.0,2.0,10.0,5.4,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,-143.0,-29.0,-4.0,-12.0,0.0,-29.0,0.35,0.0,-20.0,0.0,10.0,-7.69,-17.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-17.0,0.0,0.0,-1.0,-55.48,-10.78,-1.27,-4.19,-0.31,-5.05,-0.11,0.08,-2.49,0.0,-0.83,-0.63,-7.95,-0.05,0.06,-0.13,-0.35,-0.06,-0.0,0.0,0.0,-7.95,-0.04,-0.13,-0.0
8,"The Vatican is set to open the secret archives of Pope Pius XII, the World War II-era pope whose record during the Holocaust has come under intense scrutiny.","The religious practices of Shincheonji are in the public eye because the movement appears to be the source of South Korea's growing novel coronavirus outbreak that has infected more than 5,000 people there.",1.0,130.0,28.0,5.0,12.0,2.0,28.0,4.642857142857143,0.0,20.0,0.0,0.0,3.571428571428571,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,-44.0,-5.0,-1.0,2.0,0.0,-5.0,-0.63,0.0,-13.33,0.0,0.0,-2.49,-3.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-52.2,-9.89,-1.11,-3.62,-0.31,-3.8,-0.15,0.07,-1.68,0.0,-1.05,-0.3,-7.2,-0.05,0.05,-0.13,-0.39,-0.06,-0.09,0.0,0.0,-7.2,-0.04,-0.13,-0.09
9,Bears are mammals that belong to the family Ursidae.,"Another long weekend, another set of sales to shop — and these deals are worthy of the highest office in the land. Presidents Day weekend means dozens of discounts on everything you've been waiting to buy, from mattresses and kitchen appliances to fashion, fu…",1.0,44.0,9.0,2.0,4.0,2.0,9.0,4.888888888888889,0.0,50.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,-173.0,-35.0,-6.0,-13.0,0.0,-13.0,-0.04,0.0,25.0,0.0,-2.27,0.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0,0.0,0.0,0.0,-58.18,-11.08,-1.27,-3.96,-0.31,-4.7,-0.16,0.06,1.97,0.0,-1.24,-0.4,-8.2,-0.05,0.04,-0.13,-0.42,-0.06,-0.15,0.0,0.0,-8.2,-0.04,-0.13,-0.15
