,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,Sask. teachers vote in favour of job action mandate CBC.ca Saskatchewan teachers vote in favour of job action over contract dispute The Globe and Mail View Full coverage on Google News,Take a look at 27 amazing sports photos from February 9 through February 16.,1.0,154.0,31.0,3.0,20.0,3.0,10.666666666666666,4.967741935483871,0.0,0.0,0.0,6.451612903225806,3.225806451612903,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,91.0,17.0,2.0,15.0,1.0,-3.33,0.47,0.0,0.0,0.0,-0.69,3.23,5.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.27,1.74,-1.54,8.52,0.67,-11.68,-0.1,-0.01,-12.27,0.0,3.44,0.86,-8.2,-0.27,-0.03,-0.2,-0.62,-0.04,-0.99,-0.01,0.0,-8.2,-0.01,-0.05,-0.99
1,"By banning protests on the field of play and at official ceremonies, the International Olympic Committee has unintentionally created the perfect environment for dissent, writes Oren Weisfeld.",Take a look at 27 amazing sports photos from February 2 through February 9.,1.0,165.0,27.0,4.0,11.0,2.0,27.0,6.111111111111111,0.0,0.0,0.0,3.7037037037037033,7.4074074074074066,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,103.0,13.0,3.0,6.0,0.0,13.0,1.68,0.0,0.0,0.0,-3.44,7.41,12.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,11.77,-0.26,-1.04,4.02,0.17,-3.52,0.47,-0.01,-12.27,0.0,2.06,2.95,-4.7,-0.27,-0.03,-0.2,-0.62,-0.04,-0.99,-0.01,0.0,-4.7,-0.01,-0.05,-0.99
2,Three Canadian women from different industries shared their #MeToo experiences with CBC News.,Take a look at 24 amazing sports photos from February 17-24.,1.0,81.0,13.0,1.0,6.0,2.0,13.0,6.230769230769231,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,1.0,31.0,2.0,0.0,2.0,0.0,2.0,1.69,0.0,0.0,0.0,-9.09,0.0,2.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,-14.4,-5.59,-1.88,0.85,0.0,-5.46,0.71,-0.01,-12.27,0.0,0.37,1.18,-7.2,-0.27,-0.03,-0.2,-0.28,-0.04,-0.66,-0.01,0.0,-7.2,-0.01,-0.05,-0.66
3,"The Quebec-born Blatchford, who worked at the National Post, Globe and Mail and both the Toronto Sun and Star, was diagnosed with late-stage lung cancer in the fall of 2019.",CNN meteorologist Derek Van Dam reports on how the climate crisis is threatening winter sports and the effort to get policy makers to listen.,1.0,144.0,30.0,3.0,11.0,2.0,30.0,4.8,0.0,33.33333333333333,0.0,3.3333333333333335,6.666666666666667,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,26.0,6.0,-1.0,-1.0,0.0,6.0,-0.12,0.0,8.33,0.0,3.33,-1.67,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-11.73,-4.01,-1.79,0.52,-0.08,-2.18,0.46,-0.01,-3.93,0.0,0.36,1.96,-5.7,-0.27,-0.03,-0.2,-0.12,-0.04,-0.74,-0.01,0.0,-5.7,-0.01,-0.05,-0.74
4,"To test how prevalent counterfeits are online, Marketplace purchased dozens of well-known products from five popular online retailers: AliExpress, Amazon, eBay, Walmart and Wish. More than half were suspected knockoffs.","J.J. Watt, NFL superstar for the Houston Texans, and professional soccer player Kealia Ohai were married in a tropical Bahamas wedding Saturday, according to People magazine.",1.0,190.0,30.0,5.0,13.0,3.0,15.0,6.333333333333333,0.0,40.0,0.0,6.666666666666667,0.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,41.0,4.0,2.0,-2.0,-1.0,6.0,0.6,0.0,6.67,0.0,6.67,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.93,-3.06,-1.34,0.72,0.07,-3.22,0.62,-0.01,2.4,0.0,1.01,1.1,-3.6,-0.27,-0.03,-0.2,-0.02,-0.04,-0.79,-0.01,0.0,-3.6,-0.01,-0.05,-0.79
5,"A Marketplace survey finds that Canadians seeking appliance repairs experience complications, whether it's an inability to access prompt service, diagnose the problem, find a part, or the expense associated with repairs and replacement. But advocates say righ…","Los Angeles Lakers superstar LeBron James has joined the chorus of athletes speaking out against baseball commissioner Rob Manfred's handling of the Houston Astros' sign-stealing scandal, imploring him to ""fix this.""",1.0,224.0,37.0,7.0,17.0,2.0,18.5,6.054054054054054,0.0,0.0,0.0,5.405405405405405,5.405405405405405,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,38.0,6.0,1.0,1.0,0.0,2.5,0.05,0.0,0.0,0.0,5.41,2.18,6.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,6.0,0.0,0.0,-1.0,11.93,-1.26,-0.71,1.52,0.0,-3.32,0.68,-0.01,-0.04,0.0,1.24,1.42,-1.7,-0.27,-0.03,-0.2,-0.12,-0.04,-0.82,-0.01,0.0,-1.7,-0.01,-0.05,-0.82
6,"A 43-year-old German man shot and killed nine people at several locations in a Frankfurt suburb overnight in attacks that appear to have been motivated by far-right beliefs, officials said Thursday.","There are many ways to measure Maria Sharapova's success: Five grand slam titles, 36 career wins, a former No. 1 ranking in the world. But those impressive achievements don't match up with the success she accumulated in her bank account.",1.0,168.0,31.0,6.0,11.0,2.0,31.0,5.419354838709677,0.0,16.666666666666664,0.0,3.225806451612903,6.451612903225806,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,-30.0,-9.0,1.0,-4.0,-2.0,17.67,0.47,0.0,-3.33,0.0,-11.77,6.45,-7.0,0.0,0.0,-1.0,-2.0,0.0,-3.0,0.0,0.0,-7.0,0.0,0.0,-3.0,13.12,-0.83,-0.4,1.24,-0.04,-1.61,0.64,-0.01,0.59,0.0,1.1,1.8,-0.92,-0.27,-0.03,-0.2,-0.05,-0.04,-0.85,-0.01,0.0,-0.92,-0.01,-0.05,-0.85
7,"Wuhan's health bureau announced Tuesday that Liu Zhiming, director of a hospital in the hard-hit Chinese city, is at least the seventh health worker to die of the COVID-19 disease.","A grieving husband whose wife was killed in a hit-and-run motorcycle crash in California successfully led police to the suspected driver, according to police who arrested the man Friday.",1.0,151.0,30.0,3.0,14.0,2.0,30.0,5.033333333333333,0.0,33.33333333333333,0.0,0.0,6.666666666666667,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,-7.0,1.0,-3.0,4.0,0.0,1.0,-0.41,0.0,16.67,0.0,-6.9,-3.68,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.89,-0.63,-0.54,1.4,-0.08,-0.45,0.55,-0.01,3.15,0.0,0.58,2.11,-1.08,-0.27,-0.03,-0.2,-0.12,-0.04,-0.86,-0.01,0.0,-1.08,-0.01,-0.05,-0.86
8,Arizona House passes ban on transgender females in women's sports; Dems dub it 'Show me your genitals' bill Fox News Arizona House passes bill banning transgender student athletes from participating in girls sports CBS News Arizona state House passes bill ban…,"As discussions continue about whether sign stealing should result in a ban from baseball, we thought it would be good to brief you on some of the game's unwritten rules, codes and red lines. Here are some of the things you won't find in the official rulebook …",1.0,220.0,41.0,6.0,25.0,1.0,41.0,5.365853658536586,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,23.0,1.0,0.0,2.0,7.0,-7.0,-5.0,14.0,-1.0,17.0,0.93,0.0,-18.18,0.0,-2.08,-2.08,-14.0,0.0,0.0,-2.0,0.0,-1.0,-1.0,0.0,0.0,-14.0,1.0,-1.0,-1.0,18.6,0.74,-0.32,2.74,-0.22,1.67,0.53,-0.01,1.44,0.0,0.18,1.62,-1.2,-0.27,-0.03,-0.2,-0.17,-0.04,-0.66,-0.01,0.0,-1.2,0.1,-0.05,-0.66
9,Rankin Inlet South MLA and cabinet minister Lorne Kusugak says he is proud to hear that the Edmonton Eskimos are keeping their name — despite pressures for the Canadian Football League team to drop the term that is widely considered offensive to Inuit.,The Houston Astros are cheaters. That is the conclusion of an investigation by Major League Baseball: Its players had concocted a scheme to tip off its hitters in real time as to precisely which pitches they would be receiving from the opposing pitchers.,1.0,210.0,43.0,8.0,19.0,2.0,43.0,4.883720930232558,0.0,37.5,0.0,2.3255813953488373,2.3255813953488373,33.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,33.0,0.0,0.0,2.0,-2.0,0.0,-2.0,6.0,-1.0,21.5,-0.05,0.0,7.5,0.0,0.0,2.33,-6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-6.0,0.0,0.0,1.0,22.97,2.04,0.06,3.22,-0.23,3.57,0.46,-0.01,3.82,0.0,0.1,1.45,-0.3,-0.27,-0.03,-0.2,-0.22,-0.04,-0.49,-0.01,0.0,-0.3,0.09,-0.05,-0.49
