,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Many Canadian residents with U.S. citizenship could have problems with their banks and other financial institutions in coming months unless they provide them with a U.S. identification number, CBC News has learned. Experts say those who refuse or who can't co…",Rep. Bill Pascrell (D-NJ) grilled Treasury Secretary Steve Mnuchin over Mnuchin's refusal to release President Donald Trump's tax returns to the House Ways and Means Committee. CNN's Brooke Baldwin explains.,1.0,220.0,41.0,9.0,13.0,6.0,7.166666666666667,5.365853658536586,0.0,0.0,0.0,0.0,4.878048780487805,34.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,34.0,0.0,0.0,2.0,42.0,11.0,6.0,-9.0,2.0,-2.83,-0.57,0.0,0.0,0.0,0.0,1.54,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0,47.02,7.04,3.81,-0.24,3.76,-17.6,0.25,-0.04,-14.68,0.0,-1.9,2.16,5.46,-0.19,-0.07,-0.17,-0.65,-0.09,1.07,-0.02,0.0,5.46,-0.04,-0.11,1.07
1,"New book by economist Thomas Piketty is an endorsement of the need for ideological change, but the ""socialist"" label may be frightening people conditioned by years of Cold War rhetoric.","The US travel industry, which has been badly hit by a plunge in sales caused by the coronavirus, could be getting some help from the federal government.",1.0,156.0,30.0,5.0,14.0,2.0,30.0,5.2,0.0,40.0,0.0,3.3333333333333335,6.666666666666667,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,30.0,3.0,-2.0,6.0,0.0,3.0,0.53,0.0,11.43,0.0,3.33,2.96,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.02,1.54,1.81,0.26,1.76,-6.18,0.17,-0.04,5.32,0.0,-0.23,3.06,0.46,-0.19,-0.07,-0.17,-0.65,-0.09,0.07,-0.02,0.0,0.46,-0.04,-0.11,0.07
2,"Ireland faced political turmoil Sunday as an exit poll from the weekend's parliamentary election suggested that Sinn Fein, a left-wing party committed to reunification of the island, finished in a virtual dead heat with the two parties that have governed sinc…","President Donald Trump's acting chief of staff Mick Mulvaney railed against the so-called ""deep state"" during an appearance at the Oxford Union in the UK earlier this week, according to two attendees and quotes of his remarks provided to CNN.",1.0,220.0,41.0,6.0,15.0,1.0,41.0,5.365853658536586,0.0,0.0,0.0,0.0,4.878048780487805,34.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,17.0,1.0,2.0,-2.0,-1.0,1.0,0.29,0.0,0.0,0.0,0.0,4.88,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,25.69,3.37,1.48,0.76,0.76,1.29,0.2,-0.04,-1.35,0.0,-0.79,2.76,2.13,-0.19,-0.07,-0.17,-0.31,-0.09,-0.26,-0.02,0.0,2.13,-0.04,-0.11,-0.26
3,There's one perk to your student loan debt: It can help you save on taxes. Here's everything you need to know about the break the IRS gives borrowers.,"How bad will it get? That was the question this week, but it applied to several things: the spread of COVID-19 coronavirus around the world, the resulting stock market plunge and the concern about whether America's political leaders are up to the challenge.",1.0,123.0,28.0,8.0,9.0,3.0,14.0,4.392857142857143,0.0,0.0,0.0,0.0,7.142857142857142,22.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,22.0,0.0,0.0,3.0,-92.0,-15.0,2.0,-5.0,1.0,-7.5,-0.61,-1.0,-33.33,0.0,0.0,2.49,-11.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-11.0,0.0,0.0,1.0,6.77,1.04,1.81,-0.49,0.76,-1.72,-0.03,-0.04,-4.68,0.0,-1.06,3.18,-0.04,-0.19,-0.07,-0.17,-0.15,-0.09,0.32,-0.02,0.0,-0.04,-0.04,-0.11,0.32
4,"It sure feels good to get a massive refund from the taxman, but what it really means is that you've overpaid the IRS all year. How to tailor your taxes for 2020.","After numerous Italian communities have tried to revive their dwindling populations by selling off dilapidated homes for little more than a dollar, one town has come up with a new approach.",1.0,130.0,32.0,6.0,6.0,3.0,16.0,4.0625,0.0,16.666666666666664,0.0,6.25,3.125,28.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,28.0,0.0,0.0,2.0,-29.0,1.0,-1.0,-1.0,1.0,-15.0,-1.07,0.0,16.67,0.0,3.02,-3.33,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,-3.18,0.44,1.61,-1.84,0.76,-3.13,-0.23,-0.04,-3.35,0.0,0.02,2.62,-0.14,-0.19,-0.07,0.03,-0.05,-0.09,0.47,-0.02,0.0,-0.14,-0.04,-0.11,0.47
5,"CNBC Select reviews if you can pay taxes with a credit card. While there may be benefits like rewards, there are also drawbacks of using a credit card to pay your tax bill.","Nevada será la primera prueba real de si el senador de Vermont Bernie Sanders ha podido expandir su atractivo entre los latinos, donde su campaña ha estado trabajando desde hace más ocho meses con capacitaciones y anuncios en español.",1.0,140.0,33.0,8.0,12.0,3.0,16.5,4.242424242424242,0.0,25.0,0.0,6.0606060606060606,3.0303030303030303,25.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,25.0,0.0,0.0,2.0,-56.0,-6.0,5.0,-9.0,1.0,-22.5,-0.78,0.0,25.0,0.0,6.06,3.03,-8.0,-10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-8.0,0.0,0.0,2.0,-8.15,0.2,1.81,-1.74,0.76,-3.99,-0.34,-0.04,-1.07,0.0,0.71,2.24,-0.7,-0.19,-0.07,0.0,-0.15,-0.09,0.57,-0.02,0.0,-0.7,-0.04,-0.11,0.57
6,"Having a new baby can not only change your sleep patterns, it can also change how you file your taxes. Thankfully, the IRS has quite a few breaks for parents that could help put extra money back in your pocket. Here's a look at how parents could cut their bil…","President Donald Trump will huddle with aides Monday to weigh options for possible economic stimulus meant to blunt the economic fallout of coronavirus, White House officials said, as stocks plunged and concerns continued to grow over the administration's han…",1.0,211.0,50.0,13.0,12.0,3.0,16.666666666666668,4.22,0.0,0.0,0.0,0.0,2.0,34.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,34.0,0.0,0.0,6.0,-11.0,11.0,5.0,-5.0,2.0,-22.33,-1.47,0.0,0.0,0.0,0.0,-5.69,2.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,6.0,-1.55,2.47,2.67,-1.67,0.76,-4.57,-0.42,-0.04,-3.02,0.0,0.34,1.82,0.18,-0.19,-0.07,0.12,-0.22,-0.09,1.22,-0.02,0.0,0.18,-0.04,-0.11,1.22
7,"Deployment can be very challenging, especially for military families. However, it can also present a great opportunity for service members to get ahead on some of their financial goals, says certified financial planner and ReisUp founder Tara Falcone.",President Donald Trump is lashing out after former President Barack Obama marked the 11th anniversary on Monday of signing a nearly $800 billion stimulus package designed to reverse the effects of the Great Recession.,1.0,214.0,38.0,7.0,11.0,3.0,19.0,5.631578947368421,0.0,14.285714285714285,0.0,2.631578947368421,2.631578947368421,32.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,32.0,0.0,0.0,2.0,30.0,4.0,1.0,-1.0,1.0,-15.0,0.22,0.0,-2.38,0.0,2.63,2.63,5.0,0.0,0.0,1.0,-3.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,3.77,2.66,2.56,-1.74,0.76,-4.72,-0.3,-0.04,-2.69,0.0,0.39,1.58,0.59,-0.19,-0.07,0.21,-0.27,-0.09,1.2,-0.02,0.0,0.59,-0.04,-0.11,1.2
8,"Tax treatment varies among types of retirement accounts, which means the investments you hold in each of them should ideally capitalize on those differences, experts say.","As Democrats push forward in the fight for the party's presidential nomination, one issue is at the top of voters' minds: Health care.",1.0,145.0,26.0,5.0,9.0,2.0,26.0,5.576923076923077,0.0,0.0,0.0,3.8461538461538463,0.0,24.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,24.0,0.0,0.0,2.0,33.0,3.0,3.0,-1.0,0.0,3.0,0.71,0.0,-50.0,0.0,-0.5,-4.35,4.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.24,1.48,2.26,-2.02,0.65,-4.06,-0.22,-0.04,-4.02,0.0,0.56,1.1,0.02,-0.19,-0.07,0.17,-0.31,-0.09,1.19,-0.02,0.0,0.02,-0.04,-0.11,1.19
9,"If you've gone delinquent on your federal student loans or you've failed to pay child support, Uncle Sam will help other government agencies collect what you owe.","President Donald Trump has repeatedly promised middle class Americans fresh tax cuts if he wins a second four-year term in office in November, a pledge that might clash with his efforts to reduce yawning federal deficits.",1.0,136.0,27.0,9.0,8.0,2.0,27.0,5.037037037037037,0.0,0.0,0.0,3.7037037037037033,7.4074074074074066,25.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,25.0,0.0,0.0,2.0,-50.0,-9.0,2.0,-5.0,0.0,-9.0,-0.13,0.0,0.0,0.0,-4.63,4.63,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,-3.48,0.64,2.41,-2.34,0.56,-3.43,-0.2,-0.04,-5.09,0.0,0.68,1.46,-0.34,-0.19,-0.07,0.13,-0.35,-0.09,1.17,-0.02,0.0,-0.34,-0.04,-0.11,1.17
