,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"A Q&A with the Department of Energy's Under Secretary for Science, Paul Dabbar.",Some 911 systems across the country were designed before the use of cell phones and the outdated technology makes some centers unable to accurately pinpoint a caller's location. CNN's Ryan Young explains.,1.0,67.0,13.0,1.0,8.0,2.0,13.0,5.153846153846154,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,-106.0,-19.0,-4.0,-4.0,-1.0,-3.0,-0.25,0.0,-20.0,0.0,-3.12,-3.12,-16.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,-100.93,-19.98,-4.51,-4.04,-0.35,-10.3,0.04,-0.03,-17.26,0.0,-2.71,-2.21,-14.96,-0.11,-0.07,-0.23,-0.68,-0.06,-0.69,-0.01,-0.01,-14.96,0.0,-0.1,-0.69
1,"The Vatican is set to open the secret archives of Pope Pius XII, the World War II-era pope whose record during the Holocaust has come under intense scrutiny.","China has spent decades nurturing its tech sector. Now, faced with a massive public health crisis, Beijing is pushing its tech companies to join the fight against the novel coronavirus.",1.0,130.0,28.0,5.0,12.0,2.0,28.0,4.642857142857143,0.0,20.0,0.0,0.0,3.571428571428571,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,-26.0,-2.0,-2.0,1.0,-1.0,13.0,-0.56,0.0,5.71,0.0,-3.33,0.24,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0,-2.0,-69.43,-12.48,-2.51,-2.04,-0.35,-2.8,-0.22,-0.03,-7.26,0.0,-2.71,-0.43,-8.96,-0.11,-0.07,-0.23,-0.68,-0.06,-0.69,-0.01,-0.01,-8.96,0.0,-0.1,-0.69
2,California-based technology reporter Kari Paul and her partner were left stranded in the woods when their rental app-powered smart car lost connection to their cellphones and shut down.,"Former Secretary of State Hillary Clinton can be deposed for a lawsuit about the State Department's recordkeeping of her emails, a federal judge said Monday.",1.0,158.0,28.0,5.0,10.0,2.0,28.0,5.642857142857143,0.0,20.0,0.0,3.571428571428571,3.571428571428571,24.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,24.0,0.0,0.0,4.0,25.0,3.0,1.0,-2.0,0.0,3.0,0.32,0.0,-5.0,0.0,3.57,3.57,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,-49.6,-9.98,-1.84,-2.04,-0.35,-0.3,0.03,-0.03,-3.93,0.0,-1.52,0.17,-7.29,-0.11,-0.07,-0.23,-0.68,-0.06,0.64,-0.01,-0.01,-7.29,0.0,-0.1,0.64
3,"The RCMP has for the first time acknowledged using controversial facial recognition technology that has raised privacy concerns, saying it was used in the Mounties' efforts to crack down on online child sexual abuse.","Actor Robert Conrad, known for the television show ""The Wild, Wild West,"" died Saturday at the age of 84, according to his family spokesperson Jeff Ballard.",1.0,183.0,34.0,9.0,10.0,2.0,34.0,5.382352941176471,0.0,11.11111111111111,0.0,0.0,11.76470588235294,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0,1.0,52.0,8.0,6.0,-4.0,0.0,8.0,0.34,0.0,11.11,0.0,0.0,7.92,6.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,-33.43,-7.23,-0.51,-2.04,-0.35,2.45,0.09,-0.03,-4.48,0.0,-1.82,2.52,-4.96,-0.11,-0.07,-0.23,-0.68,-0.06,0.56,-0.01,-0.01,-4.96,0.0,-0.1,0.56
4,"The federal privacy commissioner is opening an investigation into how the RCMP uses facial recognition technology, a day after the national police force admitted using the controversial technology from Clearview AI.","Although physicians still have no vaccine or cure for the novel coronavirus, health officials and pharmaceutical companies around the world are working hard to develop them.",1.0,185.0,31.0,5.0,12.0,2.0,31.0,5.967741935483871,0.0,20.0,0.0,0.0,3.225806451612903,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,37.0,5.0,1.0,4.0,0.0,5.0,0.28,0.0,-5.0,0.0,-3.85,-0.62,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-23.33,-6.18,-0.51,-1.64,-0.35,3.5,0.24,-0.03,-3.04,0.0,-2.0,2.22,-3.96,-0.11,-0.07,-0.23,-0.68,-0.06,0.31,-0.01,-0.01,-3.96,0.0,-0.1,0.31
5,"Officials in Austin, Texas, have cancelled the South by Southwest arts and technology festival.","First lady Melania Trump received a Palm Beach society award on Wednesday at a luncheon held at The Breakers, a local luxury resort.",1.0,82.0,14.0,2.0,8.0,2.0,14.0,5.857142857142857,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,-28.0,-9.0,0.0,-5.0,0.0,-9.0,1.07,0.0,0.0,0.0,-8.7,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,-33.76,-8.31,-1.01,-2.04,-0.35,1.36,0.33,-0.03,-5.41,0.0,-2.12,1.48,-5.63,-0.11,-0.07,-0.23,-0.68,-0.06,0.14,-0.01,-0.01,-5.63,0.0,-0.1,0.14
6,"Advances in missile technology by both the Russians and the Chinese have the potential to paralyze leaders and decision-makers in a crisis, Canada's top military commander warned in a speech Wednesday.","They knew Marley was the perfect dog. So when it came time to say goodbye to their beloved Labrador, Alicia and David Tschirhart did what they had to do to keep a part of Marley alive -- they cloned him.",1.0,171.0,31.0,3.0,12.0,2.0,31.0,5.516129032258065,0.0,0.0,0.0,3.225806451612903,6.451612903225806,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,7.0,-9.0,-8.0,2.0,-1.0,11.0,1.42,0.0,-9.09,0.0,-1.77,6.45,-11.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,-11.0,0.0,0.0,-3.0,-28.5,-7.41,-1.22,-1.75,-0.35,2.27,0.34,-0.03,-7.1,0.0,-1.74,1.87,-5.82,-0.11,-0.07,-0.23,-0.68,-0.06,0.02,-0.01,-0.01,-5.82,0.0,-0.1,0.02
7,"Bob McDonald's science blog: New finds of the remains of Homo erectus and their stone tools reveals a culture that developed new ideas, but didn't abandon old ones","There is something curiously and unexpectedly satisfying about Alastair Philip Wiper's images of factories, laboratories and industrial facilities.",1.0,136.0,28.0,5.0,13.0,1.0,28.0,4.857142857142857,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,1.0,6.0,10.0,3.0,5.0,-1.0,10.0,-2.37,0.0,-50.0,0.0,-5.56,-5.56,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,1.0,-28.93,-7.11,-1.14,-1.42,-0.47,2.57,0.26,-0.03,-8.37,0.0,-1.86,1.36,-5.33,-0.11,-0.07,-0.23,-0.68,-0.06,0.06,-0.01,-0.01,-5.33,0.0,-0.1,0.06
8,"As scientists race to develop a vaccine to combat the coronavirus epidemic, many Canadian adults aren't getting taking advantage of vaccinations that are already available to protect them against other serious illnesses, public health experts say.","Acting Director of National Intelligence Richard Grenell has written to his workforce promising to adopt a ""non-partisan approach"" in an apparent attempt to allay fears he'd been installed to do the bidding of President Donald Trump, who has long been at odds…",1.0,212.0,36.0,8.0,10.0,2.0,36.0,5.888888888888889,0.0,12.5,0.0,8.333333333333332,2.7777777777777777,33.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,33.0,0.0,0.0,1.0,-7.0,-6.0,-3.0,-5.0,1.0,-6.0,0.67,0.0,-5.68,0.0,5.95,0.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-20.82,-5.98,-0.73,-1.48,-0.46,3.7,0.32,-0.03,-7.97,0.0,-1.03,1.27,-4.18,-0.11,-0.07,-0.12,-0.68,-0.06,0.09,-0.01,-0.01,-4.18,0.0,-0.1,0.09
9,Former U.S. vice-president Joe Biden has won South Carolina's Democratic primary.,"Please, Mr. President, re-think this one. Richard Grenell, as close a friend and ally as he might be, is very much the wrong man at the wrong time as acting Director of National Intelligence. He is a catastrophe-in-waiting who will be in a position he is tota…",1.0,71.0,11.0,2.0,7.0,4.0,4.0,6.454545454545454,0.0,0.0,0.0,9.090909090909092,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,-143.0,-36.0,-6.0,-7.0,0.0,-7.75,1.9,0.0,-50.0,0.0,9.09,-4.26,-21.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.0,0.0,-21.0,0.0,0.0,-2.0,-28.43,-7.58,-1.01,-1.84,-0.25,1.4,0.42,-0.03,-8.9,0.0,-0.29,0.92,-5.46,-0.11,-0.07,-0.13,-0.68,-0.06,0.01,-0.01,-0.01,-5.46,0.0,-0.1,0.01
10,"A growing number of Canadians want to repair household items instead of tossing them into the trash. The strategy not only saves consumers money, but addresses the issue of waste in our society.","As airlines upgrade their fleets with more environmentally compliant planes, the need for efficent aircraft disposal methods is more pressing than ever. We take a look at one company that's stepped in to fill the void.",1.0,162.0,33.0,6.0,10.0,3.0,16.5,4.909090909090909,0.0,0.0,0.0,0.0,9.090909090909092,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,1.0,1.0,-21.0,-3.0,-1.0,-1.0,0.0,-1.5,-0.17,0.0,-14.29,0.0,-2.78,9.09,-4.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-4.0,0.0,1.0,0.0,-26.38,-6.89,-0.87,-1.86,-0.17,0.65,0.36,-0.03,-9.66,0.0,-0.51,1.47,-4.96,-0.11,-0.07,-0.14,-0.68,-0.06,0.04,-0.01,-0.01,-4.96,0.0,-0.01,0.04
11,Canada’s spy agency is now warning Canadians travelling abroad for work that they could be targeted by foreign intelligence services.,"Another long weekend, another set of sales to shop — and these deals are worthy of the highest office in the land. Presidents Day weekend means dozens of discounts on everything you've been waiting to buy, from mattresses and kitchen appliances to fashion, fu…",1.0,114.0,20.0,7.0,7.0,2.0,20.0,5.7,0.0,28.57142857142857,0.0,10.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,-103.0,-24.0,-1.0,-10.0,0.0,-2.0,0.77,0.0,3.57,0.0,7.73,5.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,0.0,0.0,0.0,-28.68,-7.4,-0.68,-2.12,-0.18,0.32,0.38,-0.03,-7.91,0.0,0.14,1.58,-5.21,-0.11,-0.07,-0.15,-0.68,-0.06,-0.02,-0.01,-0.01,-5.21,0.0,-0.02,-0.02
12,"From films to festivals, the entertainment world is seeing a growing list of event cancellations due to the spread of COVID-19 — and it's also affecting the spread of Canadian content.","In Kruger National Park, a triad of organizations have developed a world leading anti-poaching technology called the Postcode Meerkat.",1.0,154.0,31.0,5.0,12.0,2.0,31.0,4.967741935483871,0.0,20.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,38.0,12.0,1.0,3.0,0.0,12.0,-1.14,0.0,20.0,0.0,-5.26,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,-27.55,-6.98,-0.66,-1.96,-0.2,0.89,0.34,-0.03,-7.09,0.0,-0.08,1.28,-5.34,-0.11,-0.07,-0.15,-0.68,-0.06,-0.07,-0.01,-0.01,-5.34,0.0,-0.02,-0.07
13,"Hundreds of U.S. law enforcement agencies have partnered with Amazon's Ring doorbell camera company, despite persistent questions about privacy and data management. Windsor, Ont.'s mayor wants his city to join, too.","The Fashion Institute of Technology has apologized and placed two academic officials on leave, after its graduate fashion show used accessories that many — including a model scheduled to walk in the show — called racist.",1.0,185.0,31.0,4.0,18.0,6.0,6.6,5.967741935483871,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,0.0,-5.0,-5.0,5.0,4.0,-29.4,0.83,0.0,0.0,0.0,0.0,-2.78,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-24.36,-6.62,-0.72,-1.4,0.08,-0.37,0.38,-0.03,-7.82,0.0,-0.27,1.04,-4.75,-0.11,-0.07,-0.16,-0.68,-0.06,-0.05,-0.01,-0.01,-4.75,0.0,-0.03,-0.05
14,"Prime Minister Justin Trudeau's government is asking Parliament to spend an additional $2.1 billion on Indigenous programs and initiatives, above and beyond what MPs already have approved.","Virgin Galactic, the ambitious space tourism startup founded by British entrepreneur Richard Branson, posted a net loss of $73 million for the fourth quarter.",1.0,162.0,27.0,5.0,9.0,3.0,14.0,6.0,0.0,20.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,27.0,3.0,3.0,-1.0,1.0,-10.0,0.38,0.0,20.0,0.0,-4.17,-4.17,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-23.13,-6.58,-0.71,-1.51,0.12,-0.96,0.41,-0.03,-7.12,0.0,-0.43,0.82,-4.63,-0.11,-0.07,-0.16,-0.55,-0.06,-0.09,-0.01,-0.01,-4.63,0.0,-0.03,-0.09
15,"As the Conservative Party rebuilds and seeks a new leader, Preston Manning urges fellow conservatives not to seek out a single saviour but to develop a competent team with a range of skills. And to be careful with social media.",The organizers of last month's cross-country skiing world cup in Nove Mesto na Morave had just enough snow to cover roughly 4 kilometers (2.5 miles) of ski tracks.,1.0,188.0,40.0,6.0,13.0,3.0,20.0,4.7,0.0,16.666666666666664,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,52.0,12.0,4.0,1.0,0.0,5.5,-0.16,0.0,16.67,0.0,-3.57,0.0,5.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,-20.43,-5.73,-0.64,-1.35,0.15,-1.11,0.36,-0.03,-6.71,0.0,-0.57,0.63,-4.15,-0.11,-0.07,-0.17,-0.56,-0.06,-0.13,-0.01,-0.01,-4.15,0.0,-0.04,-0.13
16,"The global shortage of skills needed to design and build alternative-energy vehicles is a huge economic opportunity for Canada, writes Randy Zadra.","Samsung will open preorders for its Galaxy S20 lineup on Feb. 21. The trio of phones are similar, yet unique with their own features.",1.0,126.0,22.0,5.0,7.0,2.0,22.0,5.7272727272727275,0.0,20.0,0.0,0.0,4.545454545454546,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,16.0,-2.0,2.0,-2.0,-2.0,14.0,1.14,0.0,-13.33,0.0,0.0,4.55,-2.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.0,0.0,-2.0,0.0,0.0,-2.0,-21.69,-6.04,-0.63,-1.57,0.12,-1.12,0.38,-0.03,-6.15,0.0,-0.7,0.73,-4.25,-0.11,-0.07,-0.17,-0.56,-0.06,-0.16,-0.01,-0.01,-4.25,0.0,-0.04,-0.16
17,"Central bankers are waking up to dramatically overhauled expectations about interest rates, as the coronavirus that started in China and is now creeping around the world rewrites their plans as quickly as the virus spreads.","In offices across Asia, desks are empty, as the region grapples with the deadly coronavirus. Instead, millions are participating in what may be the world's biggest work-from-home experiment.",1.0,189.0,35.0,6.0,10.0,2.0,35.0,5.4,0.0,33.33333333333333,0.0,0.0,5.714285714285714,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,0.0,0.0,1.0,26.0,7.0,0.0,2.0,-1.0,21.0,-0.42,0.0,-16.67,0.0,0.0,2.14,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,-19.32,-5.59,-0.57,-1.6,0.09,-0.41,0.37,-0.03,-4.92,0.0,-0.81,0.88,-3.96,-0.11,-0.07,-0.17,-0.57,-0.06,-0.13,-0.01,-0.01,-3.96,0.0,-0.04,-0.13
18,"China has complained that Russia's measures to combat the coronavirus are discriminatory, but many Russians seem pleased that their country remains virtually virus-free so far, Chris Brown writes.",Microsoft teamed up with a small Wisconsin town to test its cutting edge election security system called ElectionGuard. The tech giant says it can thwart hackers and help win back voters' trust in elections. Here's how.,1.0,169.0,28.0,8.0,8.0,2.0,28.0,6.035714285714286,0.0,12.5,0.0,3.571428571428571,7.142857142857142,26.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,1.0,-15.0,-8.0,0.0,-7.0,-2.0,16.0,0.92,0.0,12.5,0.0,-1.98,4.37,-10.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,-10.0,0.0,0.0,-1.0,-18.25,-5.56,-0.4,-1.72,0.07,-0.14,0.4,-0.03,-4.91,0.0,-0.72,1.1,-3.85,-0.11,-0.02,-0.12,-0.57,-0.06,-0.11,-0.01,-0.01,-3.85,0.0,-0.05,-0.11
19,"China has complained that Russia's measures to combat the coronavirus are discriminatory, but many Russians seem pleased that their country remains virtually virus-free so far, Chris Brown writes.","[OPINIÓN] Pedro Brieger se pregunta qué podría ocurrir en Bolivia ""si se comprobara de manera fehaciente que no hubo fraude"" durante las elecciones del 20 de octubre de 2019, como lo han registrado varias publicaciones e investigaciones. ""¿No debería renuncia…",1.0,169.0,28.0,8.0,8.0,2.0,28.0,6.035714285714286,0.0,12.5,0.0,3.571428571428571,7.142857142857142,26.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,1.0,-52.0,-12.0,6.0,-17.0,0.0,8.0,0.51,0.0,12.5,0.0,3.57,7.14,-9.0,-5.0,1.0,1.0,-2.0,0.0,1.0,0.0,0.0,-9.0,0.0,0.0,1.0,-17.28,-5.53,-0.26,-1.84,0.05,0.1,0.43,-0.03,-4.9,0.0,-0.64,1.29,-3.76,-0.11,0.03,-0.08,-0.58,-0.06,-0.09,-0.01,-0.01,-3.76,0.0,-0.05,-0.09
20,"A contentious motion Justin Trudeau has characterized as a ""near miss"" will come to a vote at the Commons trade committee today, immediately after Deputy Prime Minister Chrystia Freeland makes her case for swift passage of the implementation bill for the revi…","Si crees que comprar en línea es más ecológico que conducir a una tienda, piénsalo de nuevo.",1.0,219.0,42.0,5.0,19.0,1.0,42.0,5.214285714285714,0.0,0.0,0.0,2.380952380952381,4.761904761904762,35.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,35.0,0.0,0.0,2.0,143.0,25.0,3.0,12.0,-1.0,25.0,0.74,0.0,0.0,0.0,2.38,4.76,20.0,-5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,20.0,0.0,0.0,2.0,-14.03,-4.84,-0.27,-1.42,-0.02,0.99,0.41,-0.03,-5.49,0.0,-0.63,1.35,-3.25,-0.11,0.03,-0.09,-0.58,-0.06,-0.02,-0.01,-0.01,-3.25,0.0,-0.05,-0.02
21,The Teck Frontier project didn't deserve to be framed as a do-or-die test of political attitudes towards the energy sector and climate change. The fact that it was shows just how little progress we've made in this country in reconciling economic and environme…,"¿Puede Bernie Sanders vencer a Donald Trump? La Tierra tiene una nueva miniluna, pero solo temporalmente. Uno de cada 10 votantes elegibles en EE.UU. en 2020 es inmigrante. Esto es lo que debes saber para comenzar el día. Primero la verdad.",1.0,218.0,43.0,8.0,12.0,2.0,21.5,5.069767441860465,0.0,25.0,0.0,2.3255813953488373,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,37.0,0.0,0.0,1.0,18.0,2.0,6.0,-18.0,-5.0,15.5,0.19,-1.0,25.0,0.0,2.33,0.0,0.0,-1.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-11.11,-4.16,-0.15,-1.36,-0.03,0.86,0.39,-0.03,-4.89,0.0,-0.62,1.19,-2.69,-0.11,0.02,-0.09,-0.59,-0.06,-0.01,-0.01,-0.01,-2.69,0.0,-0.05,-0.01
