,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Almost half of the world's sandy beaches could be gone by 2100 if climate change continues as is, according to a new study published on Monday.",CNN's Alison Kosik speaks to Jake Tapper about the significant drop in stocks due to coronavirus fears and the impacts it has had on the global economy.,1.0,118.0,26.0,7.0,6.0,2.0,26.0,4.538461538461538,0.0,14.285714285714285,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,-8.0,-1.0,2.0,-3.0,0.0,-1.0,-0.13,0.0,14.29,0.0,-3.7,-3.7,4.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,4.0,0.0,0.0,-1.0,-42.45,-5.49,2.0,-4.82,-0.31,1.95,-0.59,-0.04,-1.88,0.0,-2.66,-3.03,-0.37,-0.02,-0.06,-0.25,0.04,-0.08,-0.39,0.0,0.0,-0.37,0.0,-0.2,-0.39
1,"Finance Minister Bill Morneau and his G7 counterparts wrapped up a conference call Tuesday vowing to use every fiscal tool necessary to limit the economic harm of COVID-19, the respiratory illness caused by the novel coronavirus that is spreading around the g…","Countries around the world have been eager to cash in on the rising spending power of Chinese travelers. Shops advertise Mandarin speaking salespeople, the United States and Japan offer 10-year visas, and hotels and duty-free retailers accept China's Alipay a…",1.0,219.0,42.0,7.0,16.0,1.0,42.0,5.214285714285714,0.0,14.285714285714285,0.0,0.0,7.142857142857142,36.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,0.0,0.0,1.0,-2.0,2.0,2.0,-4.0,-1.0,22.0,-0.31,0.0,-5.71,0.0,-2.5,7.14,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,8.05,2.51,2.0,0.18,-0.81,9.95,-0.25,-0.04,-1.88,0.0,-2.66,0.54,4.63,-0.02,0.44,-0.25,-0.46,-0.08,0.11,0.0,0.0,4.63,0.0,-0.2,0.11
2,"On Friday morning, more than 200 Canadian and permanent residents received their official authorization to leave their two-week coronavirus quarantine at an army base in Ontario. They talk about the challenges of the experience and what they plan to do with t…","A Mexican national has been arrested and charged with acting as a Russian agent within the United States, the Justice Department said Tuesday.",1.0,219.0,42.0,5.0,12.0,2.0,21.0,5.214285714285714,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,34.0,0.0,0.0,3.0,99.0,19.0,-1.0,6.0,0.0,-2.0,-0.0,0.0,-16.67,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,13.0,0.0,0.0,3.0,24.88,5.18,1.33,0.51,-0.65,5.62,-0.14,-0.04,-6.64,0.0,-2.66,-0.65,5.63,-0.02,0.27,-0.25,-0.29,-0.08,0.94,0.0,0.0,5.63,0.0,-0.2,0.94
3,Ontario's beleaguered Liberals will choose a new leader today as the party looks to rebound from a devastating election and rebuild ahead of the next one in 2022.,"On October 1, 2020, travelers will need a ""REAL ID-compliant"" driver's license, US passport, US military ID or other accepted identification to fly within the United States.",1.0,135.0,28.0,4.0,7.0,2.0,28.0,4.821428571428571,0.0,0.0,0.0,0.0,3.571428571428571,24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,-12.0,1.0,1.0,-4.0,0.0,1.0,-0.62,0.0,0.0,0.0,0.0,3.57,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,12.3,3.01,0.75,-0.57,-0.56,5.2,-0.18,-0.04,-9.03,0.0,-2.66,-0.35,3.63,-0.02,0.19,-0.25,-0.21,-0.08,0.61,0.0,0.0,3.63,0.0,-0.2,0.61
4,Travel and tourism operators around the world are bracing for more difficult times ahead as the coronavirus outbreak chokes off demand from China and leads to cancellations from other international travellers.,"A research base at the tip of Antarctica recorded the highest temperature on record for the continent. With an influx of tourists, CNN's Robyn Curnow look at what climate activists are saying is the long-term forecast for this remote land.",1.0,179.0,31.0,3.0,12.0,2.0,31.0,5.774193548387097,0.0,33.33333333333333,0.0,3.225806451612903,6.451612903225806,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,-21.0,-9.0,-2.0,-4.0,-1.0,11.0,0.77,0.0,-6.67,0.0,3.23,6.45,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,13.55,2.31,0.2,-0.22,-0.51,5.55,-0.01,-0.04,-3.79,0.0,-2.01,0.4,2.63,-0.02,0.14,-0.25,-0.36,-0.08,0.41,0.0,0.0,2.63,0.0,-0.2,0.41
5,"Stock markets fell for the second day in a row on Tuesday, wiping out gains since the start of the year, as fear over the coronavirus is spreading even faster than the virus itself.","Virgin Galactic, the ambitious space tourism startup founded by British entrepreneur Richard Branson, posted a net loss of $73 million for the fourth quarter.",1.0,148.0,34.0,4.0,11.0,2.0,34.0,4.352941176470588,0.0,25.0,0.0,5.88235294117647,8.823529411764707,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,13.0,10.0,2.0,1.0,0.0,10.0,-1.27,0.0,25.0,0.0,1.72,4.66,7.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,9.22,2.34,0.0,-0.16,-0.48,6.28,-0.14,-0.04,-1.68,0.0,-1.14,1.3,2.63,-0.02,0.11,-0.25,-0.46,-0.08,0.27,0.0,0.0,2.63,0.0,-0.2,0.27
6,"Amid fears about where the next outbreak of a fast-spreading new virus would appear, infections and deaths continued to rise across the globe Sunday, emptying streets of tourists and workers, shaking economies and rewriting the realities of daily life.","Stadiums, museums and other popular destinations throughout Italy remain deserted as coronavirus fears continue to paralyze tourism in the country. CNN's Melissa Bell has the latest.",1.0,214.0,39.0,7.0,14.0,2.0,39.0,5.487179487179487,0.0,0.0,0.0,0.0,10.256410256410255,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,57.0,13.0,3.0,3.0,-1.0,26.0,-0.55,0.0,0.0,0.0,-3.85,6.41,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,15.55,3.08,0.29,0.32,-0.46,7.52,-0.07,-0.04,-3.75,0.0,-1.36,2.15,2.77,-0.02,0.08,-0.25,-0.53,-0.08,0.18,0.0,0.0,2.77,0.0,-0.2,0.18
7,A self-employed Vancouver mother says she can't afford to miss work even if she might have symptoms of COVID-19 because she doesn't have paid sick leave.,"Prince Harry has asked attendees at a tourism conference to call him simply ""Harry,"" as he begins his final round of public engagements before beginning a new chapter away from the British royal family.",1.0,128.0,26.0,9.0,6.0,2.0,26.0,4.923076923076923,0.0,0.0,0.0,7.6923076923076925,11.538461538461538,21.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,21.0,0.0,0.0,3.0,-41.0,-8.0,4.0,-5.0,0.0,-8.0,-0.05,0.0,0.0,0.0,7.69,11.54,-11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.0,0.0,0.0,0.0,9.55,2.01,0.75,-0.32,-0.44,6.82,-0.09,-0.04,-5.3,0.0,-0.56,2.94,1.75,-0.02,0.19,-0.25,-0.59,-0.08,0.48,0.0,0.0,1.75,0.0,-0.2,0.48
8,Quebec's La Presse and Britain's Independent have proved that the most important thing about a paper is not paper. Could printless broadsheets may be the next media trend?,"We live to travel. It's our passion, our hobby, our vocation and our job. So the increasing restrictions on movement that are being put in place to combat the spread of the coronavirus hits us right in our hearts.",1.0,144.0,28.0,5.0,12.0,2.0,14.0,5.142857142857143,1.0,40.0,0.0,3.571428571428571,0.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,-31.0,-11.0,-4.0,2.0,-2.0,1.0,0.66,1.0,28.89,0.0,-1.56,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-6.0,0.0,6.66,1.4,0.67,-0.16,-0.42,4.95,-0.08,0.07,-2.07,0.0,-0.39,2.28,1.52,-0.02,0.16,-0.14,-0.63,-0.08,0.39,0.0,0.0,1.52,0.0,-0.2,0.39
9,"Life in Milan is as a standstill under tight restrictions to deal with Italy's coronavirus outbreak, which looms just outside the city's borders. But residents talk more about their concerns for the economy than their health.",Visitors to the famously liberal Dutch capital could be restricted from accessing coffee shops after a survey reveals many young visitors only come to Amsterdam to experience its drug culture.,1.0,190.0,36.0,4.0,12.0,3.0,18.0,5.277777777777778,0.0,25.0,0.0,0.0,8.333333333333332,32.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32.0,0.0,0.0,2.0,27.0,6.0,-3.0,2.0,1.0,-12.0,-0.16,0.0,10.71,0.0,-3.33,5.0,5.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,8.95,1.71,0.5,-0.02,-0.31,3.85,-0.05,0.06,-0.98,0.0,-0.62,2.58,1.93,-0.02,0.14,-0.15,-0.66,-0.08,0.51,0.0,0.0,1.93,0.0,-0.2,0.51
