,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"China's president visits health centre as coronavirus death toll rises CBC.ca Coronavirus: Senior Chinese officials 'removed' as death toll hits 1,000 BBC News Coronavirus outbreak: City of Wuhan recorded by American teacher | USA TODAY USA TODAY The coronavi…","Fareed gives his take on the folly of Trump's fixation on trade deficits, which have actually risen during his term amid a booming economy.",1.0,222.0,39.0,5.0,25.0,2.0,20.0,5.6923076923076925,0.0,0.0,0.0,0.0,12.82051282051282,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,106.0,15.0,2.0,16.0,0.0,-4.0,0.86,0.0,0.0,0.0,-4.17,12.82,9.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,9.0,0.0,0.0,-2.0,58.86,7.48,0.11,13.06,-0.32,-4.25,0.48,-0.02,-15.33,0.0,-2.15,9.51,2.72,-0.01,-0.05,-0.08,0.32,-0.03,-0.58,-0.03,0.0,2.72,-0.01,-0.03,-0.58
1,An extremely rare 1885 Trade Dollar is expected to sell for up to $2 million when it is auctioned next month.,White House trade adviser Peter Navarro debates the economy and job growth numbers between the Obama and Trump administrations with CNN's Poppy Harlow.,1.0,89.0,21.0,5.0,3.0,2.0,21.0,4.238095238095238,0.0,40.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,1.0,-40.0,-2.0,4.0,-13.0,0.0,-2.0,-1.37,0.0,40.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,1.0,-7.64,-1.52,0.11,2.06,-0.32,-3.75,-0.24,-0.02,4.67,0.0,-2.15,3.1,-3.28,-0.01,-0.05,-0.08,1.32,-0.03,-0.08,-0.03,0.0,-3.28,-0.01,-0.03,-0.08
2,"A contentious motion Justin Trudeau has characterized as a ""near miss"" will come to a vote at the Commons trade committee today, immediately after Deputy Prime Minister Chrystia Freeland makes her case for swift passage of the implementation bill for the revi…","President Donald Trump's top trade adviser, Peter Navarro, has been leading the charge inside the West Wing that Victoria Coates is the author of the book ""Anonymous,"" according to three people familiar with the situation.",1.0,219.0,42.0,5.0,19.0,1.0,42.0,5.214285714285714,0.0,0.0,0.0,2.380952380952381,4.761904761904762,35.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,35.0,0.0,0.0,2.0,31.0,7.0,0.0,3.0,-1.0,7.0,-0.16,0.0,-40.0,0.0,-3.33,4.76,5.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,13.52,2.48,0.11,3.73,-0.65,3.41,-0.16,-0.02,-1.99,0.0,-1.36,2.55,0.72,-0.01,-0.05,-0.08,0.65,-0.03,0.42,-0.03,0.0,0.72,-0.01,-0.03,0.42
3,"The federal government's much-anticipated economic impact study of the revised North American trade agreement does not forecast a significant economic boost when the deal takes effect, but officials from Global Affairs Canada told the Commons trade committee …","President Donald Trump's speech at the Conservative Political Action Conference Saturday was short and sweet compared to his more than two-hour long address last year, which remains the longest speech of his presidency.",1.0,223.0,38.0,4.0,18.0,1.0,38.0,5.868421052631579,0.0,0.0,0.0,5.263157894736842,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,36.0,5.0,1.0,6.0,-1.0,5.0,0.2,0.0,-33.33,0.0,2.23,0.0,4.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,4.0,0.0,0.0,-2.0,25.11,3.48,-0.14,4.31,-0.82,6.0,0.04,-0.02,-5.33,0.0,-0.24,1.08,1.72,-0.01,-0.05,-0.08,0.32,-0.03,0.17,-0.03,0.0,1.72,-0.01,-0.03,0.17
4,Prime Minister Justin Trudeau today visited one of the most notorious entrepôts of the African transatlantic slave trade.,"The US travel industry, which has been badly hit by a plunge in sales caused by the coronavirus, could be getting some help from the federal government.",1.0,104.0,18.0,1.0,10.0,2.0,18.0,5.777777777777778,0.0,0.0,0.0,0.0,11.11111111111111,14.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,-22.0,-9.0,-6.0,2.0,0.0,-9.0,1.11,0.0,-28.57,0.0,0.0,7.41,-9.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,8.26,0.08,-0.89,3.06,-0.72,3.55,0.15,-0.02,-7.33,0.0,-0.62,2.43,-1.08,-0.01,-0.05,0.12,0.32,-0.03,0.02,-0.03,0.0,-1.08,-0.01,-0.03,0.02
5,The U.S. department of justice hit telecommunications giant Huawei with new charges Thursday of stealing trade secrets and breaking sanctions by doing business with North Korea.,"Valentine's Day represents different things to different people: Love, consumerism, chocolate for breakfast.",1.0,152.0,26.0,4.0,13.0,4.0,9.0,5.846153846153846,0.0,0.0,0.0,0.0,7.6923076923076925,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,56.0,13.0,3.0,5.0,2.0,-4.0,-1.54,0.0,0.0,0.0,0.0,7.69,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,5.02,-0.85,-0.89,2.73,-0.32,0.41,0.23,-0.02,-8.66,0.0,-0.88,2.75,-1.61,-0.01,-0.05,0.09,0.15,-0.03,-0.08,-0.03,0.0,-1.61,-0.01,-0.03,-0.08
6,"North American manufacturers and retailers haven't yet experienced widespread disruptions from the coronavirus outbreak. But contingency plans are in effect for industries that use Chinese suppliers — which, these days, means a lot of different businesses.","President Donald Trump bemoaned this year's Academy Award winner for best picture, ""Parasite,"" on Thursday because it's a South Korean film.",1.0,221.0,36.0,6.0,13.0,3.0,18.0,6.138888888888889,0.0,16.666666666666664,0.0,0.0,2.7777777777777777,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,101.0,15.0,4.0,2.0,1.0,-3.0,0.42,0.0,16.67,0.0,-9.52,2.78,15.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,12.57,-0.09,-0.6,2.49,-0.17,-0.54,0.33,-0.02,-7.23,0.0,-1.06,2.28,0.01,-0.01,-0.05,0.06,0.03,-0.03,-0.15,-0.03,0.0,0.01,-0.01,-0.03,-0.15
7,Canada’s spy agency is now warning Canadians travelling abroad for work that they could be targeted by foreign intelligence services.,"Sen. Bernie Sanders was expected to deliver a speech tailored to African American voters Saturday night, but what he gave instead was a roughly thirty-minute stump speech -- without a single mention of how his record is better suited than Joe Biden's to serve…",1.0,114.0,20.0,7.0,7.0,2.0,20.0,5.7,0.0,28.57142857142857,0.0,10.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,-103.0,-24.0,-2.0,-6.0,0.0,-2.0,0.77,0.0,-4.76,0.0,7.73,2.73,-14.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,-14.0,0.0,0.0,-2.0,4.86,-1.52,-0.26,1.56,-0.19,-1.0,0.35,-0.02,-4.67,0.0,0.05,2.21,-0.78,-0.01,-0.05,0.04,-0.06,-0.03,-0.21,-0.03,0.0,-0.78,-0.01,-0.03,-0.21
8,"Deputy Prime Minister Chrystia Freeland insists a robust climate change plan can live alongside a thriving energy sector. But while the debate has become mired in blame-tossing, businesses are calling for less carping and more consensus.","President Donald Trump formally announced Friday that he will nominate Kenneth Braithwaite, the current US ambassador to Norway, to be his next Navy Secretary.",1.0,202.0,36.0,8.0,16.0,3.0,18.0,5.611111111111111,0.0,12.5,0.0,5.555555555555555,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,66.0,12.0,4.0,5.0,1.0,-6.0,-0.06,0.0,-12.5,0.0,5.56,0.0,12.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,12.0,0.0,0.0,-2.0,8.63,-0.85,0.11,1.84,-0.09,-1.59,0.36,-0.02,-4.47,0.0,0.42,1.59,0.17,-0.01,-0.05,0.03,-0.13,-0.03,-0.25,-0.03,0.0,0.17,-0.01,-0.03,-0.25
9,"To test how prevalent counterfeits are online, Marketplace purchased dozens of well-known products from five popular online retailers: AliExpress, Amazon, eBay, Walmart and Wish. More than half were suspected knockoffs.","The director-general of the World Health Organization has warned governments that the continued international spread of the novel coronavirus is ""not a drill"" and will require significant action if public health authorities are to contain the deadly outbreak.",1.0,190.0,30.0,5.0,13.0,3.0,15.0,6.333333333333333,0.0,40.0,0.0,6.666666666666667,0.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,-32.0,-8.0,-2.0,2.0,1.0,-23.0,0.49,0.0,11.43,0.0,4.04,-7.89,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,10.46,-0.92,0.11,1.76,-0.02,-2.35,0.43,-0.02,-1.55,0.0,0.83,1.1,0.52,-0.01,-0.05,0.02,-0.08,-0.03,-0.28,-0.03,0.0,0.52,-0.01,-0.03,-0.28
