,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"The federal privacy commissioner is opening an investigation into how the RCMP uses facial recognition technology, a day after the national police force admitted using the controversial technology from Clearview AI.","As the deadly novel coronavirus spread throughout China and the world last month, it was clear that something had gone wrong.",1.0,185.0,31.0,5.0,12.0,2.0,31.0,5.967741935483871,0.0,20.0,0.0,0.0,3.225806451612903,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,80.0,10.0,2.0,6.0,0.0,10.0,0.97,0.0,-13.33,0.0,-4.76,-6.3,9.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,9.0,0.0,0.0,-1.0,12.26,-1.81,-0.13,-0.45,-0.19,5.69,0.65,0.0,0.75,0.0,-1.8,-0.43,0.16,0.0,-0.06,-0.1,-0.13,-0.06,-0.45,0.0,0.0,0.16,0.0,-0.1,-0.45
1,"The RCMP has for the first time acknowledged using controversial facial recognition technology that has raised privacy concerns, saying it was used in the Mounties' efforts to crack down on online child sexual abuse.","The United States will begin treating five major Chinese media companies as extensions of Beijing's government, requiring them to comply with rules governing foreign embassies and consulates.",1.0,183.0,34.0,9.0,10.0,2.0,34.0,5.382352941176471,0.0,11.11111111111111,0.0,0.0,11.76470588235294,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,0.0,0.0,1.0,18.0,7.0,3.0,0.0,0.0,7.0,-0.73,0.0,11.11,0.0,0.0,11.76,3.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,11.26,-0.31,1.87,-1.45,-0.19,7.19,0.36,0.0,-3.69,0.0,-1.8,3.84,1.16,0.0,-0.06,-0.1,-0.13,-0.06,0.05,0.0,0.0,1.16,0.0,-0.1,0.05
2,"Documents obtained by CBC News and Radio-Canada suggest tests will explore whether there's a connection between poor air quality at federal buildings in Gatineau, Que., and a bat infestation — including whether dead bats are responsible for elevated methane l…",Joe Biden is moving closer to consolidating the support of moderate Democratic voters and donors after a resounding victory in South Carolina and Pete Buttigieg's departure from the party's presidential race.,1.0,221.0,40.0,7.0,16.0,2.0,20.5,5.525,0.0,14.285714285714285,0.0,0.0,5.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,43.0,9.0,4.0,3.0,0.0,-10.5,-0.22,0.0,-19.05,0.0,-9.68,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,23.59,2.19,1.87,0.22,-0.19,3.19,0.31,0.0,-4.12,0.0,-1.8,3.01,2.83,0.0,-0.06,-0.1,-0.13,-0.06,-0.12,0.0,0.0,2.83,0.0,-0.1,-0.12
3,"Fears of a potential coronavirus pandemic grew on Monday after sharp rises in new cases reported in Iran, Italy and South Korea, but China relaxed restrictions on movements in several places including Beijing as its rates of new infections eased.","Sofia Vergara is taking a seat at the judge's table on ""America's Got Talent.""",1.0,207.0,40.0,5.0,16.0,2.0,40.0,5.175,0.0,0.0,0.0,7.5,2.5,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,142.0,26.0,3.0,8.0,0.0,32.5,0.53,0.0,-50.0,0.0,7.5,2.5,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,1.0,26.26,3.44,1.37,1.05,-0.19,6.06,0.2,0.0,-7.9,0.0,0.08,1.97,2.91,0.0,-0.06,-0.1,-0.13,-0.06,0.05,0.0,0.0,2.91,0.0,-0.1,0.05
4,"The federal government's much-anticipated economic impact study of the revised North American trade agreement does not forecast a significant economic boost when the deal takes effect, but officials from Global Affairs Canada told the Commons trade committee …","Jill Filipovic writes that in CNN's Nevada town hall demonstrated to voters that, while there may be no singular savior at hand to rid the nation of Donald Trump, there are some fine people vying for the opportunity.",1.0,223.0,38.0,4.0,18.0,1.0,38.0,5.868421052631579,0.0,0.0,0.0,5.263157894736842,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,44.0,0.0,-3.0,4.0,-1.0,0.0,1.16,0.0,-28.57,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,31.06,3.79,0.87,1.95,-0.39,7.39,0.27,0.0,-10.17,0.0,0.75,0.85,2.96,0.0,-0.06,-0.1,-0.13,-0.06,-0.05,0.0,0.0,2.96,0.0,-0.1,-0.05
5,A World Health Organization expert stresses the importance of keeping politics out of discussions about the coronavirus outbreak.,"The US Food and Drug Administration is aware of ""spot shortages,"" but nothing widespread yet, of medical devices due to the coronavirus epidemic. Of particular concern are personal protective equipment such as masks, respirators, gloves and surgical gowns.",1.0,112.0,18.0,2.0,9.0,2.0,18.0,6.222222222222222,0.0,0.0,0.0,0.0,11.11111111111111,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,-107.0,-20.0,0.0,-6.0,-1.0,-1.0,0.46,0.0,-100.0,0.0,-2.63,5.85,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,0.0,0.0,0.0,15.76,0.69,0.2,1.05,-0.36,4.94,0.38,0.0,-11.68,0.0,0.33,1.95,0.16,0.0,-0.06,-0.1,-0.13,-0.06,-0.12,0.0,0.0,0.16,0.0,-0.1,-0.12
6,"It's illegal to pay a surrogate to carry someone else's baby in Canada. Yet, surrogacy is far from free. A CBC investigation into the industry reveals why some parents are left with serious questions about payments they made — and why they're reluctant to rep…","The Bloomberg news organization has been the nation's quirkiest large news organization over the course of its 30-year history and never more in the news than now, writes Merrill Brown.",1.0,216.0,45.0,10.0,11.0,3.0,15.0,4.8,0.0,20.0,0.0,2.2222222222222223,4.444444444444445,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,60.0,15.0,7.0,0.0,1.0,-15.0,-0.4,0.0,-13.33,0.0,2.22,4.44,18.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,18.0,0.0,0.0,-1.0,19.69,2.34,0.87,0.69,-0.19,2.76,0.25,0.0,-9.91,0.0,0.34,1.78,1.88,0.0,-0.06,0.05,-0.13,-0.06,-0.17,0.0,0.0,1.88,0.0,-0.1,-0.17
7,Canadians who lost family members and loved ones when a Boeing 737 Max crashed in Ethiopia almost a year ago finally got their apology from Transport Minister Marc Garneau.,"A person in San Antonio, Texas, who had previously tested negative twice for the coronavirus, and was released by the US Centers for Disease Control and Prevention, is now back in quarantine after a subsequent test came back positive.",1.0,144.0,29.0,3.0,13.0,2.0,29.0,4.9655172413793105,0.0,0.0,0.0,3.4482758620689653,6.896551724137931,27.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,1.0,-52.0,-10.0,-3.0,0.0,0.0,-10.0,-0.06,0.0,-33.33,0.0,0.88,4.33,-2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,1.0,13.63,1.57,0.5,0.67,-0.19,2.87,0.18,0.0,-11.07,0.0,0.5,1.96,1.54,0.0,-0.06,0.03,-0.0,-0.06,-0.08,0.0,0.0,1.54,0.0,-0.1,-0.08
8,The author of a book about the Lac-Mégantic rail disaster says the public needs to be involved as Transport Canada and railway companies contemplate their next steps.,"The White House has won a lawsuit over President Donald Trump's lack of having written records of his conversations with Russian President Vladimir Putin, because the federal judges in Washington are powerless to make sure the President complies with record-k…",1.0,140.0,27.0,5.0,9.0,2.0,27.0,5.185185185185185,0.0,20.0,0.0,0.0,7.4074074074074066,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,1.0,-81.0,-13.0,-1.0,-8.0,1.0,-13.0,-0.34,0.0,3.33,0.0,-2.5,2.41,-6.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,8.48,0.75,0.43,0.22,-0.19,2.74,0.14,0.0,-9.76,0.0,0.25,2.16,1.05,0.0,-0.06,0.01,-0.02,-0.06,-0.01,0.0,0.0,1.05,0.0,-0.1,-0.01
9,"The RCMP denied using facial recognition technology as recently as January - before disclosing a few weeks later it had been using Clearview AI, a controversial app that has harvested billions of personal photos from social media, for months.","It isn't a leap to say that Jerry Mitchell's new book ""Race Against Time: A Reporter Reopens the Unsolved Murder Cases of the Civil Rights Era"" is a piece of real-life horror. After all, as the subtitle suggests, it grapples not merely with the dead but with …",1.0,204.0,39.0,8.0,12.0,2.0,39.0,5.230769230769231,0.0,12.5,0.0,0.0,5.128205128205128,33.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,33.0,0.0,0.0,1.0,-9.0,-9.0,3.0,-5.0,0.0,15.0,0.79,0.0,-7.5,0.0,0.0,3.04,-5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,10.76,1.29,0.67,0.15,-0.19,3.84,0.12,0.0,-9.46,0.0,0.04,2.09,1.46,0.0,-0.06,0.1,-0.03,-0.06,0.05,0.0,0.0,1.46,0.0,-0.1,0.05
