,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Veterans Affairs has been quietly tightening access to the mental health services received by families of injured former soldiers, the country's veterans ombudsman said Friday.","For some military families and veterans, President Trump's downplaying of traumatic brain injuries serves as a push to bring more attention to the severity of the injury.",1.0,152.0,25.0,6.0,10.0,2.0,25.0,6.08,0.0,16.666666666666664,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,8.0,-2.0,4.0,-1.0,0.0,-2.0,0.75,0.0,16.67,0.0,0.0,-11.11,2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-21.3,-8.97,0.61,-3.76,-0.18,0.52,0.92,-0.03,8.18,0.0,-2.38,-3.0,-5.58,0.0,-0.06,-0.18,-0.7,0.0,-1.24,-0.03,0.0,-5.58,0.0,0.0,-1.24
1,Prince Harry was at the place made famous by the Beatles to meet American rocker Jon Bon Jovi in one of his last events before stepping back from his official duties for the Royal Family.,"The Inspector General for the Department of Veterans Affairs is reviewing claims that VA Secretary Robert Wilkie attempted to discredit a House committee staffer who reported she was sexually assaulted at a VA facility in Washington, CNN has confirmed.",1.0,153.0,35.0,4.0,12.0,2.0,35.0,4.371428571428571,0.0,25.0,0.0,2.857142857142857,0.0,30.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,30.0,0.0,0.0,2.0,-61.0,-4.0,-5.0,-5.0,0.0,-4.0,-1.12,0.0,2.78,0.0,2.86,-2.56,-5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-5.0,0.0,0.0,1.0,-20.8,-3.97,-0.39,-2.76,-0.18,5.52,0.07,-0.03,12.35,0.0,-0.95,-3.0,-2.08,0.0,-0.06,-0.18,-0.2,0.0,-0.24,-0.03,0.0,-2.08,0.0,0.0,-0.24
2,"When U.S. President Donald Trump seemed to downplay traumatic brain injuries (TBI) sustained by American troops in an Iranian missile strike, University of Windsor assistant professor and former military spouse Kate Kemplin knew she needed to speak out.",Former White House press secretary Sean Spicer is offering to record personalized Valentine's messages for a fee in which all proceeds will go to the Independence Fund for veterans in need.,1.0,216.0,38.0,6.0,17.0,4.0,13.0,5.684210526315789,0.0,0.0,0.0,0.0,5.263157894736842,36.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,0.0,0.0,1.0,57.0,7.0,0.0,2.0,2.0,-18.0,0.56,0.0,-16.67,0.0,-3.23,5.26,11.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0,0.36,-1.3,-0.06,-0.76,0.48,-0.15,0.22,-0.03,5.41,0.0,-1.43,-1.25,1.09,0.0,-0.06,-0.18,-0.36,0.0,-0.24,-0.03,0.0,1.09,0.0,0.0,-0.24
3,The first deadline for entry into the Conservative leadership race passes today. Who's in the running to replace Andrew Scheer?,"Actor Robert Conrad, known for the television show ""The Wild, Wild West,"" died Saturday at the age of 84, according to his family spokesperson Jeff Ballard.",1.0,108.0,20.0,2.0,9.0,2.0,10.0,5.4,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,-23.0,-6.0,-1.0,-5.0,0.0,-16.0,0.36,1.0,0.0,0.0,0.0,-3.85,-6.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-6.0,0.0,0.0,-1.0,-16.05,-4.47,-0.89,-1.76,0.32,-3.73,0.23,0.22,1.93,0.0,-1.67,-1.69,-1.83,0.0,-0.06,-0.18,-0.45,0.0,-0.49,-0.03,0.0,-1.83,0.0,0.0,-0.49
4,"Access to provincial health care for veterans and their families can be “disjointed and irregular” depending upon where they live in the country, say internal federal documents.","Elizabeth Warren's campaign settled on a message -- and she isn't changing it now, even as her path to the nomination begins to look narrower.",1.0,151.0,27.0,6.0,8.0,2.0,27.0,5.592592592592593,0.0,16.666666666666664,0.0,0.0,3.7037037037037033,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,1.0,33.0,2.0,1.0,2.0,0.0,2.0,0.87,0.0,16.67,0.0,0.0,-0.3,2.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,2.0,0.0,0.0,-3.0,-17.3,-4.97,-0.59,-2.56,0.22,-2.48,0.27,0.17,3.18,0.0,-1.81,-1.21,-2.18,0.0,-0.06,-0.18,-0.5,0.0,-0.44,-0.03,0.0,-2.18,0.0,0.0,-0.44
5,"More Canadian veterans than ever are waiting to find out whether they qualify for disability benefits, despite repeated government promises and efforts to get the situation under control.","President Donald Trump made 56 false claims last week -- repeating one of his conspiracy theories about the 2016 election, promoting new fiction about impeachment witness Lt. Col. Alexander Vindman, and inflating his accomplishments and his standing in the po…",1.0,160.0,28.0,5.0,8.0,2.0,28.0,5.714285714285714,0.0,20.0,0.0,10.714285714285714,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,-61.0,-12.0,1.0,-9.0,-1.0,14.67,0.19,0.0,20.0,0.0,8.21,-7.5,-5.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,-5.0,0.0,0.0,-3.0,-16.64,-5.14,-0.56,-3.09,0.15,-1.48,0.32,0.14,4.57,0.0,-0.12,-1.51,-2.24,0.0,-0.06,-0.18,-0.53,0.0,-0.58,-0.03,0.0,-2.24,0.0,0.0,-0.58
6,"Two families in Guysborough County, N.S., became forever bound by tragedy in 2017 after an Afghanistan veteran with a complex mental illness — and a history of conflict in his marriage — fatally shot his wife, mother, daughter and himself.","Attorney General William Barr has noted with concern over the past year the rising number of police officer suicides in the country. On Thursday, he shared a personal story about a ""godsend"" social worker who helped his family during his daughter's cancer bat…",1.0,200.0,40.0,3.0,17.0,4.0,14.0,5.0,0.0,0.0,0.0,0.0,12.5,29.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,29.0,0.0,0.0,2.0,-18.0,-3.0,-2.0,-1.0,2.0,-7.5,-0.07,0.0,0.0,0.0,-4.65,7.85,-7.0,0.0,0.0,0.0,2.0,0.0,-1.0,0.0,0.0,-7.0,0.0,0.0,-1.0,-10.45,-3.54,-0.82,-2.19,0.39,-2.77,0.25,0.11,2.71,0.0,-0.44,0.06,-1.86,0.0,-0.06,-0.18,-0.27,0.0,-0.39,-0.03,0.0,-1.86,0.0,0.0,-0.39
7,"In order to attract more interest in caring for our nation's veterans, Caragher and two classmates envisioned a ""shadowing"" program for aspiring doctors at Veterans Affairs medical centers.",Former President Barack Obama has not endorsed anyone in the Democratic presidential primary. But both former Vice President Joe Biden and former New York City Mayor Michael Bloomberg have featured praise from Obama in their campaign ads.,1.0,162.0,28.0,4.0,11.0,2.0,28.0,5.785714285714286,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,-40.0,-9.0,0.0,-9.0,-1.0,9.5,0.33,0.0,0.0,0.0,-5.41,0.0,-3.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,-3.0,0.0,1.0,-1.0,-10.55,-3.84,-0.89,-2.26,0.32,-1.98,0.3,0.09,1.31,0.0,-0.68,-0.32,-1.95,0.0,-0.06,-0.18,-0.2,0.0,-0.49,-0.03,0.0,-1.95,0.0,0.12,-0.49
8,"While Americans work roughly 25% longer than their European peers, residents in some parts of the U.S. lead the pack. Here is a list of the 10 hardest-working cities in America.","Veterans Affairs Secretary Robert Wilkie confirmed during his testimony on Capitol Hill Wednesday that one veteran is being treated for the coronavirus at a VA facility in Palo Alto, California, and said the agency has a section of the campus set up to receiv…",1.0,147.0,31.0,3.0,10.0,5.0,8.0,4.741935483870968,0.0,33.33333333333333,0.0,6.451612903225806,0.0,24.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,1.0,-70.0,-13.0,-5.0,-9.0,4.0,-36.0,-0.19,0.0,20.83,0.0,6.45,0.0,-15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-15.0,0.0,0.0,0.0,-12.3,-3.75,-1.06,-2.42,0.6,-3.59,0.22,0.08,3.92,0.0,-0.16,-0.62,-2.24,0.0,-0.06,-0.07,-0.03,0.0,-0.46,-0.03,0.0,-2.24,0.0,0.11,-0.46
9,Brenda Wilkerson has ambitious goals for increasing tech's diverse representation since companies are flailing.,"The Department of Veterans Affairs' watchdog is reviewing a request to investigate allegations that Secretary Robert Wilkie sought ""damaging information"" about a congressional staffer who alleged she was sexually assaulted at a government-run veterans hospita…",1.0,98.0,14.0,4.0,6.0,2.0,14.0,7.0,0.0,25.0,0.0,7.142857142857142,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,-128.0,-21.0,-4.0,-6.0,1.0,-21.0,0.54,0.0,0.0,0.0,7.14,-5.71,-18.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-18.0,0.0,0.0,-1.0,-18.6,-5.37,-1.09,-2.96,0.52,-4.28,0.38,0.07,5.18,0.0,0.34,-0.86,-3.48,0.0,-0.06,-0.08,-0.1,0.0,-0.54,-0.03,0.0,-3.48,0.0,0.1,-0.54
