,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,Scientists think if there is life on Mars it's likely to be hidden in deep underground caves.,"A major water main that provides half of Houston's water supply burst while repairs were being made, causing public school closures.",1.0,77,17,5,4,2,17.0,4.529411764705882,0,40.0,0.0,0.0,0.0,17,0,0,0,0,0,0,0,0,17,0,0,0,-35.0,-4.0,0.0,-5.0,0.0,-4.0,-0.8,0.0,20.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-83.97,-14.9,0.05,-7.56,-0.23,-7.15,-0.55,-0.04,22.62,0.0,-2.74,-2.79,-9.85,-0.14,-0.01,-0.2,-0.59,-0.07,-0.67,-0.01,0.0,-9.85,-0.03,-0.21,-0.67
1,"A bizarre-looking fish could be the key to helping solve the world's hunger issue, according to a new study.","It's mating season for the Florida water snakes, according to the city of Lakeland.",1.0,90,19,5,6,2,19.0,4.7368421052631575,0,20.0,0.0,5.263157894736842,5.263157894736842,15,0,0,0,0,0,0,0,0,15,0,0,0,20.0,5.0,2.0,0.0,0.0,5.0,-0.26,0.0,20.0,0.0,5.26,5.26,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-77.47,-13.9,0.05,-6.56,-0.23,-6.15,-0.45,-0.04,12.62,0.0,-0.11,-0.16,-10.85,-0.14,-0.01,-0.2,-0.59,-0.07,-0.67,-0.01,0.0,-10.85,-0.03,-0.21,-0.67
2,"A leaf that fell from an elm tree more than 6,000 years ago was discovered intact by archaeologists in the United Kingdom.",President Trump denies he was involved in the Justice Department's decision to water down a recommendation by its own prosecutors for his longtime confidant Roger Stone. Follow here for the latest.,1.0,101,22,3,7,2,22.0,4.590909090909091,0,33.33333333333333,0.0,0.0,4.545454545454546,22,0,0,0,1,0,0,0,0,22,0,0,0,-66.0,-9.0,0.0,-5.0,-1.0,6.5,-0.8,0.0,0.0,0.0,-3.23,1.32,-5.0,0.0,0.0,0.0,1.0,0.0,-3.0,0.0,0.0,-5.0,0.0,0.0,-3.0,-71.64,-12.56,-0.62,-5.89,-0.23,-4.82,-0.46,-0.04,13.74,0.0,-0.99,0.48,-8.85,-0.14,-0.01,-0.2,-0.25,-0.07,-0.67,-0.01,0.0,-8.85,-0.03,-0.21,-0.67
3,"Toxic and invisible oil spread well beyond the initial footprint of the Deepwater Horizon oil spill, new research reveals.","Disney's Magic Kingdom in Orlando may be known as ""The Most Magical Place on Earth,"" but for some visitors riding the Jungle Cruise on Thursday, the experience was a bit less magical and a lot more wet.",1.0,104,19,1,10,2,19.0,5.473684210526316,0,0.0,0.0,5.263157894736842,5.263157894736842,15,0,0,0,0,0,0,0,0,15,0,0,0,-62.0,-18.0,-4.0,-6.0,0.0,-18.0,0.99,0.0,-40.0,0.0,2.56,5.26,-16.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,-67.97,-12.65,-1.45,-4.81,-0.23,-4.9,-0.25,-0.04,5.96,0.0,-0.11,0.98,-9.6,-0.14,-0.01,-0.2,-0.34,-0.07,-0.67,-0.01,0.0,-9.6,-0.03,-0.21,-0.67
4,Bears are mammals that belong to the family Ursidae.,"When it comes to novel coronavirus protection, face masks are futile. There isn't a vaccine yet. So the best way to prevent transmission of the novel coronavirus is washing your hands -- thoroughly -- with soap and water, according to the Centers for Disease …",1.0,44,9,2,4,2,9.0,4.888888888888889,0,50.0,0.0,0.0,0.0,9,0,0,0,0,0,0,0,0,9,0,0,0,-172.0,-36.0,-6.0,-10.0,-1.0,-6.0,0.09,0.0,25.0,0.0,-4.44,-2.22,-24.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-24.0,0.0,0.0,-2.0,-77.77,-14.7,-1.75,-5.36,-0.23,-6.95,-0.23,-0.04,11.29,0.0,-0.64,0.23,-11.25,-0.14,-0.01,-0.2,-0.39,-0.07,-0.67,-0.01,0.0,-11.25,-0.03,-0.21,-0.67
5,"Following the news that scientists discovered a fast radio burst from deep space that is ""repeating"" every 16 days, experts are increasing their efforts to look for alien life.","A swollen Pearl River may soon reach its highest point in decades at Mississippi's capital, prompting the governor to urge people in mandatory evacuation zones to leave their homes by sundown Saturday.",1.0,148,29,7,9,2,29.0,5.103448275862069,0,28.57142857142857,0.0,3.4482758620689653,0.0,27,0,0,0,1,0,1,0,0,27,0,0,1,-22.0,-3.0,3.0,-3.0,0.0,-3.0,-0.21,0.0,28.57,0.0,3.45,-3.12,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-66.97,-12.73,-1.12,-4.89,-0.23,-4.98,-0.19,-0.04,11.28,0.0,-0.41,-0.28,-9.35,-0.14,-0.01,-0.2,-0.25,-0.07,-0.5,-0.01,0.0,-9.35,-0.03,-0.21,-0.5
6,"'SHE WANTS BACK IN'... (First column, 4th story, link ) Related stories: BLOOMBERG CONSIDERS HILLARY RUNNING MATE... MADAM VP: 'I never say never because I do believe in serving my country'... Clinton could get her revenge against Trump... The implausible tic…","Two off-duty nurses, a 9-year-old girl and her godmother are being hailed as heroes after they saved a toddler who nearly drowned in a hotel pool.",1.0,220,41,7,20,5,8.2,5.365853658536586,0,0.0,0.0,0.0,4.878048780487805,39,0,1,2,2,1,2,0,0,39,2,0,2,99.0,15.0,2.0,13.0,3.0,-17.8,0.71,0.0,-20.0,0.0,0.0,4.88,16.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,-48.97,-9.61,-0.66,-2.99,0.2,-6.55,-0.12,-0.04,7.18,0.0,-0.75,0.06,-6.27,-0.14,0.13,0.09,-0.02,0.07,-0.24,-0.01,0.0,-6.27,0.25,-0.21,-0.24
7,"An Alberta man's lawsuit says he likely suffered permanent damage after RCMP arrested him suspecting he was drunk, when he was actually having a stroke. According to the lawsuit, the man was then left in a cell for more than 18 hours, virtually ignored by off…","As my wife, daughters and I hiked through the woods at one of the many state parks near our home, I explained to them how we were doing three things that were simultaneously boosting our happiness at that moment.",1.0,215,46,11,11,2,23.0,4.673913043478261,0,27.27272727272727,0.0,0.0,6.521739130434782,36,0,0,0,1,0,4,0,0,36,0,0,4,41.0,7.0,5.0,2.0,0.0,-16.0,0.21,0.0,-6.06,0.0,-2.56,6.52,9.0,0.0,0.0,-1.0,-1.0,-3.0,3.0,0.0,0.0,9.0,-3.0,-3.0,3.0,-36.09,-6.65,0.18,-2.68,0.15,-5.88,-0.16,-0.04,7.52,0.0,-1.0,0.52,-4.35,-0.14,0.11,0.05,0.04,0.05,0.2,-0.01,0.0,-4.35,0.22,-0.21,0.2
8,"Canadians love to talk about their cellphone bills, and today Canada's telecommunications regulator will jump into that conversation as it launches nine days of hearings.","An Interior Department official pushed misleading information about climate change into the agency's reports, according to The New York Times, at a time when the Trump administration has rolled back environmental protection regulations and repeatedly downplay…",1.0,146,25,5,10,2,25.0,5.84,0,0.0,0.0,4.0,0.0,25,0,0,0,1,0,2,0,0,25,0,0,2,-79.0,-11.0,0.0,-6.0,1.0,-11.0,-0.41,0.0,0.0,0.0,1.22,-2.78,-9.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,-9.0,0.0,0.0,2.0,-33.75,-6.67,0.16,-2.56,0.11,-5.13,-0.06,-0.04,4.76,0.0,-0.75,0.15,-4.07,-0.14,0.1,0.03,0.08,0.04,0.33,-0.01,0.0,-4.07,0.19,-0.21,0.33
9,"Plastics made from fossil fuels generate a lot of greenhouse gas emissions and waste. 'Bioplastics,' especially compostable plastics made from plants, have been touted as a greener alternative. But what are they really? And are they really more environmentall…","Drug overdoses can be life threatening, but for two women who accidentally took massive hits of LSD the experience was life changing -- and in a good way.",1.0,222,39,8,11,3,9.75,5.6923076923076925,1,37.5,0.0,0.0,5.128205128205128,29,0,0,0,0,0,0,0,0,29,0,0,0,95.0,11.0,3.0,1.0,1.0,-18.25,1.16,1.0,-2.5,0.0,-3.57,1.56,3.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-24.27,-5.3,0.45,-2.36,0.17,-6.06,0.01,0.06,6.29,0.0,-0.95,0.37,-3.45,-0.14,0.09,0.0,0.01,0.03,0.23,-0.01,0.0,-3.45,0.17,-0.21,0.23
