,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,It's been five years since Dan Price took a massive pay cut so he could raise his employees' salary — and he says the experiment has been a resounding success.,"After Sen. Elizabeth Warren suspended her presidential campaign -- the last of the serious female candidates who had vied for the Democratic nomination this year to do so -- many women (and some men) despaired, wondering: Will there be a female president in m…",1.0,130.0,30.0,8.0,9.0,2.0,30.0,4.333333333333333,0.0,25.0,0.0,6.666666666666667,0.0,24.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,24.0,0.0,0.0,3.0,-87.0,-14.0,0.0,-3.0,0.0,8.0,-0.6,0.0,12.5,0.0,6.67,0.0,-13.0,0.0,0.0,-2.0,1.0,0.0,1.0,0.0,0.0,-13.0,0.0,0.0,1.0,-49.12,-5.11,2.11,-3.74,-0.34,7.4,-0.79,-0.03,10.42,0.0,4.07,-2.39,-4.91,-0.08,0.94,-0.28,0.52,-0.2,1.98,-0.03,0.0,-4.91,-0.14,-0.09,1.98
1,"Mike Bloomberg has dropped out of the race for the Democratic nomination for president, one day after failing to convert his massive wealth into sufficient delegates in his first test at the ballot box.","Black voters, particularly those in South Carolina and a handful of other southern states on Super Tuesday, led -- and the Democratic establishment followed. That's why former Vice President Joe Biden is on the verge of becoming the Democratic front-runner. A…",1.0,169.0,34.0,4.0,11.0,2.0,34.0,4.970588235294118,0.0,0.0,0.0,2.941176470588235,2.941176470588235,27.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,27.0,0.0,0.0,2.0,-51.0,-7.0,-2.0,-4.0,-1.0,20.33,-0.4,0.0,-16.67,0.0,0.5,2.94,-3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,-3.0,0.0,0.0,2.0,-29.62,-3.11,0.11,-2.74,-0.34,9.4,-0.47,-0.03,-2.08,0.0,2.21,-0.92,-3.41,-0.08,0.44,-0.28,0.52,-0.2,1.48,-0.03,0.0,-3.41,-0.14,-0.09,1.48
2,Boosting an overheated real estate market and making money cheap for over-leveraged corporations and indebted Canadians is unlikely to mend the main COVID-19 economic crisis.,"Sen. Bernie Sanders was expected to deliver a speech tailored to African American voters Saturday night, but what he gave instead was a roughly thirty-minute stump speech -- without a single mention of how his record is better suited than Joe Biden's to serve…",1.0,150.0,25.0,4.0,7.0,2.0,25.0,6.0,0.0,25.0,0.0,4.0,12.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,-67.0,-19.0,-5.0,-6.0,0.0,3.0,1.07,0.0,-8.33,0.0,1.73,9.73,-11.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,0.0,-11.0,0.0,0.0,-2.0,-29.46,-5.44,-0.56,-3.74,-0.34,7.07,-0.02,-0.03,2.09,0.0,1.94,2.59,-4.24,-0.08,0.27,-0.28,0.19,-0.2,0.65,-0.03,0.0,-4.24,-0.14,-0.09,0.65
3,"A global recession would likely kill more people than the coronavirus, a Canadian expert says.",• 5 takeaways from the New Hampshire Democratic primary • Analysis: Chris Cillizza's winners and losers • Trump wins GOP primary • Analysis: Joe Biden's path to the nomination has zero historic precedent,1.0,80.0,15.0,3.0,5.0,2.0,15.0,5.333333333333333,0.0,0.0,0.0,0.0,13.333333333333334,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,-91.0,-18.0,1.0,-13.0,1.0,-18.0,0.15,0.0,0.0,0.0,-6.06,10.3,-8.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,-46.87,-9.11,-1.14,-4.74,-0.34,3.4,0.04,-0.03,-2.08,0.0,0.81,4.68,-6.66,-0.08,0.19,-0.28,0.02,-0.2,0.23,-0.03,0.0,-6.66,-0.14,-0.09,0.23
4,"Hundreds of U.S. law enforcement agencies have partnered with Amazon's Ring doorbell camera company, despite persistent questions about privacy and data management. Windsor, Ont.'s mayor wants his city to join, too.","I wasn't expecting much on Sunday when I dragged myself to Autumn de Wilde's new movie adaptation of Jane Austen's ""Emma."" Two hours of note-perfect scenes later, I emerged a convert. De Wilde's beautiful film showcases some of the best and most modern elemen…",1.0,185.0,31.0,4.0,18.0,6.0,6.6,5.967741935483871,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,-32.0,-13.0,-1.0,2.0,3.0,-8.4,1.04,0.0,0.0,0.0,-6.82,-2.27,-5.0,0.0,0.0,-2.0,-1.0,-3.0,1.0,0.0,0.0,-5.0,-3.0,0.0,1.0,-36.32,-8.11,-1.29,-2.74,0.46,-0.48,0.2,-0.03,-4.58,0.0,0.13,3.26,-4.91,-0.08,0.14,-0.28,-0.08,-0.2,0.18,-0.03,0.0,-4.91,-0.14,-0.09,0.18
5,Bernie Sanders's rivals have raised the possibility of pushing him out on a second ballot if he enters this summer's Democratic convention with a lead short of a first-ballot majority. That was the subtext of a revealing exchange in a presidential candidates'…,"The public charge rule, which goes into effect Monday, is a major step in the construction of what's known as Trump's ""invisible wall,"" a methodical overhaul of policies that's dramatically changing who can immigrate legally to the United States.",1.0,219.0,42.0,5.0,12.0,2.0,21.0,5.214285714285714,0.0,20.0,0.0,2.380952380952381,0.0,32.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32.0,0.0,0.0,2.0,11.0,3.0,-3.0,0.0,0.0,-18.0,-0.12,0.0,7.5,0.0,2.38,-2.56,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,0.0,0.0,2.0,-23.62,-5.61,-1.23,-2.41,0.33,-0.66,0.18,-0.03,-2.91,0.0,0.07,2.32,-3.57,-0.08,0.11,-0.28,-0.14,-0.2,0.32,-0.03,0.0,-3.57,-0.14,-0.09,0.32
6,"New book by economist Thomas Piketty is an endorsement of the need for ideological change, but the ""socialist"" label may be frightening people conditioned by years of Cold War rhetoric.","How bad will it get? That was the question this week, but it applied to several things: the spread of COVID-19 coronavirus around the world, the resulting stock market plunge and the concern about whether America's political leaders are up to the challenge.",1.0,156.0,30.0,5.0,14.0,2.0,30.0,5.2,0.0,40.0,0.0,3.3333333333333335,6.666666666666667,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,-59.0,-13.0,-1.0,0.0,0.0,8.5,0.2,-1.0,6.67,0.0,3.33,2.02,-9.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-9.0,0.0,0.0,-2.0,-23.55,-5.54,-1.18,-1.88,0.23,0.49,0.17,-0.03,1.14,0.0,0.16,2.6,-3.76,-0.08,0.08,-0.28,-0.19,-0.2,0.13,-0.03,0.0,-3.76,-0.14,-0.09,0.13
7,"Stock markets fell for the second day in a row on Tuesday, wiping out gains since the start of the year, as fear over the coronavirus is spreading even faster than the virus itself.",Jeff Bezos is throwing his weight — and wealth — behind the fight against climate change months after Amazon employees publicly pressured him and the company to do more to address the issue.,1.0,148.0,34.0,4.0,11.0,2.0,34.0,4.352941176470588,0.0,25.0,0.0,5.88235294117647,8.823529411764707,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,-10.0,1.0,-1.0,-2.0,0.0,1.0,-0.43,0.0,5.0,0.0,5.88,5.79,5.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,5.0,0.0,0.0,-2.0,-24.5,-4.98,-1.27,-1.86,0.16,1.85,0.05,-0.03,2.3,0.0,0.55,3.08,-3.28,-0.08,0.06,-0.28,-0.23,-0.2,-0.02,-0.03,0.0,-3.28,-0.14,-0.09,-0.02
8,"Among some Democrats, there are fears that the billionaire candidate Mike Bloomberg will merely patch up the U.S. economy, rather than bring real and essential change that could help the disenfranchised.",The week that gave Joe Biden a sorely needed political comeback also dealt Donald Trump some of the greatest challenges of his presidency.,1.0,173.0,31.0,6.0,9.0,4.0,10.666666666666666,5.580645161290323,0.0,16.666666666666664,0.0,0.0,3.225806451612903,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,57.0,8.0,3.0,1.0,2.0,-12.33,0.54,0.0,16.67,0.0,-4.35,-1.12,5.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,5.0,0.0,0.0,-1.0,-22.46,-4.89,-1.11,-2.07,0.33,0.32,0.1,-0.03,2.28,0.0,0.2,2.83,-3.24,-0.08,0.05,-0.17,-0.25,-0.2,-0.13,-0.03,0.0,-3.24,-0.14,-0.09,-0.13
9,"Mike Bloomberg could be pouring up to half a billion dollars of his own money into his bid to win the Democratic Party nomination, but the former mayor of New York City faces a critical test on Super Tuesday in his run for the U.S. presidency.",Investigaciones muestran que hablar con la pareja sobre dinero beneficia la relación. Pero muchas personas aún no lo hacen. Estos pasos te pueden ayudar.,1.0,198.0,46.0,5.0,18.0,4.0,15.666666666666666,4.304347826086956,0.0,20.0,0.0,2.1739130434782608,2.1739130434782608,34.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,34.0,0.0,0.0,3.0,68.0,22.0,3.0,0.0,0.0,7.67,-1.11,0.0,20.0,0.0,2.17,2.17,12.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,12.0,0.0,0.0,3.0,-18.32,-3.31,-1.09,-1.34,0.46,-0.4,0.0,-0.03,2.59,0.0,0.14,2.52,-2.41,-0.08,0.04,-0.18,-0.18,-0.2,0.08,-0.03,0.0,-2.41,-0.14,-0.09,0.08
