,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"LOCUST PLAGUE: Farmers traumatized as swarms devour crops in seconds... (Third column, 11th story, link )","Saudi Arabia is launching a soccer league for women, another gesture toward loosening some of the strict rules that are still imposed on women living in the ultra-conservative kingdom.",1.0,90.0,16.0,2.0,9.0,2.0,8.0,5.625,0.0,0.0,0.0,0.0,6.25,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,-66.0,-13.0,-4.0,0.0,0.0,-21.0,0.25,0.0,-33.33,0.0,0.0,2.8,-11.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-11.0,0.0,0.0,0.0,-75.05,-16.07,-2.85,-3.37,-0.26,-14.96,0.44,-0.07,-12.72,0.0,-1.61,3.67,-10.79,-0.3,-0.02,-0.14,0.41,-0.06,-1.03,0.0,0.0,-10.79,-0.03,-0.03,-1.03
1,Three Canadian women from different industries shared their #MeToo experiences with CBC News.,Time Magazine released magazine covers honoring women throughout history as a part of its 100 Women of the Year project. CNN's Amara Walker and Christi Paul speak with Time Magazine's senior editor Emma Baker about the project.,1.0,81.0,13.0,1.0,6.0,2.0,13.0,6.230769230769231,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,1.0,-110.0,-24.0,-2.0,-15.0,-1.0,-5.5,1.07,0.0,0.0,0.0,-2.7,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,-79.55,-17.57,-3.35,-4.87,-0.26,-12.46,0.75,-0.07,-12.72,0.0,-1.61,0.54,-12.29,-0.3,-0.02,-0.14,0.41,-0.06,-0.53,0.0,0.0,-12.29,-0.03,-0.03,-0.53
2,A three-month CBC investigation revealed that a lot of women who become surrogates feel internal and external pressure to have multiple babies. And experts warn that there isn't enough medical oversight of women who have babies in quick succession.,"Photojournalism has always been a male-dominated field. But throughout history, women have made their mark on the industry.",1.0,210.0,39.0,7.0,12.0,3.0,19.5,5.384615384615385,0.0,0.0,0.0,2.564102564102564,2.564102564102564,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,104.0,21.0,3.0,6.0,0.0,10.5,-0.5,0.0,-25.0,0.0,2.56,2.56,11.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,11.0,0.0,0.0,-1.0,-38.05,-9.4,-1.52,-3.37,0.07,-9.46,0.56,-0.07,-12.72,0.0,-0.75,0.36,-7.45,-0.3,-0.02,-0.14,0.08,-0.06,-0.7,0.0,0.0,-7.45,-0.03,-0.03,-0.7
3,A jury of seven men and five women began deliberations in New York Tuesday in the Harvey Weinstein rape and sexual assault trial. Get caught up on the trial.,"During a CNN town hall in South Carolina, Democratic presidential candidate Pete Buttigieg answers an audience question about why people and women of color should trust the former mayor of South Bend, Indiana.",1.0,129.0,29.0,3.0,13.0,3.0,14.5,4.448275862068965,0.0,0.0,0.0,0.0,6.896551724137931,21.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,-48.0,-4.0,0.0,-4.0,1.0,-18.5,-0.92,0.0,0.0,0.0,-3.03,6.9,-8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,-37.55,-7.82,-1.6,-2.37,0.24,-9.21,0.24,-0.07,-12.72,0.0,-0.96,1.35,-7.04,-0.3,-0.02,-0.14,0.41,-0.06,-0.78,0.0,0.0,-7.04,-0.03,-0.03,-0.78
4,"When a survivor has the courage to come forward but they're not able to access support, it's a contradictory message for society to send, says advocate","• What Obama is saying in private about Sanders, NY Magazine reports • Bloomberg slammed Obamacare in 2010 • Watch: Trump starts height war with nickname. Bloomberg fires back",1.0,126.0,26.0,6.0,7.0,1.0,26.0,4.846153846153846,0.0,0.0,0.0,15.384615384615385,3.8461538461538463,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,-21.0,-3.0,0.0,-6.0,-1.0,11.5,-0.22,0.0,-16.67,0.0,15.38,3.85,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-37.85,-7.47,-1.05,-2.97,-0.06,-6.76,0.12,-0.07,-12.72,0.0,1.98,1.33,-6.79,-0.3,-0.02,-0.14,0.21,-0.06,-0.83,0.0,0.0,-6.79,-0.03,-0.03,-0.83
5,"In December 2017, Margarita Gracheva's husband brutally attacked her. She has since emerged as one of the most high-profile victims of Russia's epidemic of domestic violence, Chris Brown writes.",An 18-year-old told CNN she was using the bathroom at a Barnes & Noble when she looked under the adjoining stall and saw a camera pointed at her.,1.0,166.0,29.0,4.0,10.0,3.0,14.5,5.724137931034483,0.0,0.0,0.0,0.0,6.896551724137931,26.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,48.0,1.0,-2.0,3.0,1.0,-13.5,1.51,0.0,-16.67,0.0,0.0,3.33,6.0,0.0,0.0,1.0,2.0,0.0,-2.0,0.0,0.0,6.0,0.0,0.0,-2.0,-31.38,-6.74,-1.02,-2.87,0.07,-7.04,0.19,-0.07,-12.72,0.0,1.39,1.83,-5.79,-0.3,-0.02,0.03,0.41,-0.06,-0.86,0.0,0.0,-5.79,-0.03,-0.03,-0.86
6,"Canada's Feminist International Assistance Policy is aimed at supporting the economic, political, and social empowerment of women and girls, but the government is falling short of the mark when it comes to addressing the Rohingya genocide and refugee crisis.","Ivanka Trump on Wednesday commemorated the first anniversary of her signature policy, the Women's Global Development and Prosperity Initiative, with the unveiling of bipartisan legislation to support her efforts. However, the initiative drew criticism from ad…",1.0,220.0,39.0,7.0,14.0,2.0,39.0,5.641025641025641,0.0,28.57142857142857,0.0,5.128205128205128,7.6923076923076925,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,1.0,-5.0,3.0,4.0,-3.0,0.0,21.0,-0.61,0.0,28.57,0.0,2.35,4.91,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-3.0,-19.05,-4.78,-0.56,-2.23,0.02,-3.75,0.23,-0.07,-8.63,0.0,1.69,2.3,-4.79,-0.3,-0.02,0.0,0.27,-0.06,-0.74,0.0,0.0,-4.79,-0.03,-0.03,-0.74
7,Abused women and children who seek refuge in short-stay crisis shelters often need long-term physical protection and counselling that can't be found in emergency shelters. A national shortage of so-called second-stage shelters puts them at risk of more violen…,"Harvey Weinstein was a predator who lured women with a hallmark pattern of predation, prosecutor Joan Illuzzi told jurors Friday during her closing argument.",1.0,222.0,39.0,6.0,14.0,2.0,19.5,5.6923076923076925,0.0,16.666666666666664,0.0,2.564102564102564,10.256410256410255,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,88.0,15.0,3.0,0.0,0.0,-4.5,0.11,0.0,-16.67,0.0,-1.6,10.26,9.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,9.0,0.0,0.0,-1.0,-9.55,-3.32,-0.35,-1.75,-0.01,-3.71,0.27,-0.07,-7.06,0.0,1.6,2.97,-3.66,-0.3,-0.02,-0.02,0.16,-0.06,-0.66,0.0,0.0,-3.66,-0.03,-0.03,-0.66
8,"Bahamians are grappling with new and disturbing allegations, which have come in waves over the past few weeks, involving Canadian fashion designer Peter Nygard and his former neighbour, Louis Bacon, who both once lived in an exclusive gated community on the w…",Families are demanding action from law enforcement after dozens of Native American girls and women in Montana have disappeared and been found dead. CNN's Sara Sidner reports.,1.0,219.0,42.0,7.0,13.0,1.0,42.0,5.214285714285714,0.0,14.285714285714285,0.0,0.0,4.761904761904762,36.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,36.0,0.0,0.0,1.0,71.0,15.0,1.0,1.0,-2.0,28.5,-0.27,0.0,-19.05,0.0,0.0,1.06,11.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0,-2.49,-1.85,-0.07,-1.48,-0.15,-1.18,0.24,-0.07,-6.1,0.0,1.24,2.88,-2.23,-0.3,-0.02,0.08,0.08,-0.06,-0.59,0.0,0.0,-2.23,-0.03,-0.03,-0.59
9,An investigation into Placido Domingo by the U.S. union representing opera performers found more than two dozen people who said they were sexually harassed or witnessed inappropriate behaviour by the superstar when he held senior management positions at Washi…,"A video starring ""Sex and the City"" actress Cynthia Nixon reading a poem about the pressures put on women has gone viral.",1.0,222.0,39.0,7.0,14.0,3.0,13.333333333333334,5.6923076923076925,0.0,14.285714285714285,0.0,0.0,5.128205128205128,35.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,35.0,0.0,0.0,1.0,122.0,17.0,2.0,5.0,1.0,-8.67,1.15,0.0,14.29,0.0,0.0,5.13,15.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,1.0,3.45,-0.97,0.15,-1.17,-0.06,-2.03,0.27,-0.07,-5.33,0.0,0.96,2.85,-1.19,-0.3,-0.02,0.06,0.11,-0.06,-0.53,0.0,0.0,-1.19,-0.03,-0.03,-0.53
