,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
0,"Unifor sets up blockade around Saskatoon Co-Op cardlock CBC.ca Unifor barricades Co-op card lock in Saskatoon Global News Homicides, overdoses, labour dispute make early 2020 Regina police chief's most challenging stretch CBC.ca Regina businesses feeling impa…","While Democratic presidential candidates are proposing sweeping student loan forgiveness programs, President Donald Trump's budget proposes eliminating one that already exists for public workers -- for the fourth year in a row.",1.0,225.0,36.0,5.0,23.0,3.0,12.666666666666666,6.25,0.0,0.0,0.0,0.0,5.555555555555555,28.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,29.0,4.0,-1.0,11.0,1.0,-19.33,0.12,0.0,-16.67,0.0,-3.12,5.56,-2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,51.79,3.06,-0.54,10.94,0.75,-12.3,0.96,-0.02,-15.52,0.0,-2.22,1.19,0.47,0.0,-0.04,0.88,0.51,-0.05,-0.62,-0.01,0.0,0.47,-0.03,-0.15,-0.62
1,"China's president visits health centre as coronavirus death toll rises CBC.ca Coronavirus: Senior Chinese officials 'removed' as death toll hits 1,000 BBC News Coronavirus outbreak: City of Wuhan recorded by American teacher | USA TODAY USA TODAY The coronavi…",Sen. Amy Klobuchar (D-MN) had an awkward moment on the campaign trail when she shared her fourth grade Spanish name speaking to the Las Vegas Culinary Workers Union.,1.0,222.0,39.0,5.0,25.0,2.0,20.0,5.6923076923076925,0.0,0.0,0.0,0.0,12.82051282051282,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,84.0,11.0,3.0,11.0,-1.0,6.0,0.76,0.0,0.0,0.0,0.0,9.25,3.0,0.0,0.0,0.0,1.0,0.0,-3.0,0.0,0.0,3.0,0.0,0.0,-3.0,50.29,4.56,-0.54,11.94,0.25,-8.64,0.68,-0.02,-15.52,0.0,-2.22,4.82,0.97,0.0,-0.04,0.38,0.51,-0.05,-0.62,-0.01,0.0,0.97,-0.03,-0.15,-0.62
2,It's been five years since Dan Price took a massive pay cut so he could raise his employees' salary — and he says the experiment has been a resounding success.,"A whistleblower at the Department of Health and Human Services is seeking federal protection after complaining that more than a dozen workers who received the first Americans evacuated from Wuhan, China, lacked proper training or protective gear for coronavir…",1.0,130.0,30.0,8.0,9.0,2.0,30.0,4.333333333333333,0.0,25.0,0.0,6.666666666666667,0.0,24.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,24.0,0.0,0.0,3.0,-92.0,-9.0,2.0,-5.0,1.0,-9.0,-1.36,0.0,8.33,0.0,-1.03,-5.13,-13.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,-13.0,0.0,0.0,3.0,19.12,2.06,0.46,6.94,0.08,-4.08,0.13,-0.02,-7.18,0.0,0.01,1.76,-0.53,0.0,0.29,0.21,0.51,-0.05,0.38,-0.01,0.0,-0.53,-0.03,-0.15,0.38
3,"A new coronavirus is taking a growing toll on Chinese health workers on the front line of the fight to stop it, a top official said on Friday, as authorities reported more than 5,000 new cases, including more than 120 deaths.","China has spent decades nurturing its tech sector. Now, faced with a massive public health crisis, Beijing is pushing its tech companies to join the fight against the novel coronavirus.",1.0,185.0,41.0,7.0,12.0,2.0,41.0,4.512195121951219,0.0,14.285714285714285,0.0,2.4390243902439024,2.4390243902439024,28.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,29.0,11.0,0.0,1.0,-1.0,26.0,-0.69,0.0,0.0,0.0,-0.89,-0.89,4.0,0.0,0.0,0.0,2.0,0.0,-2.0,0.0,0.0,4.0,0.0,0.0,-2.0,17.29,3.56,0.71,5.19,-0.0,0.95,-0.09,-0.02,-5.7,0.0,0.06,0.84,-0.28,0.0,0.21,0.13,0.76,-0.05,0.13,-0.01,0.0,-0.28,-0.03,-0.15,0.13
4,"Documents obtained by CBC News and Radio-Canada suggest tests will explore whether there's a connection between poor air quality at federal buildings in Gatineau, Que., and a bat infestation — including whether dead bats are responsible for elevated methane l…","The term ""cruise ship"" evokes images of luxury and well-being, but that is far from what a dream vacation has become for thousands of passengers now trapped on several cruise ships by the sudden emergence of the Wuhan coronavirus.",1.0,221.0,40.0,7.0,16.0,2.0,20.5,5.525,0.0,14.285714285714285,0.0,0.0,5.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,29.0,1.0,3.0,0.0,0.0,-18.5,0.6,0.0,-10.71,0.0,-5.13,2.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.39,4.26,0.86,4.94,-0.05,-0.14,-0.03,-0.02,-4.8,0.0,-0.4,0.8,1.07,0.0,0.16,0.08,0.51,-0.05,-0.02,-0.01,0.0,1.07,-0.03,-0.15,-0.02
5,A World Health Organization expert stresses the importance of keeping politics out of discussions about the coronavirus outbreak.,"The British royal family have offered a look inside the major refurbishment of Queen Elizabeth II's home, Buckingham Palace.",1.0,112.0,18.0,2.0,9.0,2.0,18.0,6.222222222222222,0.0,0.0,0.0,0.0,11.11111111111111,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,6.0,-1.0,0.0,-1.0,0.0,-1.0,0.64,0.0,0.0,0.0,0.0,11.11,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,9.29,1.06,0.13,3.61,-0.09,-1.28,0.13,-0.02,-6.59,0.0,-0.7,1.79,-1.36,0.0,0.13,0.05,0.34,-0.05,-0.12,-0.01,0.0,-1.36,-0.03,-0.15,-0.12
6,Ontario's public school teachers will protest today at the legislature to coincide with a provincewide strike that will leave about two million students out of class.,"Harvey Weinstein's conviction is a landmark event, writes Kara Alaimo, but it's a beginning, not an ending. Alaimo says lawmakers need to do two things now to start to make real change: prioritize laws governing the use of non-disclosure agreements and work h…",1.0,141.0,26.0,5.0,9.0,2.0,26.0,5.423076923076923,0.0,0.0,0.0,0.0,7.6923076923076925,24.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,-77.0,-17.0,-6.0,-7.0,0.0,4.5,0.35,0.0,-9.09,0.0,-2.33,7.69,-14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-14.0,0.0,0.0,0.0,3.36,-0.08,0.04,2.65,-0.11,-0.95,0.13,-0.02,-7.86,0.0,-0.92,2.01,-1.67,0.0,0.1,0.02,0.51,-0.05,-0.19,-0.01,0.0,-1.67,-0.03,-0.15,-0.19
7,"South Korea reported hundreds of new coronavirus cases on Wednesday as many sick people waited for hospital beds in Daegu, the city at the centre of the worst outbreak outside China.","Iran will temporarily release 54,000 people from prisons as officials struggle to contain the rapid spread of the biggest coronavirus outbreak in the Middle East.",1.0,152.0,31.0,2.0,13.0,2.0,31.0,4.903225806451613,0.0,0.0,0.0,0.0,9.67741935483871,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,14.0,6.0,-2.0,4.0,0.0,6.0,-0.62,0.0,0.0,0.0,-4.0,1.68,4.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.29,-0.31,-0.41,2.44,-0.13,-0.08,0.07,-0.02,-8.82,0.0,-1.08,2.42,-1.65,0.0,0.08,0.13,0.38,-0.05,-0.24,-0.01,0.0,-1.65,-0.03,-0.15,-0.24
8,Pauline Maracle skipped work to serve as the main cook for the now seven-day Tyendinaga Mohawk demonstration that has shut down passenger and freight traffic through one of Canada’s busiest rail corridors.,"Amie Harwick, a Hollywood sex therapist and ex-fiancée of comedian Drew Carey, was killed over the weekend, Los Angeles police said. An ex-boyfriend has been arrested as a suspect in her death, police said.",1.0,174.0,32.0,4.0,15.0,2.0,32.0,5.4375,0.0,0.0,0.0,3.125,3.125,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,-2.0,-3.0,-1.0,-1.0,15.0,0.35,0.0,-28.57,0.0,3.12,-5.7,2.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,2.0,0.0,0.0,-2.0,0.34,-0.38,-0.54,2.49,-0.14,0.71,0.08,-0.02,-9.57,0.0,-0.86,2.01,-1.19,0.0,0.07,0.1,0.39,-0.05,-0.28,-0.01,0.0,-1.19,-0.03,-0.15,-0.28
9,"A union representative called Bombardier's sale of its remaining shares in the A220 commercial jet program — formerly known as the C Series — ""the best-case scenario,"" while an aerospace expert said it's a ""sad' day for Quebec.","An ex-boyfriend of Amie Harwick was charged Wednesday with killing the former sex therapist in her Hollywood Hills apartment by throwing her over a balcony, officials said.",1.0,190.0,38.0,5.0,18.0,2.0,38.0,5.0,0.0,0.0,0.0,0.0,2.631578947368421,34.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,0.0,0.0,1.0,44.0,11.0,0.0,7.0,0.0,11.0,-0.41,0.0,-20.0,0.0,0.0,-1.07,9.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,9.0,0.0,0.0,-3.0,1.99,0.16,-0.54,2.84,-0.15,1.95,0.04,-0.02,-10.16,0.0,-0.99,1.64,-0.43,0.0,0.06,0.08,0.31,-0.05,-0.22,-0.01,0.0,-0.43,-0.03,-0.15,-0.22
