,Statement,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms
0,"Nearly 300 people have been infected in the coronavirus outbreak, which originated in Wuhan, China.",85.0,15.0,4.0,5.0,2.0,15.0,5.666666666666667,0.0,25.0,0.0,0.0,13.333333333333334,13.0,0.0,0.0
1,"A BBC team travels into Hubei province, where the deadly new coronavirus originated.",72.0,13.0,1.0,6.0,2.0,13.0,5.538461538461538,0.0,0.0,0.0,0.0,7.6923076923076925,13.0,0.0,0.0
2,"Australian scientists say it is a ""significant breakthrough"" in efforts to contain the new coronavirus.",89.0,15.0,3.0,4.0,2.0,15.0,5.933333333333334,0.0,0.0,0.0,13.333333333333334,0.0,15.0,0.0,0.0
3,"The new coronavirus is said to be infectious during its incubation period, making to harder to contain.",87.0,17.0,6.0,3.0,2.0,17.0,5.117647058823529,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
4,Jose Ramirez's unified WBC and WBO light-welterweight title defence against Vikto Postol is postponed because of the coronavirus outbreak in China.,127.0,21.0,2.0,11.0,2.0,21.0,6.0476190476190474,0.0,0.0,0.0,0.0,4.761904761904762,21.0,0.0,0.0
5,"A Fed Cup event, scheduled for the city of Dongguan next month, becomes the latest sporting event in China to be affected by the outbreak of coronavirus.",127.0,27.0,4.0,10.0,2.0,27.0,4.703703703703703,0.0,0.0,0.0,0.0,3.7037037037037033,22.0,0.0,0.0
6,"Authorities suspend outbound planes, trains and public transport in the city of 11 million people.",84.0,15.0,1.0,6.0,2.0,15.0,5.6,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
7,Lele should be getting ready for Lunar New Year. Instead she doesn't want to leave her house.,77.0,17.0,6.0,5.0,3.0,8.5,4.529411764705882,0.0,0.0,0.0,5.88235294117647,0.0,17.0,0.0,0.0
8,"New cases of the respiratory illness are confirmed in the cities of Wuhan, Beijing and Shenzhen.",81.0,16.0,2.0,8.0,2.0,16.0,5.0625,0.0,0.0,0.0,0.0,6.25,12.0,0.0,0.0
9,"With hundreds of millions set to travel, China tries to corral the deadly virus in Hubei province.",82.0,17.0,4.0,6.0,2.0,17.0,4.823529411764706,0.0,0.0,0.0,0.0,11.76470588235294,15.0,0.0,0.0
10,"It may not be as famous as Beijing or Shanghai, but Wuhan is a huge city with global connections.",79.0,19.0,3.0,5.0,2.0,19.0,4.157894736842105,0.0,0.0,0.0,5.263157894736842,0.0,17.0,0.0,0.0
