,Statement,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms
0,"Reduce anxiety about the new coronavirus by putting the risks in perspective, taking a break from reading the news, and spending time with friends.",124,24,3,10,2,24.0,5.166666666666667,0,0.0,0.0,0.0,12.5,21,0,0
1,"Google is trying to foreground sourcing and URLs, but in the process it made its results look more like ads, or vice versa. Bottom line: Google’s ads just look like search results now. I’m thinking about it because I have to admit that I don’t personally hate…",214,47,12,15,3,15.666666666666666,4.553191489361702,0,0.0,0.0,4.25531914893617,2.127659574468085,35,0,0
2,"Mysterious viral pneumonia outbreak in China likely caused by new virus, scientists say Fox News China pneumonia outbreak blamed on new virus CBS News China has a new SARS-like virus — how serious is it? | TheHill The Hill China identifies new coronavirus beh…",217,44,6,21,1,22.0,4.931818181818182,1,0.0,0.0,0.0,11.363636363636363,28,0,0
3,"Developers of the popular game, in which players try to infect the world with a deadly virus, reminded people that Plague Inc “is a game, not a scientific model.”",134,29,5,11,2,15.0,4.620689655172414,0,0.0,0.0,3.4482758620689653,6.896551724137931,22,0,0
4,"The World Health Organization commended the decision to close off the city. The organization met today to discuss whether the outbreak of the new coronavirus met the level of a global health emergency, but could not reach a decision.",195,39,7,13,3,19.5,5.0,0,0.0,0.0,0.0,5.128205128205128,24,0,0
5,United Airlines is suspending some flights between the US and China in early February because of a “significant decline in demand” following the coronavirus outbreak. Other US airlines have announced that they’re waiving fees for changes to flights through Fe…,221,40,6,18,2,20.0,5.525,0,0.0,0.0,2.5,5.0,32,0,0
6,"Taiwanese electronics giant Foxconn, which manufactures key products for countless tech companies including Apple, says it will not be adjusting any manufacturing timelines or closing its factories due to the ongoing coronavirus outbreak.",206,33,7,11,2,33.0,6.242424242424242,0,0.0,0.0,0.0,3.0303030303030303,33,0,0
7,"The SARS-like virus emerged in Wuhan, China, and has spread to half a dozen other countries. Scientists are trying to figure out how severe the illness is and how easily it spreads.",150,32,9,8,3,16.0,4.6875,0,0.0,0.0,0.0,9.375,26,0,0
8,"This is the first US case of the virus, which was first detected in Wuhan, a city in central China. It has already sickened around 300 people and killed six.",128,30,6,7,3,15.0,4.266666666666667,0,0.0,0.0,0.0,6.666666666666667,24,0,0
9,The patient had recently returned from Wuhan. The CDC is testing samples from 50 additional suspected cases of the coronavirus in the US.,115,23,5,7,3,11.5,5.0,0,0.0,0.0,4.3478260869565215,0.0,17,0,0
